Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Chevrolet,Classic,2015,1.4 Ls Abs C/gnc Año 2015 - Liv Motors,Gris,Nafta/GNC,4,Manual,1.4,Sedán,Publicado hace 18 días,99.000 km,8900
Chevrolet,Classic,2014,1.4 Ls Aa+dir,Gris,Nafta,4,Manual,1.4,Sedán,Publicado hace 34 días,126.814 km,9975000
Chevrolet,Classic,2015,1.4 Ls Abs Airbag,Gris,Nafta,4,Manual,1.4,Sedán,Publicado hace 52 días,113.649 km,11227000
Chevrolet,Classic,2013,1.4 Lt Spirit Pack Kb,Gris,Nafta,4,Manual,1.4,Sedán,Publicado hace 2 meses,120.692 km,10800000
Chevrolet,Classic,2012,1.4 Lt Spirit,Plateado,Nafta,4,Manual,1.4,Sedán,Publicado hace 1 día,85.712 km,9350000
Chevrolet,Corsa,2014,Classic 1.4 Ls Aa+dir 2013,Negro,Nafta,4,Manual,1.4,Sedán,Publicado hace 2 meses,152.000 km,9000
Chevrolet,Classic,2014,1.4 Ls Abs Airbag,Plateado,Nafta,4,Manual,1.4,Sedán,Publicado hace 42 días,131.688 km,10590000
Chevrolet,Classic,2013,1.4 Lt Pack,Gris,Nafta,4,Manual,1.4,Sedán,Publicado hace 14 días,88.000 km,11200000
Chevrolet,Classic,2012,1.4 Ls Pack,Dorado,Nafta/GNC,4,Manual,1.4,Sedán,Publicado hace 44 días,145.000 km,8000
Chevrolet,Classic,2014,1.4 Ls Aire Y Direccion Impecable Año 2014,Plateado,Nafta,4,Manual,1.4,Sedán,Publicado hace 31 días,125.000 km,11250000
Chevrolet,Logan,2011,1.6 Expresion,Blanco,Nafta,4,Manual,1.4,Sedán,Publicado hace 18 días,50.000 km,8500000
Chevrolet,Classic,2010,1.4 Lt Pack,Gris,Nafta,4,Manual,1.4,Sedán,Publicado hace 7 días,194.000 km,5500000
Chevrolet,Classic,2014,1.4 Ls Abs Airbag,Plateado,Nafta/GNC,4,Manual,1.4,Sedán,Publicado hace 15 días,140.000 km,10300000
Chevrolet,Classic,2010,1.4 Lt Pack Lb,Gris,Nafta,4,Manual,1.4,Sedán,Publicado hace 2 días,194.000 km,6500000
Chevrolet,Classic,2011,1.4 4p Lt 2011,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 6 días,155.000 km,9000000
Chevrolet,Corsa,2016,Classic 1.4 Ls Abs Airbag 2016 50 Mil Km,Gris,Nafta,4,Manual,1.4,Sedán,Publicado hace 7 días,50.200 km,13490000
Chevrolet,Classic,2011,1.4 4p Lt 2011,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 12 días,155.000 km,9000000
Chevrolet,Classic,2011,1.4 4p Lt 2011,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 14 días,155.000 km,9000000
Chevrolet,Classic,2012,1.4 Lt Spirit - Liv Motors,Gris,Nafta,4,Manual,1.4,Sedán,Publicado hace 35 días,148.000 km,6900
Chevrolet,Classic,2013,1.4 Lt Pack,Gris,Nafta,4,Manual,1.4,Sedán,Publicado hace 15 días,49.000 km,11900000
Chevrolet,Classic,2015,1.4 Ls Abs Airbag,Gris,Nafta,4,Manual,1.4,Sedán,Publicado hace 2 días,129.000 km,13000000
