Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Chevrolet,Corsa,2009,City 1.4n,Negro,Nafta,3,Manual,1.4,Hatchback,Publicado hace 4 meses,185.000 km,5500
Chevrolet,Corsa,2009,1.4 Classic Gls,Dorado,Nafta,4,Manual,1.4,Sedán,Publicado hace 2 días,65.000 km,8400
Chevrolet,Corsa,2009,Gls 1.4 2009 112.500 Kilómetros,Dorado,Nafta,4,Manual,1.4,Sedán,Publicado hace 31 días,112.500 km,7400
Chevrolet,Corsa,2008,Classic,Verde,Nafta,4,Manual,1.6,Hatchback,Publicado hace 1 día,102.000 km,8000000
Chevrolet,Corsa,2009,1.4 Classic Gls,Dorado,Nafta,4,Manual,1.4,Sedán,Publicado hace 7 días,95.000 km,7800
Chevrolet,Corsa,2000,1.6 Wind,Verde,Nafta/GNC,3,Manual,1.6,Hatchback,Publicado hace 3 meses,282.500 km,5500
Chevrolet,Corsa,2009,1.4 Wagon Classic Gl,Verde,Nafta,5,Manual,1.4,Rural,Publicado hace 3 meses,148.000 km,7600000
Chevrolet,Corsa,2010,1.8 Cd,Gris,Nafta,4,Manual,1.8,Sedán,Publicado hace 4 meses,203.000 km,8500000
Chevrolet,Corsa,2008,2 1.8 Gls 5p,Gris,Nafta,5,Manual,1.8,Hatchback,Publicado hace 41 días,180.000 km,8500000
Chevrolet,Corsa,2004,1.8 Gl Pack 2,Gris,Nafta,4,Manual,1.8,Sedán,Publicado hace 18 días,154.000 km,6000000
Chevrolet,Corsa,2009,1.4 Classic Gl,Gris,Nafta,3,Manual,1.4,Hatchback,Publicado hace 21 días,138.000 km,6900
Chevrolet,Corsa,2008,2 1.8 Gls 2008,Rojo,Nafta,5,Manual,1.8,Sedán,Publicado hace 32 días,173.400 km,6200
Chevrolet,Corsa,2010,1.4 Classic Gls,Gris,Nafta,4,Manual,1.4,Sedán,Publicado hace 23 días,74.000 km,6700
Chevrolet,3,2006,Puertas 1.6,Gris,Nafta,3,No disponible,No disponible,No disponible,Publicado hace 15 días,215.000 km,6500000
Chevrolet,Corsa,2000,2000 1.7 D Wind,Blanco,Diésel,4,Manual,1.7,Sedán,Publicado hace 6 meses,214.000 km,5300
Chevrolet,Cargo,2011,1.4,Blanco,Nafta,3,Manual,1.4,Coupé,Publicado hace 8 meses,149.000 km,6900000
Chevrolet,Clásic,2012,Ls 2012 Motor 1.4,Plateado,Nafta,4,Manual,1.4,Sedán,Publicado hace 7 meses,120.000 km,9500
Chevrolet,Corsa,2011,Cargo Con Asientos 2011 Impecable,Blanco,Nafta,3,Manual,1.6,Coupé,Publicado hace 15 días,85.000 km,6900000
Chevrolet,2016,2016,Con Gnc,Blanco,Nafta/GNC,5,Manual,1.4,Sedán,Publicado hace 26 días,286.000 km,8500000
Chevrolet,Corsa,2009,1.6 Classic,Plateado,Nafta,4,Manual,1.6,Sedán,Publicado hace 1 mes,139.700 km,6800
Chevrolet,Corsa,2009,1.4 3p Base L09 2009,Verde oscuro,Nafta,3,Manual,1.4,Hatchback,Publicado hace 22 días,105.000 km,7500000
Chevrolet,Corsa,2008,1.8 Gl Aa Dh 4p Negro 2008 - Tute Cars A,Azul,Nafta,4,Manual,1.8,Sedán,Publicado hace 49 días,245.427 km,8300000
Chevrolet,Corsa,2004,Ii Gl 2004,Gris,Nafta,4,Manual,1.8,Hatchback,Publicado hace 21 días,137.000 km,9200000
Chevrolet,Corsa,2009,Ii 2009,Azul,Nafta,4,Manual,1.8,Sedán,Publicado hace 6 meses,195.000 km,7800000
Chevrolet,Corsa,2004,1.6 Gl Gnc,Gris,Nafta,3,Manual,1.6,Coupé,Publicado hace 10 días,150.000 km,5800000
Chevrolet,Corsa,2009,1.4 Classic Gl,Gris,Nafta,3,Manual,1.4,Hatchback,Publicado hace 48 días,105.000 km,7500
Chevrolet,Corsa,2011,1.8 Gl Aa Dh 5p,Gris,Nafta/GNC,5,Manual,1.8,Hatchback,Publicado hace 8 días,170.000 km,8200000
Chevrolet,Corsa,2007,1.6 Classic Super Pkele,Gris,Nafta/GNC,3,Manual,1.6,Hatchback,Publicado hace 11 días,200.000 km,7000000
Chevrolet,Corsa,2003,1.6 Gl Gnc,Blanco,Nafta/GNC,4,Manual,1.6,Sedán,Publicado hace 22 días,205.000 km,4800000
Chevrolet,Corsa,2010,1.4 Classic Gls,Rojo,Nafta,4,Manual,1.4,Sedán,Publicado hace 1 día,110.000 km,6500
Chevrolet,Corsa,2007,1.6 Gl Aa Dh,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 18 días,150.000 km,7700000
Chevrolet,Corsa,2006,2006 1.6 Gl Aa Dh,No disponible,Nafta,5,Manual,1.6,Hatchback,Publicado hace 6 meses,158.000 km,7300000
Chevrolet,Corsa,2016,1.4 Classic Ls Abs Airbag 2016,Gris,Nafta,4,Manual,1.4,Sedán,Publicado hace 6 días,101.000 km,12500000
Chevrolet,Corsa,2015,Classic 1.4 Ls+levantavidrio,Gris,Nafta/GNC,5,Manual,1.4,Sedán,Publicado hace 21 días,140.000 km,8390
Chevrolet,Corsa,2011,1.4 Wagon Lt,Gris,Nafta,5,Manual,1.4,Sedán,Publicado hace 20 días,156.003 km,7800000
Chevrolet,Corsa,1997,1.6 Gls,Verde,Nafta,4,Manual,1.6,Sedán,Publicado hace 1 día,242.000 km,5000000
Chevrolet,Corsa,2009,1.8 Gl Aa+da,Azul,Nafta,4,Manual,1.8,Sedán,Publicado hace 7 días,168.000 km,6800
Chevrolet,Corsa,2005,1.6 Gl Aa Dh,Gris,Nafta/GNC,5,Manual,1.6,Hatchback,Publicado hace 11 días,198.000 km,6500000
Chevrolet,Corsa,2005,1.8 Gl Aa Dh 4p,Dorado,Nafta,4,Manual,1.8,Sedán,Publicado hace 59 días,142.000 km,6900000
Chevrolet,Corsa,2010,Classic City 2010 Ls Aa 3p Oscar Automotores,Negro,Nafta,3,Manual,1.4,Hatchback,Publicado hace 2 meses,138.000 km,8900000
Chevrolet,Corsa,2005,Wagon Gl 1.6 Dh C/gas,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 2 años,120.000 km,4250
Chevrolet,Corsa,2009,1.4 Classic Gl,Gris,Nafta/GNC,3,Manual,1.4,Hatchback,Publicado hace 45 días,169.000 km,9000000
Chevrolet,Corsa,2009,1.4 Wagon Classic Life,Plateado,Nafta,5,Manual,1.4,Rural,Publicado hace 3 meses,160.000 km,7200000
Chevrolet,Corsa,2009,1.4 Life 2009,Gris,Nafta,3,Manual,1.4,Hatchback,Publicado hace 11 días,137.500 km,7000000
Chevrolet,Corsa,2009,1.4 Classic Gls 2009 Muy Buen Estado Permuto,Verde,Nafta,4,Manual,1.6,Hatchback,Publicado hace 44 días,184.000 km,6999
