Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Chevrolet,Cruze,2024,1.4 Turbo Premier At Sedan,Blanco,Nafta,4,Automática,1.4,Sedán,Publicado hace 25 días,14.500 km,27500
Chevrolet,Cruze,2022,1.4 Ltz At Sedan,Gris,Nafta,4,Automática,1.4,Sedán,Publicado hace 5 días,95.000 km,21700000
Chevrolet,Cruze,2017,"4 Puertas 1,4 T Ltz Mt Bl",Blanco,Nafta,4,Manual,1.8,Hatchback,Publicado hace 5 días,119.953 km,18700000
Chevrolet,Cruze,2022,Ii 1.4 Sedan Lt Smart Garage,Plateado,Nafta,4,Manual,1.4,Sedán,Publicado hace 7 días,57.000 km,20400
Chevrolet,Cruze,2022,5p 1.4t Lt/mt,Blanco,Nafta,5,Manual,1.4,Hatchback,Publicado hace 11 días,41.293 km,20500
Chevrolet,Cruze,2024,5 1.4 Lt At 5p,Negro,Nafta,5,Automática,1.4,Hatchback,Publicado hace 11 días,500 km,30900000
Chevrolet,Cruze,2019,1.4 Ltz At Sedan,Plateado,Nafta,4,Automática,1.4,Sedán,Publicado hace 13 días,110.000 km,20500000
Chevrolet,Cruze,2022,1.4 Lt At Sedan Av,Azul,Nafta,4,Automática,1.4,Sedán,Publicado hace 14 días,30.000 km,26000023
Chevrolet,Cruze,2017,1.4 Lt Mt 4 P Av,Gris,Nafta,4,Manual,1.8,Sedán,Publicado hace 14 días,69.000 km,19000023
Chevrolet,Cruze,2020,1.4 Premier At Sedan,Plateado,Nafta,4,Automática,1.4,Sedán,Publicado hace 20 días,100.000 km,23500000
Chevrolet,Cruze,2022,5 1.4 Premier At 5p,Azul,Nafta,5,Automática,1.4,Hatchback,Publicado hace 21 días,84.000 km,26900000
Chevrolet,Cruze,2018,Ii 1.4 Sedan Lt,Negro,Nafta,4,Manual,1.4,Sedán,Publicado hace 27 días,84.228 km,18000000
Chevrolet,Cruze,2021,1.4 Premier At 2021 42.769km,Plateado,Nafta,5,Automática,1.4,Hatchback,Publicado hace 28 días,42.769 km,29900000
Chevrolet,Cruze,2012,1.8 Ltz Mt Rm,Rojo,Nafta,5,Manual,1.8,Hatchback,Publicado hace 38 días,160.000 km,10900
Chevrolet,Cruze,2021,Ii 1.4 Sedan At Ltz,Blanco,Nafta,4,Automática,1.4,Sedán,Publicado hace 48 días,49.477 km,25500000
Chevrolet,Cruze,2018,1.8 Ltz Manual 141cv 4 Puertas 2018 - Bruno,Blanco,Nafta,4,Manual,1.8,Sedán,Publicado hace 52 días,130.000 km,18700000
Chevrolet,Cruze,2023,5 1.4 Lt At 5p Smart Garage,Plateado,Nafta,5,Automática,1.4,Hatchback,Publicado hace 2 meses,25.000 km,24000
Chevrolet,Cruze,2017,Ii 1.4 Lt 153cv Smart Garage,Blanco,Nafta,5,Manual,1.4,Hatchback,Publicado hace 2 meses,68.000 km,16500
Chevrolet,Cruze,2024,5 1.4 Turbo Lt At 5p,Negro,Nafta,5,Automática,1.4,Hatchback,Publicado hace 3 meses,8.840 km,30500000
Chevrolet,Cruze,2019,"4 Puertas 1,4 T Ltz At 2019",Blanco,Nafta,4,Automática,1.4,Sedán,Publicado hace 9 meses,93.605 km,27500000
Chevrolet,Cruze,2021,1.4 Ltz At $28.000.000,Plateado,Nafta,4,Automática,1.4,Sedán,Publicado hace 6 días,61.000 km,28000000
Chevrolet,Cruze,2022,5 1.4 Lt At 5p,Blanco,Nafta,5,Automática,1.4,Hatchback,Publicado hace 15 días,53.000 km,23500000
Chevrolet,Cruze,2023,1.4 Lt At Sedan,Gris,Nafta,4,Automática,1.4,Sedán,Publicado hace 19 días,30.400 km,26490000
Chevrolet,Cruze,2022,4 Puertas 1.4 T Ltz At 2022 Kb,Blanco,Nafta,4,Automática,1.4,Sedán,Publicado hace 6 meses,62.821 km,26400000
Chevrolet,Cruze,2016,"4 Puertas 1,4 T Ltz At 2016 Kb",Plateado,Nafta,4,Automática,1.4,Sedán,Publicado hace 6 meses,121.193 km,17000000
Chevrolet,Cruze,2021,"4 Puertas 1,4 T Lt 6mt 2021 Kb",Blanco,Nafta,5,Manual,1.4,Hatchback,Publicado hace 1 año,106.361 km,22000000
Chevrolet,Cruze,2017,Ii 1.4 Sedan Lt,Blanco,Nafta,4,Manual,1.4,Sedán,Publicado hace 13 días,127.000 km,12500
Chevrolet,Cruze,2015,Blindado 2.0 Vcdi Sedan Lt At 163cv,Plateado,Diésel,5,Automática,2.0,Sedán,Publicado hace 28 días,72.000 km,21000
Chevrolet,Cruze,2018,Ltz Automático,Gris,Nafta,5,Automática,1.4,Hatchback,Publicado hace 40 días,97.000 km,24500000
Chevrolet,Cruze,2019,Lt 2019 Mt Smart Garage,Gris,Nafta,5,Manual,1.4,Hatchback,Publicado hace 56 días,68.000 km,18500
Chevrolet,Cruze,2016,"4p 1,4 T Ltz A/t",Blanco,Nafta,4,Automática,1.4,Sedán,Publicado hace 59 días,120.362 km,17000000
Chevrolet,Cruze,2023,5 1.4 Premier At 5p,Gris,Nafta,5,Automática,1.4,Hatchback,Publicado hace 2 meses,19.000 km,27000
Chevrolet,Cruze,2024,1.4 Ltz At Sedan,Negro,Nafta,4,Automática,1.4,Sedán,Publicado hace 3 días,13.000 km,28499999
Chevrolet,Cruze,2019,Ltz 1.4 Mt E,Gris,Nafta,4,Manual,1.4,Sedán,Publicado hace 5 días,45.000 km,22000000
Chevrolet,Cruze,2021,1.4 Premier At Sedan,Gris,Nafta,4,Automática,1.4,Sedán,Publicado hace 7 días,80.000 km,20300
