Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Chevrolet,Onix,2024,1.0t Lt Mt,Blanco,Nafta,5,Manual,1.0,Hatchback,Publicado hace 1 día,1.000 km,22500000
Chevrolet,Onix,2024,1.0t Lt Mt 2025,Blanco,Nafta,5,Manual,1.0,Hatchback,Publicado hace 1 día,1.000 km,23025000
Chevrolet,Onix,2024,1.0t Lt Mt 2025,Blanco,Nafta,5,Manual,1.0,Hatchback,Publicado hace 1 día,1.000 km,23025000
Chevrolet,Onix,2024,1.0t Lt Mt,Rojo,Nafta,5,Manual,1.0,Hatchback,Publicado hace 1 día,1.000 km,23025000
Chevrolet,Onix,2024,Premier 1.0 Unidad Fisica!!!,Plateado,Nafta,5,Automática,1.0,Hatchback,Publicado hace 1 día,1.000 km,26954000
Chevrolet,Onix,2024,Premier 1.0 Unidad Fisica!!! Kb,Plateado,Nafta,5,Automática,1.0,Hatchback,Publicado hace 1 día,1.000 km,27246000
Chevrolet,Onix,2024,Premier 1.0 Unidad Fisica!!,Plateado,Nafta,5,Automática,1.0,Hatchback,Publicado hace 1 día,1.000 km,29624000
Chevrolet,Onix,2024,Lt 1.0n Turbo Manual 2024/,Plateado,Nafta,5,Manual,Motor 1.0 nafta Turbo 116cv 160 Nm,Hatchback,Publicado hace 1 día,1.000 km,21999999
Chevrolet,Onix,2024,Lt 1.0n Turbo Manual 2024/,Plateado,Nafta,5,Manual,Motor 1.0 nafta Turbo 116cv 160 Nm,Hatchback,Publicado hace 1 día,1.000 km,21000000
Chevrolet,Onix,2024,1.0t Lt Mt,Rojo,Nafta,5,Manual,1.0,Hatchback,Publicado hace 1 día,1.000 km,23154000
Chevrolet,Onix,2020,1.0 Turbo Premier Ii At,Blanco,Nafta,5,Automática,1.0,Hatchback,Publicado hace 1 día,28.611 km,21000000
Chevrolet,Onix,2024,1.0t Lt Mt 2025 Unidad Fisica 0km,Blanco,Nafta,5,Manual,1.0,Hatchback,Publicado hace 1 día,1.000 km,22637000
Chevrolet,Onix,2017,1.4 Joy Ls 98cv,Negro,Nafta,5,Manual,1.4,Hatchback,Publicado hace 3 días,75.000 km,14400000
Chevrolet,Onix,2020,1.4 Black Edition 1.4,Gris,Nafta/GNC,5,Manual,1.4,Hatchback,Publicado hace 3 días,60.000 km,16980900
Chevrolet,Onix,2017,1.4 Joy Ls 98cv,Negro,Nafta,5,Manual,1.4,Hatchback,Publicado hace 5 días,75.000 km,14489900
Chevrolet,Onix,2020,1.0 Turbo Premier At,Plateado,Nafta,5,Automática,1.0,Hatchback,Publicado hace 5 días,89.000 km,13400000
Chevrolet,Onix,2020,1.0 Turbo Premier At,Plateado,Nafta,5,Automática,1.0,Hatchback,Publicado hace 5 días,89.000 km,23989900
Chevrolet,Onix,2019,1.4 Joy Ls Impecable Anticipo $8.900.000,Plateado,Nafta,5,Manual,1.4,Hatchback,Publicado hace 20 días,58.000 km,14900000
Chevrolet,Onix,2020,1.0 Turbo Premier At Rm,Plateado,Nafta,5,Automática,1.0,Hatchback,Publicado hace 35 días,92.000 km,15800
Chevrolet,Onix,2016,1.4 Lt 98cv,Gris,Nafta,5,Manual,1.4,Hatchback,Publicado hace 38 días,68.212 km,14000000
Chevrolet,Onix,2021,1.4 Joy Ls Unico Dueño Anticipo $8.900.000,Gris,Nafta,5,Manual,1.4,Hatchback,Publicado hace 52 días,44.000 km,15900000
Chevrolet,Onix,2022,1.2 Lt,Gris,Nafta,5,Manual,1.2,Hatchback,Publicado hace 2 meses,42.736 km,21525000
Chevrolet,Onix,2023,1.0 Turbo Premier Mt,Gris,Nafta,5,Manual,1.0,Hatchback,Publicado hace 3 meses,27.000 km,23000000
Chevrolet,Onix,2017,5 Puertas 1.4 Ltz 2017,Blanco,Nafta,5,Manual,1.4,Hatchback,Publicado hace 5 meses,82.815 km,19000000
Chevrolet,Onix,2024,1.0t Lt Mt 2025 Unidad Fisica 0km - Bm,Blanco,Nafta,5,Manual,1.0,Hatchback,Publicado hace 1 día,1.000 km,23000000
Chevrolet,Onix,2024,1.0t Lt Mt 2025 Unidad Fisica 0km -,Blanco,Nafta,5,Manual,1.0,Hatchback,Publicado hace 1 día,1.000 km,24262000
Chevrolet,Onix,2024,1.0t Lt Mt 2025,Blanco,Nafta,5,Manual,1.0,Hatchback,Publicado hace 1 día,1.000 km,22637000
Chevrolet,Onix,2018,1.4 Ltz 98cv,Azul,Nafta,5,Manual,1.4,Hatchback,Publicado hace 11 días,80.000 km,16900000
Chevrolet,Onix,2020,1.2 Ls,Rojo,Nafta,5,Manual,1.2,Hatchback,Publicado hace 32 días,36.000 km,16900000
Chevrolet,Onix,2019,1.4 Lt 98cv,Plateado,Nafta,5,Manual,1.4,Hatchback,Publicado hace 45 días,69.962 km,14400
Chevrolet,Onix,2015,1.4 Ltz At 98cv,Blanco,Nafta,5,Manual,1.4,Hatchback,Publicado hace 12 días,87.000 km,13500
Chevrolet,Onix,2017,1.4 Ltz 98cv E,Azul,Nafta,5,Manual,1.4,Hatchback,Publicado hace 16 días,105.000 km,15800000
Chevrolet,Onix,2016,1.4 Lt 98cv,Blanco,Nafta,5,Manual,1.4,Hatchback,Publicado hace 26 días,106.000 km,14490000
Chevrolet,Onix,2016,1.4 Lt 98cv,Blanco,Nafta,5,Manual,1.4,Hatchback,Publicado hace 26 días,106.000 km,14490000
Chevrolet,Onix,2019,1.4 Ltz 98cv,Plateado,Nafta,5,Manual,1.4,Hatchback,Publicado hace 38 días,59.000 km,16300
Chevrolet,Onix,2022,1.2 Lt Pt,Blanco,Nafta,5,Manual,1.2,Hatchback,Publicado hace 3 meses,40.441 km,22200000
Chevrolet,Onix,2018,1.4 Joy Ls + 98cv,Blanco,Nafta,5,Manual,1.4,Hatchback,Publicado hace 3 meses,108.000 km,15200000
Chevrolet,Onix,2015,1.4 Ltz At 98cv,Blanco,Nafta,5,Automática,1.4,Hatchback,Publicado hace 7 meses,120.000 km,11999
Chevrolet,Onix,2020,1.2 Lt Tech,Naranja,Nafta,5,Manual,1.2,Hatchback,Publicado hace 1 día,89.000 km,17500000
Chevrolet,Onix,2017,1.4 Joy Ls 98cv,Negro,Nafta,5,Manual,1.4,Hatchback,Publicado hace 5 días,79.000 km,8700000
