Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Chevrolet,Prisma,2017,1.4 Lt 98cv,Plateado,Nafta/GNC,4,Manual,1.4,Sedán,Publicado hace 1 día,85.000 km,14989900
Chevrolet,Prisma,2014,1.4 Ltz 98cv,Plateado,Nafta,4,Manual,1.4,Sedán,Publicado hace 5 días,139.000 km,10100000
Chevrolet,Prisma,2014,1.4 Ltz 98cv,Plateado,Nafta,4,Manual,1.4,Sedán,Publicado hace 5 días,139.000 km,13989900
Chevrolet,Prisma,2018,1.4 Ltz 98cv,Gris,Nafta,4,Manual,1.4,Sedán,Publicado hace 5 días,23.243 km,17550000
Chevrolet,Prisma,2019,1.4 Ltz 98cv,Gris,Nafta,4,Manual,1.4,Sedán,Publicado hace 10 días,70.288 km,16800000
Chevrolet,Prisma,2020,1.4 Joy Ls,Blanco,Nafta,4,Manual,1.4,Sedán,Publicado hace 11 días,75.000 km,16989900
Chevrolet,Prisma,2017,1.4 Lt 98cv,Plateado,Nafta,4,Manual,1.4,Sedán,Publicado hace 19 días,77.199 km,14437000
Chevrolet,Prisma,2018,1.4 Ltz 98cv,Plateado,Nafta,4,Manual,1.4,Sedán,Publicado hace 26 días,69.287 km,18700000
Chevrolet,Prisma,2013,1.4 Ltz 98cv,Gris,Nafta,4,Manual,1.4,Sedán,Publicado hace 47 días,82.000 km,13190000
Chevrolet,Prisma,2020,1.4 Lt 98cv,Gris,Nafta,4,Manual,1.4,Sedán,Publicado hace 11 días,55.000 km,18600000
Chevrolet,Prisma,2018,1.4 Lt 98cv,Gris,Nafta/GNC,4,Manual,1.4,Sedán,Publicado hace 4 meses,101.000 km,12000
Chevrolet,Prisma,2014,1.4 Ltz 98cv,Plateado,Nafta,4,Manual,1.4,Sedán,Publicado hace 5 días,97.500 km,13700000
Chevrolet,Prisma,2013,1.4 Ltz 98cv,Plateado,Nafta,4,Manual,1.4,Sedán,Publicado hace 5 días,135.860 km,12700000
Chevrolet,Prisma,2018,1.4 Ltz At 98cv Automatico 2018,Gris,Nafta,4,Automática,1.4,Sedán,Publicado hace 11 días,98.000 km,15900000
Chevrolet,Prisma,2018,1.4 Joy Ls 98cv Kb,Plateado,Nafta,4,Manual,1.4,Sedán,Publicado hace 14 días,33.772 km,17000000
Chevrolet,Prisma,2018,1.4 Ltz At 98cv,Negro,Nafta/GNC,4,Automática,1.4,Sedán,Publicado hace 26 días,90.000 km,12990
Chevrolet,Prisma,2017,1.4 Lt 98cv,Blanco,Nafta/GNC,4,Manual,1.4,Sedán,Publicado hace 1 día,86.000 km,3800
Chevrolet,Prisma,2017,1.4 Lt 98cv,Gris,Nafta,4,Manual,1.4,Sedán,Publicado hace 7 días,85.000 km,14800000
Chevrolet,Prisma,2018,1.4 Joy Ls 98cv,Gris,Nafta,4,Manual,1.4,Sedán,Publicado hace 3 días,70.000 km,14890900
Chevrolet,Prisma,2017,1.4 Lt L17 2017,Blanco,Nafta,4,Manual,1.4,Sedán,Publicado hace 5 días,92.000 km,14300000
Chevrolet,Prisma,2018,1.4 Ltz At 98cv,Plateado,Nafta,4,Automática,1.4,Sedán,Publicado hace 49 días,132.095 km,14800000
Chevrolet,Prisma,2015,1.4 Ltz L13 2015 - Rpm Moviles,Blanco,Nafta/GNC,4,Manual,1.4,Sedán,Publicado hace 32 días,116.000 km,13400000
Chevrolet,Prisma,2020,Lt Automatico 1.4l,Gris,Nafta,4,Manual,1.4,Sedán,Publicado hace 6 meses,61.000 km,19000000
Chevrolet,Prisma,2013,1.4 Lt Full Gnc Oportunidad Modelo 2013!,Plateado,Nafta/GNC,4,Manual,1.4,Sedán,Publicado hace 39 días,165.000 km,10000000
Chevrolet,Prisma,2017,1.4 Joy Ls + 98cv,Plateado,Nafta,4,Manual,1.4,Sedán,Publicado hace 3 meses,18.000 km,10500000
Chevrolet,Prisma,2017,1.4 Ltz At 98cv,Gris,Nafta/GNC,4,Automática,1.4,Sedán,Publicado hace 21 días,93.000 km,16000000
Chevrolet,Prisma,2020,1.4 Ltz At 98cv,Gris,Nafta,4,Automática,1.4,Sedán,Publicado hace 34 días,60.000 km,19000000
Chevrolet,Prisma,2017,1.4 Joy Ls 98cv,Plateado,Nafta,4,Manual,1.4,Sedán,Publicado hace 41 días,89.500 km,13700000
Chevrolet,Prisma,2016,1.4 Joy Ls 98cv,Negro,Nafta,4,Manual,1.4,Sedán,Publicado hace 56 días,174.000 km,10999999
Chevrolet,Prisma,2017,1.4 Joy Ls 98cv,Blanco,Nafta/GNC,4,Manual,1.4,Sedán,Publicado hace 39 días,152.000 km,14450000
Chevrolet,Prisma,2014,1.4 Lt 98cv,Blanco,Nafta/GNC,4,Manual,1.4,Sedán,Publicado hace 1 día,120.000 km,11000000
Chevrolet,Prisma,2018,1.4 Ltz 98cv,Gris,Nafta,4,Manual,1.4,Sedán,Publicado hace 3 días,139.785 km,14500000
Chevrolet,Prisma,2016,1.4 Lt 98cv,Gris,Nafta,4,Manual,1.4,Sedán,Publicado hace 13 días,119.000 km,13500000
Chevrolet,Prisma,2016,1.4 Lt 98cv,Gris,Nafta,4,Manual,1.4,Sedán,Publicado hace 32 días,90.000 km,11000
Chevrolet,Prisma,2019,1.4 Joy Ls,Gris,Nafta,4,Manual,1.4,Sedán,Publicado hace 40 días,62.471 km,16689000
Chevrolet,Prisma,2020,1.4 Joy Ls,Blanco,Nafta,4,Manual,1.4,Sedán,Publicado hace 12 días,51.000 km,12700
Chevrolet,Prisma,2017,1.4 Joy Ls 98cv,Gris,Nafta,5,Manual,1.4,Sedán,Publicado hace 28 días,135.247 km,12900000
Chevrolet,Prisma,2018,1.4 Ltz At 98cv,Gris,Nafta,4,Automática,1.4,Sedán,Publicado hace 2 meses,96.000 km,12600
Chevrolet,Prisma,2016,1.4 Ltz 98cv,Gris,Nafta,4,Manual,1.4,Sedán,Publicado hace 9 días,93.000 km,15500000
Chevrolet,Prisma,2019,1.4 Joy Ls,Gris,Nafta,4,Manual,1.4,Sedán,Publicado hace 25 días,70.000 km,12000
Chevrolet,Prisma,2012,1.4 Ls 92cv,Blanco,Nafta,4,Manual,1.4,Sedán,Publicado hace 51 días,135.000 km,8800
Chevrolet,Prisma,2019,1.4 Lt 98cv,Rojo,Nafta,4,Manual,1.4,Sedán,Publicado hace 1 día,62.000 km,17500000
Chevrolet,Prisma,2015,1.4 Lt 98cv,Blanco,Nafta,4,Manual,1.4,Sedán,Publicado hace 1 día,94.000 km,12800000
