Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Chevrolet,S10,2024,2.8 Ctdi Hc 4x4,Blanco,Diésel,4,Manual,2.8,Pick-Up,Publicado hace 1 día,1.000 km,63303000
Chevrolet,S10,2024,4x4 High Country At 2.8td 0km Conc Oficial Em!,Blanco,Diésel,4,Manual,2.8,Pick-Up,Publicado hace 1 día,1.000 km,62300000
Chevrolet,High,2024,Country 4x4 At 2.8 Td 0km Conc Oficial Sj Ba,Plateado,Diésel,4,Automática,2.8,Pick-Up,Publicado hace 1 día,1.000 km,62300000
Chevrolet,S10,2024,2.8 Ctdi Hc 4x4 At,Blanco,Diésel,4,Manual,2.8,Pick-Up,Publicado hace 1 día,1.000 km,63129000
Chevrolet,S10,2024,2.8td 4x4 Hc Linea 2025! Fisicas!!! Kb,Negro,Diésel,4,Manual,2.8,Pick-Up,Publicado hace 1 día,1.000 km,62500000
Chevrolet,High,2024,Country 4x4 At Línea 2025,Plateado,Diésel,4,Manual,2.8,Pick-Up,Publicado hace 1 día,1.000 km,63129000
Chevrolet,S10,2024,4x4 High Country At 2.8td 0km,Blanco,Diésel,4,Manual,2.8,Pick-Up,Publicado hace 1 día,1.000 km,64400000
Chevrolet,S10,2024,4x4 High Country At 2.8td,Blanco,Diésel,4,Manual,2.8,Pick-Up,Publicado hace 1 día,1.000 km,64400000
Chevrolet,S10,2023,2.8 High Country Cd Tdci 200cv Automática,Gris,Diésel,4,Automática,2.8,Pick-Up,Publicado hace 10 días,61.660 km,48000000
Chevrolet,S10,2019,2.8 Cd 4x4 Ltz Tdci 200cv At,Blanco,Diésel,4,Automática,2.8,Pick-Up,Publicado hace 13 días,120.000 km,29000
Chevrolet,S10,2018,2.8 Ls Cd Tdci 200cv 4x4 (lili),Blanco,Diésel,4,Manual,2.8,Pick-Up,Publicado hace 13 días,103.000 km,25700000
