Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Chevrolet,Spin,2024,1.8 Premier 2024/// 7asientos,Gris,Nafta,5,Automática,1.8,Monovolumen,Publicado hace 1 día,1.000 km,33500000
Chevrolet,Spin,2024,1.8 Premier 7 2024/////,Gris,Nafta,5,Automática,1.8,Monovolumen,Publicado hace 1 día,1.000 km,33500000
Chevrolet,Spin,2024,1.8 Premier 7 Asientos,Plateado,Nafta,5,Automática,1.8,Monovolumen,Publicado hace 1 día,1.000 km,34718200
Chevrolet,Spin,2014,1.8 Ltz 7as 105cv,Gris,Nafta,5,Manual,1.8,Monovolumen,Publicado hace 10 días,98.183 km,17500000
Chevrolet,Spin,2019,1.8 Activ7 Ltz 5as At 105cv,Gris,Nafta,5,Automática,1.8,Monovolumen,Publicado hace 38 días,67.399 km,23678000
Chevrolet,Spin,2016,1.8 Ltz 5as 105cv,Verde,Nafta,5,Manual,1.8,Monovolumen,Publicado hace 2 meses,81.472 km,17700000
Chevrolet,Spin,2016,1.8 Lt 5as 105cv Gnc,Gris,Nafta/GNC,5,Manual,1.8,Monovolumen,Publicado hace 5 meses,153.000 km,12500
Chevrolet,Spin,2015,1.8 Lt 5as 105cv My Link,Plateado,Nafta,5,Manual,1.8,Monovolumen,Publicado hace 3 meses,70.000 km,14200
Chevrolet,Spin,2015,1.8 Activ Ltz 7as At 105cv,Gris,Nafta,5,Automática,1.8,Monovolumen,Publicado hace 6 días,132.000 km,14500000
Chevrolet,Spin,2017,1.8 Ltz 7as 105cv,Plateado,Nafta,5,Manual,1.8,Monovolumen,Publicado hace 13 días,139.000 km,14990
Chevrolet,Spin,2021,1.8 Activ 7as At,Azul,Nafta,5,Automática,1.8,Monovolumen,Publicado hace 44 días,129.000 km,21000000
Chevrolet,Spin,2017,1.8 Ltz 5as 105cv,Plateado,Nafta/GNC,5,Manual,1.8,Monovolumen,Publicado hace 1 día,93.000 km,8100000
Chevrolet,Spin,2017,1.8 Ltz 7as 105cv,Gris,Nafta,5,Manual,1.8,Monovolumen,Publicado hace 47 días,180.000 km,16000000
Chevrolet,Spin,2017,1.8 Lt 5as 105cv E,Gris,Nafta,5,Manual,1.8,Monovolumen,Publicado hace 23 días,142.000 km,16000000
Chevrolet,Spin,2015,1.8 Lt 5as 105cv,Negro,Nafta,5,Manual,1.8,Monovolumen,Publicado hace 2 meses,150.000 km,14500000
Chevrolet,Spin,2017,1.8 Lt 5as 105cv N,Gris,Nafta,5,Manual,1.8,Monovolumen,Publicado hace 1 día,142.000 km,16000000
Chevrolet,Spin,2022,1.8 Activ A/t 7 Asientos 2022 1167468820,Gris,Nafta,5,Automática,1.8,Monovolumen,Publicado hace 2 meses,43.000 km,28800000
Chevrolet,Spin,2024,1.8 Lt 2025,Blanco,Nafta,5,Manual,1.8,Monovolumen,Publicado hace 1 día,1.000 km,12000000
