Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Chevrolet,Tracker,2024,1.2t At 2025,Gris,Nafta,5,Automática,1.2,SUV,Publicado hace 1 día,1.000 km,27000000
Chevrolet,Tracker,2024,1.2t At,Gris,Nafta,5,Automática,1.2,SUV,Publicado hace 1 día,1.000 km,26500000
Chevrolet,Tracker,2024,1.2t At 2025 Unidad Física,Gris,Nafta,5,Automática,1.2,SUV,Publicado hace 1 día,1.000 km,27520000
Chevrolet,Tracker,2024,1.2t At 2025,Gris,Nafta,5,Automática,1.2,SUV,Publicado hace 1 día,1.000 km,27519549
Chevrolet,Tracker,2024,1.2t At 2025,Gris,Nafta,5,Automática,1.2,SUV,Publicado hace 1 día,1.000 km,27000000
Chevrolet,Tracker,2024,At,Negro,Nafta,5,Automática,1.2,SUV,Publicado hace 1 día,1.000 km,26000000
Chevrolet,Tracker,2024,"At 1.2t D.m 2024,,,,,",Negro,Nafta,5,Automática,1.2,SUV,Publicado hace 1 día,1.000 km,27520000
Chevrolet,Tracker,2024,"1.2t Premier At 2025,,",Blanco,Nafta,5,Automática,1.2,SUV,Publicado hace 1 día,1.000 km,32947000
Chevrolet,Tracker,2024,"At 1.2t D.m 2024,,,,,",Negro,Nafta,5,Automática,1.2,SUV,Publicado hace 1 día,1.000 km,27807000
Chevrolet,Tracker,2024,At 1.2t 0km Para Entrega,Negro,Nafta,5,Automática,1.2,SUV,Publicado hace 1 día,1.000 km,27807000
Chevrolet,Tracker,2024,1.2turbo Automát 2024**,Gris,Nafta,5,Automática,1.2,SUV,Publicado hace 1 día,1.000 km,27005400
Chevrolet,Tracker,2024,Ltz 2024///,Negro,Nafta,5,Automática,1.2,SUV,Publicado hace 1 día,1.000 km,29999999
Chevrolet,Tracker,2024,Ltz 2025,Negro,Nafta,5,Automática,1.2,SUV,Publicado hace 1 día,1.000 km,33000000
Chevrolet,Tracker,2024,1.2t At 2025,Blanco,Nafta,5,Automática,1.2,SUV,Publicado hace 1 día,1.000 km,27800000
Chevrolet,Tracker,2024,1.2t Premier Entrega Inmediata!!!,Gris,Nafta,5,Automática,1.2,SUV,Publicado hace 1 día,1.000 km,37195000
Chevrolet,Tracker,2024,1.2t At Entrega Inmediata!!,Rojo,Nafta,5,Automática,1.2,SUV,Publicado hace 1 día,1.000 km,27673000
Chevrolet,Tracker,2024,1.2t At,Blanco,Nafta,5,Automática,1.2,SUV,Publicado hace 1 día,1.000 km,27800000
Chevrolet,Tracker,2024,"1.2t Ltz At 2025,",Blanco,Nafta,5,Automática,1.2,SUV,Publicado hace 1 día,1.000 km,32800000
Chevrolet,Tracker,2024,1.2t Lt At,Blanco,Nafta,5,Automática,1.2,SUV,Publicado hace 1 día,1.000 km,27059000
Chevrolet,Tracker,2024,"1.2t Premier At 2025,",Blanco,Nafta,5,Automática,1.2,SUV,Publicado hace 1 día,1.000 km,37195000
Chevrolet,Tracker,2024,1.2t Ltz At 2025,Plateado,Nafta,5,Automática,1.2,SUV,Publicado hace 1 día,1.000 km,31555000
Chevrolet,Tracker,2024,1.2t Ltz At,Plateado,Nafta,5,Automática,1.2,SUV,Publicado hace 1 día,1.000 km,31555000
Chevrolet,Tracker,2024,1.2t Lt Mt 2025,Blanco,Nafta,5,Manual,1.2,SUV,Publicado hace 1 día,1.000 km,25643000
Chevrolet,Tracker,2024,"1.2t Rs At 2025,",Blanco,Nafta,5,Automática,1.2,SUV,Publicado hace 1 día,1.000 km,35515000
Chevrolet,Tracker,2024,1.2t Lt At 2025,Negro,Nafta,5,Automática,1.2,SUV,Publicado hace 1 día,1.000 km,27059000
Chevrolet,Tracker,2024,Ltz 1.2n Turbo Automático,Gris,Nafta,5,Automática,1.2,SUV,Publicado hace 1 día,1.000 km,34300000
Chevrolet,Tracker,2024,Ltz 1.2n Turbo Autom,Gris,Nafta,5,Automática,1.2,SUV,Publicado hace 1 día,1.000 km,31600000
Chevrolet,Tracker,2024,Ltz 1.2n Turbo Autom 2025,Gris,Nafta,5,Automática,1.2,SUV,Publicado hace 1 día,1.000 km,31600000
Chevrolet,Tracker,2021,1.2 Ltz Turbo At,Blanco,Nafta,5,Automática,1.2,SUV,Publicado hace 1 día,65.000 km,21000
Chevrolet,Tracker,2023,1.2 Ltz Turbo At (lili),Azul,Nafta,5,Automática,1.2,SUV,Publicado hace 2 días,33.000 km,27900000
Chevrolet,Tracker,2021,Ltz 2021 1.2 At Smart Garage,Gris,Nafta,5,Automática,1.2,SUV,Publicado hace 5 días,62.000 km,22800
Chevrolet,Tracker,2022,1.2 Premier Turbo At (fran),Plateado,Nafta,5,Automática,1.2,SUV,Publicado hace 5 días,34.000 km,29300000
Chevrolet,Tracker,2015,1.8 Ltz+ Awd At 140cv,Negro,Nafta,5,Automática,1.8,SUV,Publicado hace 7 días,95.000 km,9798990
Chevrolet,Tracker,2015,1.8 Ltz+ Awd At 140cv,Negro,Nafta,5,Automática,1.8,SUV,Publicado hace 7 días,95.000 km,16989900
Chevrolet,Tracker,2015,1.8 Ltz Fwd Mt 140cv,Negro,Nafta,5,Manual,1.8,SUV,Publicado hace 10 días,99.849 km,17250000
Chevrolet,Tracker,2016,1.8 Ltz+ Awd At 140cv Nospin An,Azul,Nafta,5,Automática,1.8,SUV,Publicado hace 10 días,110.000 km,18500000
Chevrolet,Tracker,2023,1.2 Ltz Turbo At 44.000km 2023 (fran),Azul,Nafta,5,Automática,1.2,SUV,Publicado hace 11 días,44.000 km,27900000
Chevrolet,Tracker,2021,1.2 Ltz Turbo At,Dorado,Nafta,5,Automática,1.2,SUV,Publicado hace 12 días,43.468 km,26500000
Chevrolet,Tracker,2021,1.2 Ltz Turbo At,Dorado,Nafta,5,Automática,1.2,SUV,Publicado hace 12 días,43.468 km,26500000
Chevrolet,Tracker,2018,1.8 Ltz 140cv Ugarcia,Blanco,Nafta,5,Automática,1.8,SUV,Publicado hace 14 días,101.600 km,18500000
Chevrolet,Tracker,2017,1.8 Ltz Fwd Mt 140cv Nueva Precio,Gris,Nafta,5,Manual,1.8,SUV,Publicado hace 15 días,72.000 km,14800
Chevrolet,Tracker,2021,1.2 Turbo Premier At,Plateado,Nafta,5,Automática,1.2,SUV,Publicado hace 19 días,65.177 km,27900000
Chevrolet,Tracker,2024,1.2t At,Plateado,Nafta,5,Automática,1.2,SUV,Publicado hace 26 días,16.666 km,29300000
Chevrolet,Tracker,2017,1.8 Ltz 140cv 2017 103.622km,Rojo,Nafta,5,Manual,1.8,SUV,Publicado hace 28 días,103.622 km,18900000
Chevrolet,Tracker,2016,1.8 Ltz+ Awd At 140cv,Blanco,Nafta,5,Automática,1.8,SUV,Publicado hace 47 días,78.490 km,18600000
Chevrolet,Tracker,2023,1.2 Turbo Mt Argentina,Azul,Nafta,5,Manual,1.2,SUV,Publicado hace 55 días,15.000 km,26900000
Chevrolet,Tracker,2021,1.2 Premier Turbo At,Rojo,Nafta,5,Automática,1.2,SUV,Publicado hace 2 meses,98.648 km,26500000
Chevrolet,Tracker,2017,1.8 Ltz+ 140cv,Gris,Nafta,5,Automática,1.8,SUV,Publicado hace 3 meses,120.000 km,21500000
Chevrolet,Tracker,2022,"5 Puertas 1,2 T Mt 2022",Plateado,Nafta,5,Manual,1.2,SUV,Publicado hace 5 meses,58.464 km,24000000
Chevrolet,Tracker,2021,"5 Puertas 1,2 T 6at Premier 2021",Rojo,Nafta,5,Automática,1.2,SUV,Publicado hace 7 meses,30.569 km,31900000
Chevrolet,Tracker,2021,"5 Puertas 1,2 T At Premier 2021",Rojo,Nafta,5,Automática,1.2,SUV,Publicado hace 7 meses,33.675 km,32018000
Chevrolet,Tracker,2024,At 2025,Negro,Nafta,5,Automática,1.2,SUV,Publicado hace 1 día,1.000 km,27520000
Chevrolet,Tracker,2024,Ltz 1.2t At,Blanco,Nafta,5,Automática,1.2,SUV,Publicado hace 1 día,1.000 km,32070000
Chevrolet,Tracker,2024,At,Negro,Nafta,5,Automática,1.2,SUV,Publicado hace 1 día,1.000 km,27519549
Chevrolet,Tracker,2024,Ltz 1.2t At,Blanco,Nafta,5,Automática,1.2,SUV,Publicado hace 1 día,1.000 km,33095000
Chevrolet,Tracker,2024,At 1.2t D.m///////2024,Negro,Nafta,5,Automática,1.2,SUV,Publicado hace 1 día,1.000 km,27520000
Chevrolet,Tracker,2024,Ltz 1.2t At,Blanco,Nafta,5,Automática,1.2,SUV,Publicado hace 1 día,1.000 km,33095000
Chevrolet,Tracker,2024,Ltz 1.2t 2024-----,Gris,Nafta,5,Automática,1.2,SUV,Publicado hace 1 día,1.000 km,33095000
Chevrolet,Tracker,2024,At 1.2t D.m///////2024,Negro,Nafta,5,Automática,1.2,SUV,Publicado hace 1 día,1.000 km,27807000
Chevrolet,Tracker,2024,Ltz 1.2t W.c,Gris,Nafta,5,Automática,1.2,SUV,Publicado hace 1 día,1.000 km,33095000
Chevrolet,Tracker,2024,Premier 2024[[[[[[[,Azul,Nafta,5,Automática,1.2,SUV,Publicado hace 1 día,1.000 km,36500000
Chevrolet,Tracker,2024,1.2t Rs 2025,Blanco,Nafta,5,Automática,1.2,SUV,Publicado hace 1 día,1.000 km,32800000
Chevrolet,Tracker,2023,1.2 Turbo Premier At Ae,Negro,Nafta,5,Automática,1.2,SUV,Publicado hace 1 día,17.600 km,30500000
Chevrolet,Tracker,2021,1.2 Ltz Turbo At,Rojo,Nafta,5,Automática,1.2,SUV,Publicado hace 12 días,43.468 km,26500000
Chevrolet,Tracker,2016,1.8 Ltz Fwd Mt 140cv,Azul,Nafta,5,Manual,1.8,SUV,Publicado hace 34 días,73.000 km,15000
Chevrolet,Tracker,2023,1.2 Turbo At,Gris,Nafta,5,Automática,1.2,SUV,Publicado hace 41 días,36.028 km,24800
