Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Citroën,berlingo-furgon,2024,Furgon 1.6 Vti 115 Business // Forcammo,Blanco,Nafta,3,Manual,1.6,Furgón,Publicado hace 6 días,22.000 km,24000000
Citroën,berlingo-furgon,2023,Furgon 1.6 Bussines Hdi 92cv,Blanco,Diésel,3,Manual,1.6,Furgón,Publicado hace 22 días,115.000 km,21500000
Citroën,berlingo-furgon,2020,Furgon 1.6 Vti 115 Business,Blanco,Nafta/GNC,3,Manual,1.6,Furgón,Publicado hace 15 días,89.000 km,8757899
Citroën,Citroen,2017,Berlingo Furgon Hdi Año 2017 Con 68.000 Km,Rojo,Diésel,3,Manual,1.6,Furgón,Publicado hace 4 meses,68.000 km,13500
Citroën,berlingo-furgon,2015,Furgon 1.6 Hdi Business Mixto,Blanco,Diésel,3,Manual,1.6,Furgón,Publicado hace 7 meses,180.000 km,13000000
Citroën,berlingo-furgon,2019,Furgon 1.6 Hdi 92 Bussines,Blanco,Diésel,3,Manual,1.6,Furgón,Publicado hace 20 días,160.000 km,15950000
Citroën,berlingo-furgon,2023,Furgon 1.6 Vti 115 Business La Plata 349,Blanco,Nafta,3,Manual,1.6,Furgón,Publicado hace 49 días,35.095 km,19996000
Citroën,berlingo-furgon,2021,Furgon 1.6 Hdi 92 Bussines 2021 Lesbleus,Blanco,Diésel,3,Manual,1.6,Furgón,Publicado hace 14 días,160.000 km,15900
Citroën,berlingo-furgon,2012,Hdi 1.6 Diesel Turbo,Blanco,Diésel,3,Manual,1.6 hdi,Furgón,Publicado hace 28 días,140.000 km,11500000
Citroën,Citroën,2022,Berlingo Furgon 1.6 Vti 115 Business,Blanco,Nafta,3,Manual,1.6,Furgón,Publicado hace 54 días,61.929 km,19500000
Citroën,berlingo-furgon,2024,Furgon 1.6 Vti 115 Business,Blanco,Nafta/GNC,3,Manual,1.6,Furgón,Publicado hace 37 días,23.000 km,25000000
Citroën,berlingo-furgon,2006,Furgon 1.9 Dplc,Blanco,Diésel,3,Manual,1.9,Furgón,Publicado hace 1 día,275.000 km,6800000
Citroën,berlingo-furgon,2023,Furgon 1.6 Bussines Hdi 92cv,Blanco,Diésel,3,Manual,1.6,Furgón,Publicado hace 2 meses,54.000 km,22000000
Citroën,berlingo-furgon,2020,Furgon 2020 1.6 Hdi 92 Bussines,No disponible,Diésel,3,Manual,1.6,Furgón,Publicado hace 7 meses,90.000 km,17500000
Citroën,berlingo-furgon,2013,Furgon 1.6 Hdi 92cv,Blanco,Diésel,3,Manual,1.6,Furgón,Publicado hace 9 días,168.000 km,11900000
Citroën,berlingo-furgon,2022,Furgon 1.6 Hdi 92 Bussines,Blanco,Diésel,3,Manual,1.6,Furgón,Publicado hace 2 meses,58.000 km,19000000
Citroën,berlingo-furgon,2012,Furgon 1.6 Pack Plc Hdi 92cv Am53,Blanco,Diésel,3,Manual,1.6,Furgón,Publicado hace 27 días,145.000 km,12000000
Citroën,berlingo-furgon,2013,Furgon 2013 1.4 Pack 75cv Am53,No disponible,Nafta,3,Manual,1.4,Furgón,Publicado hace 6 meses,96.000 km,11000
Citroën,berlingo-furgon,2012,Furgon 1.6 Hdi 92cv Pack Seguridad,Marrón,Diésel,3,Manual,1.6,Furgón,Publicado hace 6 días,140.000 km,9300000
Citroën,berlingo-furgon,2021,Furgon 1.6 Vti 115 Business,Blanco,Nafta,3,Manual,1.6,Furgón,Publicado hace 37 días,60.000 km,18500000
Citroën,berlingo-furgon,2021,Furgon 1.6 Bussines Hdi 92cv Am54,Blanco,Diésel,3,Manual,1.6,Furgón,Publicado hace 14 días,86.000 km,18000000
Citroën,berlingo-furgon,2016,Furgon 1.6 Hdi Business 2016 - Primera Mano,Gris,Diésel,5,Manual,1.6,Furgón,Publicado hace 11 meses,204.800 km,14700000
Citroën,berlingo-furgon,2015,Furgon 1.4 Bussines 75cv Am54,Blanco,Nafta,3,Manual,1.4,Furgón,Publicado hace 4 meses,114.000 km,13500000
Citroën,berlingo-furgon,2015,Furgon 1.6 Hdi 92 Bussines,Blanco,Diésel,3,Manual,1.6,Furgón,Publicado hace 7 días,145.000 km,10900
Citroën,berlingo-furgon,2023,Furgon,Blanco,Nafta,5,Manual,1.6,Furgón,Publicado hace 2 meses,25.000 km,18500
Citroën,berlingo-furgon,2013,Furgon 2013 1plc Nafta 1.4 Aire Y Dirección,Gris,Nafta,4,Manual,1.4,Furgón,Publicado hace 2 meses,114.000 km,10900
Citroën,berlingo-furgon,2016,1.4 Bussines 75cv,Blanco,Nafta,3,Manual,1.4,Furgón,Publicado hace 7 meses,175.000 km,10500
Citroën,berlingo-furgon,2017,Furgon 1.6 Bussines Hdi 92cv Am54,Blanco,Diésel,3,Manual,1.6,Furgón,Publicado hace 15 días,133.000 km,10500
Citroën,berlingo-furgon,2017,Furgon 1.6 Hdi 92 Bussines Mixto,Blanco,Diésel,3,Manual,1.6,Furgón,Publicado hace 12 días,162.000 km,13500
Citroën,berlingo-furgon,2024,Furgon 1.6 Vti 115 Business,Blanco,Nafta,3,Manual,1.6,Furgón,Publicado hace 43 días,20.000 km,21500000
Citroën,berlingo-furgon,2015,Furgon 1.6 Hdi 92 Bussines Mixto,Gris,Diésel,3,Manual,1.6,Furgón,Publicado hace 2 meses,290.000 km,5500000
Citroën,berlingo-furgon,2016,Furgon 1.6 Hdi 92 Bussines Mixto,Blanco,Diésel,3,Manual,1.6,Furgón,Publicado hace 3 días,114.100 km,15250000
Citroën,berlingo-furgon,2018,Furgon 1.6 Hdi 92 Bussines,Blanco,Diésel,3,Manual,1.6,Furgón,Publicado hace 20 días,81.000 km,18600000
Citroën,berlingo-furgon,2010,Furgon 1.6 Hdi Am52,Blanco,Diésel,3,Manual,1.6,Furgón,Publicado hace 58 días,153.500 km,6900
Citroën,berlingo-furgon,2018,Furgon 1.6 Hdi 92 Bussines Mixto,Gris,Diésel,3,Manual,1.6,Furgón,Publicado hace 4 días,190.000 km,15300000
Citroën,berlingo-furgon,2017,Furgon 1.4 Bussines 75cv,Plateado,Nafta,3,Manual,1.4,Furgón,Publicado hace 10 días,106.000 km,14000
Citroën,berlingo-furgon,2016,Furgon 1.4 Bussines 75cv Am54,Plateado,Nafta,3,Manual,1.4,Furgón,Publicado hace 18 días,185.000 km,14800000
Citroën,berlingo-furgon,2010,Furgon 1.6 Hdi Am52,Blanco,Diésel,3,Manual,1.6,Furgón,Publicado hace 20 días,188.000 km,9890000
Citroën,berlingo-furgon,2016,Furgon 1.6 Hdi 92 Bussines,Gris,Diésel,3,Manual,1.6,Furgón,Publicado hace 22 días,137.000 km,11000
Citroën,berlingo-furgon,2013,Furgon 1.6 Hdi 92cv Am53,Blanco,Diésel,3,Manual,1.6,Furgón,Publicado hace 41 días,206.000 km,8500
Citroën,berlingo-furgon,2012,Furgon 1.6 Hdi 92cv Am53,Blanco,Diésel,3,Manual,1.6,Furgón,Publicado hace 3 meses,200.000 km,15000
Citroën,berlingo-furgon,2016,1.6 Hdi Business,Blanco,Híbrido/Diesel,3,Manual,1.4,Furgón,Publicado hace 6 meses,138.000 km,11200
Citroën,berlingo-furgon,2013,Furgon 1.6 Pack Hdi 92cv Am53,Blanco,Diésel,3,Manual,1.6,Furgón,Publicado hace 2 meses,150.000 km,10400000
Citroën,berlingo-furgon,2023,Furgon 1.6 Bussines Hdi 92cv Am54,Blanco,Diésel,3,Manual,1.6,Furgón,Publicado hace 3 meses,31.300 km,23570000
Citroën,berlingo-furgon,2016,Furgon 1.4 Bussines 75cv,Blanco,Nafta,3,Manual,1.4,Furgón,Publicado hace 2 días,120.000 km,16000000
Citroën,berlingo-furgon,2010,Furgon 1.9 D,Blanco,Diésel,3,Manual,1.9,Furgón,Publicado hace 59 días,171.677 km,9500
Citroën,berlingo-furgon,2015,Furgon 1.6 Hdi 92 Bussines,Blanco,Diésel,3,Manual,1.6,Furgón,Publicado hace 3 meses,95.000 km,15600000
Citroën,berlingo-furgon,2015,Unica!!!!!vendo Permuto Auto Moto,Blanco,Nafta,3,Manual,1.4,Furgón,Publicado hace 49 días,121.000 km,13300000
Citroën,berlingo-furgon,2015,Unica!!!!!vendo Permuto Auto Moto,Blanco,Nafta,3,Manual,1.4,Furgón,Publicado hace 49 días,121.000 km,13300000
Citroën,berlingo-furgon,2013,Furgon 1.6 Hdi 92cv Am53,Blanco,Diésel,3,Manual,1.6,Furgón,Publicado hace 16 días,231.631 km,11000000
Citroën,berlingo-furgon,2013,Furgon 1.6 Hdi 92cv Am53,Plateado,Diésel,3,Manual,1.6,Furgón,Publicado hace 39 días,254.997 km,10500000
Citroën,berlingo-furgon,2012,1.6 Hdil 2012,Rojo,Diésel,4,Manual,1.6,Furgón,Publicado hace 5 meses,220.000 km,10100000
Citroën,berlingo-furgon,2018,Furgon 1.6 Hdi 92 Bussines,Blanco,Diésel,4,Manual,hdi,No disponible,Publicado hace 29 días,123.000 km,17900000
Citroën,berlingo-furgon,2014,Furgon,Blanco,Nafta,3,Manual,1.4,No disponible,Publicado hace 31 días,232.934 km,9500000
Citroën,berlingo-furgon,2017,Furgon 1.6 Hdi 92 Bussines Mixto,Blanco,Diésel,3,Manual,1.6,Furgón,Publicado hace 6 días,80.000 km,17000000
Citroën,berlingo-furgon,2018,Furgon 1.6 Hdi 92 Bussines Mixto,Blanco,Diésel,3,Manual,1.6,Furgón,Publicado hace 20 días,74.000 km,18000000
Citroën,berlingo-furgon,2018,Furgon 1.6 Bussines Hdi 92cv Am54,Blanco,Diésel,3,Manual,1.6,Furgón,Publicado hace 53 días,89.000 km,13800
Citroën,berlingo-furgon,2016,Furgon 1.6 Hdi 92 Bussines,Blanco,Diésel,3,Manual,1.6,Furgón,Publicado hace 4 días,107.000 km,12900
Citroën,berlingo-furgon,2023,Furgon 1.6 Bussines Hdi 92cv Am54,Blanco,Diésel,3,Manual,1.6,Furgón,Publicado hace 26 días,64.000 km,21000000
Citroën,berlingo-furgon,2018,Furgon 1.6 Hdi 92 Bussines,Plateado,Diésel,3,Manual,1.6,Furgón,Publicado hace 3 meses,113.700 km,16500000
Citroën,berlingo-furgon,2017,Furgon 1.6 Bussines Hdi Lineaautomotor,Blanco,Diésel,3,Manual,1.6,Furgón,Publicado hace 18 días,145.000 km,13500
Citroën,berlingo-furgon,2019,Furgon 1.6 Vti 115 Business Mixto,Blanco,Nafta,3,Manual,1.6,Furgón,Publicado hace 40 días,75.000 km,13700
Citroën,berlingo-furgon,2023,Furgon 1.6 Vti 115 Business,Blanco,Nafta,3,Manual,1.6,Furgón,Publicado hace 3 días,25.000 km,17500
Citroën,berlingo-furgon,2023,Furgon 1.6 Hdi 92 Bussines,Blanco,Diésel,3,Manual,1.6,Furgón,Publicado hace 7 días,20.000 km,19500
Citroën,berlingo-furgon,2022,Furgon 1.6 Vti 115 Business Mixto,Blanco,Nafta,3,Manual,1.6,Furgón,Publicado hace 7 días,30.000 km,17500
Citroën,berlingo-furgon,2021,Furgón 1.6 Vti 115 Business Am20,Blanco,Nafta,2,Manual,1.6,Furgón,Publicado hace 8 días,39.329 km,21000000
Citroën,berlingo-furgon,2017,Furgon 1.6 Hdi 92 Bussines Mixto,Gris,Diésel,3,Manual,1.6,Furgón,Publicado hace 15 días,168.500 km,15550000
Citroën,berlingo-furgon,2021,Furgon 1.6 Vti 115 Business,Blanco,Nafta,3,Manual,1.6,Furgón,Publicado hace 3 días,72.000 km,18500000
Citroën,berlingo-furgon,2015,Furgon 1.4 Bussines 75cv Mixto,Blanco,Nafta,3,Manual,1.4,Furgón,Publicado hace 7 días,133.000 km,9900
Citroën,berlingo-furgon,2020,Furgon 1.6 Hdi 92 Bussines,Gris,Diésel,3,Manual,1.6,Furgón,Publicado hace 15 días,72.000 km,18000000
Citroën,berlingo-furgon,2016,Furgon 1.6 Hdi 92 Bussines Mixto,Blanco,Diésel,3,Manual,1.6,Furgón,Publicado hace 36 días,201.408 km,13000000
Citroën,berlingo-furgon,2018,Furgon 1.6 Bussines Hdi 92cv Am54,Blanco,Diésel,3,Manual,1.6,Furgón,Publicado hace 3 meses,115.000 km,15500000
Citroën,berlingo-furgon,2017,Sx Multispace 1.6 Hdi,Blanco,Diésel,3,Manual,1.6,Furgón,Publicado hace 5 meses,100.000 km,12500
Citroën,berlingo-furgon,2023,Furgon 1.6 Vti 115 Business La Plata 803,Blanco,Nafta,3,Manual,1.6,Furgón,Publicado hace 1 día,40.579 km,19793000
Citroën,berlingo-furgon,2022,Furgon 1.6 Vti 115 Business La Plata 520po,Blanco,Nafta,3,Manual,1.6,Furgón,Publicado hace 46 días,45.166 km,19590000
Citroën,berlingo-furgon,2014,Furgon 1.4 Bussines 75cv,Blanco,Nafta/GNC,3,Manual,1.4,Furgón,Publicado hace 48 días,237.000 km,14899000
Citroën,berlingo-furgon,2020,Furgon 1.6 Hdi 92 Bussines Mixto,Blanco,Diésel,5,Manual,1.6,Furgón,Publicado hace 59 días,70.000 km,19500000
Citroën,berlingo-furgon,2022,Furgon 1.6 Bussines Hdi 92cv Am54,Blanco,Diésel,3,Manual,1.6,Furgón,Publicado hace 17 días,65.000 km,18250000
Citroën,berlingo-furgon,2017,Furgon 1.4 Bussines 75cv Am54,Blanco,Nafta,3,Manual,1.4,Furgón,Publicado hace 14 días,142.000 km,13900000
Citroën,berlingo-furgon,2024,Furgon 1.6 Vti 115 Business,Blanco,Nafta,3,Manual,1.6,Furgón,Publicado hace 2 meses,1.000 km,22500
Citroën,berlingo-furgon,2014,Furgon 1.4 Bussines 2014,Blanco,Nafta,3,Manual,1.4,Furgón,Publicado hace 5 meses,92.000 km,11500000
Citroën,berlingo-furgon,2017,Furgon 1.6 Bussines Hdi 92cv Am54,Blanco,Diésel,3,Manual,1.6,Furgón,Publicado hace 44 días,130.000 km,13200
