Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Citroën,c3-aircross,2018,Aircross 1.6 Vti 115 Feel At6,Plateado,Nafta,5,Automática,1.6,Hatchback,Publicado hace 1 día,83.000 km,17890900
Citroën,Usados,2012,Citroen C3 Aircross 2012 Ford Chevrolet Renault,Negro,Nafta,5,Manual,1.6,Hatchback,Publicado hace 4 días,129.000 km,8510000
Citroën,c3-aircross,2017,Aircross 1.6 Vti 115 Shine Kicks 2008 Pulse,Rojo,Nafta,5,Manual,1.6,Hatchback,Publicado hace 11 días,70.000 km,16000000
Citroën,c3-aircross,2011,Aircross 1.6 16v Sx,Negro,Nafta,5,Manual,1.6,Hatchback,Publicado hace 11 días,108.000 km,11800000
Citroën,c3-aircross,2015,Aircross 1.6 Vti 115 Tendance,Plateado,Nafta,5,Manual,1.6,Hatchback,Publicado hace 26 días,75.000 km,14790900
Citroën,c3-aircross,2024,Aircross 1.0 Shine Turbo 200 Cvt Bitono 7as,Blanco,Nafta,5,Automática,1.0,SUV,Publicado hace 38 días,20.000 km,30900000
Citroën,c3-aircross,2013,Aircross 1.6 16v Sx High Tech,Marrón,Nafta,5,Manual,1.6,Hatchback,Publicado hace 38 días,148.000 km,9500
Citroën,c3-aircross,2013,Aircross 1.6 16v Sx High Tech - Liv Motors,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 42 días,123.000 km,9500
Citroën,c3-aircross,2019,Aircross 1.6 Vti 115 Feel,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 54 días,79.076 km,17300000
Citroën,c3-aircross,2012,Aircross 1.6 16v Exclusive,Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 6 días,106.548 km,13550000
Citroën,c3-aircross,2012,Aircross 1.6 16v Sx,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 7 días,116.000 km,13000000
Citroën,c3-aircross,2021,Aircross 1.6 Vti 115 Feel,Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 41 días,45.355 km,20400000
Citroën,c3-aircross,2020,Aircross 1.6 Vti 115 Feel,Rojo,Nafta,5,Manual,1.6,Hatchback,Publicado hace 46 días,50.900 km,16300
