Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Citroën,Camionetas,2011,Usados Citroën C3 Picasso 2011 Chevrolet,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 4 días,160.000 km,7680000
Citroën,c3-picasso,2013,Picasso 1.6 Exclusive 110cv,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 35 días,77.000 km,7500000
Citroën,c3-picasso,2013,Picasso 1.6 16v Sx,Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 44 días,115.000 km,11000000
Citroën,c3-picasso,2014,Picasso 1.6 Vti 115 Tendance,Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 53 días,100.000 km,8900
Citroën,c3-picasso,2014,Picasso 1.6 Exclusive 115cv,Plateado,Nafta,5,Manual,1.6,Hatchback,Publicado hace 15 días,125.000 km,5300000
Citroën,c3-picasso,2013,Picasso 1.6 16v Sx,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 34 días,95.000 km,11500000
Citroën,c3-picasso,2015,Picasso 1.6 Tendance 115cv,Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 12 días,149.000 km,12500000
Citroën,c3-picasso,2013,Picasso 1.6 Exclusive 110cv,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 3 días,125.000 km,12551000
Citroën,c3-picasso,2015,Picasso 1.6 Vti 115 Tendance Kb,Plateado,Nafta,5,Manual,1.6,Hatchback,Publicado hace 47 días,97.417 km,14000000
Citroën,c3-picasso,2013,Picasso 1.6 Exclusive 110cv,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 40 días,80.000 km,4000
Citroën,c3-picasso,2013,Picasso 1.6 Sx 110cv Lp,Negro,Nafta,5,Manual,1.6,Hatchback,Publicado hace 21 días,151.000 km,11200000
Citroën,c3-picasso,2013,Picasso 1.6 Exclusive 110cv,Negro,Nafta,5,Manual,1.6,Hatchback,Publicado hace 21 días,150.000 km,11700000
Citroën,c3-picasso,2014,Picasso 1.6 Tendance 115cv,Negro,Nafta,5,Manual,1.6,Hatchback,Publicado hace 4 días,109.000 km,10890
Citroën,c3-picasso,2015,Picasso 1.6 Exclusive 115cv Pack My Way,Rojo,Nafta,5,Manual,1.6,Hatchback,Publicado hace 3 meses,116.000 km,14000
Citroën,c3-picasso,2013,Picasso 1.6 Exclusive 110cv,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 22 días,136.000 km,13200000
Citroën,c3-picasso,2012,Picasso 1.6 Exclusive 110cv,Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 8 días,135.000 km,7800
Citroën,c3-picasso,2013,Picasso 1.6 Exclusive 115cv,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 4 meses,146.000 km,9500
Citroën,c3-picasso,2014,Picasso 1.6 Exclusive - Año 2014 - Pack My Way,Negro,Nafta,5,Manual,1.6,Hatchback,Publicado hace 42 días,115.000 km,9990
Citroën,c3-picasso,2013,Picasso 1.6 Exclusive Vti 115cv Pack,Negro,Nafta,5,Manual,1.6,Hatchback,Publicado hace 27 días,102.000 km,9700
Citroën,c3-picasso,2014,Picasso 1.6 Exclusive 115cv Pack My Way,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 3 meses,115.000 km,12000
Citroën,c3-picasso,2014,Picasso,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 35 días,133.000 km,12050000
Citroën,c3-picasso,2011,Picasso 1.6 Exclusive 110cv,Negro,Nafta,5,Manual,1.6,Hatchback,Publicado hace 8 días,107.000 km,12900000
Citroën,c3-picasso,2012,Picasso 1.6 Exclusive 110cv - Único Dueño,Plateado,Nafta,5,Manual,1.6,Hatchback,Publicado hace 13 días,138.000 km,10900000
Citroën,c3-picasso,2013,Picasso 1.6 Exclusive Vti 115cv Pack,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 17 días,84.000 km,11500000
Citroën,c3-picasso,2012,Picasso 1.6 16v Sx,Negro,Nafta,5,Manual,1.6,Hatchback,Publicado hace 3 meses,125.000 km,8500
Citroën,c3-picasso,2012,Picasso 1.6 Sx 110cv,Blanco,Nafta/GNC,5,Manual,1.6,Hatchback,Publicado hace 1 día,182.000 km,11000000
Citroën,c3-picasso,2012,Picasso 1.6 Exclusive 110cv Pack My Way,Negro,Nafta,5,Manual,1.6,Hatchback,Publicado hace 2 meses,214.000 km,8500
Citroën,c3-picasso,2014,Picasso 2014 1.6 Tendance 115cv,No disponible,Nafta,5,Manual,1.6,Hatchback,Publicado hace 6 meses,90.000 km,12000000
Citroën,c3-picasso,2011,Picasso 1.6 16v,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 34 días,133.000 km,9200
Citroën,c3-picasso,2012,Picasso 1.6 16v Sx,Plateado,Nafta,5,Manual,1.6,Hatchback,Publicado hace 3 meses,100.000 km,10500000
Citroën,c3-picasso,2014,Picasso 2014 1.6 Exclusive 115cv,No disponible,Nafta,5,Manual,1.6,Hatchback,Publicado hace 5 meses,101.000 km,11800000
Citroën,c3-picasso,2013,Picasso 1.6 Exclusive Vti 115cv,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 16 días,170.000 km,12200000
Citroën,c3-picasso,2013,Picasso 1.6 Exclusive 110cv,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 6 días,96.000 km,11000
Citroën,c3-picasso,2013,Picasso 1.6 16v Sx,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 3 meses,110.000 km,8300
Citroën,c3-picasso,2012,Picasso 1.6 Exclusive 110cv,Plateado,Nafta,5,Manual,1.6,Hatchback,Publicado hace 5 meses,85.000 km,12000000
Citroën,Picasso,2014,Ojz269,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 6 meses,160.000 km,14180000
Citroën,c3-picasso,2015,Picasso 1.6i 16v Exclusive Pack My Way,Rojo,Híbrido,4,Manual,1,Hatchback,Publicado hace 6 días,75.235 km,13470000
Citroën,c3-picasso,2015,Picasso 1.6 Vti 115 Tendance 2015,Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 31 días,99.000 km,10900
