Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Citroën,C3,2020,1.6 Vti 115 Feel,Rojo,Nafta,5,Manual,1.6,Hatchback,Publicado hace 1 día,107.000 km,17100000
Citroën,C3,2020,1.6 Vti 115 Feel T,Rojo,Nafta,5,Manual,1.6,Hatchback,Publicado hace 1 día,107.000 km,17400000
Citroën,C3,2015,1.5 I 90cv Tendance Pack Secure (208 Etios Clio ),Blanco,Nafta,5,Manual,1.5,Hatchback,Publicado hace 3 días,149.000 km,9699
Citroën,Usados,2018,Citroen C3 Vti Feel 2018 Chevrolet Fiat Renault,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 4 días,75.000 km,8540000
Citroën,C3,2020,1.6 Vti 115 Live,Negro,Nafta,5,Manual,1.6,Hatchback,Publicado hace 6 días,25.297 km,17000000
Citroën,C3,2024,1.6 16v Vti 115 Feel Pack At,Gris,Nafta,5,Automática,1.6,Hatchback,Publicado hace 10 días,14.000 km,25900000
Citroën,C3,2024,1.6 16v Vti 115 Feel Pack At,Gris,Nafta,5,Automática,1.6,Hatchback,Publicado hace 10 días,9.000 km,26500000
Citroën,C3,2016,1.6 Vti 115 Shine,Rojo,Nafta,5,Manual,1.6,Hatchback,Publicado hace 13 días,87.000 km,14990000
Citroën,C3,2019,1.6 Vti 115 Urban Trail,Marrón,Nafta,5,Manual,1.6,Hatchback,Publicado hace 14 días,108.000 km,14500
Citroën,C3,2018,1.6 Vti Infinit,Plateado,Nafta,5,Automática,1.6,Hatchback,Publicado hace 21 días,79.000 km,16200000
Citroën,C3,2014,1.5 I 90cv Tendance Pack Secure,Azul,Nafta,5,Manual,1.5,Hatchback,Publicado hace 24 días,52.801 km,13200000
Citroën,C3,2019,1.6 Vti 115 At6 Feel,Marrón,Nafta,5,Automática,1.6,Hatchback,Publicado hace 27 días,41.000 km,13999
Citroën,C3,2021,1.6 Vti 115 Feel,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 38 días,49.879 km,18900000
Citroën,C3,2020,1.6 Vti 115 At6 Feel,Marrón,Nafta,5,Automática,1.6,Hatchback,Publicado hace 2 meses,81.800 km,16300000
Citroën,C3,2019,1.6 Vti 115 Urban Trail,Marrón,Nafta,5,Manual,1.6,Hatchback,Publicado hace 14 días,44.000 km,18000000
Citroën,C3,2014,1.6 Exclusive Pack Myway Vti 115cv,Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 26 días,75.000 km,11900
Citroën,C3,2016,1.5 Feel 90cv,Gris,Nafta,5,Manual,1.5,Hatchback,Publicado hace 2 meses,125.000 km,9500
Citroën,C3,2016,1.6 Vti 115 Shine 2016 Leerdescr(eso),Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 14 días,97.538 km,9935000
Citroën,C3,2014,1.5 Origine Pack Zenith I 90cv,Blanco,Nafta,5,Manual,1.5,Hatchback,Publicado hace 12 días,129.000 km,12000000
Citroën,C3,2024,Automa. Nuevo Bi-color,Blanco,Nafta,5,Automática,1.6,Hatchback,Publicado hace 32 días,3.000 km,7200
Citroën,C3,2017,1.6 Vti 115 Shine,Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 41 días,45.000 km,16900000
Citroën,C3,2007,1.6 Exclusive L03,Gris,Nafta,5,Manual,INYECCION MULTI PUNTO,Hatchback,Publicado hace 8 días,198.000 km,10000000
Citroën,C3,2014,1.6 Exclusive Vti 115cv,Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 21 días,165.000 km,10400
Citroën,C3,2013,1.5 Tendance Pack Secure I 90cv,Rojo,Nafta,5,Manual,1.5,Hatchback,Publicado hace 48 días,108.000 km,8900
Citroën,C3,2018,1.6 Vti 115 Feel,Rojo,Nafta,5,Manual,1.6,Hatchback,Publicado hace 50 días,53.000 km,17500000
Citroën,C3,2017,1.6 Vti 115 Feel,Marrón,Nafta,5,Manual,1.6,Hatchback,Publicado hace 3 meses,101.000 km,15000000
Citroën,C3,2018,1.6 Vti 115 At6 Shine,Gris,Nafta,5,Automática,1.6,Hatchback,Publicado hace 5 meses,90.000 km,14500
Citroën,"1,6",2018,115cv Vti Urban Trail Automatica De 6 Marchas,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 1 año,59.637 km,18200000
Citroën,C3,2018,1.6 Vti 115 Feel Carwestcaba,Plateado,Nafta,5,Manual,1.6,Hatchback,Publicado hace 1 día,107.250 km,15800000
Citroën,C3,2018,1.6 Vti 115 Feel,Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 6 días,105.000 km,9000000
Citroën,C3,2019,1.5 Feel 90cv,Rojo,Nafta,5,Manual,1.5,Hatchback,Publicado hace 7 días,98.000 km,17000000
Citroën,C3,2018,1.6 Vti 115 At6 Feel,Blanco,Nafta,5,Automática,1.6,Hatchback,Publicado hace 12 días,100.000 km,9000000
Citroën,C3,2016,1.6 Shine 2016 Unico Dueño (eo),Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 13 días,97.000 km,9935000
Citroën,C3,2016,1.5 Feel 90cv,Negro,Nafta,5,Manual,1.5,Hatchback,Publicado hace 2 meses,75.000 km,15490000
Citroën,C3,2018,1.6 Vti 115 Live,Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 2 meses,66.000 km,16750000
Citroën,C,2012,3 1.6 Vti Exclusive 2012 Rpm Moviles,Rojo,Nafta,5,Manual,1.5,Hatchback,Publicado hace 10 días,125.000 km,8900
Citroën,C3,2006,1.6 I Exclusive,Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 25 días,172.000 km,6100
Citroën,C3,2014,1.5 I 90cv Tendance Pack Secure,Rojo,Nafta,5,Manual,1.5,Hatchback,Publicado hace 25 días,78.500 km,12500
Citroën,C3,2018,1.6 Vti 115 Live,Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 3 meses,113.000 km,13900000
Citroën,C3,2016,1.6 Vti 115 Feel,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 6 meses,130.000 km,14500000
Citroën,C3,2015,1.5 Tendance Pack Secure I 90cv,Gris,Nafta,5,Manual,1.5,Hatchback,Publicado hace 14 días,88.000 km,12900000
Citroën,C3,2018,1.6 Vti 115 Feel,Marrón,Nafta,5,Manual,1.6,Hatchback,Publicado hace 28 días,83.000 km,16400000
Citroën,C3,2016,Aircross Feel Jj 1.6 2016,Blanco,Nafta,5,Manual,1.6,SUV,Publicado hace 31 días,211.000 km,13500000
Citroën,C3,2015,1.5 Tendance Pack Secure I 90cv,Gris,Nafta,5,Manual,1.5,Hatchback,Publicado hace 1 mes,120.000 km,7000000
Citroën,C3,2020,1.6 Vti 115 Live,Plateado,Nafta,5,Manual,1.6,Hatchback,Publicado hace 2 meses,69.990 km,15000
Citroën,C3,2024,1.6 16v Vti 115 Feel Pack,Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 2 meses,6.000 km,19200
Citroën,C3,2024,1.6 16v Vti 115 Feel Pack,Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 2 meses,6.000 km,19200
Citroën,C3,2015,1.5 Tendance Pack Secure I 90cv,Blanco,Nafta,5,Manual,1.5,Hatchback,Publicado hace 3 meses,112.000 km,9700
Citroën,C3,2011,1.4 I Sx Pack Premium Am74,Gris,Nafta,5,Manual,1.4,Hatchback,Publicado hace 6 meses,105.000 km,9500000
Citroën,C3,2016,1.6 Vti 115 Shine (jcf),Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 19 días,97.600 km,13800000
Citroën,C3,2016,1.6 Vti 115 Shine Conc Oficial Ver Descr (hp),Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 24 días,97.000 km,9800000
Citroën,Citroen,2007,C3 1.6x-tr LG,Plateado,Nafta,5,Manual,1.6,Hatchback,Publicado hace 31 días,178.900 km,10000000
Citroën,C3,2007,1.6 X-tr Lb,Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 32 días,179.000 km,10000000
