Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Citroën,c4-cactus,2024,Cactus 1.6 Vti 115 Feel At 2024,Blanco,Nafta,5,Automática,1.6,SUV,Publicado hace 1 día,22.000 km,23500
Citroën,c4-cactus,2018,Cactus 1.2 Puretech 110 At6 S&s Shine,Blanco,Nafta,5,Automática,1.2,SUV,Publicado hace 1 día,93.000 km,18980900
Citroën,c4-cactus,2018,Cactus 1.2 Puretech 110 At6 S&s Shine,Blanco,Nafta,5,Automática,1.2,SUV,Publicado hace 8 días,72.000 km,11234500
Citroën,c4-cactus,2018,Cactus 1.2 Puretech 110 At6 S&s Shine,Blanco,Nafta,5,Automática,1.2,SUV,Publicado hace 8 días,72.000 km,17989900
Citroën,Autofrance,2020,Citroën C4 Cactus 1.6 Vti 115 At6 Feel Pk,Blanco,Nafta,5,Automática,1.6,SUV,Publicado hace 10 días,59.700 km,21700000
Citroën,c4-cactus,2018,Cactus 1.2 Puretech 110 At6 S&s Shine (bruno M.),Rojo,Nafta,5,Automática,1.2,SUV,Publicado hace 36 días,60.000 km,16800000
Citroën,c4-cactus,2022,Cactus 1.6 Vti 115 Feel,Negro,Nafta,5,Manual,1.6,SUV,Publicado hace 40 días,44.600 km,20600
Citroën,Cactus,2021,Thp 165 Eat6 Shine Am21 Kicks Cross C3 Aircross,Negro,Nafta,5,Automática,1.6,SUV,Publicado hace 9 meses,95.000 km,21000000
Citroën,c4-cactus,2022,Cactus 1.6 Vti 115 At6 Feel Pk,Plateado,Nafta,5,Automática,1.6,SUV,Publicado hace 12 días,53.000 km,23900000
Citroën,c4-cactus,2020,Cactus 1.6 Vti 115 Feel Muy Buen Estado (ig),Negro,Nafta,5,Manual,1.6,SUV,Publicado hace 18 días,43.000 km,20200000
Citroën,c4-cactus,2021,Cactus 1.6 Thp 165 At6 Shine,Negro,Nafta,4,Automática,1.6,SUV,Publicado hace 25 días,95.986 km,21500000
Citroën,c4-cactus,2023,Cactus 1.6 Vti 115 At6 Shine,Gris,Nafta,5,Manual,1.6,SUV,Publicado hace 2 meses,16.000 km,24490000
Citroën,c4-cactus,2022,Cactus 1.6 Thp 165 At6 Shine,Negro,Nafta,4,Automática,1.6,SUV,Publicado hace 3 días,81.300 km,23000000
Citroën,c4-cactus,2021,Cactus 1.6 Vti 115 Feel Pk,Negro,Nafta,5,Manual,1.6,SUV,Publicado hace 7 días,53.000 km,21000000
