Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Citroën,c4-lounge,2017,Lounge 1.6 Hdi 115 Feel Pack,Blanco,Diésel,4,Manual,1.6,Sedán,Publicado hace 8 días,99.000 km,17000000
Citroën,c4-lounge,2014,Lounge 1.6 Tendence Hdi 115cv,Gris,Diésel,4,Manual,1.6,Sedán,Publicado hace 8 días,81.635 km,7800
Citroën,c4-lounge,2017,Lounge 1.6 Hdi 115 Feel Pack,Blanco,Diésel,4,Manual,1.6,Sedán,Publicado hace 10 días,99.000 km,16500000
Citroën,c4-lounge,2014,Lounge 1.6 Exclusive 6at Thp 163cv Am16,Blanco,Nafta,4,Automática,1.6,Sedán,Publicado hace 20 días,99.000 km,12500000
Citroën,c4-lounge,2018,Lounge 1.6 Hdi 115 Feel Pack Unico!! Tomo Permuta,Gris,Diésel,4,Manual,1.6,Sedán,Publicado hace 2 días,68.000 km,15500
Citroën,c4-lounge,2014,Lounge 1.6 Exclusive 6at Thp 163cv,Blanco,Nafta,4,Automática,1.6,Sedán,Publicado hace 15 días,160.000 km,11500
Citroën,c4-lounge,2017,Lounge 1.6 Thp 165 At6 Feel,Gris,Nafta,4,Automática,1.6,Sedán,Publicado hace 7 días,110.000 km,11700
Citroën,c4-lounge,2016,Lounge 1.6 Thp 165 Feel Pack,Blanco,Nafta,4,Manual,1.6,Sedán,Publicado hace 31 días,80.000 km,15500000
Citroën,c4-lounge,2018,Lounge 1.6 Thp 165 At6 Feel,Blanco,Nafta,4,Automática,1.6 TURBO,Sedán,Publicado hace 31 días,98.000 km,15700000
Citroën,c4-lounge,2015,Lounge 2.0 Origine E,Blanco,Nafta,4,Manual,2.0,Sedán,Publicado hace 8 días,85.000 km,13800000
Citroën,c4-lounge,2017,Lounge 1.6 Thp 165 At6 Shine,Gris,Nafta,4,Automática,1.6,Sedán,Publicado hace 11 días,76.000 km,16000000
Citroën,c4-lounge,2016,Lounge 2.0 Origine Am16,Plateado,Nafta,4,Manual,2.0,Sedán,Publicado hace 11 días,124.000 km,13500000
Citroën,c4-lounge,2017,Lounge 1.6 S Edition Thp 165cv,Gris,Nafta,4,Manual,1.6,Sedán,Publicado hace 15 días,99.000 km,7700000
Citroën,c4-lounge,2016,Lounge 1.6 Exclusive 6at Thp 165cv Am16,Blanco,Nafta,4,Automática,1.6,Sedán,Publicado hace 19 días,80.478 km,16990000
Citroën,c4-lounge,2017,Lounge 1.6 Hdi 115 Feel Pack,Blanco,Diésel,4,Manual,1.6,Sedán,Publicado hace 6 días,99.000 km,17989900
Citroën,c4-lounge,2017,Lounge 1.6 S Edition Thp 165cv,Blanco,Nafta,4,Manual,1.6,Sedán,Publicado hace 11 días,81.000 km,15500000
Citroën,c4-lounge,2021,Lounge 1.6 Hdi 115 Feel Pack Am19,Plateado,Diésel,4,Manual,1.6,Sedán,Publicado hace 2 meses,80.000 km,18800
Citroën,c4-lounge,2018,Lounge 1.6 Hdi 115 Feel Pack,Blanco,Diésel,4,Manual,1.6,Sedán,Publicado hace 5 meses,151.600 km,17500000
Citroën,c4-lounge,2019,Lounge 1.6 Hdi 115 Feel Pack,Blanco,Diésel,4,Manual,1.6,Sedán,Publicado hace 7 meses,60.500 km,19999
Citroën,c4-lounge,2015,Lounge 1.6 Tendance At6 Thp 163cv LG,Blanco,Nafta,4,Automática,1.6,Sedán,Publicado hace 10 días,157.400 km,16000000
Citroën,c4-lounge,2018,Lounge 1.6 Thp 165 At6 Shine,Blanco,Nafta,4,Automática,1.6,Sedán,Publicado hace 56 días,108.000 km,14500
Citroën,c4-lounge,2018,Lounge 1.6 Hdi 115 Feel Pack,Gris,Diésel,4,Manual,1.6,Sedán,Publicado hace 57 días,55.000 km,16900
Citroën,c4-lounge,2015,Lounge 2.0 Tendance Pack,Gris,Nafta,4,Manual,2.0,Sedán,Publicado hace 2 meses,113.000 km,11990
Citroën,c4-lounge,2015,Lounge,Plateado,Nafta,4,Automática,1.6,Sedán,Publicado hace 11 días,108.000 km,13900000
Citroën,c4-lounge,2019,Lounge 1.6 Vti Live,Rojo,Nafta,4,Manual,1.6,Sedán,Publicado hace 27 días,76.000 km,12300
Citroën,c4-lounge,2016,Lounge 1.6 S Edition,Gris,Nafta,4,Manual,1.6,Sedán,Publicado hace 53 días,94.000 km,14500000
Citroën,c4-lounge,2018,Lounge 1.6 Thp 165 At6 Shine Full-full Año 2018!,Blanco,Nafta,4,Automática,1.6,Sedán,Publicado hace 54 días,100.000 km,13300
Citroën,c4-lounge,2014,Lounge 1.6 Exclusive 6at Thp 163cv Pack,Blanco,Nafta,4,Automática,1.6,Sedán,Publicado hace 3 meses,54.000 km,14500
Citroën,c4-lounge,2016,Lounge Feel At,Blanco,Nafta,4,Automática,1.6 L,Sedán,Publicado hace 5 meses,76.400 km,14990000
Citroën,c4-lounge,2014,Lounge 1.6 Exclusive 6at Thp 163cv Am16,Gris,Nafta,4,Automática,1.6,Sedán,Publicado hace 4 días,129.000 km,16500000
Citroën,c4-lounge,2015,Lounge 1.6 Tendance At6 Thp 163cv L.c,Blanco,Nafta,4,Automática,1.6,Sedán,Publicado hace 11 días,158.000 km,15500000
Citroën,c4-lounge,2015,Lounge 1.6 Tendance At6 Thp 163cv Am16 Lb,Blanco,Nafta,4,Automática,1.6,Sedán,Publicado hace 13 días,157.400 km,10500000
Citroën,c4-lounge,2016,Lounge 1.6 Tendance At6 Thp 165cv Am16,Gris,Nafta,4,Automática,1.6,Sedán,Publicado hace 16 días,90.000 km,10950
Citroën,c4-lounge,2016,Lounge 1.6 Tendence Hdi 115cv Am16 - Us,Gris,Diésel,4,Manual,1.6,Sedán,Publicado hace 26 días,170.000 km,15990000
Citroën,c4-lounge,2016,Lounge 1.6 Tendence Hdi 115cv Am16 Us - Fm,Gris,Diésel,4,Manual,1.6,Sedán,Publicado hace 26 días,179.000 km,16000000
Citroën,c4-lounge,2016,Lounge 1.6 S Edition Thp 165cv Sd,Blanco,Nafta,4,Manual,1.6,Sedán,Publicado hace 3 días,99.000 km,8500000
Citroën,C,2016,4 Lounge 1.6 Thp Feel At6 2016 Rpm Moviles,Blanco,Nafta,4,Automática,1.6,Sedán,Publicado hace 21 días,117.000 km,15600000
Citroën,c4-lounge,2019,Lounge 1.6 Thp 165 Feel Pack,Gris,Nafta,4,Manual,1.6,Sedán,Publicado hace 25 días,85.000 km,17500000
Citroën,C,2016,4 Lounge 1.6 Thp Tendance 2016,Gris oscuro,Diésel,2,Automática,2,Coupé,Publicado hace 13 días,90.000 km,13500000
Citroën,c4-lounge,2014,Lounge 1.6 Tendance At6 Thp 163cv,Gris,Nafta,4,Automática,1.6,Sedán,Publicado hace 13 días,87.000 km,6900
Citroën,C,2018,4 Lounge 1.6 Thp Shine At6 2018 - Rpm Moviles,Blanco,Nafta,4,Automática,1.6,Sedán,Publicado hace 33 días,109.000 km,14400
Citroën,C,2014,4 Lounge 1.6 Thp Tendance At 2014 - Rpm Moviles,Blanco,Nafta,5,Automática,No disponible,Hatchback,Publicado hace 55 días,77.000 km,13500000
Citroën,C,2017,4 Lounge 1.6thp Feel At6 2017 Rpm Moviles,Blanco,Nafta,4,Automática,2,Sedán,Publicado hace 57 días,125.000 km,14900000
Citroën,c4-lounge,2016,Lounge 1.6 Hdi 115 Feel Pack,Blanco,Diésel,4,Manual,1.6,Sedán,Publicado hace 23 días,120.000 km,14700000
Citroën,c4-lounge,2017,Lounge 1.6 Hdi 115 Feel Pack,Gris,Diésel,4,Manual,1.6,Sedán,Publicado hace 2 días,73.000 km,15500
