Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Citroën,Xsara,2008,Picasso 2.0 Fase2 I Exclusiv 138cv,Gris,Nafta,5,Manual,2.0,Monovolumen,Publicado hace 9 meses,170.500 km,8499000
Citroën,Xsara,2013,Picasso 1.6 Fase2 I Exclusive,Plateado,Nafta,5,Manual,1.6,Monovolumen,Publicado hace 15 días,120.000 km,8500000
Citroën,Xsara,2009,Picasso 1.6 2009 S.s,Gris,Nafta,5,Manual,1.6,Monovolumen,Publicado hace 26 días,145.000 km,10500000
Citroën,Xsara,2011,Picasso 1.6 Fase2 I Exclusive,Dorado,Nafta,5,Manual,1.6,Monovolumen,Publicado hace 49 días,125.000 km,7900
Citroën,Xsara,2002,Picasso 2.0 Hdi Vendo O Permuto Eb!!,Azul,Diésel,5,Manual,2.0,Monovolumen,Publicado hace 28 días,210.000 km,7500000
Citroën,Xsara,2009,Picasso 1.6 Fase2 I L.c,Dorado,Nafta,5,Manual,1.6,Monovolumen,Publicado hace 11 días,145.000 km,10500000
Citroën,Xsara,2011,Picasso 1.6 Fase2 I Exclusive,Dorado,Nafta/GNC,5,Manual,1.6,Monovolumen,Publicado hace 21 días,124.681 km,8390
Citroën,Xsara,2013,Picasso 1.6 Fase2 I Exclusive,Dorado,Nafta,5,Manual,1.6,Monovolumen,Publicado hace 3 meses,65.013 km,13500000
Citroën,Xsara,2012,Picasso 1.6 Fase2 I Exclusive,Negro,Nafta,5,Manual,1.6,Monovolumen,Publicado hace 3 meses,114.000 km,9490
Citroën,Xsara,2012,Picasso 1.6 Fase2 I Exclusive,Plateado,Nafta,5,Manual,1.6,Monovolumen,Publicado hace 1 día,135.000 km,8300
Citroën,Xsara,2010,Picasso 2.0 Fase2 Hdi Exclusive,Gris,Diésel,5,Manual,2.0,Monovolumen,Publicado hace 50 días,182.000 km,7300
Citroën,Xsara,2011,Picasso 1.6 Fase2 I,Negro,Nafta,5,Manual,1.6,Monovolumen,Publicado hace 1 día,168.000 km,8000
Citroën,Xsara,2008,Picasso 2.0 Fase2 I Exclusiv 138cv,Gris,Nafta,5,Manual,2.0,Monovolumen,Publicado hace 21 días,150.000 km,7000000
Citroën,Xsara,2011,Picasso 1.6 Fase2 I Exclusive,Azul,Nafta,5,Manual,1.6,Monovolumen,Publicado hace 3 meses,201.000 km,7500
Citroën,Xsara,2010,Picasso 2.0 Fase2 Hdi Exclusive,Gris,Diésel,5,Manual,2.0,Monovolumen,Publicado hace 13 días,202.970 km,10300000
Citroën,Xsara,2012,Picasso 1.6 2012 Permuto La Plata,Dorado,Nafta,5,Manual,1.6,Monovolumen,Publicado hace 41 días,124.000 km,8000
Citroën,Xsara,2010,Picasso 2.0 Fase2 I Exclusiv 138cv,Azul,Nafta,5,Manual,2.0,Monovolumen,Publicado hace 23 días,123.500 km,9000
Citroën,Xsara,2008,Picasso 2008 2.0 16v No 2009 Aircross 2011,Azul,Diésel,5,No disponible,No disponible,No disponible,Publicado hace 12 días,139.000 km,7989900
Citroën,Xsara,2002,Picasso 2.0 Hdi Exclusive,Azul,Diésel,5,Manual,2.0,Monovolumen,Publicado hace 18 días,279.000 km,3000000
Citroën,Xsara,2007,Picasso 1.6 I,Negro,Nafta,5,Manual,1.6,Monovolumen,Publicado hace 14 días,227.000 km,7000000
Citroën,Xsara,2011,Picasso 1.6 Fase2 I Exclusive,Negro,Nafta,5,Manual,1.6,Monovolumen,Publicado hace 53 días,178.000 km,7500
Citroën,Xsara,2012,Picasso 1.6i 16v Exclusive,Otro,Híbrido,4,Manual,1,Monovolumen,Publicado hace 6 días,113.202 km,7610000
Citroën,Xsara,2011,Picasso 2.0 Fase2 I Exclusiv 138cv,Gris,Nafta,5,Manual,2.0,Monovolumen,Publicado hace 40 días,120.000 km,11500000
