Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Fiat,Argo,2019,1.8 Hgt,Rojo,Nafta,5,Manual,1.8,Hatchback,Publicado hace 1 día,56.145 km,10450
Fiat,Argo,2019,1.8 Hgt,Rojo,Nafta,5,Manual,1.8,Hatchback,Publicado hace 1 día,56.145 km,10450
Fiat,Argo,2019,1.8 Hgt Hermoso! (aes),Blanco,Nafta,5,Manual,1.8,Hatchback,Publicado hace 7 días,83.000 km,19000000
Fiat,Argo,2019,1.8 Hgt,Negro,Nafta,5,Manual,1.8,Hatchback,Publicado hace 27 días,89.200 km,20300000
Fiat,Argo,2018,Drive 1.3,Gris,Nafta,5,Automática,1.3,Hatchback,Publicado hace 1 día,39.000 km,17490000
Fiat,Argo,2018,1.8 Precision,Plateado,Nafta,5,Manual,1.8,Hatchback,Publicado hace 11 días,95.000 km,17989900
Fiat,Argo,2019,1.8 Precision,Rojo,Nafta,5,Manual,1.8,Hatchback,Publicado hace 12 días,70.000 km,17900000
Fiat,Argo,2019,1.3 Drive Gse Manual,Blanco,Nafta,5,Manual,1.3,Hatchback,Publicado hace 20 días,75.000 km,16500000
Fiat,Argo,2020,1.8 Precision $20.000.000,Blanco,Nafta,5,Manual,1.8,Hatchback,Publicado hace 20 días,69.000 km,20000000
Fiat,Argo,2018,Drive 1.3 Conectividad 2018 74.000km Fcio T/usado,Rojo,Nafta,5,Manual,1.3,Hatchback,Publicado hace 2 meses,74.000 km,16488000
Fiat,Argo,2018,1.8 Precision,Gris,Nafta,5,Manual,1.8,Hatchback,Publicado hace 5 meses,89.000 km,17700000
Fiat,Argo,2018,1.3 Drive Gse Manual,Blanco,Nafta,5,Manual,1.3,Hatchback,Publicado hace 7 días,124.000 km,15600000
Fiat,Argo,2018,1.3 Drive Gse Manual,Gris,Nafta,5,Manual,1.3,Hatchback,Publicado hace 45 días,46.000 km,14500
Fiat,Argo,2018,Drive 1.3 Conectividad 2018 74.000km Fcio T/usado,Rojo,Nafta,5,Manual,1.3,Hatchback,Publicado hace 2 meses,74.000 km,16487999
Fiat,Argo,2018,1.8 Precision,Rojo,Nafta/GNC,5,Manual,1.8,Hatchback,Publicado hace 8 días,102.898 km,20300000
Fiat,Argo,2018,Hgt 1.8,Blanco,Nafta,4,Manual,1.8,Sedán,Publicado hace 32 días,105.000 km,13500
Fiat,Argo,2019,1.8 Hgt,Negro,Nafta,5,Manual,1.8,Hatchback,Publicado hace 7 días,88.000 km,18900000
Fiat,Argo,2018,1.3 Drive Gse,Rojo,Nafta,5,Automática,1.3,Hatchback,Publicado hace 11 días,105.000 km,18800000
Fiat,Argo,2018,1.8 Hgt,Rojo,Nafta,5,Manual,1.8,Hatchback,Publicado hace 13 días,97.000 km,21899000
Fiat,Argo,2020,1.3 Drive Gse Manual,Rojo,Nafta,5,Manual,1.3,Hatchback,Publicado hace 14 días,101.000 km,19300000
