Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Fiat,Cronos,2023,1.3 Gse Drive 14.000km 2023 (fran),Gris,Nafta,4,Manual,1.3,Sedán,Publicado hace 7 días,14.000 km,24300000
Fiat,Cronos,2019,1.8 16v Precision At6 Pack Premium,Gris,Nafta,4,Automática,1.8,Sedán,Publicado hace 8 días,49.700 km,18500000
Fiat,Cronos,2020,1.3 Gse Drive,Rojo,Nafta,4,Manual,1.3,Sedán,Publicado hace 12 días,101.100 km,16500000
Fiat,Cronos,2022,1.3 Drive Cvt,Blanco,Nafta,4,Automática,1.3,Sedán,Publicado hace 12 días,98.300 km,17999980
Fiat,Cronos,2020,1.3 Gse Drive Pack Conectividad,Negro,Nafta,4,Manual,1.3,Sedán,Publicado hace 13 días,42.000 km,19900000
Fiat,Cronos,2022,1.8 16v Precision - Us,Plateado,Nafta,4,Manual,1.8,Sedán,Publicado hace 15 días,70.000 km,19490000
Fiat,Cronos,2022,1.8 16v Precision 2022,Rojo,Nafta,4,Manual,1.8,Sedán,Publicado hace 24 días,67.359 km,20900000
Fiat,Cronos,2020,1.3 Gse Drive Pack Conectividad,Plateado,Nafta,4,Manual,1.3,Sedán,Publicado hace 26 días,60.000 km,19790900
Fiat,Cronos,2024,1.3 Drive Mt,Rojo,Nafta,4,Manual,1.3,Sedán,Publicado hace 26 días,1.500 km,10400000
Fiat,Cronos,2018,1.3 Gse Drive Pack Conectividad,Rojo,Nafta,4,Manual,1.3,Sedán,Publicado hace 33 días,70.000 km,17890900
Fiat,Cronos,2022,1.3 Gse Drive,Plateado,Nafta,4,Manual,1.3,Sedán,Publicado hace 49 días,37.123 km,20000000
Fiat,Cronos,2019,1.3 Gse Drive,Negro,Nafta,4,Manual,1.3,Sedán,Publicado hace 53 días,90.511 km,17500000
Fiat,Cronos,2021,1.3 Gse Drive,Negro,Nafta,4,Manual,1.3,Sedán,Publicado hace 2 meses,59.300 km,18300000
Fiat,Cronos,2024,1.3 Gse Drive Pack Conectividad,Blanco,Nafta,4,Manual,1.3,Sedán,Publicado hace 43 días,14.900 km,18500
Fiat,Cronos,2023,Drive Pack Plus 1.3,Blanco,Nafta,5,Manual,1.3,Sedán,Publicado hace 5 meses,1.234 km,18500000
Fiat,Cronos,2023,1.3 Drive Cvt,Gris,Nafta,4,Automática,1.3,Sedán,Publicado hace 1 día,19.700 km,20300000
Fiat,Cronos,2023,1.3 Precision Cvt,Gris,Nafta,4,Automática,1.3,Sedán,Publicado hace 1 día,16.400 km,22200000
Fiat,Cronos,2023,1.3 Precision Cvt,Gris,Nafta,4,Automática,1.3,Sedán,Publicado hace 1 día,16.400 km,22200000
Fiat,Cronos,2022,1.8 16v Precision,Rojo,Nafta,4,Manual,1.8,Sedán,Publicado hace 1 día,8.300 km,21300000
Fiat,Cronos,2022,1.8 16v Precision Pack Premium,Rojo,Nafta,4,Manual,1.8,Sedán,Publicado hace 4 días,19.100 km,21500000
