Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Fiat,Palio,2015,1.4 Weekend Attractive 87cv,Plateado,Nafta,5,Manual,1.4,Rural,Publicado hace 10 días,95.632 km,6000
Fiat,Palio,2013,1.4 Attractive 85cv,Gris,Nafta,5,Manual,1.4,Hatchback,Publicado hace 11 días,123.000 km,9200
Fiat,Palio,2015,1.4 Fire Pack Seg. Top,Gris,Nafta,5,Manual,1.4,Hatchback,Publicado hace 13 días,89.000 km,11900000
Fiat,Palio,2012,1.4 Fire Full 3 Puertas Nuevo Anticipo $5.900.000,Plateado,Nafta,5,Manual,1.4,Hatchback,Publicado hace 42 días,52.400 km,9900000
Fiat,Palio,2010,1.4 Elx,Gris,Nafta,5,Manual,1.4,Hatchback,Publicado hace 2 meses,187.000 km,7900000
Fiat,Palio,2017,Attractive 1.4 Unico Con Transferencia Incluida,Blanco,Nafta,5,Manual,1.4,Hatchback,Publicado hace 5 meses,89.400 km,13499300
Fiat,Palio,2013,1.4 Attractive 85cv - Liv Motors,Gris,Nafta,5,Manual,1.4,Hatchback,Publicado hace 36 días,63.000 km,9300
Fiat,Palio,2016,1.4 Attractive 85cv,Gris,Nafta,5,Manual,1.4,Hatchback,Publicado hace 45 días,136.000 km,13000000
Fiat,Palio,2017,Essense 1.6,Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 1 día,92.000 km,12990000
Fiat,Palio,2014,1.4 Attractive 85cv C/pack Seguridad,Gris,Nafta,5,Manual,1.4,Hatchback,Publicado hace 2 meses,125.000 km,8600
Fiat,Palio,2013,1.6 Adventure Pack Seguridad + Alarma,Plateado,Nafta,5,Manual,1.6,Rural,Publicado hace 6 días,160.000 km,10900
Fiat,Palio,2017,1.4 Nuevo Attractive Pack Top 85cv,Rojo,Nafta,5,Manual,1.4,Hatchback,Publicado hace 10 días,94.500 km,13500000
Fiat,Palio,2006,1.3 Fire Top,Rojo,Nafta,3,Manual,1.3,Hatchback,Publicado hace 33 días,150.000 km,6800000
Fiat,Palio,2015,1.4 Attractive 85cv,Marrón,Nafta,5,Manual,1.4,Hatchback,Publicado hace 38 días,32.000 km,16000000
Fiat,Palio,2016,1.4 Attractive 85cv,Plateado,Nafta,5,Manual,1.4,Hatchback,Publicado hace 11 días,122.000 km,11500000
Fiat,Palio,2017,1.4 Nuevo Attractive 85cv,Negro,Nafta,5,Manual,1.4,Hatchback,Publicado hace 12 días,104.000 km,13000000
Fiat,Palio,2018,1.4 Nuevo Attractive Pack Top 85cv,Blanco,Nafta,5,Manual,1.4,Hatchback,Publicado hace 32 días,50.000 km,11900
Fiat,Palio,2013,1.4 Attractive 85cv C/pack Seguridad,Azul,Nafta,5,Manual,1.4,Hatchback,Publicado hace 55 días,133.800 km,10500000
Fiat,Palio,2014,1.4 Attractive 85cv,Gris,Nafta,5,Manual,1.4,Hatchback,Publicado hace 11 días,132.000 km,10000000
Fiat,Palio,2012,1.6 Adventure 115cv,Blanco,Nafta,5,Manual,1.6,Rural,Publicado hace 21 días,160.000 km,9500000
Fiat,Palio,2014,1.4 Fire 2014 103.000km,Negro,Nafta,5,Manual,1.4,Hatchback,Publicado hace 11 días,103.000 km,10500000
Fiat,Palio,2012,1.4 5p Attract 2012,Verde oscuro,Nafta,5,Manual,1.6,Hatchback,Publicado hace 18 días,121.000 km,9600000
Fiat,Palio,2016,1.4 Attractive 85cv,Plateado,Nafta,5,Manual,1.4,Hatchback,Publicado hace 22 días,100.000 km,9990
Fiat,Palio,2018,Attractive Pack Top 1.4 2018 78.000km Fcio T/usad,Gris,Nafta,5,Manual,1.4,Hatchback,Publicado hace 25 días,78.000 km,14988000
Fiat,Palio,2018,Attractive Pack Top 1.4 2018 78.000km Fcio T/usad,Gris,Nafta,5,Manual,1.4,Hatchback,Publicado hace 25 días,78.000 km,14988000
Fiat,Palio,2013,1.6 Essence 115cv 16v,Plateado,Nafta,5,Manual,1.6,Hatchback,Publicado hace 2 meses,200.000 km,7500
Fiat,Palio,2017,1.4 Nuevo Attractive 85cv,Plateado,Nafta,5,Manual,1.4,Hatchback,Publicado hace 14 días,95.000 km,12000
Fiat,Palio,2014,1.4 Fire L09 5p L09,Gris,GNC,5,Manual,INYECCION MULTI PUNTO,Hatchback,Publicado hace 20 días,154.200 km,11500000
Fiat,Palio,2012,1.4 Attractive 85cv,Negro,Nafta,5,Manual,1.4,Hatchback,Publicado hace 1 día,130.000 km,9250
Fiat,Palio,2016,Weekend Adventure 1.6 16v // Gnc,Blanco,Nafta/GNC,5,Manual,1.6,Rural,Publicado hace 6 días,91.678 km,16600000
Fiat,Palio,2013,1.4 Fire,Gris,Nafta/GNC,5,Manual,1.4,Hatchback,Publicado hace 7 días,124.000 km,5000000
Fiat,Palio,2010,1.8 Adventure Locker,Gris,Nafta/GNC,5,Manual,1.8,Rural,Publicado hace 13 días,139.000 km,10400000
Fiat,Palio,2011,1.4 Fire Lb,Gris,Nafta,5,Manual,1.4,Hatchback,Publicado hace 13 días,112.000 km,7000000
Fiat,Palio,2011,1.4 Fire 2011 Liquido Hoy !!! S.s,Gris,Nafta,5,Manual,1.4,Hatchback,Publicado hace 13 días,112.000 km,7000000
Fiat,Palio,2011,1.4,Gris,Nafta,5,Manual,1.4,Hatchback,Publicado hace 53 días,159.500 km,9000000
Fiat,Palio,2018,Attractive Única Mano Pintura Original De Fábrica,Gris,Nafta,5,Manual,1.4,Hatchback,Publicado hace 6 meses,94.000 km,12300000
Fiat,Palio,2014,1.4 Fire,Gris,Nafta,5,Manual,1.4,Hatchback,Publicado hace 1 día,63.300 km,10700000
Fiat,Palio,2011,1.4 Fire L.c,Gris,Nafta,5,Manual,1.4,Hatchback,Publicado hace 11 días,112.000 km,7000000
Fiat,Palio,2016,1.6 5p Essence 2016 - Rpm Moviles,Rojo,Nafta/GNC,5,Manual,1.6,Hatchback,Publicado hace 27 días,133.000 km,11900000
Fiat,Palio,2012,1.4 Attractive 2012,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 34 días,173.000 km,8500
Fiat,Palio,2013,1.4 Fire Confort Lb,Gris,Nafta,5,Manual,1.4,Hatchback,Publicado hace 7 días,124.000 km,4500000
Fiat,Palio,2016,Weekend 1.6 Adventure Locker,Gris,Nafta,5,Manual,1.6,Rural,Publicado hace 11 días,76.600 km,15900000
Fiat,Palio,2013,1.4 Attractive 85cv,Negro,Nafta/GNC,5,Manual,1.4,Hatchback,Publicado hace 24 días,122.000 km,8600
Fiat,Palio,2013,1.4 Attractive 85cv C/pack Seguridad,Gris,Nafta,5,Manual,1.4,Hatchback,Publicado hace 1 día,88.000 km,9650
Fiat,Palio,2016,1.4 Attractive 85cv,Gris,Nafta,5,Manual,1.4,Hatchback,Publicado hace 3 meses,116.000 km,10500
Fiat,Palio,2016,1.4 Attractive 85cv,Gris,Nafta,5,Manual,1.4,Hatchback,Publicado hace 14 días,108.000 km,12500000
Fiat,Palio,2005,1.3 Fire,Gris,Nafta,5,Manual,1.3,Hatchback,Publicado hace 4 meses,315.000 km,5000
Fiat,Palio,2017,1.4 Nuevo Attractive Pack Top 85cv,Rojo,Nafta,5,Manual,1.4,Hatchback,Publicado hace 20 días,86.000 km,12900000
Fiat,Palio,2017,1.4 Nuevo Attractive Pack Top 85cv,Rojo,Nafta,5,Manual,1.4,Hatchback,Publicado hace 20 días,86.000 km,12900000
Fiat,Palio,2018,1.4 Nuevo Attractive 85cv,Gris,Nafta,5,Manual,1.4,Hatchback,Publicado hace 3 días,131.000 km,12690000
Fiat,Palio,2012,1.4 Attractive,Negro,Nafta,5,Manual,1.4,Hatchback,Publicado hace 11 días,158.000 km,8300
Fiat,Palio,2016,1.6 Essence 115cv,Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 13 días,120.000 km,11000
Fiat,Palio,2017,1.4 Nuevo Attractive 85cv,Blanco,Nafta/GNC,5,Manual,1.4,Hatchback,Publicado hace 18 días,71.000 km,14300000
Fiat,Palio,2009,1.8 R,Gris,Nafta,5,Manual,1.8,Hatchback,Publicado hace 36 días,156.000 km,9100000
Fiat,Palio,2011,1.4 Fire Top Aa+da+pl+ll,Rojo,Nafta,5,Manual,1.4,Hatchback,Publicado hace 2 meses,90.000 km,6500
Fiat,Palio,2010,1.4 Fire,Gris,Nafta,5,Manual,1.4,Hatchback,Publicado hace 3 días,75.000 km,8200
Fiat,Palio,2018,1.4 Nuevo Attractive Pack Top 85cv,Gris,Nafta,5,Manual,1.4,Hatchback,Publicado hace 4 días,84.000 km,15000000
Fiat,Palio,2016,1.6 Essence 115cv,Rojo,Nafta,5,Manual,1.6,Hatchback,Publicado hace 15 días,105.000 km,12000000
Fiat,Palio,2017,1.4 Nuevo Attractive 85cv,Gris,Nafta,5,Manual,1.4,Hatchback,Publicado hace 21 días,59.000 km,11200
Fiat,Palio,2018,1.4 Nuevo Attractive Pack Top 85cv,Rojo,Nafta,5,Manual,1.4,Hatchback,Publicado hace 56 días,83.000 km,11900
Fiat,Palio,2017,1.4 Nuevo Attractive 85cv,Gris,Nafta,5,Manual,1.4,Hatchback,Publicado hace 1 día,120.000 km,13200000
Fiat,Palio,2015,1.4 Attractive 85cv,Gris,Nafta,5,Manual,1.4,Hatchback,Publicado hace 43 días,108.000 km,11800000
Fiat,Palio,2013,1.4 Attractive 85cv,Blanco,Nafta,5,Manual,1.4,Hatchback,Publicado hace 2 meses,128.000 km,9500
Fiat,Palio,2016,1.4 Fire Pack Seg.,Blanco,Nafta,5,Manual,1.4,Hatchback,Publicado hace 3 meses,105.000 km,9000
Fiat,Palio,2017,1.4 Fire Pack Top,Blanco,Nafta,5,Manual,1.4,Hatchback,Publicado hace 1 día,128.000 km,12800000
Fiat,Palio,2014,1.6 Sporting 115cv Pack Seguridad,Rojo,Nafta,5,Manual,1.6,Hatchback,Publicado hace 56 días,79.474 km,11999999
Fiat,Palio,2016,1.4 Attractive 85cv,Negro,Nafta,5,Manual,1.4,Hatchback,Publicado hace 40 días,113.000 km,12300000
