Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Fiat,Punto,2015,1.4 Attractive Pack Top,Rojo,Nafta,5,Manual,1.4,Hatchback,Publicado hace 38 días,98.000 km,12500000
Fiat,Punto,2014,1.6 Essence,Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 48 días,95.000 km,10700
Fiat,Punto,2013,1.6 Sporting L13 2013,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 16 días,197.000 km,12200000
Fiat,Punto,2016,1.4 Attractive Pack Top Uconnect,Blanco,Nafta,5,Manual,1.4,Hatchback,Publicado hace 2 meses,139.000 km,13000000
Fiat,Punto,2013,1.4 Attractive 2013 Nafta/gnc S.s,Blanco,Nafta/GNC,5,Manual,1.4,Hatchback,Publicado hace 12 días,182.000 km,6000000
Fiat,Punto,2008,1.4 Elx,Gris,Nafta,5,Manual,1.4,Hatchback,Publicado hace 17 días,130.000 km,7000
Fiat,Punto,2014,1.6 Sporting,Negro,Nafta,5,Manual,1.6,Hatchback,Publicado hace 27 días,145.000 km,14500000
Fiat,Punto,2013,1.4 Attractive L13 2013 - Rpm Moviles,Rojo,Nafta,5,Manual,1.2,Hatchback,Publicado hace 33 días,108.000 km,11500000
Fiat,Punto,2012,1.4 Attractive,Plateado,Nafta,5,Manual,1.4,Hatchback,Publicado hace 12 días,143.000 km,10500000
Fiat,Punto,2014,1.6 Essence,Plateado,Nafta,5,Manual,1.6,Hatchback,Publicado hace 14 días,79.000 km,13500000
Fiat,Punto,2016,1.4 Attractive Pack Top Uconnect,Gris,Nafta,5,Manual,1.4,Hatchback,Publicado hace 27 días,108.830 km,13000000
Fiat,Punto,2014,1.4 Attractive,Plateado,Nafta,5,Manual,1.4,Hatchback,Publicado hace 18 días,139.000 km,11000000
Fiat,Punto,2017,1.4 Attractive Pack Top Uconnect,Gris,Nafta,5,Manual,1.4,Hatchback,Publicado hace 20 días,132.715 km,15900000
Fiat,Punto,2013,1.4 Attractive,Gris,Nafta,5,Manual,1.4,Hatchback,Publicado hace 3 días,234.000 km,7000
Fiat,Punto,2014,1.4 Attractive Pack Top,Rojo,Nafta,5,Manual,1.4,Hatchback,Publicado hace 3 meses,97.000 km,9700
Fiat,Punto,2014,1.4 Attractive,Gris,Nafta/GNC,5,Manual,1.4,Hatchback,Publicado hace 7 días,155.000 km,12000000
Fiat,Punto,2010,1.4 Elx,Verde,Diésel,5,Manual,1.3 turbo diesel,Hatchback,Publicado hace 31 días,140.000 km,9000000
Fiat,Punto,2014,1.6 Essence,Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 3 meses,137.000 km,13000000
Fiat,Punto,2013,1.4 Attractive C/radio Integrada,Blanco,Nafta,5,Manual,1.4,Hatchback,Publicado hace 5 meses,120.847 km,12300000
Fiat,Punto,2014,1.4 Attractive Pack Top,Blanco,Nafta,5,Manual,1.4,Hatchback,Publicado hace 22 días,130.000 km,12000000
Fiat,Punto,2013,1.4 Attractive C/radio Integrada,Beige,Nafta,5,Manual,1.4,Hatchback,Publicado hace 24 días,122.000 km,12000000
Fiat,Punto,2014,1.4 Attractive C/radio Integrada,Dorado,Nafta,5,Manual,1.4,Hatchback,Publicado hace 2 meses,154.000 km,8500
Fiat,Punto,2013,1.4 Attractive C/radio Integrada,Plateado,Nafta,5,Manual,1.4,Hatchback,Publicado hace 2 meses,88.000 km,9500
Fiat,Punto,2008,1.4 Elx,Gris,Nafta,5,Manual,1.4,Hatchback,Publicado hace 2 días,134.000 km,6800
Fiat,Punto,2015,1.4 Attractive Pack Top,Rojo,Nafta,5,Manual,1.4,Hatchback,Publicado hace 40 días,130.000 km,13900000
Fiat,Punto,2010,1.4 Elx,Plateado,Nafta,5,Manual,1.4,Hatchback,Publicado hace 21 días,116.000 km,8450
Fiat,Punto,2014,1.4 Attractive Pack Top,Gris,Nafta,5,Manual,1.4,Hatchback,Publicado hace 28 días,119.000 km,11500000
Fiat,Punto,2016,1.4 Attractive Pack Top Uconnect,Gris,Nafta/GNC,5,Manual,1.4,Hatchback,Publicado hace 27 días,100.200 km,16000000
Fiat,Punto,2015,1.4 Attractive C/radio Integrada,Blanco,Nafta,5,Manual,1.4,Hatchback,Publicado hace 3 meses,115.000 km,10000
Fiat,Punto,2011,2011 1.6 Essence Dualogic,No disponible,Nafta,5,Automática,1.6,Hatchback,Publicado hace 11 meses,52.000 km,10000
Fiat,Punto,2011,Attractive 2011 Con Gnc,Dorado,Nafta/GNC,5,Manual,1.4,Hatchback,Publicado hace 4 meses,92.000 km,9200
Fiat,Punto,2017,1.4 Attractive Pack Top Uconnect,Negro,Nafta,5,Manual,1.4,Hatchback,Publicado hace 41 días,131.000 km,10800
Fiat,Punto,2016,1.6 Essence Uconnect + Nav,Gris,Nafta,5,No disponible,No disponible,No disponible,Publicado hace 32 días,143.000 km,14500000
Fiat,Punto,2014,1.4 Attractive,Plateado,Nafta,5,Manual,1.4,Hatchback,Publicado hace 50 días,111.000 km,9300
Fiat,Punto,2016,1.4 Attractive Pack Top Uconnect,Gris,Nafta,5,Manual,1.4,Hatchback,Publicado hace 3 meses,122.000 km,12900
