Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Fiat,Siena,2017,1.4 El 85cv Gnc,Negro,Nafta/GNC,4,Manual,1.4,Sedán,Publicado hace 33 días,117.000 km,11000000
Fiat,Siena,2017,1.4 El 85cv,Rojo,Nafta,4,Manual,1.4,Sedán,Publicado hace 41 días,44.000 km,15000000
Fiat,Siena,2016,1.4 El Pack Attractive,Blanco,Nafta,4,Manual,1.4,Sedán,Publicado hace 19 días,32.470 km,14000000
Fiat,Siena,2013,1.4 Fire Da,Plateado,Nafta/GNC,4,Manual,1.4,Sedán,Publicado hace 19 días,161.000 km,9800000
Fiat,Siena,2017,1.4 El 2017,Gris,Nafta,4,Manual,1.4,Sedán,Publicado hace 18 días,127.000 km,12400000
Fiat,Siena,2010,Attractive Pack 1.4 Full Sedan,Negro,Nafta/GNC,4,Manual,1.4,Sedán,Publicado hace 4 días,119.000 km,7000
Fiat,Siena,2016,1.4 El Pack Attractive,Gris,Nafta,4,Manual,1.4,Sedán,Publicado hace 2 meses,162.000 km,8300
Fiat,Siena,2017,1.4 El 85cv,Negro,Nafta,4,Manual,1.4,Sedán,Publicado hace 8 días,330.000 km,9500000
Fiat,Siena,2016,1.4 El Pack Attractive 115 Hp,Negro,Nafta,4,Manual,1.4,Sedán,Publicado hace 47 días,120.000 km,10000000
Fiat,Siena,2005,1.8 Hlx,Gris,Nafta,4,Manual,1.8,Sedán,Publicado hace 12 días,97.279 km,7900000
Fiat,Siena,2017,1.4 El 85cv,Rojo,Nafta/GNC,4,Manual,1.4,Sedán,Publicado hace 48 días,126.000 km,13800000
Fiat,Siena,2014,1.6 El 16v Pack Confort,Gris,Nafta,4,Manual,1.6,Sedán,Publicado hace 51 días,85.500 km,12400
Fiat,Siena,2004,1.7 Elx Class,Azul,Diésel,4,Manual,1.7,Sedán,Publicado hace 54 días,240.000 km,5500000
Fiat,Siena,2012,1.4 Fire Way,Blanco,Nafta/GNC,4,Manual,1.4,Sedán,Publicado hace 47 días,130.000 km,9900000
Fiat,Siena,2014,1.4 El Pack Seguridad,Negro,Nafta,4,Manual,1.4,Sedán,Publicado hace 10 días,112.415 km,11000000
Fiat,Siena,2015,1.4 El Full - Muy Nuevo - Gnc - Financio -permuto,Gris,Nafta/GNC,4,Manual,1.4,Sedán,Publicado hace 25 días,163.000 km,9999900
Fiat,Siena,2015,1.4 El My 2015,Blanco,Nafta,4,Manual,1.4,Sedán,Publicado hace 31 días,71.000 km,13900000
Fiat,Siena,2013,1.4 Fire Da,Blanco,Nafta/GNC,4,Manual,1.4,Sedán,Publicado hace 35 días,320.000 km,7950000
Fiat,Siena,2017,1.6 El Npm,Blanco,Nafta,4,Manual,1.6,Sedán,Publicado hace 53 días,64.000 km,14800000
Fiat,Siena,2016,1.4 El Pack Attractive,Blanco,Nafta,4,Manual,1.4,Sedán,Publicado hace 46 días,110.000 km,13800000
Fiat,Siena,2011,Fire 1.4,Gris,Nafta,4,Manual,1.4,Sedán,Publicado hace 4 meses,150.000 km,8000000
Fiat,Siena,1998,1.7 Turbo Diesel Fullll,Plateado,Diésel,4,Manual,1.7,Sedán,Publicado hace 3 meses,200.000 km,4200000
Fiat,Siena,2017,1.4 El 85cv,Gris,Nafta,4,Manual,1.4,Sedán,Publicado hace 4 meses,49.000 km,14500000
Fiat,Siena,2015,1.4 El My 2015,Rojo,Nafta,4,Manual,1.4,Sedán,Publicado hace 9 días,139.000 km,10500000
Fiat,Siena,2016,1.4 El Pack Attractive 115 Hp,Gris,Nafta,4,Manual,1.4,Sedán,Publicado hace 3 meses,92.000 km,13900000
Fiat,Siena,2010,1.4 Fire Elx Active Rstii,Plateado,Nafta,4,Manual,1.4,Sedán,Publicado hace 36 días,97.000 km,8300
Fiat,Siena,2012,1.6 Essence,Dorado,Nafta,4,Manual,1.6,Sedán,Publicado hace 43 días,225.000 km,9400000
Fiat,Siena,2015,No disponible,Blanco,Nafta,4,Manual,1.6,Sedán,Publicado hace 1 mes,118.000 km,11500000
Fiat,Siena,2015,1.4 El Pack Attractive,Plateado,Nafta/GNC,4,Manual,1.4,Sedán,Publicado hace 19 días,140.000 km,12000000
Fiat,Siena,2009,1.4 Fire,Negro,Nafta,4,Manual,1.4,Sedán,Publicado hace 21 días,168.000 km,6000000
