Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Fiat,Strada,2021,1.4 8v Endurance Cs,Blanco,Nafta,3,Manual,1.4,Pick-Up,Publicado hace 1 día,53.000 km,11686400
Fiat,Strada,2021,1.4 8v Endurance Cs,Blanco,Nafta,3,Manual,1.4,Pick-Up,Publicado hace 1 día,53.000 km,11686400
Fiat,Strada,2021,1.4 8v Endurance Cs,Blanco,Nafta,3,Manual,1.4,Pick-Up,Publicado hace 1 día,53.000 km,18989900
Fiat,A,2024,Pagar Strada Pyme Flota Empresa Permuto Auto Usados Sv,Plateado,Nafta,3,Manual,1.4,Pick-Up,Publicado hace 19 días,500 km,7800
Fiat,Strada,2024,1.3 Freedom Volcano Ultra Pickup Camioneta Cd Mg,Blanco,Nafta,3,Automática,1.3,Pick-Up,Publicado hace 46 días,500 km,16800
Fiat,Strada,2018,1.6 Adventure Cd Pack Top,Rojo,Nafta,3,Manual,1.6,Pick-Up,Publicado hace 4 días,66.350 km,19200000
Fiat,Strada,2021,1.4 8v Endurance Cs,Blanco,Nafta,3,Manual,1.4,Pick-Up,Publicado hace 1 día,53.000 km,11686400
Fiat,Strada,2021,1.4 8v Endurance Cs,Blanco,Nafta,3,Manual,1.4,Pick-Up,Publicado hace 1 día,53.000 km,11686400
Fiat,Strada,2021,1.4 8v Endurance Cs,Blanco,Nafta,3,Manual,1.4,Pick-Up,Publicado hace 1 día,53.000 km,18989900
Fiat,A,2024,Pagar Strada Pyme Flota Empresa Permuto Auto Usados Sv,Plateado,Nafta,3,Manual,1.4,Pick-Up,Publicado hace 19 días,500 km,7800
Fiat,Strada,2024,1.3 Freedom Volcano Ultra Pickup Camioneta Cd Mg,Blanco,Nafta,3,Automática,1.3,Pick-Up,Publicado hace 46 días,500 km,16800
Fiat,Strada,2018,1.6 Adventure Cd Pack Top,Rojo,Nafta,3,Manual,1.6,Pick-Up,Publicado hace 4 días,66.350 km,19200000
Fiat,Strada,2022,1.4 8v Freedom Cd,Gris,Nafta,3,Manual,1.4,Pick-Up,Publicado hace 8 días,68.000 km,21000000
