Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Fiat,Toro,2022,1.8 170 E-torq Evo Freedom At6,Negro,Nafta,4,Automática,1.8,Pick-Up,Publicado hace 1 día,50.435 km,12000
Fiat,Toro,2018,2.0 Freedom 4x2 (l),Blanco,Diésel,4,Manual,2.0,Pick-Up,Publicado hace 1 día,49.160 km,23800000
Fiat,Toro,2022,1.8 170 E-torq Evo Freedom At6,Negro,Nafta,4,Automática,1.8,Pick-Up,Publicado hace 1 día,50.435 km,15620
Fiat,Toro,2018,2.0 Freedom 4x4 At,Blanco,Diésel,4,Automática,2.0,Pick-Up,Publicado hace 11 días,49.000 km,23800000
Fiat,Toro,2019,2.0 Volcano 4x4 At,Rojo,Diésel,4,Automática,2.0,Pick-Up,Publicado hace 41 días,168.667 km,24500000
Fiat,Toro,2021,2.0 Freedom 4x4 At,Gris,Diésel,4,Automática,2.0,Pick-Up,Publicado hace 49 días,77.960 km,30975000
Fiat,Toro,2019,"2.0 Freedom 4x4 At Vendo, Permuto, Financio¡¡¡¡ Eb",Negro,Diésel,4,Automática,2.0,Pick-Up,Publicado hace 53 días,145.000 km,26800000
Fiat,Toro,2018,2.0 Volcano 4x4 At Pack Premium (bruno M),Blanco,Diésel,4,Automática,2.0,Pick-Up,Publicado hace 2 meses,100.000 km,26200000
Fiat,Toro,2019,No disponible,Rojo,Nafta,4,Automática,1.8,Pick-Up,Publicado hace 5 meses,108.000 km,25000000
Fiat,Toro,2018,1.8 At Volcano 4x4 101.000km 2018 (fran),Blanco,Diésel,4,Automática,2.0,Pick-Up,Publicado hace 7 meses,101.000 km,25400000
Fiat,Toro,2022,2.0 Volcano 4x4 At,Blanco,Diésel,4,Automática,2.0,Pick-Up,Publicado hace 38 días,66.340 km,32400
Fiat,Toro,2023,2.0 Freedom My19 4x4 At,Negro,Diésel,4,Automática,2.0,Pick-Up,Publicado hace 2 meses,33.000 km,37899000
Fiat,Toro,2018,2.0 Volcano 4x4 At,Negro,Diésel,4,Automática,2.0,Pick-Up,Publicado hace 3 meses,190.000 km,22000000
Fiat,Toro,2017,2.0 Volcano 4x4 At,Blanco,Diésel,4,Automática,2.0,Pick-Up,Publicado hace 3 días,113.000 km,25000000
Fiat,Toro,2017,2.0 Freedom 4x2 // Forcamsm,Negro,Diésel,4,Manual,2.0,Pick-Up,Publicado hace 4 meses,116.000 km,21500000
Fiat,Toro,2020,2.0 Volcano 4x4 At,Gris,Diésel,4,Automática,2.0,Pick-Up,Publicado hace 6 días,135.000 km,27990000
Fiat,Toro,2022,1.8 Freedom,Plateado,Nafta,4,Automática,1.8,Pick-Up,Publicado hace 3 días,32.000 km,26500
Fiat,Toro,2017,2.0 Volcano 4x4 At,Blanco,Diésel,4,Automática,2.0,Pick-Up,Publicado hace 11 días,92.000 km,22000
Fiat,Toro,2020,1.8 Freedom 4x2 At,Negro,Nafta,4,Automática,1.8,Pick-Up,Publicado hace 22 días,84.000 km,25900000
Fiat,Toro,2019,1.8 Freedom 4x2 At // Forcamsm,Gris,Nafta,4,Automática,1.8,Pick-Up,Publicado hace 2 meses,139.000 km,25000000
Fiat,Toro,2018,2.0 Freedom 4x4 At,Blanco,Diésel,4,Automática,2.0,Pick-Up,Publicado hace 7 días,49.160 km,23800000
Fiat,Toro,2020,1.8 Freedom 4x2 At,Blanco,Nafta,4,Automática,1.8,Pick-Up,Publicado hace 10 días,72.559 km,25000000
Fiat,Toro,2020,2.0 Freedom 4x4 At,Blanco,Diésel,4,Automática,2.0,Pick-Up,Publicado hace 14 días,160.000 km,23990
Fiat,Toro,2017,2.0 Volcano 4x4 At,Gris,Diésel,4,Automática,2.0,Pick-Up,Publicado hace 2 meses,94.000 km,25750000
Fiat,Toro,2019,1.8 Freedom 4x2 At,Plateado,Nafta,4,Automática,1.8,Pick-Up,Publicado hace 11 días,122.000 km,19800000
Fiat,Toro,2019,2.0 Freedom At9 4x4 Financio Permuto LG,Negro,Diésel,5,Automática,2.0,Pick-Up,Publicado hace 32 días,145.000 km,7000000
Fiat,Toro,2019,2.0 Freedom At9 4x4 Financio Permuto LG,Negro,Diésel,5,Automática,2.0,Pick-Up,Publicado hace 32 días,145.000 km,7000000
Fiat,Toro,2016,2.0 Volcano 4x4 At,Rojo,Diésel,4,Automática,2.0,Pick-Up,Publicado hace 39 días,109.660 km,18990
Fiat,Toro,2017,2.0 Freedom 4x4,Blanco,Diésel,4,Manual,2.0,Pick-Up,Publicado hace 2 meses,137.000 km,25000000
Fiat,Toro,2018,2.0 Volcano 4x4 At,Blanco,Diésel,4,Automática,2.0,Pick-Up,Publicado hace 2 meses,109.655 km,23500000
Fiat,Toro,2020,2.0 Volcano 4x4 At,Negro,Diésel,4,Automática,2.0,Pick-Up,Publicado hace 2 meses,106.000 km,31800000
Fiat,Toro,2017,2.0 Volcano 4x4 At /,Rojo,Diésel,4,Automática,2.0,Pick-Up,Publicado hace 3 meses,86.100 km,26500000
Fiat,Toro,2017,2.0 Volcano 4x4 At,Rojo,Diésel,4,Automática,2.0,Pick-Up,Publicado hace 5 meses,126.000 km,22000000
Fiat,"Range,toyota",2024,"Hilux,vw Amarok,jeep Ram,utilitario, Carga",Blanco,Nafta,5,Automática,1.3,Pick-Up,Publicado hace 3 días,1.500 km,14500000
Fiat,Toro,2018,2.0 Volcano 4x4 At,Verde,Diésel,4,Automática,2.0,Pick-Up,Publicado hace 13 días,126.000 km,29000000
Fiat,Toro,2019,2.0 Freedom 4x4 At Pack Technology Lb,Negro,Diésel,4,Automática,2.0,Pick-Up,Publicado hace 32 días,145.000 km,12000000
Fiat,Toro,2020,1.8 Freedom 4x2 At,Blanco,Nafta,4,Automática,1.8,Pick-Up,Publicado hace 49 días,125.000 km,18000
Fiat,Toro,2017,2.0 Volcano 4x4 At,Negro,Diésel,4,Automática,2.0,Pick-Up,Publicado hace 4 meses,125.000 km,24000
Fiat,Toro,2022,2.0 350 Multijet Ultra 4x4 At,Gris,Diésel,4,Automática,2.0,Pick-Up,Publicado hace 14 días,30.000 km,37900000
Fiat,Toro,2020,1.8 Freedom 4x2 At,Azul,Nafta,4,Automática,1.8,Pick-Up,Publicado hace 2 meses,75.000 km,25000000
Fiat,Toro,2024,1.3 T270 Volcano 4x2 At,Negro,Nafta,4,Automática,1.3,Pick-Up,Publicado hace 5 meses,23.000 km,32000
Fiat,Toro,2017,2.0 Volcano 4x4 At,Plateado,Diésel,4,Automática,2.0,Pick-Up,Publicado hace 1 día,110.000 km,18500
Fiat,Toro,2018,2.0 Freedom 4x4 At,Blanco,Diésel,4,Automática,2.0,Pick-Up,Publicado hace 8 días,49.000 km,23800000
Fiat,Toro,2021,2.0 Volcano 4x4 At Pack Premium,Marrón,Diésel,4,Automática,2.0,Pick-Up,Publicado hace 20 días,55.000 km,26900
Fiat,Toro,2022,1.8 Freedom 4x2 At,Gris,Nafta,4,Automática,1.8,Pick-Up,Publicado hace 2 días,96.000 km,25500
Fiat,Toro,2020,1.8 Freedom 4x2 At,Blanco,Nafta,4,Automática,1.8,Pick-Up,Publicado hace 6 días,75.000 km,23500000
Fiat,Toro,2016,4x4 2.0 Fresón Cuero,Rojo,Diésel,4,Manual,2.0,Pick-Up,Publicado hace 5 meses,117.000 km,18500000
Fiat,Toro,2017,Volcano 2.0 At 4x4 { Unico Dueño - Excelente },Gris,Diésel,4,Automática,2.0,Pick-Up,Publicado hace 6 días,82.000 km,22800
