Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Ford,bronco-sport,2021,Sport 2.0 4wd Wildtrak At8 (lili),Blanco,Nafta,5,Automática,2.0,SUV,Publicado hace 3 días,61.100 km,42000000
Ford,bronco-sport,2021,Sport 2.0 4wd Wildtrak At8 2021 (fran),Blanco,Nafta,5,Automática,2.0,SUV,Publicado hace 6 días,61.000 km,42000000
Ford,bronco-sport,2021,Wildtrak 2021 Smart Garage,Gris,Nafta,5,Automática,2.0,SUV,Publicado hace 46 días,63.000 km,37000
Ford,bronco-sport,2024,Sport 2.0 Ecoboost 4wd Wildtrak At8,Gris,Nafta,5,Automática,2.0,SUV,Publicado hace 52 días,13.500 km,49000
Ford,bronco-sport,2024,Sport 2.0 4wd Wildtrak At8 2023 2024 - (bruno M),Blanco,Nafta,5,Automática,2.0,SUV,Publicado hace 2 meses,10.000 km,58500000
Ford,bronco-sport,2023,Sport 2.0 4wd Wildtrak At8 9.200km 2023 (fran),Blanco,Nafta,5,Automática,2.0,SUV,Publicado hace 3 meses,9.200 km,58500000
Ford,bronco-sport,2022,Sport 2.0 4wd Wildtrak At8,Blanco,Nafta,5,Automática,2.0,SUV,Publicado hace 5 días,53.000 km,48000000
Ford,bronco-sport,2023,Sport 2.0 4wd Wildtrak At8,Gris,Nafta,5,Automática,2.0,SUV,Publicado hace 2 meses,21.900 km,50500000
Ford,bronco-sport,2024,Sport 2.0 4wd Wildtrak At8,Gris,Nafta,5,Automática,2.0,SUV,Publicado hace 24 días,9.200 km,42500
Ford,bronco-sport,2023,Sport 2.0 4wd Wildtrak At8,Blanco,Nafta,5,Automática,2.0,SUV,Publicado hace 52 días,13.000 km,41990
Ford,bronco-sport,2022,Sport 2.0 4wd Wildtrak At8,Plateado,Nafta,5,Automática,2.0,SUV,Publicado hace 2 meses,54.000 km,46500000
Ford,bronco-sport,2024,Big Bend 1.5,Blanco,Nafta,5,Automática,1.5,SUV,Publicado hace 6 meses,28.000 km,48000000
Ford,bronco-sport,2022,Sport 2.0 4wd Wildtrak At8,Plateado,Nafta,5,Automática,2.0,SUV,Publicado hace 3 meses,53.000 km,38800
Ford,bronco-sport,2022,Sport 2.0 4wd Wildtrak At8,Gris,Nafta,5,Automática,2.0,SUV,Publicado hace 14 días,59.000 km,39000
Ford,bronco-sport,2022,Sport 2.0 4wd Wildtrak At8,Gris,Nafta,5,Automática,2.0,SUV,Publicado hace 3 días,23.500 km,50900000
Ford,bronco-sport,2022,Sport 2.0 4wd Wildtrak At8,Gris,Nafta,5,Automática,2.0,SUV,Publicado hace 53 días,33.000 km,48900000
Ford,bronco-sport,2024,Sport 2.0 Ecoboost 4wd Wildtrak At8,Gris,Nafta,5,Automática,2.0,SUV,Publicado hace 14 días,16.000 km,50000000
Ford,bronco-sport,2024,Sport 2.0 4wd Wildtrak At8,Negro,Nafta,5,Automática,2.0,SUV,Publicado hace 3 meses,5.200 km,48000
Ford,bronco-sport,2022,Sport 2.0 4wd Wildtrak At8,Plateado,Nafta,5,Automática,2.0,SUV,Publicado hace 48 días,50.000 km,36500
