Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Ford,Ecosport,2019,Titanium 1.5 Automatica,Negro,Nafta,5,Automática,1.5,SUV,Publicado hace 3 días,65.000 km,20000000
Ford,Ecosport,2019,1.5 Se 123cv 4x2,Rojo,Nafta,5,Automática,1.5,SUV,Publicado hace 5 días,85.000 km,18989900
Ford,Ecosport,2017,1.5 Titanium 123cv 4x2,Azul,Nafta,5,Manual,1.5,SUV,Publicado hace 12 días,69.000 km,21890900
Ford,Ecosport,2018,1.5 Se 123cv 4x2 Ugarcia,Azul,Nafta,5,Manual,1.5,SUV,Publicado hace 19 días,86.400 km,17900000
Ford,Ecosport,2014,2.0 Freestyle 143 4x4,Plateado,Nafta,5,Manual,2.0,SUV,Publicado hace 21 días,190.000 km,15000000
Ford,Ecosport,2015,1.6 Se 110cv 4x2,Plateado,Nafta,5,Manual,1.6,SUV,Publicado hace 23 días,54.530 km,18250000
Ford,Ecosport,2018,1.5 Titanium 123cv 4x2,Rojo,Nafta,5,Manual,1.5,SUV,Publicado hace 28 días,45.000 km,18500
Ford,Ecosport,2017,1.5 Titanium 123cv 4x2 Automática,Blanco,Nafta,5,Automática,1.5,SUV,Publicado hace 30 días,74.000 km,20600000
Ford,Ecosport,2022,1.5 Se 123cv 4x2 Manual,Azul,Nafta,5,Manual,1.5,SUV,Publicado hace 34 días,42.523 km,24250000
Ford,Ecosport,2021,1.5 Titanium 123cv 4x2,Blanco,Nafta,5,Automática,1.5,SUV,Publicado hace 38 días,62.010 km,25000000
Ford,Ecosport,2016,Freestyle 1.6 Mt,Plateado,Nafta,5,Manual,1.6,SUV,Publicado hace 53 días,68.500 km,18499900
Ford,Ecosport,2017,1.5 Se 123cv 4x2,Blanco,Nafta,5,Manual,1.5,SUV,Publicado hace 54 días,50.000 km,16400
Ford,Ecosport,2018,1.5 Se 123cv 4x2 At 78.000km 2018 (fran),Naranja,Nafta,5,Automática,1.5,SUV,Publicado hace 2 meses,78.000 km,18000000
Ford,Ecosport,2018,1.5 Titanium 123cv 4x2 // Forcammo,Gris,Nafta,5,Manual,1.5,SUV,Publicado hace 2 meses,121.000 km,22500000
Ford,Ecosport,2014,1.6 Se 110cv 4x2,Dorado,Nafta,5,Manual,1.6,SUV,Publicado hace 3 meses,126.000 km,12400
Ford,Ecosport,2005,4x4,Gris,Nafta,5,Manual,2.0,SUV,Publicado hace 11 meses,169.000 km,9000
Ford,Ecosport,2015,1.6 Freestyle 110cv 4x2 2015 Cubiertas Nuevas,Blanco,Nafta,5,Manual,1.6,SUV,Publicado hace 24 días,115.000 km,14900
Ford,Ecosport,2017,1.6 Se 110cv 4x2,Negro,Nafta,5,Manual,1.6,SUV,Publicado hace 34 días,58.300 km,15500
Ford,Ecosport,2022,1.5 Se 123cv 4x2,Blanco,Nafta,5,Manual,1.5,SUV,Publicado hace 41 días,22.435 km,19900
Ford,Ecosport,2015,"5 Puertas 2,0 Titanium 2015 Bl",Naranja,Nafta,5,Manual,2.0,SUV,Publicado hace 9 meses,141.559 km,17500000
Ford,Ecosport,2020,1.5 Se 123cv 4x2 Smart Garage,Plateado,Nafta,5,Automática,1.5,SUV,Publicado hace 24 días,68.000 km,17400
Ford,Ecosport,2018,1.5 Se 123cv 4x2 2018 Unico Dueño Impecable,Azul,Nafta,5,Manual,1.5,SUV,Publicado hace 38 días,67.000 km,16900
Ford,Ecosport,2014,2.0 Titanium 143cv 4x2,Rojo,Nafta/GNC,5,Manual,2.0,SUV,Publicado hace 53 días,112.000 km,13900
Ford,Ecosport,2018,1.5 Se 123cv 4x2 Smart Garage,Azul,Nafta,5,Manual,1.5,SUV,Publicado hace 3 meses,53.000 km,15900
Ford,Ecosport,2021,1.5 Freestyle 123cv 4x2,Blanco,Nafta,5,Manual,1.5,SUV,Publicado hace 4 días,41.600 km,22800000
Ford,Ecosport,2009,1.6 Xls Mp3 4x2 Año 2009 - Liv Motors,Gris,Nafta,5,Manual,1.6,SUV,Publicado hace 12 días,160.000 km,9500000
Ford,Ecosport,2019,1.5 Titanium 123cv 4x2 Manual,Azul,Nafta,5,Manual,1.5,SUV,Publicado hace 12 días,37.700 km,19900000
Ford,Ecosport,2020,1.5 Freestyle 123cv 4x2,Azul,Nafta,5,Manual,1.5,SUV,Publicado hace 13 días,30.000 km,24500000
Ford,Ecosport,2019,1.5 Se 123cv 4x2 Manual,Gris,Nafta,5,Manual,1.5,SUV,Publicado hace 19 días,67.000 km,18500
Ford,Ecosport,2014,1.6 S 110cv 4x2,Blanco,Nafta,5,Manual,1.6,SUV,Publicado hace 27 días,161.400 km,13990000
Ford,Ecosport,2021,1.5 Se 123cv 4x2 Manual,Rojo,Nafta,5,Manual,1.5,SUV,Publicado hace 2 meses,28.000 km,24000000
Ford,Ecosport,2020,1.5 Titanium 123cv 4x2,Rojo,Nafta/GNC,5,Automática,1.5,SUV,Publicado hace 3 meses,40.000 km,24500000
Ford,Ecosport,2018,Titanium 1.5l Mt,Gris,Nafta,5,Manual,1.5,SUV,Publicado hace 6 meses,91.300 km,17500
Ford,Ecosport,2020,1.5 Se Mt - Motormax,Plateado,Nafta,5,Manual,1.5,SUV,Publicado hace 1 día,61.000 km,20800000
Ford,Ecosport,2017,1.5 Titanium 123cv 4x2,Plateado,Nafta,5,Manual,1.5,SUV,Publicado hace 10 días,80.000 km,19500000
Ford,Ecosport,2017,1.5 S 123cv 4x2,Blanco,Nafta/GNC,5,Manual,1.5,SUV,Publicado hace 17 días,146.000 km,15000000
Ford,Ecosport,2019,1.5 Freestyle 123cv 4x2,Rojo,Nafta,5,Manual,1.5,SUV,Publicado hace 19 días,58.200 km,21300000
Ford,Ecosport,2009,1.6 Xl Plus Mp3 4x2,Gris,Nafta,5,Manual,1.6,SUV,Publicado hace 47 días,199.300 km,9200000
Ford,Ecosport,2020,1.5 Se 123cv 4x2 Manual,Negro,Nafta,5,Manual,1.5,SUV,Publicado hace 2 meses,65.000 km,21000000
Ford,Ecosport,2018,1.5 Freestyle 123cv 4x2 // Forcamsm,Blanco,Nafta,5,Manual,1.5,SUV,Publicado hace 3 meses,115.000 km,21000000
Ford,Ecosport,2018,Se 1.5l 4x2,Blanco,Nafta,5,Manual,1.5,SUV,Publicado hace 7 meses,88.600 km,18800000
Ford,Ecosport,2018,1.5 Freestyle 123cv 4x2 N,Blanco,Nafta,5,Manual,1.5,SUV,Publicado hace 3 días,113.000 km,19000000
Ford,Ecosport,2017,2.0 Titanium Powershift 143cv 4x2,Negro,Nafta,5,Automática,2.0,SUV,Publicado hace 6 días,107.000 km,16500
Ford,Ecosport,2017,1.6 Titanium 110cv 4x2,Blanco,Nafta,5,Manual,1.6,SUV,Publicado hace 6 días,110.000 km,18500000
Ford,Ecosport,2018,1.5 Titanium 123cv 4x2,Negro,Nafta,5,Manual,1.5,SUV,Publicado hace 10 días,71.300 km,19490
Ford,Ecosport,2015,No disponible,Blanco,Nafta,5,Manual,2.0,SUV,Publicado hace 30 días,98.000 km,16800000
Ford,Ecosport,2017,1.6 S 110cv 4x2 Gnc,Negro,Nafta/GNC,5,Manual,1.6,SUV,Publicado hace 4 meses,73.000 km,15000
Ford,Ecosport,2017,1.6 S 110cv 4x2 Gnc,Negro,Nafta/GNC,5,Manual,1.6,SUV,Publicado hace 4 meses,73.000 km,15000
Ford,Ecosport,2015,2.0 Titanium Captur Tracker Duster Camioneta,Dorado,Nafta,5,Manual,2.0,SUV,Publicado hace 12 días,99.000 km,16790000
Ford,Ecosport,2015,1.6 Se 110cv 4x2,Rojo,Nafta,5,Manual,1.6,SUV,Publicado hace 15 días,118.000 km,11800
Ford,Ecosport,2020,2.0 Gdi Storm 170cv 4x4 /fa,Azul,Nafta,5,Automática,2.0,SUV,Publicado hace 18 días,84.800 km,26500000
Ford,Ecosport,2023,1.5 Titanium 123cv 4x2,Gris,Nafta,5,Automática,1.5,SUV,Publicado hace 19 días,34.000 km,26990000
Ford,Ecosport,2021,"1.5 Se Manual Gnc Impecable, Garantía, Nueva",Plateado,Nafta,5,Manual,1.5,SUV,Publicado hace 47 días,43.750 km,22500000
Ford,Ecosport,2017,1.5 Se 123cv 4x2,Plateado,Nafta,5,Manual,1.5,SUV,Publicado hace 2 meses,123.032 km,18400000
Ford,Ecosport,2010,2.0 Xls 4x2,Negro,Nafta,5,Manual,2.0,SUV,Publicado hace 1 día,210.000 km,8200
Ford,Ecosport,2011,1.6 My10 Xls 4x2 Carwestcaba,Beige,Nafta,5,Manual,1.6,SUV,Publicado hace 3 días,129.400 km,10900000
Ford,Ecosport,2018,1.5 Se 123cv 4x2,Negro,Nafta,5,Manual,1.5,SUV,Publicado hace 9 días,56.100 km,19500000
Ford,Ecosport,2016,2.0 Titanium 143cv 4x2 Carwestcaba,Blanco,Nafta,5,Manual,2.0,SUV,Publicado hace 10 días,68.200 km,18000000
Ford,Ecosport,2020,1.5 Se 123cv 4x2 Manual,Negro,Nafta,5,Manual,1.5,SUV,Publicado hace 18 días,41.700 km,21900000
