Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Ford,F-100,1976,1974 Motor 221 Original Nafta Nunca Gas,Verde,Nafta,2,Manual,3.6,Pick-Up,Publicado hace 7 meses,200.000 km,14500
Ford,F-100,1999,1999 4.3 D Mwm,Blanco,Diésel,2,Manual,4.3,Pick-Up,Publicado hace 11 meses,287.000 km,16500
Ford,F-100,1995,4.9 Xlt D Super Cab,Rojo,Diésel,2,Manual,4.9,Pick-Up,Publicado hace 47 días,9.500 km,39900
Ford,F-100,1994,4.3 D Mwm,Azul,Diésel,2,Manual,4.3,Pick-Up,Publicado hace 5 meses,300.000 km,13000
Ford,F-100,1970,No disponible,Rojo,Nafta,2,Manual,No disponible,Pick-Up,Publicado hace 19 días,800 km,22000
Ford,F-100,1997,1997 4.2 I Xl Mwm,No disponible,Diésel,2,Manual,4.2,Pick-Up,Publicado hace 5 meses,15.111 km,19000
Ford,F-100,1987,3.6,Blanco,Diésel,2,Manual,3.6,Pick-Up,Publicado hace 47 días,500.000 km,9000
Ford,F-100,1979,1979 3.9d Lujo,No disponible,Diésel,2,Manual,3.9,Pick-Up,Publicado hace 11 meses,240.000 km,11000
Ford,F-100,1989,No disponible,Rojo,Diésel,2,Manual,Perkin 4 potenciado,Pick-Up,Publicado hace 1 día,190.000 km,9000000
Ford,F-100,1992,3.6,Blanco,Nafta,2,Manual,3.6,Pick-Up,Publicado hace 20 días,1.000 km,11000
Ford,F-100,1980,3.6 Lujo,Verde,Nafta,2,Manual,3.6,Pick-Up,Publicado hace 2 meses,150.000 km,22000
Ford,F-100,1970,3.6 Lujo,Celeste,Nafta,2,Manual,3.6,Pick-Up,Publicado hace 3 meses,260.000 km,18800
Ford,F-100,1993,3.9 D,Blanco,Diésel,2,Manual,3.9,Pick-Up,Publicado hace 53 días,480.000 km,10000000
Ford,F-100,1980,3.6 Std,Negro,Nafta,2,Manual,3.6,Pick-Up,Publicado hace 59 días,200.000 km,6000
Ford,F-100,1993,4.3 D Mwm,Gris,Diésel,2,Manual,4.3,Pick-Up,Publicado hace 59 días,396.000 km,12500
Ford,F-100,1992,3.6,Marrón,Nafta/GNC,2,Manual,3.6,Pick-Up,Publicado hace 12 días,200.000 km,14000000
Ford,F-100,1981,V8 1981,Amarillo,Nafta/GNC,2,Manual,3.6,Pick-Up,Publicado hace 24 días,10.000 km,15000
Ford,F-100,1994,2.5 I Super Cab,Gris,Diésel,2,Manual,2.5,Pick-Up,Publicado hace 26 días,195.000 km,17900
Ford,F-100,1979,Modelo 1979 C/ Gnc,Azul,Nafta/GNC,2,Manual,3.6,Pick-Up,Publicado hace 5 meses,999.999 km,9000000
Ford,F-100,1982,1981 Deluxe,Marrón,Nafta,2,Manual,3.6,Pick-Up,Publicado hace 10 meses,111.111 km,18000
Ford,F-100,1994,F100 Deutz4cilindros,No disponible,Diésel,3,No disponible,No disponible,No disponible,Publicado hace 7 meses,150.000 km,20000
Ford,F-100,1987,F100,Blanco,Diésel,2,Manual,3.6,Pick-Up,Publicado hace 5 meses,180.000 km,7500
Ford,F-100,2011,3.9 Cab. Doble Xlt 4x4,Azul,Diésel,5,Manual,3.9,Pick-Up,Publicado hace 7 días,210.000 km,35000
Ford,F-100,1980,Otros,No disponible,Diésel,3,No disponible,No disponible,No disponible,Publicado hace 27 días,947 km,10000
Ford,F-100,1982,3.6 Std,Blanco,Nafta,2,Manual,3.6,Pick-Up,Publicado hace 2 días,1.000 km,9900
