Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Ford,Fiesta,2017,Kinetic 1.6 Se Powershift 120cv Focus 208 Etios,Rojo,Nafta,5,Automática,1.6,Hatchback,Publicado hace 5 días,52.334 km,17000000
Ford,Fiesta,2015,2015 Kinetic 1.6 Se 120cv No Se Plus Titanium,Negro,Nafta,5,Manual,1.6,Hatchback,Publicado hace 6 días,95.000 km,12989900
Ford,Fiesta,2017,Kinetic 1.6 Se Powershift 120cv Fit 208 Onix,Rojo,Nafta,5,Automática,1.6,Hatchback,Publicado hace 7 días,52.000 km,17000000
Ford,Fiesta,2018,Kinetic 1.6 Titanium Powershift 120cv,Plateado,Nafta,5,Automática,1.6,Hatchback,Publicado hace 10 días,132.332 km,14000
Ford,Fiesta,2013,Kinetic 1.6 Design 120cv Titanium No Mondeo An,Plateado,Nafta,5,Manual,1.6,Hatchback,Publicado hace 10 días,138.000 km,13000000
Ford,Fiesta,2016,Kinetic 1.6 Titanium Powershift 120cv,Blanco,Nafta,5,Automática,1.6,Hatchback,Publicado hace 18 días,101.435 km,14250000
Ford,Fiesta,2017,Kinetic 1.6 Se 120cv,Rojo,Nafta,5,Manual,1.6,Hatchback,Publicado hace 19 días,72.000 km,16890900
Ford,Fiesta,2014,Kinetic 1.6 S Plus Excelente Estado!,Negro,Nafta,5,Manual,1.6,Sedán,Publicado hace 31 días,68.500 km,11500
Ford,Fiesta,2015,Kinetic 1.6 Se Plus 120cv,Negro,Nafta,5,Manual,1.6,Hatchback,Publicado hace 3 meses,81.000 km,13500
Ford,Fiesta,2015,Kinetic,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 4 meses,65.800 km,13000
Ford,Fiesta,2017,Se 1.6l,Azul,Nafta,5,Manual,1.6,Hatchback,Publicado hace 5 meses,120.717 km,13900000
Ford,Fiesta,2015,Kinetic 1.6 Titanium Powershift 120cv,Plateado,Nafta,5,Automática,1.6,Hatchback,Publicado hace 10 días,60.000 km,15800000
Ford,Fiesta,2014,Kinetic 1.6 Se Plus 120cv,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 10 días,123.000 km,13489900
Ford,Fiesta,2017,Kinetic 1.6 Sedan Titanium Powershift 120cv,Plateado,Nafta,4,Automática,1.6,Sedán,Publicado hace 13 días,120.000 km,13900
Ford,Fiesta,2015,Kinetic 1.6 Se 120cv,Negro,Nafta,5,Manual,1.6,Hatchback,Publicado hace 1 día,95.000 km,7000000
