Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Ford,focus-iii,2017,Iii 1.6 S E,Beige,Nafta,5,Manual,1.6,Hatchback,Publicado hace 10 días,107.000 km,17000000
Ford,focus-iii,2019,Iii 1.6 Sedan S,Blanco,Nafta,4,Manual,1.6,Sedán,Publicado hace 10 días,87.000 km,10788800
Ford,focus-iii,2019,Iii 1.6 Sedan S,Blanco,Nafta,4,Manual,1.6,Sedán,Publicado hace 10 días,87.000 km,17989900
Ford,focus-iii,2014,Iii 2.0 Sedan Titanium At6,Blanco,Nafta,4,Automática,2.0,Sedán,Publicado hace 11 días,141.000 km,16300000
Ford,focus-iii,2014,Iii 2.0 Se Plus At6 - Liv Motors,Gris,Nafta,5,Automática,2.0,Hatchback,Publicado hace 19 días,115.000 km,11900
Ford,focus-iii,2017,Iii 2.0 Titanium At6,Rojo,Nafta,5,Automática,2.0,Hatchback,Publicado hace 23 días,105.000 km,17500
Ford,focus-iii,2015,Iii 2.0 Se Plus At6 81.177km 2015,Negro,Nafta,5,Automática,2.0,Hatchback,Publicado hace 40 días,81.177 km,16900000
Ford,focus-iii,2016,Iii 2.0 Sedan Titanium 2016 Unico Dueño,Blanco,Nafta,4,Automática,2.0,Sedán,Publicado hace 5 meses,105.000 km,15900
Ford,focus-iii,2016,Iii 2.0 Se Plus At6,Dorado,Nafta,5,Automática,2.0,Hatchback,Publicado hace 10 meses,99.000 km,14500
Ford,focus-iii,2014,Iii 2.0 Se Plus At6,Azul,Nafta,5,Automática,2.0,Hatchback,Publicado hace 4 días,100.000 km,14800000
Ford,focus-iii,2017,Iii 1.6 S,Azul,Nafta,5,Manual,1.6,Hatchback,Publicado hace 25 días,104.000 km,14500
Ford,focus-iii,2017,Iii 2.0 Se,Gris,Nafta,5,Manual,2.0,Hatchback,Publicado hace 2 meses,145.000 km,16500000
Ford,focus-iii,2016,Iii 2.0 Sedan Titanium Mt,Negro,Nafta,4,Manual,2.0,Sedán,Publicado hace 11 días,121.000 km,17500000
Ford,focus-iii,2015,Iii 1.6 S,Negro,Nafta,5,Manual,1.6,Hatchback,Publicado hace 26 días,110.000 km,12500
