Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Ford,Ka,2020,1.5 Se,Plateado,Nafta,5,Manual,1.5,Hatchback,Publicado hace 3 días,52.000 km,17800000
Ford,Ka,2018,1.5 Sel 2018 (mja),Negro,Nafta,5,Manual,1.5,Hatchback,Publicado hace 3 días,63.000 km,15000000
Ford,Ka,2013,1.0 Fly Viral 63cv Aire Y Direccion Ant $4.900.000,Blanco,Nafta,3,Manual,1.0,Hatchback,Publicado hace 9 días,131.000 km,8900000
Ford,Ka,2016,1.5 S,Rojo,Nafta,3,Manual,1.5,Hatchback,Publicado hace 26 días,91.000 km,11800
Ford,Ka,2017,1.5 Sel,Rojo,Nafta,5,Manual,1.5,Hatchback,Publicado hace 26 días,89.000 km,12800
Ford,Ka,2017,1.5 Se 4p Dd,Blanco,Nafta,5,Manual,1.5,Hatchback,Publicado hace 33 días,140.000 km,13799000
Ford,Ka,2020,1.5 S,Blanco,Nafta,5,Manual,1.5,Hatchback,Publicado hace 37 días,48.368 km,16900000
Ford,Ka,2017,1.5 Se,Blanco,Nafta,5,Manual,1.5,Hatchback,Publicado hace 39 días,86.000 km,16900000
Ford,Ka,2020,1.5 S,Gris,Nafta,5,Manual,1.5,Hatchback,Publicado hace 42 días,71.000 km,15590000
Ford,Ka,2018,Sel 2018 1.5 Mt Smart Garage,Rojo,Nafta,5,Manual,1.5,Hatchback,Publicado hace 2 meses,84.000 km,13600
Ford,Ka,2020,S 2020 1.5 Mt Sedan Smart Garage,Negro,Nafta,5,Manual,1.5,Hatchback,Publicado hace 5 meses,86.000 km,13200
Ford,Ka,2017,1.5 Sel,Blanco,Nafta,5,Manual,1.5,Hatchback,Publicado hace 6 días,95.000 km,12700
Ford,Ka,2020,1.5 S,Blanco,Nafta,5,Manual,1.5,Hatchback,Publicado hace 9 días,42.139 km,17450000
Ford,Ka,2020,1.5 Sel Kb,Dorado,Nafta,5,Manual,1.5,Hatchback,Publicado hace 17 días,63.038 km,18700000
Ford,Ka,2009,1.6 Fly Viral 2009 Unico Dueño (eo),Gris,Nafta,3,Manual,1.6,Hatchback,Publicado hace 19 días,151.000 km,7900000
Ford,Ka,2020,1.5 Sel At 5p Smart Garage,Plateado,Nafta,5,Automática,1.5,Hatchback,Publicado hace 3 días,68.000 km,16500
Ford,Ka,2018,1.5 Se 2018,Blanco,Nafta,5,Manual,1.5,Hatchback,Publicado hace 39 días,100.293 km,15400000
Ford,Ka,2017,1.5 S,Gris,Nafta,5,Manual,1.5,Hatchback,Publicado hace 2 meses,70.000 km,12500
