Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Ford,Ranger,2021,3.2 Cd Limited Tdci 200cv,Gris,Diésel,4,Automática,3.2,Pick-Up,Publicado hace 5 días,95.000 km,33500
Ford,Ranger,2016,3.2 Cd 4x4 Xlt Tdci 200cv At,Blanco,Diésel,4,Automática,3.2,Pick-Up,Publicado hace 6 días,120.000 km,27989900
Ford,Ranger,2017,3.2 Cd Xls Tdci 200cv Manual 4x2,Blanco,Diésel,4,Manual,3.2,Pick-Up,Publicado hace 10 días,95.000 km,27890900
Ford,Ranger,2018,2.2 Cd Xl Tdci 150cv,Gris,Diésel,4,Manual,2.2,Pick-Up,Publicado hace 18 días,180.000 km,19000
Ford,Ranger,2019,2.2 Cd Xl Tdci 150cv 2019 (fran),Azul,Diésel,2,Manual,2.2,Pick-Up,Publicado hace 20 días,150.000 km,24500000
Ford,Ranger,2015,3.2 Cd 4x4 Limited Tdci 200cv At,Negro,Diésel,4,Automática,3.2,Pick-Up,Publicado hace 23 días,138.000 km,23999
Ford,Ranger,2014,Limited 2014 Smart Garage,Dorado,Diésel,4,Automática,3.2,Pick-Up,Publicado hace 44 días,102.000 km,22500
Ford,Ranger,2021,3.2 Cd Limited Tdci 200cv,Gris,Diésel,4,Automática,3.2,Pick-Up,Publicado hace 44 días,209.000 km,34500000
Ford,Ranger,2021,3.2 Cd Limited Tdci 200cv,Plateado,Diésel,4,Automática,3.2,Pick-Up,Publicado hace 47 días,130.000 km,33000
Ford,Ranger,2017,2.5 Cd Ivct Xl 166cv,Blanco,Nafta,4,Manual,2.5,Pick-Up,Publicado hace 52 días,282.000 km,22999000
Ford,Ranger,2023,3.0 Cd 4x4 Limited + At 250cv,Blanco,Diésel,4,Automática,3.0,Pick-Up,Publicado hace 3 meses,19.700 km,49900
Ford,Ranger,2021,Xl 2.2 2021 Doble Cabina 4x2 60.000 Km Equipada,Blanco,Diésel,4,Manual,2.2,Pick-Up,Publicado hace 5 meses,60.130 km,23800
Ford,Ranger,2019,3.2 Tdi 4x2 Dc Xlt L19,Gris,Diésel,4,Manual,TURBO DIESEL INYECCION,Pick-Up,Publicado hace 5 meses,109.007 km,30200000
Ford,Ovalo,2024,Ford Ranger 2025 2.0 Cd 4x4 Xlt At 210cv,No disponible,Diésel,4,Automática,2.0,Pick-Up,Publicado hace 6 meses,1.850 km,30000000
Ford,Ranger,2020,3.2 Cd Xls Tdci 200cv Manual 4x4,Gris,Diésel,4,Manual,3.2,Pick-Up,Publicado hace 6 días,85.000 km,29000
Ford,Ranger,2018,2.5 Cd Ivct Xlt 166cv - Liv Motors,Gris,Nafta,4,Manual,2.5,Pick-Up,Publicado hace 34 días,112.000 km,26500
