Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
jeep,grand-cherokee,2016,Cherokee 3.6 Overland 286hp At 4x4,Negro,Nafta,5,Automática,3.6,Off-Road,Publicado hace 20 días,204.296 km,27500
jeep,grand-cherokee,2016,Cherokee 3.6 Limited 286hp Techo + Llantas 18,Blanco,Nafta,5,Automática,3.6,SUV,Publicado hace 39 días,98.000 km,39900
jeep,grand-cherokee,2014,Cherokee 3.6 Overland 286hp At,Verde,Nafta,5,Automática,3.6,SUV,Publicado hace 57 días,112.000 km,32000
jeep,grand-cherokee,2017,Cherokee 6.4 Srt Atx 465hp At Speed Motors,Blanco,Nafta,5,Automática,6.4,SUV,Publicado hace 59 días,16.000 km,125000
jeep,grand-cherokee,2018,Cherokee 3.6 Overland 286hp At,Negro,Nafta,5,Automática,3.6,SUV,Publicado hace 3 meses,65.000 km,56000
jeep,grand-cherokee,2016,Cherokee 3.6 Limited 286hp Atx,Gris,Nafta,5,Automática,3.6,SUV,Publicado hace 25 días,150.000 km,33000
jeep,grand-cherokee,2008,Cherokee 3.0 Limited Atx,Gris,Diésel,5,Automática,3.0,SUV,Publicado hace 39 días,220.000 km,20000
jeep,grand-cherokee,2014,Cherokee 3.6 Overland 286hp At,Gris,Nafta,5,Automática,3.6,SUV,Publicado hace 4 meses,173.500 km,31600
jeep,grand-cherokee,2013,Cherokee 3.6 Overland 286hp At,Negro,Nafta,5,Automática,3.6,SUV,Publicado hace 55 días,99.000 km,28500
jeep,grand-cherokee,2018,Cherokee 6.4 Srt Atx 465hp At,Gris,Nafta,5,Automática,6.4,SUV,Publicado hace 2 meses,59.900 km,95000
jeep,grand-cherokee,2004,Cherokee 2.7 Crd Limited Automática,Gris,Diésel,5,Automática,2.7,SUV,Publicado hace 28 días,180.000 km,11500
jeep,grand-cherokee,2017,Overland 2017 2016 2015 2018,Blanco,Nafta,5,Automática,3.6,SUV,Publicado hace 11 meses,158.000 km,43500
jeep,grand-cherokee,2012,Cherokee 3.6 Overland 286hp At 2012,Negro,Nafta,5,Automática,3.6,SUV,Publicado hace 2 meses,150.000 km,24000
jeep,grand-cherokee,2013,Cherokee 3.6 Limited 4x4 At8 286cv,Negro,Nafta,5,Automática,3.6,SUV,Publicado hace 6 meses,204.000 km,22900
jeep,grand-cherokee,2014,Cherokee Limited,Blanco,Nafta,5,Automática,3.6,SUV,Publicado hace 1 día,87.100 km,34900
jeep,grand-cherokee,2013,Cherokee 3.6 Limited 286hp Atx,Gris,Nafta,5,Automática,3.6,SUV,Publicado hace 10 días,159.000 km,29000
jeep,grand-cherokee,2013,Cherokee 3.6 Overland 286hp At - Impecable Estado,Blanco,Nafta,5,Automática,3.6,SUV,Publicado hace 44 días,140.000 km,28500
jeep,grand-cherokee,2014,Cherokee 6.4 Srt Atx 465hp At,Negro,Nafta,5,Automática,6.4,SUV,Publicado hace 50 días,98.000 km,49500
jeep,grand-cherokee,2017,Cherokee 6.4 Srt Atx 465hp At,Gris,Nafta,5,Automática,6.4,SUV,Publicado hace 57 días,77.000 km,79999
jeep,grand-cherokee,2013,Cherokee 3.6 Limited 286hp Atx,Azul,Nafta,5,Automática,3.6,SUV,Publicado hace 3 meses,188.000 km,22500
jeep,grand-cherokee,2017,Cherokee 6.4 Srt Atx 465hp At 2017,Gris,Nafta,5,Automática,6.4,SUV,Publicado hace 24 días,130.000 km,70000
jeep,grand-cherokee,2011,Cherokee 3.6 Limited 286hp Atx,Negro,Nafta,5,Automática,3.6,SUV,Publicado hace 24 días,112.000 km,25000
jeep,grand-cherokee,2018,Cherokee 3.6 Limited 286hp La Plata 579,Gris,Nafta,5,Automática,3.6,SUV,Publicado hace 33 días,130.711 km,48240000
jeep,grand-cherokee,2017,Cherokee Overland 2017 No Limited Sw4 Commander,Negro,Nafta,5,Automática,3.6,SUV,Publicado hace 6 meses,110.000 km,40000
jeep,grand-cherokee,2012,Cheeroke Limited 3.6,Gris,Diésel,5,Automática,3.6,Off-Road,Publicado hace 7 días,226.000 km,18900
jeep,grand-cherokee,2017,Cherokee 6.4 Srt Atx 465hp At,Gris,Nafta,5,Automática,6.4,SUV,Publicado hace 36 días,80.000 km,85000
jeep,grand-cherokee,2014,Cherokee 3.6 Overland 286hp At,Gris,Nafta,5,Automática,3.6,SUV,Publicado hace 34 días,120.000 km,31000
jeep,grand-cherokee,2016,Cherokee 6.4 Srt Atx 465hp At,Gris,Nafta,5,Automática,6.4,SUV,Publicado hace 36 días,75.000 km,75000
jeep,grand-cherokee,2019,Cherokee / Srt 6.4 Hemi (645cv) / 2019 / 34.000km,Gris,Nafta,5,Automática,6.4,SUV,Publicado hace 2 meses,33.000 km,93000
jeep,grand-cherokee,2017,Cherokee 6.4 Srt Atx 465hp At,Blanco,Nafta,5,Automática,6.4,SUV,Publicado hace 56 días,86.000 km,80000
jeep,grand-cherokee,2007,Cherokee 6.1 Srt-8 Hemi,Negro,Nafta,5,Automática,6.1,SUV,Publicado hace 41 días,144.000 km,30000
jeep,grand-cherokee,2017,Cherokee 6.4 Srt Atx 465hp At,Blanco,Nafta,5,Automática,6.4,SUV,Publicado hace 2 meses,17.000 km,125000
jeep,grand-cherokee,1998,Cherokee 4.0 Laredo,Gris,Nafta,5,Manual,4.0,SUV,Publicado hace 3 meses,292.000 km,8500
jeep,grand-cherokee,2019,Cherokee 6.4 Srt Atx 465hp At,Rojo,Nafta,5,Automática,6.4,SUV,Publicado hace 3 meses,47.000 km,125000
jeep,grand-cherokee,2014,Cherokee 3.6 Limited 286hp Atx,Gris,Nafta,5,Automática,3.6,SUV,Publicado hace 44 días,87.000 km,34900
jeep,grand-cherokee,2018,Cherokee 6.4 Srt Atx 465hp At,Negro,Nafta,5,Automática,6.4,SUV,Publicado hace 54 días,60.035 km,98000
jeep,grand-cherokee,2020,Overland 2021,Gris,Nafta,5,Automática,3.6,SUV,Publicado hace 6 meses,63.300 km,68000
jeep,grand-cherokee,2016,Cherokee Overland,Negro,Nafta,5,Automática,3.6,SUV,Publicado hace 7 meses,200.000 km,27700
jeep,grand-cherokee,2019,Cherokee 3.6 Limited 286hp Techo + Llantas 18,Negro,Nafta,5,Automática,3.6,SUV,Publicado hace 29 días,68.000 km,54000
jeep,grand-cherokee,2024,Cherokee 3.6 Limited 293cv At8 4x4,Negro,Nafta,5,Automática,3.6,SUV,Publicado hace 40 días,8.800 km,115000
jeep,grand-cherokee,2019,Cherokee 6.4 Srt Atx 465hp At,Negro,Nafta,5,Automática,6.4,SUV,Publicado hace 11 días,40.000 km,89900
jeep,grand-cherokee,2017,Cherokee 3.6 Overland 286hp At,Negro,Nafta,5,Automática,3.6,SUV,Publicado hace 20 días,138.000 km,43000
jeep,grand-cherokee,2013,- Grand Cherokee Srt - Grand Cherokee,Negro,Nafta,5,Automática,6.4,SUV,Publicado hace 2 meses,80.000 km,49900
jeep,grand-cherokee,2013,Cherokee 3.6 Overland 286hp At,Negro,Nafta,5,Automática,3.6,SUV,Publicado hace 14 días,148.000 km,26000
jeep,grand-cherokee,2012,Cherokee 3.6 Limited 286hp Atx,Negro,Nafta,5,Automática,3.6,SUV,Publicado hace 26 días,157.000 km,21500
jeep,grand-cherokee,2018,Cherokee 3.6 Overland 286hp At,Gris,Nafta,5,Automática,3.6,SUV,Publicado hace 40 días,130.000 km,45000
jeep,grand-cherokee,2000,Cherokee 4.7 V8 Scv Limited,Negro,Nafta,5,Manual,4.7,SUV,Publicado hace 48 días,254.000 km,12000000
jeep,grand-cherokee,2012,Cherokee 3.6 Limited 286hp Atx,Negro,Nafta,5,Automática,3.6,SUV,Publicado hace 3 meses,105.000 km,23500
jeep,grand-cherokee,2012,Cherokee 3.6 Limited 286hp Atx,Negro,Nafta,5,Automática,3.6,SUV,Publicado hace 3 meses,105.000 km,23500
jeep,grand-cherokee,2012,Cherokee 2012 3.6 Limited 286hp Atx,Negro,Nafta,5,Automática,3.6,SUV,Publicado hace 6 meses,175.000 km,20000
jeep,grand-cherokee,2006,Cherokee 4.7 V8 Limited Scv Automática,Gris,Nafta,5,Automática,4.7,SUV,Publicado hace 7 meses,190.000 km,12900
jeep,grand-cherokee,2014,Cherokee 3.6 Overland 286hp At,Dorado,Nafta,5,Automática,3.6,SUV,Publicado hace 2 meses,110.000 km,28000
jeep,grand-cherokee,2013,Cherokee 3.6 Limited 286hp Atx,Negro,Nafta,5,Automática,3.6,SUV,Publicado hace 18 días,165.000 km,22900
jeep,grand-cherokee,2014,Cherokee 3.6 Limited 286hp At,Negro,Nafta,5,Automática,3.6,SUV,Publicado hace 28 días,167.000 km,25000
jeep,grand-cherokee,2016,Cherokee 2016 6.4 Srt Atx 465hp At,No disponible,Nafta,5,Automática,6.4,SUV,Publicado hace 6 meses,95.000 km,78000
jeep,grand-cherokee,2009,Cherokee 3.0 Limited S Limited,Negro,Diésel,5,Automática,3.0,SUV,Publicado hace 9 meses,173.000 km,16000
jeep,grand-cherokee,2012,Cherokee 3.6 Limited 286hp Atx,Azul,Nafta,5,Automática,3.6,SUV,Publicado hace 26 días,82.100 km,25800
jeep,grand-cherokee,2020,Cherokee 3.6 Overland 286hp At,Negro,Nafta,5,Automática,3.6,SUV,Publicado hace 55 días,80.000 km,74000
jeep,grand-cherokee,2018,Cherokee 3.6 Overland 286hp At,Gris,Nafta,5,Automática,3.6,SUV,Publicado hace 55 días,68.000 km,54000
jeep,grand-cherokee,2012,Cherokee 3.6 Limited 286hp Atx,Azul,Nafta,5,Automática,3.6,SUV,Publicado hace 14 días,159.888 km,30900000
jeep,grand-cherokee,2018,Cherokee 3.6 Overland 286hp At,Blanco,Nafta,5,Automática,3.6,SUV,Publicado hace 28 días,106.000 km,48000
jeep,grand-cherokee,2019,Cherokee 6.4 Srt Atx 465hp At,Negro,Nafta,5,Automática,6.4,SUV,Publicado hace 15 días,60.000 km,98000
jeep,grand-cherokee,2020,Cherokee 3.6 Overland 286hp At,Blanco,Nafta,5,Automática,3.6,SUV,Publicado hace 28 días,49.500 km,63500
jeep,grand-cherokee,1998,Cherokee 1998 5.2 V8 Limited,Negro,Nafta,5,Manual,5.2,SUV,Publicado hace 1 año,239.000 km,15000
jeep,grand-cherokee,2008,Cherokee Laredo At Cdr 3.0 V6 220hp,Gris,Diésel,5,Automática,3.0,SUV,Publicado hace 3 días,160.500 km,12500
jeep,grand-cherokee,2017,Cherokee 6.4 Srt Atx 465hp At,Negro,Nafta,5,Automática,6.4,SUV,Publicado hace 7 días,80.000 km,87000
jeep,grand-cherokee,2016,Cherokee 3.6 Limited 286hp Atx,Gris,Nafta,5,Automática,3.6,SUV,Publicado hace 2 meses,89.400 km,32500
jeep,grand-cherokee,1999,Cherokee 4.0 Laredo,Verde,Nafta,5,Manual,4.0,SUV,Publicado hace 4 meses,231.000 km,11000
jeep,grand-cherokee,2016,Cherokee 6.4 Srt Atx 465hp At,Blanco,Nafta,5,Automática,6.4,SUV,Publicado hace 15 días,30.800 km,105000
jeep,grand-cherokee,2014,Cherokee 6.4 Srt Atx 465hp At,Negro,Nafta,5,Automática,6.4,SUV,Publicado hace 14 días,79.000 km,48000
jeep,grand-cherokee,2019,Cherokee 3.6 Overland 286hp At,Blanco,Nafta,5,Automática,3.6,SUV,Publicado hace 18 días,102.000 km,54000
jeep,grand-cherokee,2018,Cherokee 6.4 Srt Atx 465hp At,Blanco,Nafta,5,Automática,6.4,SUV,Publicado hace 35 días,70.000 km,95000
jeep,grand-cherokee,2018,Cherokee 6.4 Srt Atx 465hp At,Blanco,Nafta,5,Automática,6.4,SUV,Publicado hace 10 días,84.000 km,79900
jeep,grand-cherokee,2006,Cherokee Laredo Crd - Financio Y Permuto,Gris,Diésel,5,Automática,3.0,SUV,Publicado hace 31 días,154.015 km,14000
jeep,grand-cherokee,2018,Cherokee 3.6 Overland 286hp At,Negro,Nafta,5,Automática,3.6,Off-Road,Publicado hace 32 días,76.000 km,48500
jeep,grand-cherokee,2013,Cherokee 3.6 Overland,Azul,Nafta,5,Automática,3.6,SUV,Publicado hace 59 días,120.000 km,28500
jeep,grand-cherokee,2020,Cherokee 3.6 Overland 286hp At,Gris,Nafta,5,Automática,3.6,SUV,Publicado hace 3 meses,50.000 km,61000
jeep,grand-cherokee,2013,Cherokee 3.6 Overland,Negro,Nafta,5,Automática,3.6,SUV,Publicado hace 4 meses,156.000 km,28500
jeep,grand-cherokee,2016,Cherokee 3.6 Limited 286hp Atx,Gris,Nafta,5,Automática,3.6,SUV,Publicado hace 19 días,150.000 km,39600000
jeep,grand-cherokee,2013,Cherokee 3.6 Limited 286hp Atx,Gris,Nafta,5,Automática,3.6,SUV,Publicado hace 41 días,131.000 km,25900
jeep,grand-cherokee,2017,Cherokee 3.6 Overland 286hp At,Negro,Nafta,5,Automática,3.6,SUV,Publicado hace 42 días,67.100 km,45900
jeep,grand-cherokee,2007,Cherokee 3.0 Limited Crd,Negro,Diésel,5,Manual,3.0,SUV,Publicado hace 12 días,193.000 km,14500
jeep,grand-cherokee,2019,Cherokee 3.6 Overland 286hp At,Gris,Nafta,5,Automática,3.6,SUV,Publicado hace 14 días,90.000 km,56899
jeep,grand-cherokee,2009,Cherokee 3.0 Limited Atx Carwestcaba,Azul,Diésel,5,Automática,3.0,SUV,Publicado hace 8 días,207.000 km,13500
jeep,grand-cherokee,2006,Cherokee 4.7 V8 Limited Scv Automática,Negro,Nafta,5,Automática,4.7,SUV,Publicado hace 40 días,1.000 km,18500
jeep,grand-cherokee,2002,Cherokee 4.7 V8 Scv Limited,Gris,Nafta,5,Manual,4.7,SUV,Publicado hace 3 días,254.000 km,10000
jeep,grand-cherokee,2020,Cherokee 3.6 Limited 286hp Techo + Llantas 18,Negro,Nafta,5,Automática,3.6,SUV,Publicado hace 3 meses,73.000 km,55000
jeep,grand-cherokee,2012,Cherokee Overland 2012,Negro,Nafta,5,Automática,3.6,SUV,Publicado hace 10 meses,142.000 km,27900
jeep,grand-cherokee,2011,Cherokee 3.6 Limited 286hp Atx,Negro,Nafta,5,Automática,3.6,SUV,Publicado hace 4 días,129.000 km,20500
jeep,grand-cherokee,2017,Cherokee 6.4 Srt Atx 465hp At Blindada,Negro,Nafta,5,Automática,6.4,SUV,Publicado hace 33 días,79.000 km,72000
