Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Jeep,Renegade,2021,1.8 Sport At Plus 2021 (fran),Gris,Nafta,5,Automática,1.8,SUV,Publicado hace 1 día,109.000 km,22700000
Jeep,Renegade,2018,1.8 Sport 2018 (fran),Blanco,Nafta,5,Manual,1.8,SUV,Publicado hace 7 días,166.000 km,18900000
Jeep,Renegade,2020,1.8 Sport,Negro,Nafta,5,Manual,1.8,SUV,Publicado hace 8 días,48.000 km,13440000
Jeep,Renegade,2020,1.8 Sport,Negro,Nafta,5,Manual,1.8,SUV,Publicado hace 8 días,48.000 km,26989900
Jeep,Renegade,2021,1.8 Longitude At6,Gris,Nafta,5,Automática,1.8,SUV,Publicado hace 12 días,75.286 km,28900
Jeep,Renegade,2020,1.8 Longitude At6 Año 2020 - Liv Motors,Plateado,Nafta,5,Automática,1.8,SUV,Publicado hace 12 días,59.000 km,23000
Jeep,Renegade,2020,1.8 Longitude At6,Negro,Nafta,5,Automática,1.8,SUV,Publicado hace 29 días,52.000 km,24000
Jeep,Renegade,2017,1.8 Sport,Blanco,Nafta,5,Manual,1.8,SUV,Publicado hace 35 días,114.000 km,16500
Jeep,Renegade,2022,1.8 Longitude At6 Cactus Kicks Hrv 2008,Plateado,Nafta,5,Automática,1.8,SUV,Publicado hace 49 días,49.000 km,32000000
Jeep,Renegade,2021,1.8 Sport 64.000km 2021 (fran),Negro,Nafta,5,Manual,1.8,SUV,Publicado hace 49 días,64.000 km,23500000
Jeep,Renegade,2022,1.8 Longitude At6 Cross C4 Cactus Nivus Kicks,Gris,Nafta,5,Automática,1.8,SUV,Publicado hace 57 días,49.000 km,32000000
Jeep,Renegade,2018,1.8 Longitude At6,Plateado,Nafta,5,Automática,1.8,SUV,Publicado hace 3 meses,67.476 km,25190
Jeep,Renegade,2023,1.8 Sport At6,Negro,Nafta,5,Automática,1.8,SUV,Publicado hace 4 días,31.314 km,27390
Jeep,Renegade,2022,Sport 2022 42.275km,Gris,Nafta,5,Manual,1.8,SUV,Publicado hace 13 días,42.275 km,29500000
Jeep,Renegade,2020,1.8 Sport At,Blanco,Nafta,5,Automática,1.8,SUV,Publicado hace 46 días,68.000 km,21200
Jeep,Renegade,2021,1.8 Sport,Negro,Nafta,5,Manual,1.8,SUV,Publicado hace 19 días,51.000 km,26200000
Jeep,Renegade,2022,1.8 4x2 Sport At,Gris,Nafta,5,Automática,1.8,SUV,Publicado hace 26 días,53.000 km,25900
Jeep,Renegade,2020,1.8 Sport,Blanco,Nafta,5,Manual,1.8,SUV,Publicado hace 28 días,84.737 km,21900
Jeep,Renegade,2023,1.8 Sport Impecable Estado,Negro,Nafta,5,Manual,1.8,SUV,Publicado hace 29 días,88.000 km,24380
Jeep,Renegade,2018,1.8 Longitude At6,Negro,Nafta,5,Automática,1.8,SUV,Publicado hace 8 meses,83.000 km,21900000
