Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Jeep,Wrangler,2019,3.6 Unlimited 284hp Atx,Beige,Nafta,5,Automática,3.6,SUV,Publicado hace 1 día,8.000 km,149900
Jeep,Wrangler,2015,3.6 Unlimited 284hp Mtx,Blanco,Nafta,3,Manual,3.6,SUV,Publicado hace 3 meses,67.000 km,69999
Jeep,Wrangler,2014,3.6 Sport 284hp Mtx,Plateado,Nafta,3,Manual,3.6,SUV,Publicado hace 3 meses,73.000 km,49800
Jeep,Wrangler,2015,3.6 Sport 284hp Mtx,Amarillo,Nafta,3,Manual,3.6,SUV,Publicado hace 4 meses,55.000 km,51000
Jeep,Wrangler,2014,3.6 Rubicon 284hp Atx,Plateado,Nafta,3,Automática,3.6,SUV,Publicado hace 2 meses,100.000 km,48500
Jeep,Wrangler,2019,3.6 Unlimited Sahara 4x4 At8,Blanco,Nafta,5,Automática,3.6,SUV,Publicado hace 2 meses,92.000 km,53500
Jeep,Wrangler,2019,3.6 Unlimited Sahara 4x4 At8,Amarillo,Nafta,5,Automática,3.6,SUV,Publicado hace 2 meses,69.600 km,89990
Jeep,Wrangler,2008,3.8 Sport Mtx,Negro,Nafta,3,Manual,3.8,SUV,Publicado hace 6 días,123.000 km,32500
Jeep,Wrangler,2013,3.6 Unlimited 284hp Mtx,Rojo,Nafta,3,Manual,3.6,SUV,Publicado hace 2 meses,119.000 km,43000
Jeep,Wrangler,2019,3.6 Sport 284hp Atx-carhaus,Gris,Nafta,3,Automática,3.6,Hatchback,Publicado hace 1 día,44.500 km,59900
Jeep,Wrangler,2013,Unlimited 3.6l A/t 2013,Blanco,Nafta,3,Automática,3.6,SUV,Publicado hace 10 meses,30.000 km,90000
Jeep,Wrangler,2019,3.6 Rubicon 4p At 2019,Blanco,Nafta,4,Automática,3.6,SUV,Publicado hace 8 meses,56.224 km,74900
Jeep,Wrangler,2019,3.6 Unlimited Rubicon 4x4 At8,Gris,Nafta,5,Automática,3.6,SUV,Publicado hace 35 días,74.980 km,67000
Jeep,Wrangler,2019,3.6 Unlimited Rubicon 4x4 At8,Azul,Nafta,5,Automática,3.6,SUV,Publicado hace 2 meses,32.000 km,75999
Jeep,Wrangler,2011,2011 3.8 Sport Atx Unlimited,Gris,Nafta,5,Automática,3.8,SUV,Publicado hace 8 meses,77.000 km,39000
Jeep,Wrangler,2009,3.8 Sport Mtx 2009,Gris,Nafta,3,Manual,3.8,SUV,Publicado hace 11 días,87.500 km,37000
Jeep,Wrangler,2019,2019 3.6 Unlimited 284hp Mtx,No disponible,Nafta,3,Manual,3.6,SUV,Publicado hace 9 meses,51.000 km,55000
Jeep,Wrangler,2013,3.6 Sport 284hp Mtx,Gris,Nafta,3,Manual,3.6,SUV,Publicado hace 19 días,81.000 km,43900
Jeep,Wrangler,2013,3.6 Rubicon 284hp Atx,Plateado,Nafta,3,Automática,3.6,SUV,Publicado hace 20 días,52.000 km,68000
Jeep,Wrangler,2007,Sport 3.8 V6 2 Puertas 4 X 4,Rojo,Nafta,3,Manual,3.8,SUV,Publicado hace 4 meses,177.000 km,35000
Jeep,Wrangler,2013,Rubicon - Wrangler Sport - Rubicon,Plateado,Nafta,3,Automática,3.6,SUV,Publicado hace 15 días,145.000 km,42900
Jeep,Wrangler,2011,2011 3.8 Sport Unlimited 199cv Mtx,Plateado,Nafta,5,Manual,3.8,SUV,Publicado hace 6 meses,83.000 km,39000
Jeep,Wrangler,2010,3.8 Sport Atx Unlimited Smart Garage,Negro,Nafta,3,Automática,3.8,SUV,Publicado hace 8 días,63.000 km,40000
Jeep,Wrangler,2011,3.8 Sport Unlimited 199cv Mtx,Beige,Nafta,5,Manual,3.8,SUV,Publicado hace 12 días,140.000 km,35000
Jeep,Wrangler,2008,4x4 Manual,Negro,Nafta,3,Manual,3.8,SUV,Publicado hace 3 meses,104.060 km,32000
Jeep,Wrangler,2010,3.6 Unlimited 284hp Atx,Plateado,Nafta,3,Automática,3.6,SUV,Publicado hace 4 meses,80.000 km,43000
Jeep,Wrangler,2019,3.6 Unlimited 284hp Atx,Blanco,Nafta,3,Automática,3.6,Hatchback,Publicado hace 5 meses,8.500 km,66000
Jeep,Wrangler,2019,3.6 Sport 284hp Atx,Blanco,Nafta,3,Automática,3.6,Hatchback,Publicado hace 3 meses,51.000 km,58000
Jeep,Wrangler,2011,Unlimited 2011 80.000 Km Inmaculada Equipada,Amarillo,Nafta,4,Manual,3.8,SUV,Publicado hace 1 año,80.000 km,36900
Jeep,Wrangler,2010,3.8 Sport Mtx,Blanco,Nafta,3,Manual,3.8,SUV,Publicado hace 19 días,75.000 km,41000
Jeep,Wrangler,2013,3.6 Rubicon 284hp Atx,Negro,Nafta,3,Automática,3.6,SUV,Publicado hace 2 meses,118.000 km,52000
Jeep,Wrangler,2013,3.6 Unlimited 284hp Mtx,Rojo,Nafta,3,Manual,3.6,SUV,Publicado hace 4 meses,162.000 km,36000
Jeep,Wrangler,2007,3.8 Sport,Rojo,Nafta,3,Manual,3.8,SUV,Publicado hace 7 meses,30.400 km,44000
Jeep,Wrangler,2018,Rubicon,Gris,Nafta,5,Automática,3.6,SUV,Publicado hace 8 meses,72.500 km,65000
Jeep,Wrangler,2008,3.8 Sport Unlimited 199cv Atx,Gris,Nafta,3,Automática,3.8,SUV,Publicado hace 24 días,106.000 km,42500
Jeep,Wrangler,2021,3.6 Unlimited Rubicon 4x4 At8,Negro,Nafta,5,Automática,3.6,SUV,Publicado hace 56 días,21.000 km,105000
Jeep,Wrangler,2018,3.6 Sport 284hp Atx,Gris,Nafta,3,Automática,3.6,Hatchback,Publicado hace 6 días,25.000 km,61500
Jeep,Wrangler,2013,3.6 Sport 284hp Mtx,Blanco,Nafta,3,Manual,3.6,SUV,Publicado hace 40 días,83.000 km,39000
Jeep,Wrangler,2019,Unlimited 3.6l,Negro,Nafta,3,Automática,3.6,Hatchback,Publicado hace 6 meses,47.540 km,75000
Jeep,Wrangler,2019,3.6 Sport 284hp Atx,Negro,Nafta,3,Automática,3.6,Hatchback,Publicado hace 18 días,52.000 km,73000
Jeep,Wrangler,2017,3.6 Unlimited 284hp Atx,Gris,Nafta,3,Automática,3.6,Hatchback,Publicado hace 46 días,140.000 km,50000
Jeep,Wrangler,2018,3.6 Rubicon 284hp Atx,Blanco,Nafta,3,Automática,3.6,SUV,Publicado hace 2 meses,47.000 km,65000
Jeep,Wrangler,2017,3.6 Sport 284hp Atx Año 2017,Gris,Nafta,3,Automática,3.6,Off-Road,Publicado hace 32 días,65.000 km,53000
Jeep,Wrangler,2021,3.6 Unlimited 284hp Atx,Negro,Nafta,3,Automática,3.6,Hatchback,Publicado hace 12 días,38.000 km,78000
Jeep,Wrangler,2019,3.6 Unlimited 284hp Atx 2019,Blanco,Nafta,5,Automática,3.6,SUV,Publicado hace 22 días,18.100 km,85000
Jeep,Wrangler,2013,3.6 Unlimited 284hp Mtx,Negro,Nafta,3,Manual,3.6,SUV,Publicado hace 2 días,160.000 km,36000
Jeep,Wrangler,1994,4.0 Hard Top,Rojo,Nafta,3,Manual,4.0,SUV,Publicado hace 17 días,76.000 km,26000
Jeep,Wrangler,2018,3.6 Sport Unlimited 5ptas.,Celeste,Nafta,5,Automática,3.6,Off-Road,Publicado hace 55 días,11.600 km,78000
Jeep,Wrangler,2018,3.6 Sport Unlimited 5ptas.,Celeste,Nafta,5,Automática,3.6,Off-Road,Publicado hace 55 días,11.600 km,78000
Jeep,Wrangler,1988,No disponible,Negro,Nafta,3,Manual,4.2,Off-Road,Publicado hace 4 meses,65.000 km,31000
Jeep,Wrangler,2012,Unlimited M/t 3.8 Nafta 2012,Blanco,Nafta,5,No disponible,No disponible,No disponible,Publicado hace 7 meses,110.300 km,44000000
Jeep,Wrangler,2015,3.6 Rubicon 284hp Atx,Gris,Nafta,3,Automática,3.6,SUV,Publicado hace 28 días,80.000 km,49500
Jeep,Wrangler,2018,3.6 Rubicon 284hp Atx,Negro,Nafta,3,Automática,3.6,SUV,Publicado hace 6 días,60.300 km,64490
Jeep,Wrangler,2016,3.6 Sport 284hp Mtx,Negro,Nafta,3,Manual,3.6,SUV,Publicado hace 59 días,70.328 km,41000
Jeep,Wrangler,2019,Unlimited Sahara Rubicon Usado Compass 2020 At,Blanco,Nafta,5,Automática,3.6,SUV,Publicado hace 3 meses,92.000 km,53500
Jeep,Wrangler,2020,Unlimited Rubicon,Negro,Nafta,4,Automática,3.6,Off-Road,Publicado hace 2 meses,18.784 km,89900
Jeep,Wrangler,2022,3.6 Unlimited Rubicon 4x4 At8,Gris,Nafta,5,Automática,3.6,SUV,Publicado hace 2 meses,24.000 km,105000
Jeep,Wrangler,2008,Sport 3.8 4ptas Unlimited,Negro,Nafta,5,Manual,3.8,SUV,Publicado hace 1 año,146.000 km,33500
Jeep,Wrangler,2019,3.6 Unlimited Rubicon 4x4 At8,Blanco,Nafta,5,Automática,3.6,SUV,Publicado hace 2 meses,52.000 km,70000
Jeep,Wrangler,2013,2013 3.6 Unlimited 284hp Atx,No disponible,Nafta,3,Automática,3.6,SUV,Publicado hace 8 meses,71.000 km,85000
Jeep,Wrangler,2010,3.8 Sport Unlimited 199cv Atx,Negro,Nafta,3,Automática,3.8,SUV,Publicado hace 19 días,112.000 km,48800
Jeep,Wrangler,2018,3.6 Unlimited 284hp Atx,Blanco,Nafta,3,Automática,3.6,Hatchback,Publicado hace 27 días,58.000 km,68000
Jeep,Wrangler,2010,3.6 Unlimited 284hp Mtx,Plateado,Nafta,3,Manual,3.6,SUV,Publicado hace 3 meses,138.000 km,42900
Jeep,Wrangler,2013,3.6 Rubicon 284hp Atx,Azul,Nafta,3,Automática,3.6,SUV,Publicado hace 3 meses,58.000 km,65900
Jeep,Wrangler,2008,3.8 Sport Mtx,Negro,Nafta,3,Manual,3.8,SUV,Publicado hace 53 días,61.300 km,39000
Jeep,Wrangler,2019,3.6 Sport 284hp Atx,Plateado,Nafta,3,Automática,3.6,Hatchback,Publicado hace 54 días,48.000 km,69000
Jeep,Wrangler,2019,3.6 Rubicon 284hp Atx,Blanco,Nafta,3,Automática,3.6,SUV,Publicado hace 5 días,9.000 km,89900
Jeep,Wrangler,2007,2007 Unlimited Sport 3.8l 86.700km,Negro,Nafta,3,Manual,3.8,SUV,Publicado hace 11 meses,86.700 km,32900
Jeep,Wrangler,2013,Unlimited 4 X4 At.,Negro,Nafta,4,Automática,3.6,Off-Road,Publicado hace 2 meses,91.000 km,49000
Jeep,Wrangler,2017,2017 3.6 Sport 284hp Atx (con 6 Mil Km),Negro,Nafta,3,Automática,3.6,Hatchback,Publicado hace 11 meses,6.800 km,72000
Jeep,Wrangler,2019,3.6 Unlimited Sahara 4x4 At8,Negro,Nafta,3,Automática,3.6,SUV,Publicado hace 9 días,52.000 km,62000
Jeep,Wrangler,2018,3.6 Rubicon 284hp Atx,Negro,Nafta,3,Automática,3.6,SUV,Publicado hace 3 meses,60.000 km,85000
Jeep,Wrangler,2011,3.8 Sport Atx Unlimited,Gris,Nafta,3,Automática,3.8,SUV,Publicado hace 7 días,110.000 km,34900
Jeep,Wrangler,2011,3.6 Unlimited 284hp Atx,Plateado,Nafta,3,Automática,3.6,SUV,Publicado hace 39 días,108.000 km,35000
Jeep,Wrangler,2009,3.8 Sport Mtx,Negro,Nafta,3,Manual,3.8,SUV,Publicado hace 48 días,100.000 km,37500
Jeep,Wrangler,2019,Unlimited 3.6l Full Equipado,Gris,Nafta,5,Automática,3.6,SUV,Publicado hace 2 meses,79.000 km,58000
Jeep,Wrangler,2013,3.6 Rubicon 284hp Atx,Negro,Nafta,3,Automática,3.6,SUV,Publicado hace 49 días,65.000 km,62000
Jeep,Wrangler,1997,4.0 Hard Top,Rojo,Nafta,3,Manual,4.0,SUV,Publicado hace 2 meses,220.000 km,35500
Jeep,Wrangler,2017,3.6 Unlimited 284hp Atx,Gris,Nafta,3,Automática,3.6,Hatchback,Publicado hace 5 meses,65.000 km,57500
