marca,modelo,ano,color,tipo de combustible,puertas,transmision,motor,tipo de carroceria,fecha publicacion,kilometros,traccion,precio
peugeot,2008,2015,plateado,nafta,4,manual,1.6,suv,150,83000,fwd,15900000
peugeot,2008,2015,negro,nafta,4,manual,1.6,suv,41,107000,fwd,18164000
peugeot,2008,2016,blanco,nafta,4,manual,1.6,suv,12,78000,fwd,16900000
peugeot,2008,2016,marron,nafta,4,manual,1.6,suv,5,86750,fwd,17925000
peugeot,2008,2016,blanco,nafta,4,manual,1.6,suv,13,109000,fwd,17000000
peugeot,2008,2016,rojo,nafta,4,manual,1.6,suv,14,128000,fwd,16500000
peugeot,2008,2016,plateado,nafta,4,manual,1.6,suv,11,98000,fwd,14500000
peugeot,2008,2016,morado,nafta,4,manual,1.6,suv,40,79000,fwd,17900000
peugeot,2008,2016,blanco,nafta,4,manual,1.6,suv,60,139450,fwd,15500000
peugeot,2008,2016,negro,nafta,4,manual,1.6,suv,41,90000,fwd,15800000
peugeot,2008,2016,blanco,nafta,4,manual,1.6,suv,10,85000,fwd,16000000
peugeot,2008,2016,negro,nafta,4,manual,1.6,suv,52,99000,fwd,14990000
peugeot,2008,2016,blanco,nafta,4,manual,1.6,suv,150,130000,fwd,16013000
peugeot,2008,2016,gris,nafta,4,manual,1.6,suv,7,90000,fwd,17327500
peugeot,2008,2016,blanco,nafta,4,manual,1.6,suv,9,40000,fwd,18000000
peugeot,2008,2016,blanco,nafta,4,manual,1.6,suv,27,104000,fwd,16718050
peugeot,2008,2016,blanco,nafta,4,manual,1.6,suv,11,96300,fwd,14500000
peugeot,2008,2016,plateado,nafta,4,manual,1.6,suv,1,78000,fwd,14900000
peugeot,2008,2016,gris,nafta,4,manual,1.6,suv,53,119200,fwd,15700000
peugeot,2008,2016,blanco,nafta,4,manual,1.6,suv,19,154000,fwd,13800000
peugeot,2008,2016,gris,nafta,4,manual,1.6,suv,27,86000,fwd,17447000
peugeot,2008,2016,blanco,nafta,4,manual,1.6,suv,90,115000,fwd,14937500
peugeot,2008,2016,blanco,nafta,4,manual,1.6,suv,30,89000,fwd,14220500
peugeot,2008,2016,gris,nafta,4,manual,1.6,suv,150,151000,fwd,13742500
peugeot,2008,2016,blanco,nafta,4,manual,1.6,suv,150,82500,fwd,15450000
peugeot,2008,2016,negro,nafta,4,manual,1.6,suv,11,115000,fwd,15800000
peugeot,2008,2016,blanco,nafta,4,manual,1.6,suv,1,139000,fwd,15000000
peugeot,2008,2016,marron,nafta,4,manual,1.6,suv,60,73000,fwd,17327500
peugeot,2008,2016,negro,nafta,4,manual,1.6,suv,29,99782,fwd,13742500
peugeot,2008,2016,blanco,nafta,4,manual,1.6,suv,6,130000,fwd,14340000
peugeot,2008,2016,blanco,nafta,4,automatica,1.6,suv,60,80000,fwd,19900000
peugeot,2008,2016,gris,nafta,4,manual,1.6,suv,38,121000,fwd,13742500
peugeot,2008,2016,gris,nafta,4,manual,1.6,suv,60,108000,fwd,15535000
peugeot,2008,2016,gris,nafta,4,manual,1.6,suv,60,121000,fwd,19717500
peugeot,2008,2016,marron,nafta,4,manual,1.6,suv,90,146100,fwd,15523050
peugeot,2008,2016,negro,nafta,4,manual,1.6,suv,180,100000,fwd,15900000
peugeot,2008,2016,blanco,nafta/gnc,4,manual,1.6,suv,13,104403,fwd,17990000
peugeot,2008,2016,blanco,nafta,4,manual,1.6,suv,28,70000,fwd,17000000
peugeot,2008,2016,blanco,nafta,4,manual,1.6,suv,51,85000,fwd,14937500
peugeot,2008,2016,gris,nafta,4,automatica,1.6,suv,19,97000,fwd,16132500
peugeot,2008,2016,blanco,nafta,4,manual,1.6,suv,60,93000,fwd,15535000
peugeot,2008,2016,morado,nafta,4,manual,1.6,suv,48,100000,fwd,14340000
peugeot,2008,2016,gris,nafta,4,manual,1.6,suv,30,100000,fwd,14937500
peugeot,2008,2016,plateado,nafta,4,manual,1.6,suv,12,78000,fwd,14340000
peugeot,2008,2016,blanco,nafta,4,manual,1.6,suv,32,98000,fwd,15000000
peugeot,2008,2016,negro,nafta,4,manual,1.6,suv,60,115400,fwd,17200000
peugeot,2008,2016,plateado,nafta,4,automatica,1.6,suv,19,103000,fwd,17900000
peugeot,2008,2016,blanco,nafta,4,manual,1.6,suv,120,90000,fwd,17400000
peugeot,2008,2016,blanco,nafta,4,manual,1.6,suv,47,67000,fwd,15900000
peugeot,2008,2016,gris,nafta,4,manual,1.6,suv,60,92000,fwd,18500000
peugeot,2008,2016,negro,nafta,4,manual,1.6,suv,2,97600,fwd,15200000
peugeot,2008,2016,blanco,nafta,4,manual,1.6,suv,270,109200,fwd,18300000
peugeot,2008,2016,marron,nafta,4,automatica,1.6,suv,1,73200,fwd,16500000
peugeot,2008,2016,rojo,nafta,4,manual,1.6,suv,7,98426,fwd,15300000
peugeot,2008,2016,negro,nafta,4,manual,1.6,suv,27,80000,fwd,16132500
peugeot,2008,2016,blanco,nafta,4,manual,1.6,suv,47,90000,fwd,16900000
peugeot,2008,2016,blanco,nafta,4,manual,1.6,suv,60,85000,fwd,16132500
peugeot,2008,2016,negro,nafta,4,manual,1.6,suv,150,120000,fwd,16000000
peugeot,2008,2016,negro,nafta,4,manual,1.6,suv,5,78900,fwd,19120000
peugeot,2008,2016,blanco,nafta,4,manual,1.6,suv,48,81000,fwd,17923805
peugeot,2008,2016,negro,nafta,4,manual,1.6,suv,5,83298,fwd,17686000
peugeot,2008,2016,marron,nafta,4,manual,1.6,suv,38,104000,fwd,17500000
peugeot,2008,2016,gris,nafta,4,manual,1.6,suv,13,105000,fwd,14340000
peugeot,2008,2016,gris,nafta,4,manual,1.6,suv,3,135000,fwd,16500000
peugeot,2008,2016,blanco,nafta,4,manual,1.6,suv,39,62774,fwd,16132500
peugeot,2008,2016,blanco,nafta,4,automatica,1.6,suv,90,108000,fwd,17805500
peugeot,2008,2016,blanco,nafta,4,manual,1.6,suv,120,94568,fwd,17000000
peugeot,2008,2016,gris,nafta,4,manual,1.6,suv,48,135000,fwd,17800000
peugeot,2008,2016,rojo,nafta,4,manual,1.6,suv,150,78209,fwd,14925550
peugeot,2008,2016,gris,nafta,4,manual,1.6,suv,39,133000,fwd,17327500
peugeot,2008,2016,rojo,nafta,4,manual,1.6,suv,60,132000,fwd,13145000
peugeot,2008,2016,blanco,nafta,4,manual,1.6,suv,5,99782,fwd,15000000
peugeot,2008,2016,blanco,nafta,4,manual,1.6,suv,60,80000,fwd,14937500
peugeot,2008,2016,blanco,nafta,4,manual,1.6,suv,365,107700,fwd,15999999
peugeot,2008,2016,negro,nafta,4,manual,1.6,suv,20,111111,fwd,15500000
peugeot,2008,2016,negro,nafta,4,manual,1.6,suv,210,90000,fwd,18000000
peugeot,2008,2016,blanco,nafta,4,manual,1.6,suv,7,81000,fwd,16132500
peugeot,2008,2016,blanco,nafta,4,manual,1.6,suv,14,60000,fwd,17500000
peugeot,2008,2016,blanco,nafta,4,manual,1.6,suv,28,94000,fwd,15900000
peugeot,2008,2016,gris,nafta,4,manual,1.6,suv,210,90000,fwd,17327500
peugeot,2008,2016,gris,nafta,4,manual,1.6,suv,210,90000,fwd,16132500
peugeot,2008,2016,gris,nafta,4,manual,1.6,suv,10,91000,fwd,16371500
peugeot,2008,2016,marron,nafta,4,manual,1.6,suv,210,94000,fwd,16000000
peugeot,2008,2016,blanco,nafta,4,manual,1.6,suv,14,90000,fwd,15500000
peugeot,2008,2016,blanco,nafta,4,manual,1.6,suv,23,82000,fwd,14340000
peugeot,2008,2016,plateado,nafta,4,manual,1.6,suv,23,126000,fwd,16000000
peugeot,2008,2016,gris,nafta,4,manual,1.6,suv,52,105000,fwd,13742500
peugeot,2008,2016,blanco,nafta,4,manual,1.6,suv,14,99782,fwd,15200000
peugeot,2008,2016,blanco,nafta,4,manual,1.6,suv,21,85000,fwd,18000000
peugeot,2008,2016,blanco,nafta,4,manual,1.6,suv,60,73000,fwd,17925000
peugeot,2008,2016,marron,nafta,4,manual,1.6,suv,90,52000,fwd,16800000
peugeot,2008,2016,blanco,nafta,4,manual,1.6,suv,270,74000,fwd,16132500
peugeot,2008,2016,negro,nafta,4,manual,1.6,suv,5,155000,fwd,13145000
peugeot,2008,2016,plateado,nafta,4,manual,1.6,suv,9,96000,fwd,15535000
peugeot,2008,2016,gris,nafta,4,manual,1.6,suv,13,137000,fwd,14600000
peugeot,2008,2016,blanco,nafta,4,manual,1.6,suv,25,87000,fwd,16132500
peugeot,2008,2016,blanco,nafta,4,manual,1.6,suv,60,66000,fwd,16371500
peugeot,2008,2016,rojo,nafta,4,manual,1.6,suv,21,80000,fwd,17000000
peugeot,2008,2016,rojo,nafta,4,manual,1.6,suv,21,150000,fwd,15500000
peugeot,2008,2016,blanco,nafta,4,manual,1.6,suv,22,86500,fwd,14937500
peugeot,2008,2016,blanco,nafta,4,manual,1.6,suv,1,121000,fwd,16132500
peugeot,2008,2016,azul,nafta,4,manual,1.6,suv,23,84000,fwd,20000000
peugeot,2008,2016,gris,nafta,4,manual,1.6,suv,25,113000,fwd,16500000
peugeot,2008,2016,negro,nafta,4,manual,1.6,suv,90,120000,fwd,17327500
peugeot,2008,2016,negro,nafta,4,manual,1.6,suv,90,92000,fwd,16500000
peugeot,2008,2016,gris,nafta,4,manual,1.6,suv,1,99782,fwd,16000000
peugeot,2008,2016,blanco,nafta,4,manual,1.6,suv,12,92000,fwd,14500000
peugeot,2008,2016,blanco,nafta,4,automatica,1.6,suv,20,110000,fwd,17500000
peugeot,2008,2016,blanco,nafta,4,manual,1.6,suv,28,76856,fwd,17500000
peugeot,2008,2016,rojo,nafta,4,manual,1.6,suv,25,99782,fwd,13500000
peugeot,2008,2016,blanco,nafta,4,manual,1.6,suv,33,100000,fwd,15535000
peugeot,2008,2016,blanco,nafta,4,manual,1.6,suv,6,45000,fwd,18000000
peugeot,2008,2016,blanco,nafta,4,manual,1.6,suv,6,95000,fwd,20000000
peugeot,2008,2016,blanco,nafta,4,manual,1.6,suv,27,89000,fwd,17500000
peugeot,2008,2016,negro,nafta,4,manual,1.6,suv,11,138000,fwd,15000000
peugeot,2008,2016,negro,nafta,4,manual,1.6,suv,29,150000,fwd,16730000
