Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Nissan,Frontier,2022,2.3 4x4 Dc Se L19,Blanco,Diésel,4,Manual,TURBO DIESEL INYECCION,Pick-Up,Publicado hace 15 días,82.170 km,33290000
Nissan,Frontier,2021,X-gear 2.3 4x2 At Año 2021 - Liv Motors,Blanco,Diésel,4,Automática,2.3,Pick-Up,Publicado hace 29 días,89.000 km,26900
Nissan,Frontier,2023,S 2023 2.3 At 4x2 Smart Garage,Plateado,Diésel,4,Automática,2.3,Pick-Up,Publicado hace 5 meses,34.000 km,29900
Nissan,Frontier,2024,Platinum 2024 2.3 Biturbo At Smart Garage,Gris,Diésel,4,Automática,2.3,Pick-Up,Publicado hace 6 meses,1.180 km,42900
Nissan,Frontier,2023,2.3t Xe 4x2 Mt L22 // Forcammo,Blanco,Diésel,4,Manual,2.3,Pick-Up,Publicado hace 2 meses,12.000 km,42000000
Nissan,Frontier,2021,2.3 S Cd 4x2 Mt,Blanco,Diésel,4,Manual,2.3,Pick-Up,Publicado hace 28 días,80.000 km,28000000
Nissan,Frontier,2023,2.3 X-gear + Cd 4x4 At Carwestcaba,Rojo,Diésel,4,Automática,2.3,Pick-Up,Publicado hace 1 día,49.600 km,39900000
Nissan,2.3bt,2024,"Pro4x 4x4 At L22 Inmaculada, En Garantía",Gris,Diésel,4,Automática,2.3,Pick-Up,Publicado hace 6 días,26.200 km,49000000
Nissan,Frontier,2022,"2.3 S Cd 4x2 Mt , Titular , 63.841 Km",Blanco,Diésel,4,Manual,2.3,Pick-Up,Publicado hace 59 días,63.841 km,24500
Nissan,Frontier,2021,2.3 Le Cd 4x4 At,Blanco,Diésel,4,Automática,2.3,Pick-Up,Publicado hace 11 días,116.000 km,36700000
Nissan,Frontier,2021,2.3 Xe Cd 4x4 Mt,Gris,Diésel,4,Manual,2.3,Pick-Up,Publicado hace 40 días,94.000 km,34500000
Nissan,Frontier,2023,2.3bt Pro4x 4x4 At L22,Azul,Diésel,4,Automática,2.3,Pick-Up,Publicado hace 2 meses,8.000 km,49500000
Nissan,Frontier,2021,2.3 X-gear+ Cd 4x4 At 2020 Lesbleus,Blanco,Diésel,4,Automática,2.3,Pick-Up,Publicado hace 27 días,130.000 km,27900
Nissan,Frontier,2021,2.3 Le Cd 4x4 At,Blanco,Diésel,4,Automática,2.3,Pick-Up,Publicado hace 2 meses,89.000 km,30900
Nissan,Frontier,2020,2.3 Xe Cd 4x2 Mt,Blanco,Diésel,4,Manual,2.3,Pick-Up,Publicado hace 7 días,51.800 km,31500
Nissan,Frontier,2022,2.3 4x2 Dc S L19,Blanca,Diésel,4,Manual,TURBO DIESEL INYECCION,Pick-Up,Publicado hace 17 días,200.000 km,25500000
Nissan,Frontier,2022,2.3bt Pro4x 4x4 At L22,Gris,Diésel,4,Automática,2.3,Pick-Up,Publicado hace 41 días,112.000 km,32990
Nissan,Frontier,2022,2.3 S Cd 4x2 Mt,Blanco,Diésel,4,Manual,2.3,Pick-Up,Publicado hace 1 mes,119.000 km,28000000
Nissan,Frontier,2024,2.3t Xe 4x2 At L22,Plateado,Diésel,4,Automática,2.3,Pick-Up,Publicado hace 4 días,11.200 km,42999999
Nissan,Frontier,2022,2.3t Platinum 4x2 At L22,Blanco,Diésel,4,Automática,2.3,Pick-Up,Publicado hace 2 meses,115.000 km,37000000
Nissan,Frontier,2023,2.3t Platinum 2023,Azul marino,Diésel,4,Automática,2.3,Pick-Up,Publicado hace 2 meses,55.000 km,40000
Nissan,Frontier,2020,2.3 Le Cd 4x4 At,Blanco,Diésel,4,Automática,2.3,Pick-Up,Publicado hace 1 día,117.500 km,34900000
Nissan,Frontier,2023,2.3 Bi Turbo D 4x4 Cd Platinum At,gris PLATA,Diésel,4,Automática,TURBO DIESEL INYECCION,Pick-Up,Publicado hace 17 días,119.631 km,46500000
Nissan,Frontier,2023,2.3t Xe 4x2 Mt L22,Blanco,Diésel,4,Manual,2.3,Pick-Up,Publicado hace 41 días,11.500 km,37000000
Nissan,Frontier,2022,2.3bt Platinum 4x4 At L22,Blanco,Diésel,4,Automática,2.3,Pick-Up,Publicado hace 52 días,95.000 km,39500000
Nissan,Frontier,2022,2.3 Bi Turbo D 4x4 Cd Pro4x At,Roja,Diésel,4,Automática,2.3,Pick-Up,Publicado hace 4 meses,37.990 km,48000000
Nissan,Frontier,2021,2.3 Le Cd 4x4 At,Gris,Diésel,4,Automática,2.3,Pick-Up,Publicado hace 1 día,118.000 km,34800000
Nissan,Frontier,2024,2.3bt Platinum 4x4 At L22 B,Gris,Diésel,4,Automática,2.3,Pick-Up,Publicado hace 1 día,9.565 km,49000000
Nissan,Frontier,2023,2.3 S Cd 4x4 Mt,Blanco,Diésel,4,Manual,2.3,Pick-Up,Publicado hace 1 día,10.200 km,34500
Nissan,Frontier,2024,2.3 S Cd 4x4 Mt,Plateado,Diésel,4,Manual,2.3,Pick-Up,Publicado hace 7 días,2.800 km,36000000
Nissan,Frontier,2020,2.3 Se Cd 4x2 Mt - Us,Blanco,Diésel,4,Manual,2.3,Pick-Up,Publicado hace 15 días,70.000 km,30490000
Nissan,Frontier,2021,Le 2.3 4x4 At - 2021,Blanco,Diésel,4,Automática,2.3,Pick-Up,Publicado hace 39 días,54.000 km,31300
Nissan,Frontier,2022,2.3 X-gear + Cd 4x4 At 2022,Gris,Diésel,4,Automática,2.3,Pick-Up,Publicado hace 54 días,45.000 km,36000
Nissan,Frontier,2021,2.3 4x2 Dc X-gear L20,Blanco,Diésel,4,Automática,TURBO DIESEL INYECCION,Pick-Up,Publicado hace 3 meses,81.000 km,36900000
Nissan,Frontier,2006,2.8 D/c 4x4 Se,Gris,Diésel,4,Manual,2.8,Pick-Up,Publicado hace 3 meses,270.000 km,16000000
Nissan,Frontier,2023,2.3t Xe 4x2 At L22,Negro,Diésel,4,Automática,2.3,Pick-Up,Publicado hace 2 días,11.500 km,46000000
Nissan,Frontier,2024,2.3bt Pro4x 4x4 At L22,Gris,Diésel,4,Automática,2.3,Pick-Up,Publicado hace 46 días,8.600 km,42500
Nissan,Frontier,2023,2.3 Dc 4x2 S 2023 - Rpm Moviles,Blanco,Diésel,4,Automática,2.3,Pick-Up,Publicado hace 33 días,13.000 km,35100000
Nissan,Frontier,2023,2.3t Platinum 4x4 At L22,Gris,Diésel,4,Automática,2.3,Pick-Up,Publicado hace 2 meses,27.000 km,47500000
Nissan,Frontier,2023,2.3 Bi Turbo D 4x4 Cd Platinum At,Azul,Diésel,4,Automática,TURBO DIESEL INYECCION,Pick-Up,Publicado hace 14 días,47.400 km,52900000
Nissan,Frontier,2021,2.3 Le Cd 4x4 Mt,Plateado,Diésel,4,Manual,2.3,Pick-Up,Publicado hace 24 días,112.000 km,36000000
Nissan,Frontier,2023,2.3bt S 4x2 At L22,Blanco,Diésel,4,Automática,2.3,Pick-Up,Publicado hace 2 meses,16.500 km,35000000
Nissan,Frontier,2021,2.3 S Cd 4x4 Mt,Gris,Diésel,4,Manual,2.3,Pick-Up,Publicado hace 6 días,99.000 km,25000
Nissan,Frontier,2023,2.3t Platinum 4x4 At L22,Blanco,Diésel,4,Automática,2.3,Pick-Up,Publicado hace 4 días,83.000 km,45500000
Nissan,Frontier,2021,2.3 Le Cd 4x4 At,Gris,Diésel,4,Automática,2.3,Pick-Up,Publicado hace 29 días,45.000 km,33000
Nissan,Frontier,2022,2.3bt Platinum 4x2 At L22,Gris,Diésel,4,Automática,2.3,Pick-Up,Publicado hace 1 mes,103.000 km,41000000
Nissan,Frontier,2023,2.3bt Platinum 4x4 At L22,Blanco,Diésel,4,Automática,2.3,Pick-Up,Publicado hace 13 días,18.000 km,39500
Nissan,Frontier,2022,2.3 S Cd 4x2 Mt,Blanco,Diésel,4,Manual,2.3,Pick-Up,Publicado hace 13 días,33.000 km,32500000
Nissan,Frontier,2024,2.3bt Pro4x 4x4 At L22,Negro,Diésel,4,Automática,2.3,Pick-Up,Publicado hace 43 días,8.000 km,49000000
Nissan,Frontier,2023,2.3bt Platinum 4x4 At L22,Blanco,Diésel,4,Automática,2.3,Pick-Up,Publicado hace 21 días,17.000 km,46500000
Nissan,Frontier,2022,2.3 S Cd 4x2 Mt,Blanco,Diésel,4,Manual,2.3,Pick-Up,Publicado hace 13 días,33.000 km,32500000
Nissan,Frontier,2024,2.3bt Pro4x 4x4 At L22,Negro,Diésel,4,Automática,2.3,Pick-Up,Publicado hace 43 días,8.000 km,49000000
Nissan,Frontier,2023,2.3bt Platinum 4x4 At L22,Blanco,Diésel,4,Automática,2.3,Pick-Up,Publicado hace 21 días,17.000 km,46500000
Nissan,Frontier,2023,2.3t Platinum 4x4 At L22,Gris,Diésel,4,Automática,2.3,Pick-Up,Publicado hace 5 días,55.000 km,49000000
Nissan,Frontier,2024,Pro4x,Azul,Diésel,4,Automática,2.3,Pick-Up,Publicado hace 14 días,19.000 km,47000
Nissan,Frontier,2024,2.3bt Pro4x 4x4 At L22,Negro,Diésel,4,Automática,2.3,Pick-Up,Publicado hace 26 días,2.800 km,44000
Nissan,Frontier,2023,2.3t Platinum 4x4 At L22,Gris,Diésel,4,Automática,2.3,Pick-Up,Publicado hace 4 días,40.000 km,37800
Nissan,Frontier,2023,2.3 Xe Cd 4x2 Mt,Gris,Diésel,4,Manual,2.3,Pick-Up,Publicado hace 6 días,50.000 km,40500000
Nissan,Frontier,2022,Cd X-gear 2.3 D 4x2 At,Gris,Diésel,5,Automática,2.3,No disponible,Publicado hace 25 días,42.000 km,30900
