Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Nissan,Kicks,2021,1.6 Exclusive Cvt,Gris,Nafta,5,Automática,1.6,SUV,Publicado hace 1 día,62.000 km,30000000
Nissan,Kicks,2018,1.6 Exclusive Cvt,Negro,Nafta,5,Automática,1.6,SUV,Publicado hace 1 día,70.124 km,12000
Nissan,Kicks,2019,1.6 Exclusive Cvt9 At Impecablee!! Tomo Permuta,Plateado,Nafta,5,Automática,1.6,SUV,Publicado hace 4 días,52.000 km,22500
Nissan,Kicks,2017,1.6 Advance 120cv At Nd,Gris,Nafta,5,Automática,1.6,Hatchback,Publicado hace 18 días,67.000 km,23000000
Nissan,Kicks,2019,1.6 Advance Cvt,Rojo,Nafta,5,Automática,1.6,SUV,Publicado hace 20 días,90.737 km,21500000
Nissan,Kicks,2021,1.6 Exclusive Cvt Hrv 2008 Cactus Nivus,Gris,Nafta,5,Automática,1.6,SUV,Publicado hace 26 días,62.000 km,30000000
Nissan,Kicks,2021,1.6 Exclusive Cvt Cross Taos Nivus Renegade Hrv,Gris,Nafta,5,Automática,1.6,SUV,Publicado hace 28 días,61.000 km,30000000
Nissan,Kicks,2018,1.6 Exclusive Cvt,Plateado,Nafta,5,Automática,1.6,SUV,Publicado hace 1 día,127.067 km,21990000
Nissan,Kicks,2017,1.6 Advance 120cv At,Gris,Nafta,5,Automática,1.6,Hatchback,Publicado hace 11 días,112.900 km,18000
Nissan,Kicks,2021,1.6 Advance Cvt,Blanco,Nafta,5,Automática,1.6,SUV,Publicado hace 22 días,45.000 km,23500
Nissan,Kicks,2021,1.6 Exclusive Cvt,Negro,Nafta,5,Automática,1.6,SUV,Publicado hace 25 días,22.300 km,27500
Nissan,Kicks,2021,1.6 Exclusive Cvt,Rojo,Nafta,5,Automática,1.6,SUV,Publicado hace 2 meses,67.097 km,28500000
Nissan,Kicks,2022,1.6 Exclusive Bitono Cvt /fa,Blanco,Nafta,5,Automática,1.6,SUV,Publicado hace 3 meses,65.000 km,29000000
Nissan,Kicks,2020,1.6 Advance Cvt,Negro,Nafta,5,Automática,1.6,SUV,Publicado hace 41 días,70.000 km,20900
Nissan,Kicks,2019,"Sense Manual Impecable, Unica Mano, Garantía",Rojo,Nafta,5,Manual,1.6,Hatchback,Publicado hace 1 día,54.100 km,23500000
Nissan,Kicks,2018,1.6 Exclusive Cvt,Rojo,Nafta,5,Automática,1.6,SUV,Publicado hace 1 día,91.000 km,19400
Nissan,Kicks,2021,1.6 Advance,Blanco,Nafta,5,Manual,1.6,SUV,Publicado hace 11 días,93.000 km,24500000
Nissan,Kicks,2022,Exclusive Cvt 2022,Blanco,Nafta,5,Automática,1.6,Hatchback,Publicado hace 5 meses,65.000 km,29000000
Nissan,Kicks,2020,1.6 Special Edition Cvt 120cv N,Blanco,Nafta,5,Automática,1.6,SUV,Publicado hace 1 día,31.500 km,27500000
Nissan,Kicks,2020,1.6 Exclusive Cvt,Gris,Nafta,5,Automática,1.6,SUV,Publicado hace 11 días,75.000 km,26300000
Nissan,Kicks,2019,1.6 Exclusive Cvt,Gris,Nafta,5,Automática,1.6,SUV,Publicado hace 2 meses,110.489 km,25500000
Nissan,Kicks,2018,"Exclusive Cvt 1.6 La Más Full, Tope De Gama.",Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 5 meses,60.000 km,21500
Nissan,Kicks,2022,1.6 Exclusive Cvt,Rojo,Nafta,5,Automática,1.6,SUV,Publicado hace 25 días,57.000 km,25500
Nissan,Kicks,2018,Exclusive Cvt Gris Año 2018,Gris,Nafta,5,Automática,1.6,SUV,Publicado hace 33 días,171.320 km,22900000
Nissan,Kicks,2020,1.6 Exclusive Cvt,Blanco,Nafta,5,Automática,1.6,SUV,Publicado hace 56 días,48.000 km,22900
Nissan,Kicks,2024,1.6 Exclusive Cvt L22,Rojo,Nafta,5,Automática,INYECCION MULTI PUNTO,SUV,Publicado hace 4 días,3.500 km,36500000
Nissan,Kicks,2019,1.6 Exclusive Cvt,Blanco,Nafta,5,Automática,1.6,SUV,Publicado hace 6 días,59.000 km,23500
Nissan,Kicks,2018,1.6 Exclusive Cvt,Naranja,Nafta,5,Automática,1.6,SUV,Publicado hace 21 días,102.000 km,20500000
Nissan,Kicks,2019,1.6 Exclusive Cvt,Rojo,Nafta,5,Automática,1.6,SUV,Publicado hace 27 días,102.000 km,22900000
Nissan,Kick,2021,Advance Mt,Plateado,Nafta,5,Manual,1.6,SUV,Publicado hace 31 días,42.000 km,26900000
Nissan,Kicks,2018,1.6 Exclusive Cvt Usados,Plateado,Nafta,5,Automática,1.6,SUV,Publicado hace 33 días,59.000 km,26500000
Nissan,Kicks,2019,1.6 Advance Cvt Carwestcaba,Blanco,Nafta,5,Automática,1.6,SUV,Publicado hace 6 días,133.200 km,22500000
Nissan,Kicks,2021,Advance At,Negro,Nafta,5,Manual,1.6,SUV,Publicado hace 8 días,66.900 km,27500000
Nissan,Kicks,2021,Advance At,Negro,Nafta,5,Manual,1.6,SUV,Publicado hace 8 días,66.000 km,21900
Nissan,Kicks,2021,1.6 Exclusive Cvt,Blanco,Nafta,5,Automática,1.6,SUV,Publicado hace 42 días,78.000 km,24900
Nissan,Kicks,2022,1.6 Advance Cvt /,Gris,Nafta,5,Automática,1.6,SUV,Publicado hace 54 días,20.668 km,30500000
Nissan,Kicks,2022,1.6 Advance Cvt /,Gris,Nafta,5,Automática,1.6,SUV,Publicado hace 55 días,20.668 km,30500000
Nissan,Kicks,2021,1.6 Exclusive Cvt,Blanco,Nafta,5,Automática,1.6,SUV,Publicado hace 2 meses,60.000 km,24000
Nissan,Nissan,2017,Kicks 1.6 Advance At,Gris,Nafta,5,Automática,1.6,SUV,Publicado hace 3 meses,83.842 km,22890000
Nissan,Kicks,2020,1.6 Exclusive Cvt 2020 Rpm Moviles,Rojo,Nafta,5,Automática,1.6,Hatchback,Publicado hace 28 días,80.000 km,21900
Nissan,Kicks,2021,1.6 Special Edition Cvt 120cv,Blanco,Nafta,5,Automática,1.6 120cv,SUV,Publicado hace 31 días,16.000 km,26000
Nissan,Kicks,2018,1.6 Advance At,Negro,Nafta,5,Automática,1.6,SUV,Publicado hace 2 meses,135.000 km,26000000
Nissan,Kicks,2021,1.6 Exclusive Cvt,Plateado,Nafta,5,Automática,1.6,SUV,Publicado hace 3 días,61.932 km,30000000
Nissan,Kicks,2020,1.6 Advance Cvt,Gris,Nafta,5,Automática,1.6,SUV,Publicado hace 6 días,81.000 km,25500000
Nissan,Kicks,2020,1.6 Advance Cvt L17,Rojo,Nafta,5,Automática,INYECCION MULTI PUNTO,SUV,Publicado hace 14 días,80.200 km,27900000
Nissan,Kicks,2022,1.6 Advance Cvt L21 2022,Gris,Nafta,5,Automática,1.6,SUV,Publicado hace 20 días,20.000 km,30500000
Nissan,Kicks,2017,1.6 Advance Cvt 2017,Gris,Nafta,5,Automática,1.6,SUV,Publicado hace 20 días,83.821 km,20990000
Nissan,Kicks,2019,1.6 Advance Cvt 2019 - Rpm Moviles,Rojo,Nafta,5,Automática,1.6,Hatchback,Publicado hace 27 días,98.000 km,24700000
Nissan,Kicks,2019,1.6 Advance Cvt 2019 - Rpm Moviles,Rojo,Nafta,5,Automática,1.6,Hatchback,Publicado hace 27 días,98.000 km,24700000
Nissan,Kicks,2019,1.6 Advance Cvt,Blanco,Nafta,5,Automática,1.6,SUV,Publicado hace 2 meses,89.000 km,23500000
Nissan,Kicks,2017,Advance Full 1.6n At | 2017,Gris,Nafta,5,Automática,1.6,Hatchback,Publicado hace 5 meses,73.000 km,24899000
Nissan,Kicks,2023,1.6 Exclusive Cvt,Gris,Nafta,5,Automática,1.6,SUV,Publicado hace 12 días,37.000 km,36000000
Nissan,Kicks,2020,1.6 Advance,Blanco,Nafta,5,Manual,1.6,SUV,Publicado hace 19 días,76.800 km,26500000
Nissan,Kicks,2019,1.6 Exclusive Cvt 2019 - Rpm Moviles,Rojo,Nafta,5,Automática,1.6,SUV,Publicado hace 26 días,26.000 km,22600
Nissan,Kicks,2021,1.6 Exclusive Cvt,Gris,Nafta,5,Automática,1.6,SUV,Publicado hace 6 días,19.000 km,32500000
Nissan,Kicks,2018,1.6 Advance Cvt L17,Gris,Nafta,5,Automática,INYECCION MULTI PUNTO,SUV,Publicado hace 27 días,84.000 km,26500000
Nissan,Kicks,2021,1.6 Advance Cvt,Gris,Nafta,5,Automática,1.6,SUV,Publicado hace 3 meses,79.000 km,23900000
