Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Nissan,March,2017,1.6 Active 107cv May14 Rm,Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 42 días,60.000 km,13500
Nissan,March,2017,1.6 Active 107cv,Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 7 meses,60.000 km,12500
Nissan,March,2017,1.6 Advance Media Tech 107cv Mt,Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 4 días,28.000 km,16500000
Nissan,March,2014,1.6 Sr 107cv,Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 15 días,130.000 km,6989900
Nissan,March,2017,1.6 Advance Media Tech 107cv Mt,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 6 días,90.000 km,13500
Nissan,March,2018,1.6 Active 107cv,Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 19 días,96.000 km,17400000
Nissan,March,2018,1.6 Advance Media Tech 107cv,Azul,Nafta,5,Automática,1.6,Hatchback,Publicado hace 24 días,61.300 km,19200000
Nissan,March,2018,1.6 Active Pure Drive L14,Gris,Nafta,5,Manual,INYECCION MULTI PUNTO,Hatchback,Publicado hace 12 días,63.200 km,18500000
Nissan,March,2017,Advance Pure Drive F2,Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 11 días,56.000 km,13500
Nissan,March,2014,1.6 Visia 107cv May13,Negro,Nafta,5,Manual,1.6,Hatchback,Publicado hace 6 días,97.000 km,12000000
Nissan,March,2019,1.6 Advance Pure Drive L14,Scandium,Nafta,5,Manual,INYECCION MULTI PUNTO,Hatchback,Publicado hace 32 días,61.800 km,21000000
Nissan,March,2019,1.6 Active 107cv,Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 33 días,69.800 km,12500
Nissan,March,2017,1.6 Active 107cv Ag,Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 2 meses,63.000 km,15300000
Nissan,March,2015,1.6 Advance Media Tech 107cv,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 2 meses,108.000 km,12400
Nissan,March,2019,1.6 Sense 107cv,Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 26 días,55.000 km,20000000
Nissan,March,2016,1.6 Active 107cv May14,Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 3 meses,110.000 km,10900
Nissan,March,2015,1.6 Active 107cv May14 2014 Lesbleus,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 21 días,160.000 km,10900
