Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Nissan,Note,2018,1.6 Sense 110cv,Rojo,Nafta,5,Manual,1.6,Hatchback,Publicado hace 1 mes,65.000 km,13490
Nissan,Note,2019,Exclusive Cvt Pure Drive - Motormax,Rojo,Nafta,5,Automática,1.6,Hatchback,Publicado hace 1 día,90.000 km,19800000
Nissan,Note,2016,1.6 Exclusive 110cv Cvt,Blanco,Nafta,5,Automática,1.6,Hatchback,Publicado hace 35 días,88.000 km,14990
Nissan,Note,2017,1.6 Sense Pure Drive L15,Gris,Nafta,5,Manual,INYECCION MULTI PUNTO,Hatchback,Publicado hace 3 meses,79.200 km,18500000
Nissan,Note,2018,1.6 Exclusive Pure Drive Cvt 2018 Rpm Moviles,Gris,Nafta,5,Automática,1.6,Hatchback,Publicado hace 1 día,79.000 km,18600
Nissan,Note,2015,"1.6 Advance Pure Drive 2015, Impecable!!!",Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 10 días,130.000 km,13800000
Nissan,Note,2019,Exclusive Depure Drivers.,Blanco,Nafta,5,Automática,1.6,Hatchback,Publicado hace 5 meses,82.500 km,18950
Nissan,Note,2018,1.6 Sense 110cv,Rojo,Nafta,5,Manual,1.6,Hatchback,Publicado hace 57 días,67.000 km,18200000
Nissan,Note,2017,1.6 Sense Pure Drive L15,Celeste,Nafta,5,Manual,INYECCION MULTI PUNTO,Hatchback,Publicado hace 4 meses,82.100 km,17000000
Nissan,Note,2016,1.6 Sense Pure Drive L15,Gris Plata,Nafta,5,Manual,INYECCION MULTI PUNTO,Hatchback,Publicado hace 17 días,73.000 km,17900000
Nissan,Note,2019,1.6 Exclusive Pure Drive Cvt L15,Blanco,Nafta,5,Automática,INYECCION MULTI PUNTO,Hatchback,Publicado hace 29 días,53.800 km,23000000
Nissan,Note,2019,1.6 Sense 110cv,Plateado,Nafta,5,Manual,1.6,Hatchback,Publicado hace 14 días,63.000 km,18500000
Nissan,Note,2017,1.6 Exclusive 110cv Cvt,Blanco,Nafta,5,Automática,1.6,Hatchback,Publicado hace 4 días,73.400 km,15900
Nissan,Note,2017,1.6 Exclusive 110cv Cvt,Gris,Nafta,5,Automática,1.6,Hatchback,Publicado hace 26 días,76.000 km,16500
Nissan,Note,2018,1.6 Exclusive 110cv Cvt,Gris,Nafta,5,Automática,1.6,Hatchback,Publicado hace 34 días,83.000 km,18500000
Nissan,Note,2015,1.6 Exclusive 110cv Cvt,Rojo,Nafta,5,Automática,1.6,Hatchback,Publicado hace 2 días,114.000 km,12800
Nissan,Note,2019,1.6 Exclusive 110cv Cvt,Blanco,Nafta,5,Automática,1.6,Hatchback,Publicado hace 10 días,59.000 km,18900
Nissan,Note,2018,Exclusive Cvt Pure Drive At,Plateado,Nafta,5,Automática,1.6,Sedán,Publicado hace 8 días,82.700 km,18500000
Nissan,Note,2015,Exclusive Pure Drive Cvt 1.6 2015,Azul claro,Nafta,4,Automática,1.6,Sedán,Publicado hace 10 días,71.000 km,18800000
Nissan,Note,2019,1.6 Advance 110cv Cvt,Gris,Nafta,5,Automática,1.6,Hatchback,Publicado hace 18 días,113.000 km,15900
Nissan,Note,2016,1.6 Sense Pure Drive L15,Gris oscuro,Nafta,5,Manual,INYECCION MULTI PUNTO,Hatchback,Publicado hace 2 meses,96.891 km,16900000
Nissan,Note,2019,2019 1.6 Sense 110cv,No disponible,Nafta,5,Manual,1.6,Hatchback,Publicado hace 6 meses,75.000 km,16500
Nissan,Note,2018,1.6 Advance 110cv Cvt,Rojo,Nafta,5,Automática,1.6,Hatchback,Publicado hace 11 días,36.000 km,16000
Nissan,Note,2016,1.6 Exclusive 110cv Cvt,Gris,Nafta,5,Automática,1.6,Hatchback,Publicado hace 4 días,104.000 km,15500000
Nissan,Note,2016,1.6 Sense 110cv,Azul,Nafta,5,Manual,1.6,Hatchback,Publicado hace 53 días,69.000 km,14500
Nissan,Note,2017,1.6 Exclusive 110cv Cvt,Blanco,Nafta,5,Automática,1.6,Hatchback,Publicado hace 12 días,64.400 km,18900000
Nissan,Note,2016,1.6 Exclusive 110cv Cvt,Gris,Nafta,5,Automática,1.6,Hatchback,Publicado hace 35 días,114.000 km,13800
Nissan,Note,2017,1.6 Sense 110cv,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 24 días,98.000 km,16000000
Nissan,Note,2017,1.6 Sense 110cv,Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 1 día,74.000 km,18000
