Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Nissan,Sentra,2022,2.0 Advance 2022,Gris,Nafta,4,Manual,2.0,Sedán,Publicado hace 40 días,57.905 km,29900000
Nissan,Sentra,2015,2.0 Sense,Plateado,Nafta,4,Manual,2.0,Sedán,Publicado hace 2 meses,102.000 km,15200000
Nissan,Sentra,2022,2.0 Exclusive Cvt,Gris,Nafta,4,Automática,2.0,Sedán,Publicado hace 4 días,41.000 km,32900000
Nissan,Sentra,2015,2.0 Sr Cvt,Gris,Nafta,4,Automática,2.0,Sedán,Publicado hace 19 días,156.753 km,15900000
Nissan,Sentra,2018,1.8 Advance,Plateado,Nafta,4,Manual,2.0,Sedán,Publicado hace 3 meses,125.000 km,18500000
Nissan,Sentra,2015,2.0 Advance Manual 2º Mano Muy Bueno Año 2015!,Azul,Nafta,4,Manual,2.0,Sedán,Publicado hace 4 meses,130.000 km,14300000
Nissan,Sentra,2022,2.0 Exclusive Cvt,Gris,Nafta,4,Automática,2.0,Sedán,Publicado hace 1 día,41.000 km,32900000
Nissan,Sentra,2021,2.0 Advance,Plateado,Nafta,4,Manual,2.0,Sedán,Publicado hace 5 días,109.000 km,21000
Nissan,Sentra,2014,2.0 Sense,Blanco,Nafta,4,Manual,2.0,Sedán,Publicado hace 4 meses,322.000 km,9500
Nissan,Sentra,2015,2.0 Advance,Blanco,Nafta,4,Manual,2.0,Sedán,Publicado hace 13 días,94.000 km,5900
Nissan,Sentra,2012,2.0 N Acenta Mt,Rojo,Nafta,4,Manual,2.0,Sedán,Publicado hace 13 días,92.000 km,12200000
Nissan,Sentra,2014,Sr Cvt Full Segunda Mano Vtv Al Día Único,Gris,Nafta,4,Automática,2.0,Sedán,Publicado hace 23 días,101.900 km,16500000
Nissan,Sentra,2020,1.8 Exclusive Cvt L20 2020,Rojo,Nafta,4,Automática,2.0,Sedán,Publicado hace 45 días,105.000 km,23900000
Nissan,Sentra,2017,1.8 Advance Pure Drive,Gris,Nafta,4,Manual,1.8,Sedán,Publicado hace 3 meses,90.000 km,16500
Nissan,Sentra,2018,1.8 Sr Pure Drive,Blanco,Nafta,4,Automática,1.8,Sedán,Publicado hace 7 días,102.000 km,17300
Nissan,Sentra,2015,2.0 Sense Smart Garage,Azul,Nafta,4,Manual,2.0,Sedán,Publicado hace 28 días,99.000 km,13200
Nissan,Sentra,2019,2.0 Sr,Blanco,Nafta,4,Automática,2.0,Sedán,Publicado hace 2 meses,107.000 km,21500000
Nissan,Sentra,2017,Exclusive Cvt 2.0 At Smart Garage,Blanco,Nafta,4,Automática,2.0,Sedán,Publicado hace 4 meses,96.500 km,15400
Nissan,Sentra,2024,2.0 Exclusive Cvt,Gris,Nafta,4,Automática,2.0,Sedán,Publicado hace 19 días,17.200 km,36000000
Nissan,Sentra,2021,2.0 Sr Cvt,Azul,Nafta,4,Automática,2.0,Sedán,Publicado hace 14 días,34.000 km,32500000
Nissan,Sentra,2017,1.8 Sr Pure Drive,Blanco,Nafta,4,Automática,1.8,Sedán,Publicado hace 24 días,110.000 km,20000000
Nissan,Sentra,2021,2.0 Sr,Blanco,Nafta,4,Automática,2.0,Sedán,Publicado hace 11 días,73.000 km,22900000
Nissan,Sentra,2021,2.0 Exclusive Cvt Pfaffen Autos L,Blanco,Nafta,4,Automática,2.0,Sedán,Publicado hace 46 días,75.000 km,26300
Nissan,Sentra,2011,2.0 N Tekna Cvt,Rojo,Nafta,4,Automática,2.0,Sedán,Publicado hace 5 meses,125.100 km,11600
Nissan,Sentra,2020,2.0 Sr Cvt,Blanco,Nafta,4,Automática,2.0,Sedán,Publicado hace 6 días,70.000 km,26800
Nissan,Sentra,2015,1.8 Advance Pure Drive,Gris,Nafta,4,Manual,1.8,Sedán,Publicado hace 2 meses,123.500 km,14500000
Nissan,Sentra,2020,2.0 Exclusive Cvt,Rojo,Nafta,4,Automática,2.0,Sedán,Publicado hace 2 meses,105.000 km,23900000
Nissan,Sentra,2015,1.8 Sense Pure Drive,Gris,Nafta,4,Manual,1.8,Sedán,Publicado hace 1 día,126.000 km,12000
Nissan,Sentra,2018,2.0 Exclusive,Plateado,Nafta,4,Automática,2.0,Sedán,Publicado hace 19 días,127.000 km,17000000
Nissan,Sentra,2022,2.0 Exclusive Cvt,Blanco,Nafta,4,Automática,2.0,Sedán,Publicado hace 18 días,38.000 km,30000
Nissan,Sentra,2015,2.0 Pure Drive Automático Sr Cvt,Rojo,Nafta,4,Automática,2.0,Sedán,Publicado hace 5 meses,52.000 km,17000
Nissan,Sentra,2021,2.0 Sr Cvt,Blanco,Nafta,4,Automática,2.0,Sedán,Publicado hace 1 mes,26.000 km,28000
Nissan,Sentra,2016,1.8 Sr Pure Drive,Rojo,Nafta,4,Automática,1.8,Sedán,Publicado hace 26 días,79.000 km,16000
