Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Nissan,Tiida,2013,1.8 Acenta,Gris,Nafta,5,Manual,1.8,Hatchback,Publicado hace 15 días,100.000 km,13500000
Nissan,Tiida,2012,1.8 Visia,Gris,Nafta,5,Manual,1.8,Hatchback,Publicado hace 6 días,91.862 km,12200000
Nissan,Tiida,2014,1.8 Acenta,Plateado,Nafta,5,Manual,1.8,Hatchback,Publicado hace 6 días,190.000 km,8600
Nissan,Tiida,2014,1.8 Tekna,Dorado,Nafta,5,Manual,1.8,Hatchback,Publicado hace 9 días,140.000 km,11700
Nissan,Tiida,2008,1.8 Tekna,Negro,Nafta,5,Manual,1.8,Hatchback,Publicado hace 33 días,155.000 km,9800000
Nissan,Tiida,2008,1.8 Tekna,Gris,Nafta,5,Manual,1.8,Hatchback,Publicado hace 5 días,177.000 km,8400
Nissan,Tiida,2011,1.8 Tekna,Blanco,Nafta,5,Manual,1.8,Hatchback,Publicado hace 3 meses,150.000 km,9000
Nissan,Tiida,2010,1.8 Acenta,Dorado,Nafta,4,Manual,1.8,Sedán,Publicado hace 36 días,65.000 km,10500
Nissan,Tiida,2014,1.8 Acenta,Negro,Nafta,5,Manual,1.8,Hatchback,Publicado hace 4 meses,160.800 km,11400000
Nissan,Tiida,2011,1.8 Visia 5 P,Negro,Nafta,5,Manual,1.8,Hatchback,Publicado hace 3 días,141.000 km,8000
Nissan,Tiida,2011,1.8 Visia 5 P,Negro,Nafta,5,Manual,1.8,Hatchback,Publicado hace 4 meses,148.500 km,6700
Nissan,Tiida,2010,1.8 Visia,Negro,Nafta,5,Manual,1.8,Hatchback,Publicado hace 54 días,165.000 km,8500000
Nissan,Tiida,2013,1.8 6mt Visia 2013,Crema,Nafta,4,Manual,1.8,Sedán,Publicado hace 1 día,44.000 km,15600000
Nissan,Tiida,2010,1.8 Visia,Plateado,Nafta,5,Manual,1.8,Hatchback,Publicado hace 22 días,147.000 km,8700
Nissan,Tiida,2011,1.8 Tekna,Negro,Nafta,5,Manual,1.8,Hatchback,Publicado hace 41 días,208.000 km,8500
Nissan,Tiida,2014,1.8 Visia,Gris,Nafta,5,Manual,1.8,Hatchback,Publicado hace 49 días,159.000 km,9000
Nissan,Tiida,2009,1.8 Visia Cuidado Con El Alma!,Gris,Nafta,5,Manual,1.8,Hatchback,Publicado hace 2 meses,193.000 km,7500
Nissan,Tiida,2013,1.8 6mt Visia 2013,Crema,Nafta,4,Manual,1.8,Sedán,Publicado hace 2 meses,44.000 km,15600000
Nissan,Tiida,2013,1.8 Visia,Negro,Nafta,5,Manual,1.8,Hatchback,Publicado hace 1 día,140.000 km,10200000
Nissan,Tiida,2011,1.8 Acenta,Negro,Nafta/GNC,4,Manual,1.8,Sedán,Publicado hace 29 días,145.000 km,8900
Nissan,Tiida,2012,1.8 Visia,Plateado,Nafta,5,Manual,1.8,Hatchback,Publicado hace 45 días,120.000 km,10000000
Nissan,Tiida,2008,1.8 Tekna,Negro,Nafta,5,Manual,1.8,Hatchback,Publicado hace 4 días,162.200 km,9700
Nissan,Tiida,2011,1.8 Visia 5 P,Negro,Nafta,5,Manual,1.8,Hatchback,Publicado hace 7 días,110.000 km,10500000
Nissan,Tiida,2010,1.8 Visia,Gris,Nafta,5,Manual,1.8,Hatchback,Publicado hace 34 días,215.000 km,8500
Nissan,Tiida,2009,1.8 Visia,Azul,Nafta,5,Manual,1.8,Hatchback,Publicado hace 15 días,203.000 km,7300000
Nissan,Tiida,2012,1.8 Tekna,Blanco,Nafta,5,Manual,1.8,Hatchback,Publicado hace 1 día,202.000 km,8500
Nissan,Tiida,2014,Acenta 2014. Impecable,Blanco,Nafta,5,Manual,1.8,Hatchback,Publicado hace 29 días,167.000 km,9000
Nissan,Tiida,2012,1.8 Tekna Mt,Plateado,Híbrido,4,Manual,1,Hatchback,Publicado hace 12 días,157.844 km,10630000
Nissan,Tiida,2014,Visia 1.8 5p,Plateado,Nafta,5,Manual,1.8,Hatchback,Publicado hace 6 meses,165.000 km,10000
Nissan,Tiida,2014,1.8 Tekna,Blanco,Nafta,5,Manual,1.8,Hatchback,Publicado hace 6 días,165.000 km,14500000
Nissan,Tiida,2014,1.8 Acenta,Gris,Nafta,5,Manual,1.8,Hatchback,Publicado hace 18 días,150.000 km,10000
Nissan,Usados,2010,Camionetas Nissan Tiida 1.8 Acenta,Gris,Nafta,4,Manual,1.8,Sedán,Publicado hace 2 meses,143.000 km,11000000
Nissan,Tiida,2011,1.8 Visia 5 P,Gris,Nafta,5,Manual,1.8,Hatchback,Publicado hace 11 días,173.000 km,10200000
Nissan,Tiida,2009,1.8 Tekna,Negro,Nafta,5,Manual,1.8,Hatchback,Publicado hace 7 días,184.000 km,8500
Nissan,Tiida,2010,1.8 Tekna,Verde,Nafta,5,Manual,1.8,Hatchback,Publicado hace 13 días,170.000 km,8750
Nissan,Tiida,2013,1.8 Tekna,Blanco,Nafta,4,Manual,1.8,Sedán,Publicado hace 8 días,120.000 km,13450000
Nissan,Tiida,2010,1.8 Visia Sedan 4 Puertas Con Baúl.,Dorado,Nafta,5,Manual,1.8,Hatchback,Publicado hace 6 días,84.000 km,8900
Nissan,Tiida,2012,1.8 Tekna,Plateado,Nafta,5,Manual,1.8,Hatchback,Publicado hace 20 días,140.000 km,10200
Nissan,Tiida,2009,1.8 Visia,Dorado,Nafta,5,Manual,1.8,Hatchback,Publicado hace 2 meses,179.200 km,9600
Nissan,Tiida,2013,1.8 Tekna 5 P,Gris,Nafta,5,Manual,1.8,Hatchback,Publicado hace 6 días,128.000 km,10900
Nissan,Tiida,2011,1.8 Acenta,Blanco,Nafta,4,Manual,1.8,Sedán,Publicado hace 21 días,137.000 km,9000
Nissan,Tiida,2010,1.8 Visia,Negro,Nafta,5,Manual,1.8,Hatchback,Publicado hace 8 días,160.000 km,9200000
Nissan,Tiida,2009,1.8 Visia,Negro,Nafta,5,Manual,1.8,Hatchback,Publicado hace 24 días,173.000 km,8200000
Nissan,Tiida,2010,1.8 Visia,Negro,Nafta,5,Manual,1.8,Hatchback,Publicado hace 53 días,160.000 km,10500000
Nissan,Tiida,2011,1.8 Visia 5 P,Plateado,Nafta,5,Manual,1.8,Hatchback,Publicado hace 2 meses,98.000 km,11800000
Nissan,Tidda,2011,No disponible,Beige,Nafta,5,Manual,1.8,Hatchback,Publicado hace 5 días,186.000 km,8700
Nissan,Tiida,2010,1.8 Visia,Blanco,Nafta,5,Manual,1.8,No disponible,Publicado hace 29 días,137.000 km,8500
Nissan,Tiida,2010,1.8 Tekna,Azul,Nafta/GNC,5,Manual,1.8,Hatchback,Publicado hace 4 días,250.000 km,5000000
