Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Nissan,Versa,2022,1.6 Advance Mt,Azul,Nafta,4,Manual,1.6,Sedán,Publicado hace 20 días,76.000 km,22900000
Nissan,Versa,2017,1.6 Advance At,Gris,Nafta,4,Automática,1.6,Sedán,Publicado hace 40 días,76.737 km,16500000
Nissan,Versa,2018,1.6 Advance At,Blanco,Nafta,4,Automática,1.6,Sedán,Publicado hace 22 días,68.000 km,15900000
Nissan,Versa,2022,1.6 Exclusive At,Rojo,Nafta,4,Automática,1.6,Sedán,Publicado hace 24 días,61.500 km,25000000
Nissan,Versa,2022,"1.6 Advance At Nuevo, Primera Mano, Garantía",Plateado,Nafta,4,Automática,1.6,Sedán,Publicado hace 6 días,34.000 km,23500000
Nissan,Versa,2022,1.6 Advance At,Blanco,Nafta,4,Automática,1.6,Sedán,Publicado hace 11 días,93.000 km,22500000
Nissan,Versa,2023,1.6 Exclusive Cvt,Gris,Nafta,4,Automática,1.6,Sedán,Publicado hace 1 día,28.000 km,29900000
Nissan,Versa,2018,1.6 Exclusive At,Gris,Nafta,4,Automática,1.6,Sedán,Publicado hace 2 meses,80.000 km,18500000
Nissan,Versa,2020,1.6 Exclusive At,Negro,Nafta,4,Automática,1.6,Sedán,Publicado hace 3 días,62.600 km,21500000
Nissan,Versa,2017,1.6 Sense,Plateado,Nafta/GNC,4,Manual,1.6,Sedán,Publicado hace 2 meses,95.000 km,12500
Nissan,Versa,2020,1.6 Advance At,Gris,Nafta,4,Automática,1.6,Sedán,Publicado hace 12 días,80.200 km,19500000
Nissan,Versa,2020,1.6 Exclusive At Pfaffen Autos J,Negro,Nafta,4,Automática,1.6,Sedán,Publicado hace 8 días,62.000 km,21500000
Nissan,Versa,2022,1.6 Sense Mt,Blanco,Nafta,4,Manual,1.6,Sedán,Publicado hace 6 días,34.000 km,23400000
Nissan,1.6,2021,Exclusive Cvt L21 2021,Bordó,Nafta,5,Manual,1.6,Hatchback,Publicado hace 15 días,86.000 km,24000000
