Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Peugeot,Usado,2013,Peugeot 308 Active 1.6 2013 Citroen Fiat Renault,Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 3 días,124.000 km,7990000
Peugeot,308,2017,1.6 Allure,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 5 días,81.000 km,16990000
Peugeot,308,2016,1.6 Active,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 5 días,98.000 km,8598900
Peugeot,308,2014,1.6 Active,Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 12 días,110.000 km,14500000
Peugeot,308,2021,1.6 Allure Hdi 115cv Beccar Ld,Blanco,Diésel,5,Manual,1.6,Hatchback,Publicado hace 12 días,64.300 km,22900000
Peugeot,308,2015,1.6 Active Hdi 115cv,Plateado,Diésel,5,Manual,1.6,Hatchback,Publicado hace 20 días,145.000 km,10999
Peugeot,308,2014,Cc 1.6t Tiptronic - 2014 -,Gris,Nafta,2,Automática,1.6 TURBO 163 HP,Cabriolet,Publicado hace 29 días,98.600 km,20500
Peugeot,308,2015,1.6 Active 2015 / Impecable / 110 Mil Km,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 45 días,110.000 km,14000
Peugeot,308,2017,1.6 Allure Hdi 115cv,Gris,Diésel,5,Manual,1.6,Hatchback,Publicado hace 46 días,99.500 km,17500000
Peugeot,308,2017,1.6 Feline Thp 163cv Tiptronic,Rojo,Nafta,5,Automática,1.6,Hatchback,Publicado hace 59 días,106.000 km,14500
Peugeot,308,2019,1.6 S Gt,Blanco,Nafta,5,Automática,1.6,Hatchback,Publicado hace 2 meses,86.000 km,27900
Peugeot,308,2017,2017 1.6 S Gti - El Mejor Del País. Entendidos.,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 2 años,22.000 km,31000
Peugeot,308,2016,1.6 Active,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 5 días,98.000 km,14489900
Peugeot,308,2016,1.6 Feline Thp 163cv Tiptronic,Gris,Nafta,5,Automática,1.6,Hatchback,Publicado hace 6 días,113.000 km,15900000
Peugeot,308,2017,Feline Thp Tiptronic,Plateado,Nafta,5,Automática,1.6,Hatchback,Publicado hace 28 días,20.000 km,21500000
Peugeot,308,2012,1.6 Active - Liv Motors,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 38 días,108.000 km,9900
Peugeot,308,2020,1.6 Feline Hdi 115cv,Blanco,Diésel,5,Manual,1.6,Hatchback,Publicado hace 38 días,82.000 km,20000
Peugeot,308,2021,1.6 Feline Thp 165cv Tiptronic,Blanco,Nafta,5,Automática,1.6,Hatchback,Publicado hace 52 días,43.040 km,21600
Peugeot,308,2017,1.6 S Gti,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 4 meses,94.000 km,27900
Peugeot,308,2015,"Allure 1,6 2015",Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 6 meses,57.190 km,17900000
Peugeot,308,2019,1.6 Allure Pack Thp Tiptronic,Blanco,Nafta,5,Automática,1.6,Hatchback,Publicado hace 6 días,55.000 km,19900000
