Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Renault,Captur,2018,2.0 Intens 2018 Leerdescrip.(eso),Beige,Nafta,5,Manual,2.0,SUV,Publicado hace 2 días,123.000 km,13427000
Renault,Captur,2017,2.0 Zen,Blanco,Nafta,5,Manual,2.0,SUV,Publicado hace 10 días,145.643 km,17350000
Renault,Captur,2019,1.6 Intens Cvt,Naranja,Nafta,5,Automática,1.6,SUV,Publicado hace 26 días,40.000 km,22890900
Renault,Captur,2018,2.0 Intens 2017 / 80.000km / Permuto,Blanco,Nafta,5,Manual,2.0,SUV,Publicado hace 38 días,80.000 km,18500
Renault,Captur,2018,5 Puerats 2.0 Intens 2018,Blanco,Nafta,5,Manual,2.0,SUV,Publicado hace 5 meses,97.773 km,20500000
Renault,Captur,2019,1.6 Intens Cvt,Plateado,Nafta,5,Automática,1.6,SUV,Publicado hace 10 días,83.920 km,19511
Renault,Captur,2017,2.0 Intens Manual,Naranja,Nafta,5,Manual,2.0,SUV,Publicado hace 13 días,124.000 km,16000
Renault,Captur,2019,1.6 Intens Cvt,Rojo,Nafta,5,Automática,1.6,SUV,Publicado hace 19 días,66.000 km,21900
Renault,Captur,2020,2.0 Zen - Liv Motors,Blanco,Nafta,5,Manual,2.0,SUV,Publicado hace 35 días,49.000 km,17900
Renault,Captur,2017,2.0 Intens Manual,Blanco,Nafta,5,Manual,2.0,SUV,Publicado hace 2 meses,79.635 km,19800000
Renault,Captur,2020,1.6 Life Gr Us,Plateado,Nafta,5,Manual,1.6,SUV,Publicado hace 6 días,100.562 km,20000000
Renault,Captur,2017,2.0 Intens Manual,Rojo,Nafta,5,Manual,2.0,SUV,Publicado hace 27 días,63.000 km,20000000
Renault,Captur,2018,2.0 Intens 2018 C/121800km (jcf),Blanco,Nafta,5,Manual,2.0,SUV,Publicado hace 1 día,121.800 km,19520000
Renault,Captur,2019,2.0 Zen,Gris,Nafta,5,Manual,2.0,SUV,Publicado hace 12 días,83.000 km,20000000
Renault,Captur,2018,2.0 Intens,Rojo,Nafta,5,Manual,2.0,SUV,Publicado hace 25 días,76.300 km,19500000
Renault,Captur,2018,2.0 Intens,Blanco,Nafta,5,Manual,2.0,SUV,Publicado hace 2 días,121.000 km,13427000
Renault,Captur,2021,2.0 Zen,Gris,Nafta,5,Manual,2.0,SUV,Publicado hace 20 días,73.600 km,22000000
Renault,Captur,2020,2.0 Zen,Bordó,Nafta,5,Manual,INYECCION MULTI PUNTO,SUV,Publicado hace 13 días,113.400 km,22000000
Renault,Captur,2020,1.6 Bose Cvt,Blanco,Nafta,5,Automática,1.6,SUV,Publicado hace 20 días,112.000 km,23990000
Renault,Captur,2020,1.6 Life-uslraiti,Plateado,Nafta,5,Manual,1.6,SUV,Publicado hace 6 días,100.562 km,20000000
Renault,Captur,2018,1.6 Intens Cvt,Blanco,Nafta,5,Automática,1.6,SUV,Publicado hace 6 días,104.600 km,20000000
Renault,Captur,2019,2.0 Zen Sp,Gris,Nafta,5,Manual,2.0,SUV,Publicado hace 25 días,78.000 km,21200000
Renault,Captur,2019,2.0 Zen,Blanco,Nafta,5,Manual,2.0,SUV,Publicado hace 10 días,57.000 km,16500
Renault,Captur,2021,2.0 Intens,Bordó,Nafta,5,Manual,INYECCION MULTI PUNTO,SUV,Publicado hace 11 días,65.300 km,26500000
Renault,Captur,2018,2.0 Intens - Us,Blanco,Nafta,5,Manual,2.0,SUV,Publicado hace 14 días,200.000 km,16790000
Renault,Captur,2018,2.0 Intens Us - Fm,Blanco,Nafta,5,Manual,2.0,SUV,Publicado hace 25 días,198.000 km,16790000
Renault,Captur,2017,2.0 Intens,Plateado,Nafta,5,Automática,2.0,SUV,Publicado hace 7 días,101.250 km,22900000
Renault,Captur,2018,1.6 Life,Gris,Nafta,5,Manual,1.6,SUV,Publicado hace 11 días,105.000 km,16700
Renault,Captur,2019,1.6 Intens Cvt,Blanco,Nafta,5,Automática,1.6,SUV,Publicado hace 39 días,71.000 km,21900000
Renault,Captur,2021,1.6 Intens Cvt,Blanco,Nafta,5,Automática,1.6,SUV,Publicado hace 46 días,88.820 km,26740000
Renault,Captur,2020,1.6 Bose Cvt,Blanco,Nafta,5,Automática,1.6,SUV,Publicado hace 59 días,78.000 km,18700
Renault,Captur,2019,1.6 Intens Cvt,Rojo,Nafta,5,Automática,1.6,SUV,Publicado hace 27 días,40.000 km,5300
Renault,Captur,2018,2.0 Zen,Blanco,Nafta,5,Manual,2.0,SUV,Publicado hace 2 meses,57.000 km,18500000
Renault,Captur,2019,1.6 Life,Blanco,Nafta,5,Manual,1.6,SUV,Publicado hace 3 meses,88.000 km,19200000
Renault,Captur,2020,2.0 Zen U,Rojo,Nafta,5,Manual,2.0,SUV,Publicado hace 10 días,91.000 km,22499999
Renault,Captur,2017,2.0 Intens Manual Lp,Blanco,Nafta,5,Manual,2.0,SUV,Publicado hace 11 días,97.000 km,18500000
Renault,Captur,2018,2.0 Intens,Rojo,Nafta,5,Manual,2.0,SUV,Publicado hace 1 día,49.000 km,20000
Renault,Captur,2018,2.0 Zen,Blanco,Nafta/GNC,5,Manual,2.0,SUV,Publicado hace 11 días,104.000 km,17500000
Renault,Captur,2019,1.6 Intens Cvt,Gris,Nafta,5,Automática,1.6,SUV,Publicado hace 21 días,76.172 km,21900
Renault,Captur,2018,1.6 Intens Cvt,Gris,Nafta,5,Automática,1.6,SUV,Publicado hace 3 días,84.000 km,21000000
Renault,Captur,2017,2.0 Zen,Blanco,Nafta,5,Manual,2.0,SUV,Publicado hace 45 días,98.000 km,19900000
Renault,Captur,2021,2.0 Intens Manual,Plateado,Nafta,5,Manual,2.0,SUV,Publicado hace 58 días,80.000 km,21000
Renault,Captur,2018,2.0 Intens,Dorado,Nafta,5,Manual,2.0,SUV,Publicado hace 4 meses,62.000 km,18900
Renault,Captur,2018,Zen 2.0 { Igual A 0km },Gris,Nafta,5,Manual,2.0,SUV,Publicado hace 2 meses,54.000 km,17800
Renault,Captur,2020,1.6 Bose Cvt,Blanco,Nafta,5,Automática,1.6,SUV,Publicado hace 3 meses,89.000 km,18500
Renault,Captur,2020,1.6 Intens Cvt,Rojo,Nafta,5,Automática,1.6,SUV,Publicado hace 25 días,48.700 km,19500
Renault,Captur,2017,2.0 Zen,Gris,Nafta,5,Manual,2.0,SUV,Publicado hace 1 día,60.000 km,15800
Renault,Captur,2018,2.0 Intens Automática,Beige,Nafta,5,Automática,2.0,SUV,Publicado hace 3 días,207.000 km,18000000
Renault,Captur,2018,1.6 Intens Cvt,GRIS QUARZT,Nafta,5,Automática,INYECCION MULTI PUNTO,SUV,Publicado hace 5 días,83.000 km,21000000
Renault,Captur,2017,2.0 Intens Manual,Blanco,Nafta,5,Manual,2.0,SUV,Publicado hace 7 días,59.000 km,21800000
Renault,Captur,2018,2.0 Intens Automática,Beige,Nafta,5,Automática,2.0,SUV,Publicado hace 3 días,207.000 km,18000000
Renault,Captur,2018,1.6 Intens Cvt,GRIS QUARZT,Nafta,5,Automática,INYECCION MULTI PUNTO,SUV,Publicado hace 5 días,83.000 km,21000000
Renault,Captur,2017,2.0 Intens Manual,Blanco,Nafta,5,Manual,2.0,SUV,Publicado hace 7 días,59.000 km,21800000
Renault,Captur,2018,1.6 Intens Cvt,Blanco,Nafta,5,Automática,1.6,SUV,Publicado hace 23 días,135.000 km,16500
Renault,Captur,2019,1.6 Intens Cvt,Blanco,Nafta,5,Automática,1.6,SUV,Publicado hace 58 días,102.000 km,16500
Renault,Captur,2020,1.6 Intens Cvt,Gris,Nafta,5,Automática,1.6,SUV,Publicado hace 2 meses,54.000 km,19600
Renault,Captur,2021,1.6 Intens Cvt,Rojo,Nafta,5,Automática,1.6,SUV,Publicado hace 4 meses,51.000 km,20900
Renault,Captur,2019,Intens 1.6 Cvt 1tone 2019,Rojo,Nafta,4,Automática,1.6,Sedán,Publicado hace 8 días,83.000 km,24100000
Renault,Captur,2017,2.0 Intens Manual,Beige,Nafta/GNC,5,Manual,2.0,SUV,Publicado hace 24 días,117.000 km,19990000
Renault,Captur,2021,1.6 Intens Cvt,Gris,Nafta,5,Automática,1.6,SUV,Publicado hace 26 días,96.500 km,23000
Renault,Captur,2020,2.0 Zen,Rojo,Nafta,5,Manual,2.0,SUV,Publicado hace 9 días,108.000 km,17500
Renault,Captur,2018,2.0 Intens,Rojo,Nafta,5,Manual,2.0,SUV,Publicado hace 12 días,90.500 km,20000000
Renault,Captur,2019,1.6 Intens Cvt,Blanco,Nafta,5,Automática,1.6,SUV,Publicado hace 20 días,71.000 km,20000000
Renault,Captur,2021,2.0 Intens Manual,Gris,Nafta,5,Manual,2.0,SUV,Publicado hace 29 días,65.000 km,26000000
Renault,Captur,2018,2.0 Zen,Rojo,Nafta,5,Manual,2.0,SUV,Publicado hace 2 meses,46.000 km,20600000
Renault,Captur,2017,2.0 Intens,Blanco,Nafta,5,Automática,2.0,SUV,Publicado hace 2 meses,92.000 km,17500
Renault,Captur,2017,2.0 Zen,Marrón,Nafta,5,Manual,2.0,SUV,Publicado hace 21 días,119.000 km,19900000
Renault,Captur,2018,1.6 Life,Rojo,Nafta,5,Manual,1.6,SUV,Publicado hace 21 días,80.000 km,16500
Renault,Captur,2019,1.6 Life,Gris,Nafta,5,Manual,1.6,SUV,Publicado hace 49 días,130.000 km,20000000
Renault,Captur,2019,2.0 Zen,Plateado,Nafta,5,Manual,2.0,SUV,Publicado hace 3 días,36.800 km,22000000
Renault,Captur,2017,2.0 Intens Manual,Beige,Nafta,5,Manual,2.0,SUV,Publicado hace 16 días,104.200 km,19900000
Renault,Captur,2017,2.0 Zen,Gris,Nafta,5,Manual,2.0,SUV,Publicado hace 18 días,101.500 km,19000000
Renault,Captur,2021,2.0 Intens Manual,Rojo,Nafta,5,Manual,2.0,SUV,Publicado hace 23 días,92.879 km,24200000
Renault,Captur,2021,1.6 Intens Cvt,Gris,Nafta,5,Automática,1.6,SUV,Publicado hace 3 días,59.000 km,25200000
Renault,Captur,2018,2.0 Intens,Blanco,Nafta/GNC,5,Manual,2.0,SUV,Publicado hace 10 días,132.000 km,18000
Renault,Captur,2017,Intens. 2.0,Plateado,Nafta,5,Manual,2.0,SUV,Publicado hace 8 meses,113.000 km,15900
Renault,Captur,2019,1.6 Intens Cvt,Beige,Nafta,5,Automática,1.6,SUV,Publicado hace 18 días,103.000 km,18500
Renault,Captur,2019,1.6 Intens Cvt,Blanco,Nafta,5,Automática,1.6,SUV,Publicado hace 35 días,94.128 km,24300000
Renault,Captur,2017,2.0 Intens Manual,Blanco,Nafta,5,Manual,2.0,SUV,Publicado hace 33 días,99.800 km,19800000
Renault,Captur,2022,1.6 Intens Cvt,Gris,Nafta,5,Automática,1.6,SUV,Publicado hace 5 meses,26.000 km,24000
Renault,Captur,2019,2.0 Intens Manual 2019,Blanco,Nafta,5,Manual,2.0,SUV,Publicado hace 5 meses,36.501 km,17200000
Renault,Captur,2019,2.0 Zen,Gris,Nafta,5,Manual,2.0,SUV,Publicado hace 5 meses,47.000 km,17000
Renault,Captur,2018,1.6 Intens Cvt,Beige,Nafta,5,Automática,1.6,SUV,Publicado hace 21 días,130.000 km,19300000
Renault,Captur,2019,2.0 Zen,Gris,Nafta,5,Manual,2.0,SUV,Publicado hace 18 días,73.000 km,21000000
Renault,Captur,2018,2.0 Intens 2018,Rojo,Nafta,5,Manual,2,SUV,Publicado hace 56 días,100.000 km,22000000
Renault,Captur,2017,2.0 Intens Manual,Blanco,Nafta,5,Manual,2.0,SUV,Publicado hace 2 meses,266.000 km,19000000
Renault,Captur,2017,2.0 Intens Manual,Rojo,Nafta,5,Manual,2.0,SUV,Publicado hace 3 meses,66.000 km,23520000
Renault,Captur,2018,Intens,Amarillo,Nafta,5,Manual,2.0,SUV,Publicado hace 6 meses,73.875 km,21200000
Renault,Captur,2017,2.0 Intens,Rojo,Nafta,5,Automática,2.0,SUV,Publicado hace 26 días,104.858 km,20000000
Renault,Captur,2019,1.6 Life,Gris,Nafta,5,Manual,1.6,SUV,Publicado hace 26 días,50.925 km,21000000
Renault,Captur,2020,Bose 1.6 Intens Cvt,Gris,Nafta,5,Automática,1.6,SUV,Publicado hace 13 días,108.000 km,23500000
Renault,Capture,2018,No disponible,Blanco,Nafta,4,Automática,1.6,SUV,Publicado hace 10 días,86.000 km,21000000
Renault,Intens,2018,Cvt,Blanco,Nafta,5,Automática secuencial,1.6,SUV,Publicado hace 29 días,69.000 km,21000
Renault,Captur,2019,1.6 Life,Gris,Nafta,5,Manual,1.6,SUV,Publicado hace 10 días,110.000 km,21000000
Renault,Captur,2018,1.6 Intens Cvt,Gris,Nafta,5,Automática,1.6,SUV,Publicado hace 7 días,83.900 km,20999980
Renault,Captur,2019,1.6 Intens Cvt,Naranja,Nafta,5,Automática,1.6,SUV,Publicado hace 12 días,40.000 km,22900000
Renault,Captur,2019,1.6 Intens Cvt,Dorado,Nafta,5,Automática,1.6,SUV,Publicado hace 41 días,89.800 km,19500
Renault,Captur,2017,2.0 Zen,Gris,Nafta,5,Manual,2.0,SUV,Publicado hace 45 días,65.000 km,19500
Renault,Captur,2018,2.0 Intens,Beige,Nafta,5,Manual,2.0,SUV,Publicado hace 11 días,60.215 km,19300
Renault,Captur,2018,2.0 Zen,Rojo,Nafta,5,Manual,2.0,SUV,Publicado hace 13 días,96.634 km,17100
Renault,Captur,2019,1.6 Intens Cvt,Gris,Nafta,5,Automática,1.6,SUV,Publicado hace 13 días,96.202 km,19000
Renault,Captur,2017,Intens 2.0 Mt Gnc 115.000km 2017,Gris,Nafta/GNC,5,Manual,2.0,SUV,Publicado hace 5 meses,115.000 km,22499000
Renault,Captur,2017,2.0 Intens Manual,Naranja,Nafta,5,Manual,2.0,SUV,Publicado hace 19 días,124.000 km,19200000
Renault,Captur,2018,2.0 Intens,Beige,Nafta,5,Manual,INYECCION MULTI PUNTO,SUV,Publicado hace 1 día,68.387 km,20900000
Renault,Captur,2020,2.0 Zen Manual Gris 2020 Primera Mano,Gris,Nafta,5,Manual,2.0,SUV,Publicado hace 5 días,90.000 km,16999
Renault,Captur,2018,2.0 Intens,Gris,Nafta,5,Manual,2.0,SUV,Publicado hace 35 días,89.000 km,20300000
Renault,Captur,2018,1.6 Intens Cvt,Blanco,Nafta,5,Automática,1.6,SUV,Publicado hace 48 días,86.300 km,21500000
Renault,Captur,2018,2.0 Zen 2018 Nafta Manual,Blanco,Nafta,5,Manual,2.0,SUV,Publicado hace 12 días,104.000 km,21850000
Renault,Captur,2018,2.0 Zen,Gris,Nafta,5,Manual,2.0,SUV,Publicado hace 40 días,107.902 km,16000
Renault,Captur,2020,1.6 Bose Cvt,Rojo,Nafta,5,Automática,1.6,SUV,Publicado hace 53 días,65.000 km,22499900
Renault,Captur,2017,2.0 Intens,Gris,Nafta,5,Automática,2.0,SUV,Publicado hace 6 días,91.000 km,20500000
Renault,Captur,2019,1.6 Life,Blanco,Nafta,5,Manual,1.6,SUV,Publicado hace 19 días,103.660 km,21720000
Renault,Captur,2020,1.6 Bose Cvt,Gris,Nafta,5,Automática,1.6,SUV,Publicado hace 21 días,97.500 km,22600000
Renault,Captur,2018,1.6 Intens Cvt Bareinautos,Rojo,Nafta,5,Automática,1.6,SUV,Publicado hace 2 meses,85.000 km,17300
Renault,Captur,2018,1.6 Intens Cvt,Crema,Nafta,5,Automática,INYECCION MULTI PUNTO,SUV,Publicado hace 11 días,180.000 km,21500000
Renault,Captur,2019,1.6 Intens Cvt,Rojo,Nafta,5,Automática,1.6,SUV,Publicado hace 14 días,86.000 km,22000000
