Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Renault,Clio,2015,1.2 Mio Confort Plus Abs Abcp,Blanco,Nafta,5,Manual,1.2,Hatchback,Publicado hace 10 días,98.400 km,12500000
Renault,Clio,2013,1.2 Mío Authentique Pack Look No Sandero An,Plateado,Nafta,5,Manual,1.2,Hatchback,Publicado hace 27 días,160.000 km,8900000
Renault,Clio,2015,1.2 Mio Confort Plus Abs Abcp,Plateado,Nafta,5,Manual,1.2,Hatchback,Publicado hace 2 meses,98.700 km,9900
Renault,Clio,2014,1.2 Mio Confort Plus Abs Abcp,Negro,Nafta,5,Manual,1.2,Hatchback,Publicado hace 3 meses,114.000 km,11700000
Renault,Clio,2016,1.2 Mio Dynamique 5p,Blanco,Nafta,5,Manual,1.2,Hatchback,Publicado hace 50 días,85.000 km,10300
Renault,Clio,2015,1.2 Mio Confort Abs Abcp,Beige,Nafta,3,Manual,1.2,Hatchback,Publicado hace 10 días,51.000 km,9750
Renault,Clio,2013,1.2 Mío Expression Pack Ii Ab,Rojo,Nafta,3,Manual,1.2,Hatchback,Publicado hace 26 días,115.000 km,8500
Renault,Clio,2013,1.2 Mío Expression Pack Ii Ab,Negro,Nafta,3,Manual,1.2,Hatchback,Publicado hace 35 días,128.000 km,8600
Renault,Clio,2016,1.2 Mio Dynamique,Rojo,Nafta,3,Manual,1.2,Hatchback,Publicado hace 50 días,87.000 km,9700
Renault,Clio,2014,1.2 Mio Confort Plus Abs Abcp,Dorado,Nafta,5,Manual,1.2,Hatchback,Publicado hace 16 días,90.000 km,10500000
Renault,Clio,2010,1.2 Pack Plus,Gris,Nafta,3,Manual,1.2,Hatchback,Publicado hace 27 días,105.000 km,9100000
Renault,Clio,2003,1.5 Privilege,Plateado,Diésel,4,Manual,1.5,Sedán,Publicado hace 33 días,145.000 km,6500000
Renault,Clio,2016,1.2 Mio Confort Pack 5p,Negro,Nafta,5,Manual,1.2,Hatchback,Publicado hace 40 días,140.000 km,8990
Renault,Clio,2015,Mio 1.2 5 P Confort,Blanco,Nafta,5,Manual,INYECCION MULTI PUNTO,Hatchback,Publicado hace 2 meses,101.000 km,14000000
Renault,Clio,2014,1.2 Mio Confort Abs Abcp,Blanco,Nafta,3,Manual,1.2,Hatchback,Publicado hace 33 días,115.000 km,9200
Renault,Clio,2015,Mio 1.2 5p Dynamique 2015,Azul,Nafta,5,Manual,1.2,Hatchback,Publicado hace 1 día,109.800 km,12700000
