Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Renault,Duster,2013,1.6 4x2 Confort 110cv,Marrón,Nafta,5,Manual,1.6,SUV,Publicado hace 1 día,94.000 km,12470000
Renault,Duster,2019,2.0 Ph2 4x2 Privilege,Gris,Nafta,5,Manual,2.0,SUV,Publicado hace 2 días,87.000 km,16300
Renault,Duster,2013,1.6 4x2 Confort 110cv (aca),Verde,Nafta,5,Manual,1.6,SUV,Publicado hace 2 días,94.637 km,12450000
Renault,Camioneta,2018,Usado Renault Duster Privilege 2018 2.0 Fiat,Blanco,Nafta,5,Manual,2.0,SUV,Publicado hace 3 días,83.000 km,10780000
Renault,Duster,2020,1.6 Ph2 4x2 Dynamique 110cv,Rojo,Nafta,5,Manual,1.6,SUV,Publicado hace 5 días,65.000 km,11000000
Renault,Duster,2020,1.6 Ph2 4x2 Dynamique 110cv,Rojo,Nafta,5,Manual,1.6,SUV,Publicado hace 5 días,65.000 km,20989900
Renault,Duster,2014,2.0 4x4 Luxe Nav 138cv,Negro,Nafta,5,Manual,2.0,SUV,Publicado hace 13 días,160.000 km,15000000
Renault,Duster,2016,1.6 Ph2 4x2 Privilege 110cv - Liv Motors,Gris,Nafta,5,Manual,1.6,SUV,Publicado hace 19 días,83.000 km,13500
Renault,Duster,2017,1.6 Ph2 4x2 Dynamique 110cv,Gris,Nafta,5,Manual,1.6,SUV,Publicado hace 25 días,92.329 km,16000000
Renault,Duster,2021,2.0 Ph2 4x2 Privilege Jf,Gris,Nafta,5,Manual,2.0,SUV,Publicado hace 2 meses,78.800 km,22500000
Renault,Duster,2011,1.6 4x2 Dynamique 110cv,Negro,Nafta,5,Manual,1.6,SUV,Publicado hace 3 meses,135.000 km,11500
Renault,Duster,2016,2.0 Ph2 4x2 Privilege 143cv,Marrón,Nafta,5,Manual,2.0,SUV,Publicado hace 7 días,149.000 km,9130700
Renault,Duster,2015,1.6 4x2 Confort Plus Abs 110cv,Plateado,Nafta,5,Manual,1.6,SUV,Publicado hace 10 días,127.800 km,13200
