Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Renault,Fluence,2015,1.6 Ph2 Dynamique 110cv,Gris,Nafta,4,Manual,1.6,Sedán,Publicado hace 47 días,90.000 km,13890900
Renault,Fluence,2016,2.0 Gt T 190cv,Negro,Nafta,4,Manual,2.0,Sedán,Publicado hace 6 días,88.000 km,18000000
Renault,Renault,2016,Fluence Luxe Pa Cvt Año 2016 Con 136.000km,Violeta,Nafta,4,Automática,2.0,Sedán,Publicado hace 5 meses,136.000 km,10500
Renault,Fluence,2014,2.0 Ph2 Privilege Cvt 143cv,Plateado,Nafta,4,Automática,2.0,Sedán,Publicado hace 14 días,149.000 km,5989900
Renault,Fluence,2017,2.0 Ph2 Luxe 143cv,Gris,Nafta,4,Manual,2.0,Sedán,Publicado hace 28 días,70.000 km,15900000
Renault,Fluence,2011,2.0 Luxe,Azul,Nafta,4,Manual,2.0,Sedán,Publicado hace 3 meses,280.000 km,10200000
Renault,Fluence,2015,2.0 Ph2 Luxe 143cv,Gris,Nafta,4,Manual,2.0,Sedán,Publicado hace 40 días,112.000 km,9000000
Renault,Fluence,2014,2.0 Dynamique Pro.cre.auto,Plateado,Nafta,4,Manual,2.0,Sedán,Publicado hace 49 días,110.000 km,8000000
Renault,Fluence,2011,2.0 Luxe,Blanco,Nafta,4,Manual,2.0,Sedán,Publicado hace 6 meses,150.000 km,9500
Renault,Fluence,2017,2.0 Ph2 Privilege Cvt 143cv,Gris,Nafta,4,Automática,2.0,Sedán,Publicado hace 2 días,51.000 km,14900
Renault,Fluence,2013,2.0 Dynamique,Dorado,Nafta,4,Manual,2.0,Sedán,Publicado hace 37 días,70.000 km,11900000
Renault,Fluence,2013,2.0 Dynamique 2013 - Rpm Moviles,Rojo,Nafta,4,Manual,2,Sedán,Publicado hace 32 días,126.000 km,11900000
Renault,Fluence,2017,1.6 Ph2 Dynamique Pack 110cv,Blanco,Nafta,4,Manual,1.6,Sedán,Publicado hace 25 días,84.000 km,3900
Renault,Fluence,2017,1.6 Dynamique L15 2017,Negro,Nafta,4,Manual,1.6,Sedán,Publicado hace 25 días,95.000 km,15500000
Renault,Fluence,2016,1.6 Ph2 Dynamique 110cv,Blanco,Nafta,4,Manual,1.6,Sedán,Publicado hace 42 días,133.000 km,12500
Renault,Fluence,2012,2.0 Privilege Mt,Dorado,Nafta,4,Manual,2.0,Sedán,Publicado hace 56 días,55.000 km,11500000
Renault,Fluence,2012,2.0 Luxe,Plateado,Nafta,4,Manual,2.0,Sedán,Publicado hace 3 meses,186.115 km,9500000
Renault,Fluence,2017,1.6 Ph2 Dynamique 110cv,Gris,Nafta,4,Manual,1.6,Sedán,Publicado hace 41 días,113.000 km,12400000
Renault,Fluence,2019,2.0 Ph2 Luxe Pack 143cv Cuero,Blanco,Nafta,4,Manual,2.0,Sedán,Publicado hace 16 días,110.000 km,15000000
Renault,Fluence,2011,1.6 Confort 110cv,Gris,Nafta,4,Manual,1.6,Sedán,Publicado hace 26 días,140.000 km,11500000
Renault,Fluence,2017,2.0 T Gt 190cv,Negro,Nafta,4,Manual,2.0,Sedán,Publicado hace 4 meses,80.000 km,16500
Renault,Fluence,2013,2.0 Gt T 180cv,Blanco,Nafta,4,Manual,2.0,Sedán,Publicado hace 38 días,118.300 km,15800000
Renault,Fluence,2017,2.0 Ph2 Luxe Pack 143cv,Plateado,Nafta,4,Manual,2.0,Sedán,Publicado hace 7 meses,117.123 km,14500
Renault,Fluence,2017,2017 2.0 Ph2 Privilege Cvt 143cv,No disponible,Nafta,4,Automática,2.0,Sedán,Publicado hace 8 meses,83.000 km,13980
Renault,Fluence,2013,1.6 Confort Plus 110cv,Blanco,Nafta,4,Manual,1.6,Sedán,Publicado hace 3 meses,128.000 km,11400000
Renault,Fluence,2016,2.0 Gt T 190cv,Blanco,Nafta,4,Manual,2.0,Sedán,Publicado hace 4 meses,79.000 km,14990
Renault,Fluence,2013,2.0 Gt T 180cv,Negro,Nafta,4,Manual,2.0,Sedán,Publicado hace 7 días,152.000 km,12300
Renault,Fluence,2017,2.0 Gt T 190cv,Negro,Nafta,4,Manual,2.0,Sedán,Publicado hace 3 días,53.500 km,24000000
Renault,Fluence,2011,2.0 Luxe,Dorado,Nafta,4,Manual,2.0,Sedán,Publicado hace 7 días,215.596 km,9900000
Renault,Fluence,2017,2.0 Ph2 Luxe Pack 143cv Cuero,Gris,Nafta,4,Manual,2.0,Sedán,Publicado hace 40 días,107.000 km,15500000
Renault,Fluence,2013,2.0 Dynamique,Gris,Nafta,4,Manual,2.0,Sedán,Publicado hace 3 meses,203.000 km,9400000
Renault,Fluence,2014,2.0 Ph2 Privilege Cvt 143cv,Negro,Nafta,4,Automática,2.0,Sedán,Publicado hace 4 meses,120.000 km,11500000
Renault,Fluence,2011,2.0 Luxe,Blanco,Nafta,4,Manual,2.0,Sedán,Publicado hace 44 días,140.000 km,10700000
Renault,Fluence,2014,2.0 Privilege Mt,Gris,Nafta,4,Manual,2.0,Sedán,Publicado hace 22 días,150.000 km,13000000
Renault,Fluence,2014,2.0 Dynamique Pro.cre.auto,Negro,Nafta,4,Manual,2.0,Sedán,Publicado hace 23 días,88.500 km,13500000
Renault,Fluence,2018,2.0 Ph2 Privilege Cvt 143cv,Plateado,Nafta,4,Automática,2.0,Sedán,Publicado hace 13 días,115.000 km,14000
Renault,Fluence,2015,No disponible,Negro,Nafta/GNC,5,Manual,2.0,Sedán,Publicado hace 17 días,225.000 km,11000
Renault,Fluence,2011,2.0 Privilege Cvt,Gris,Nafta,4,Automática,2.0,Sedán,Publicado hace 5 meses,101.279 km,8200000
Renault,Fluence,2011,2.0 Luxe,Plateado,Nafta,4,Manual,2.0,Sedán,Publicado hace 46 días,83.000 km,10500000
Renault,Fluence,2017,1.6 Ph2 Dynamique Pack 110cv,Blanco,Nafta,4,Manual,1.6,Sedán,Publicado hace 18 días,39.850 km,15500000
Renault,Fluence,2016,Gt2 2.0 190hp,Negro,Nafta,4,Manual,2.0,Sedán,Publicado hace 5 meses,178.000 km,13700
Renault,Fluence,2012,1.6 Confort 110cv,Gris,Nafta,4,Manual,1.6,Sedán,Publicado hace 20 días,132.000 km,8000000
Renault,Fluence,2016,1.6 Ph2 Dynamique Pack 110cv,Plateado,Nafta,4,Manual,1.6,Sedán,Publicado hace 4 meses,100.000 km,12700000
Renault,Fluence,2013,2.0 Dynamique,Plateado,Híbrido,4,Manual,1,Sedán,Publicado hace 5 días,146.017 km,10270000
Renault,Fluence,2015,2.0 Ph2 Luxe 143cv,Blanco,Nafta,4,Manual,2.0,Sedán,Publicado hace 16 días,160.000 km,13500000
Renault,Fluence,2011,1.6 Confort,Negro,Híbrido,4,Manual,1,Sedán,Publicado hace 25 días,139.546 km,8330000
Renault,Fluence,2014,2.0 Gt T 180cv,Negro,Nafta,4,Manual,2.0,Sedán,Publicado hace 40 días,68.000 km,13900
Renault,Fluence,2015,2.0 Ph2 Luxe Pack 143cv Cuero,Negro,Nafta/GNC,4,Manual,2.0,Sedán,Publicado hace 2 meses,85.000 km,14500
Renault,Fluence,2013,2.0 Luxe,Negro,Nafta,4,Manual,2.0,Sedán,Publicado hace 3 meses,149.000 km,12000000
Renault,Fluence,2011,2.0 Dynamique C/gnc,Rojo,Nafta/GNC,4,Manual,2.0,Sedán,Publicado hace 3 meses,140.000 km,11500000
Renault,Fluence,2015,2.0 Ph2 Luxe Pack 143cv Cuero,Negro,Nafta/GNC,4,Manual,2.0,Sedán,Publicado hace 2 meses,85.000 km,14500
Renault,Fluence,2013,2.0 Luxe,Negro,Nafta,4,Manual,2.0,Sedán,Publicado hace 3 meses,149.000 km,12000000
Renault,Fluence,2011,2.0 Dynamique C/gnc,Rojo,Nafta/GNC,4,Manual,2.0,Sedán,Publicado hace 3 meses,140.000 km,11500000
Renault,Fluence,2016,2.0 Ph2 Luxe Pack 143cv Cuero,Blanco,Nafta,4,Manual,2.0,Sedán,Publicado hace 35 días,128.000 km,11800
Renault,Fluence,2016,2016 Privilege Cvt 2.0 Oscar Automotores,Blanco,Nafta,4,Automática,2.0,Sedán,Publicado hace 2 meses,102.000 km,17500000
Renault,Fluence,2012,2.0 Privilege Cvt,Negro,Nafta,4,Automática,2.0,Sedán,Publicado hace 5 meses,178.500 km,14000000
Renault,Fluence,2014,2.0 Ph2 Privilege Cvt 143cv 2014,Gris,Nafta,4,Automática,2.0,Sedán,Publicado hace 5 meses,118.000 km,13900000
Renault,Fluence,2013,2.0 16v Dynamique Año 2013,Gris,Nafta,4,Manual,2.0,Sedán,Publicado hace 4 meses,80.890 km,12490000
Renault,Fluence,2012,2.0 Privilege Mt 2012 Ro Automotores Gps Ban,Azul,Nafta,4,Manual,2.0,Sedán,Publicado hace 2 meses,136.500 km,13500000
Renault,Fluence,2015,2.0 Ph2 Luxe Cvt 143cv Carwestcaba,Dorado,Nafta,4,Automática,2.0,Sedán,Publicado hace 12 días,97.500 km,12700000
Renault,Fluence,2015,2.0 Ph2 Luxe Pack 143cv,Dorado,Nafta/GNC,4,Manual,2.0,Sedán,Publicado hace 2 meses,139.000 km,11000
Renault,Fluence,2014,2.0 Dynamique 2014,Azul,Nafta,4,Manual,2,Sedán,Publicado hace 6 días,96.000 km,13990000
Renault,Fluence,2014,2.0 Dynamique 2014,Azul,Nafta,4,Manual,2,Sedán,Publicado hace 6 días,96.000 km,13990000
Renault,Fluence,2018,1.6 Ph2 Dynamique Pack Gnc 2018 1167468820,Gris,Nafta/GNC,4,Manual,1.6,Sedán,Publicado hace 2 meses,133.000 km,15200000
Renault,Fluence,2015,1.6 Ph2 Dynamique Pack 110cv,Negro,Nafta,4,Manual,1.6,Sedán,Publicado hace 2 meses,119.000 km,10000
Renault,Fluence,2013,2.0 Sport T 180cv,Rojo,Nafta,4,Manual,2.0,Sedán,Publicado hace 10 días,91.000 km,13000
Renault,Fluence,2015,2.0 Ph2 Luxe 143cv,Gris,Nafta,4,Manual,2.0,Sedán,Publicado hace 40 días,112.000 km,13500000
Renault,Fluence,2015,2.0 Ph2 Luxe 143cv,Blanco,Nafta,4,Manual,2.0,Sedán,Publicado hace 3 meses,150.000 km,12500000
Renault,Fluence,2015,1.6 Ph2 Luxe 110cv,Blanco,Nafta,4,Manual,1.6,Sedán,Publicado hace 3 meses,150.000 km,12500000
