Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Renault,Kangoo,2023,Ii Express Emotion 1.6 Sce,Plateado,Nafta,3,Manual,1.6,Furgón,Publicado hace 2 días,30.400 km,22900000
Renault,Kangoo,2021,Ii Express Confort 5a 1.6 Sce,Gris,Nafta,4,Manual,1.6,Furgón,Publicado hace 2 días,43.000 km,12000
Renault,Kangoo,2020,Ii Express Confort 5a 1.6 Sce 2020 (mja),Plateado,Nafta,4,Manual,1.6,Furgón,Publicado hace 3 días,55.000 km,21400000
Renault,Kangoo,2018,1.6 Furgon Ph3 Confort 1plc 2018 (mja),Plateado,Nafta,3,Manual,1.6,Furgón,Publicado hace 5 días,79.000 km,15900000
Renault,Autofrance,2024,Renault Kangoo Ii Express Confort 1.5 Dci,Gris,Diésel,3,Manual,1.5,Furgón,Publicado hace 6 días,26.000 km,15900000
Renault,Kangoo,2023,Ii Express Confort 5a 1.6 Hermosa (aes),Gris,Nafta,3,Manual,1.6,Furgón,Publicado hace 9 días,68.000 km,21700000
Renault,Kangoo,2023,Ii Express Confort 5a 1.6 Sce Unica (cf),Gris,Nafta,3,Manual,1.6,Furgón,Publicado hace 10 días,68.000 km,22899999
Renault,Kangoo,2020,Ii Express Emotion 5a 1.6 Sce Oferta (LG),Blanco,Nafta,4,Manual,1.6,Furgón,Publicado hace 11 días,130.000 km,21600000
Renault,Kangoo,2017,1.6 Furgon 5 Asientos Gnc Anticipo $6.900.000,Plateado,Nafta/GNC,3,Manual,1.6,Furgón,Publicado hace 14 días,195.000 km,13300000
Renault,Kangoo,2020,Ii Express Confort 5a 1.6 Sce (rich),Gris,Nafta/GNC,4,Manual,1.6,Furgón,Publicado hace 19 días,55.000 km,21400000
Renault,Kangoo,2017,1.5 Furgon Ph3 Confort 1plc,Blanco,Diésel,3,Manual,1.5,Furgón,Publicado hace 26 días,86.828 km,15500000
Renault,Kangoo,2023,Ii Express Emotion 1.6 Sce,Gris,Nafta,3,Manual,1.6,Furgón,Publicado hace 27 días,38.000 km,24500000
Renault,Kangoo,2024,Ii Express Confort 1.5 Dci,Plateado,Diésel,3,Manual,1.5,Furgón,Publicado hace 49 días,26.000 km,25900000
Renault,Kangoo,2022,Ii Express Confort 5a 1.5 Dci N,Gris,Diésel,3,Manual,1.5,Furgón,Publicado hace 3 días,59.000 km,23500000
Renault,Kangoo,2018,1.6 Ph3 Authentique Plus Lc,Gris,Nafta,4,Manual,1.6,Monovolumen,Publicado hace 13 días,96.000 km,17500000
Renault,Kangoo,2019,Ii Express Confort 1.6 Sce,Gris,Nafta,3,Manual,1.6,Furgón,Publicado hace 16 días,79.800 km,18000000
Renault,Kangoo,2021,Ii Express Confort 1.6 Sce,Gris,Nafta,3,Manual,1.6,Furgón,Publicado hace 5 días,43.700 km,21000000
Renault,Kangoo,2023,Ii Express Confort 1.6 Sce,Gris,Nafta,3,Manual,1.6,Furgón,Publicado hace 10 días,29.000 km,22000000
Renault,Kangoo,2022,Ii Express Confort 5a 1.5 Dci E,Plateado,Diésel,3,Manual,1.5,Furgón,Publicado hace 11 días,59.000 km,23500000
Renault,Kangoo,2023,Ii Express Confort 5a 1.6 Sce,Gris,Nafta,3,Manual,1.6,Furgón,Publicado hace 23 días,47.491 km,25600000
Renault,Kangoo,2020,Ex 1.5 Dci Confort L18 2020,Plateado,Diésel,3,Manual,1.5,Furgón,Publicado hace 7 días,47.000 km,20490000
Renault,Kangoo,2022,Ii Express Confort 1.5 Dci Jg,Gris,Diésel,3,Manual,1.5,Furgón,Publicado hace 14 días,45.000 km,22200000
Renault,Kangoo,2016,1.6 Furgon Ph3 Confort 5as Lc,Gris,Nafta,5,Manual,1.6,Furgón,Publicado hace 31 días,136.000 km,12500
Renault,Kangoo,2018,1.5 Furgon Ph3 Confort 5as Lc,Plateado,Diésel,5,Manual,1.5,Furgón,Publicado hace 52 días,82.000 km,21600000
Renault,Kangoo,2014,1.6 2 Ath Plus Da Aa Cd Pk Lc,Azul,Nafta,5,Automática,1.6,Monovolumen,Publicado hace 18 días,152.000 km,14700000
Renault,Kangoo,2015,1.6 16v Authentique 1 Porton Modelo 2015!,Plateado,Nafta,5,Manual,1.6,Monovolumen,Publicado hace 31 días,122.000 km,14000000
Renault,Kangoo,2013,1.6 2 Furgon Confort Cd Svt 1plc,Blanco,Nafta,3,Manual,1.6,Furgón,Publicado hace 35 días,148.000 km,10800000
