Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Renault,Kwid,2019,1.0 Sce 66cv Intense,Gris,Nafta,5,Manual,1.0,Hatchback,Publicado hace 3 días,19.000 km,12500
Renault,Kwid,2018,1.0 Sce 66cv Intense,Blanco,Nafta,5,Manual,1.0,Hatchback,Publicado hace 42 días,62.800 km,12100
Renault,Kwid,2018,1.0 Sce 66cv Iconic,Rojo,Nafta,5,Manual,1.0,Hatchback,Publicado hace 46 días,67.500 km,13800000
Renault,Kwid,2019,1.0 Sce 66cv Outsider,Blanco,Nafta,5,Manual,1.0,Hatchback,Publicado hace 5 días,62.000 km,12900
Renault,Kwid,2019,1.0 Sce 66cv Zen,Gris,Nafta,5,Manual,1.0,Hatchback,Publicado hace 7 días,80.000 km,12299
Renault,Kwid,2018,1.0 Sce 66cv Life,Plateado,Nafta,5,Manual,1.0,Hatchback,Publicado hace 14 días,80.000 km,7000000
Renault,Kwid,2021,1.0 Sce 66cv Zen,Rojo,Nafta,5,Manual,1.0,Hatchback,Publicado hace 10 días,56.000 km,14000000
Renault,Kwid,2018,1.0l Zen,Rojo,Nafta,5,Manual,1.0,Sedán,Publicado hace 25 días,49.500 km,13200000
Renault,Kwid,2018,1.0 Sce 66cv Zen,Rojo,Nafta,5,Manual,1.0,Hatchback,Publicado hace 10 días,66.000 km,3900
Renault,Kwid,2018,1.0 Sce 66cv Intense,Gris,Nafta,5,Manual,1.0,Hatchback,Publicado hace 59 días,75.000 km,13200000
Renault,Kwid,2019,1.0 Sce 66cv Zen,Blanco,Nafta,5,Manual,1.0,Hatchback,Publicado hace 18 días,56.000 km,12500000
Renault,Kwid,2018,1.0 Sce 66cv Iconic,Naranja,Nafta,5,Manual,1.0,Hatchback,Publicado hace 40 días,46.000 km,13800000
Renault,Kwid,2018,1.0 Sce 66cv Iconic,Blanco,Nafta,5,Manual,1.0,Hatchback,Publicado hace 56 días,58.000 km,15000000
Renault,Kwid,2018,1.0 Sce 66cv Intense,Blanco,Nafta,5,Manual,1.0,Hatchback,Publicado hace 40 días,53.000 km,13000000
Renault,Kwid,2020,1.0 Sce 66cv Zen,Blanco,Nafta,5,Manual,1.0,Hatchback,Publicado hace 40 días,65.000 km,14500000
Renault,Kwid,2018,1.0 Sce 66cv Zen,Rojo,Nafta,5,Manual,1.0,Hatchback,Publicado hace 42 días,105.000 km,13400000
Renault,Kwid,2018,1.0 Sce 66cv Zen,Blanco,Nafta,5,Manual,1.0,Hatchback,Publicado hace 2 meses,54.000 km,13000000
Renault,Kwid,2018,1.0 Sce 66cv Life,Rojo,Nafta,5,Manual,1.0,Hatchback,Publicado hace 2 meses,62.000 km,13500000
Renault,Kwid,2018,1.0 Sce 66cv Intense - Us,Blanco,Nafta,5,Manual,1.0,Hatchback,Publicado hace 2 días,112.000 km,11990000
Renault,Kwid,2018,1.0 Sce 66cv Intense,Negro,Nafta,5,Manual,1.0,Hatchback,Publicado hace 21 días,101.000 km,13500000
Renault,Kwid,2018,1.0 Sce 66cv Iconic,Plateado,Nafta,5,Manual,1.0,Hatchback,Publicado hace 12 días,43.800 km,13400000
Renault,Kwid,2020,1.0 Sce 66cv Zen,Blanco,Nafta,5,Manual,1.0,Hatchback,Publicado hace 5 meses,56.500 km,11000
Renault,Kwid,2020,1.0 Sce 66cv Zen,Rojo,Nafta,5,Manual,1.0,Hatchback,Publicado hace 3 meses,43.000 km,13300
Renault,Kwid,2019,1.0 Sce 66cv Zen,Gris,Nafta,5,Manual,1.0,Hatchback,Publicado hace 54 días,59.000 km,10700
Renault,Kwid,2019,Iconic 1.0 { Excelente Estado },Blanco,Nafta,5,Manual,1.0,Hatchback,Publicado hace 45 días,64.000 km,13800
Renault,Kwid,2018,1.0 Sce 66cv Zen,Plateado,Nafta,5,Manual,1.0,Hatchback,Publicado hace 6 días,123.000 km,9500
Renault,Kwid,2020,1.0 Sce 66cv Zen Unico Dueño,Naranja,Nafta,5,Manual,1.0,Hatchback,Publicado hace 4 meses,32.000 km,12700
Renault,Kwid,2018,1.0 Sce 66cv Iconic,Naranja,Nafta,5,Manual,1.0,Hatchback,Publicado hace 19 días,19.000 km,13500
Renault,Kwid,2018,1.0 Sce 66cv Intense,Plateado,Nafta,5,Manual,1.0,Hatchback,Publicado hace 2 meses,50.000 km,11000
