Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Renault,Logan,2024,1.6 16v Intense,Plateado,Nafta,4,Manual,1.6,Sedán,Publicado hace 11 días,9.000 km,23000000
Renault,Logan,2023,1.6 16v Intense,Blanco,Nafta,4,Manual,1.6,Sedán,Publicado hace 20 días,46.000 km,19900000
Renault,Logan,2020,1.6 16v Intense Año 2020 - Liv Motors,Gris,Nafta,4,Manual,1.6,Sedán,Publicado hace 51 días,50.000 km,14800
Renault,Logan,2023,1.6 16v Intense,Blanco,Nafta,4,Manual,1.6,Sedán,Publicado hace 6 días,46.000 km,19900000
Renault,Logan,2023,1.6 16v Life,Blanco,Nafta,4,Manual,1.6,Sedán,Publicado hace 4 días,47.000 km,17900000
Renault,Logan,2018,1.6 Privilege 105cv,Plateado,Nafta,4,Manual,1.6,Sedán,Publicado hace 58 días,112.000 km,14800000
Renault,Logan,2020,1.6 16v Zen,Blanco,Nafta,4,Manual,1.6,Sedán,Publicado hace 3 meses,108.000 km,15700000
Renault,Logan,2016,1.6 Privilege 105cv,Blanco,Nafta,4,Manual,1.6,Sedán,Publicado hace 1 día,69.000 km,11900
Renault,Logan,2022,1.6 16v Intense N,Gris,Nafta,4,Manual,1.6,Sedán,Publicado hace 10 días,95.000 km,17500000
Renault,Logan,2021,1.6 16v Life,Blanco,Nafta,4,Manual,1.6,Sedán,Publicado hace 18 días,50.000 km,18900000
Renault,Logan,2022,1.6 16v Intense,Plateado,Nafta,4,Manual,1.6,Sedán,Publicado hace 4 días,13.000 km,17900000
Renault,No disponible,2022,No disponible,Plateado,Nafta,4,Manual,1.6,Sedán,Publicado hace 10 días,95.000 km,14000000
Renault,Logan,2023,1.6 16v Zen,Blanco,Nafta,4,Manual,1.6,Sedán,Publicado hace 19 días,49.000 km,19900000
Renault,Logan,2017,1.6 Authentique Plus 85cv Nac Oportunidad,Negro,Nafta,4,Manual,1.6,Sedán,Publicado hace 25 días,120.000 km,14000000
Renault,Logan,2015,1.6 Authentique 85cv,Plateado,Nafta,4,Manual,1.6,Sedán,Publicado hace 35 días,143.000 km,16000000
Renault,Logan,2023,1.6 16v Zen Banchik Usados,Gris,Nafta,4,Manual,1.6,Sedán,Publicado hace 38 días,12.000 km,21900000
Renault,Logan,2019,Authentique 1.6 C/ G N C 2019 74.000km T/usado,Rojo,Nafta,4,Manual,1.6,Sedán,Publicado hace 5 meses,74.000 km,14988000
Renault,Logan,2023,1.6 16v Intense Fc,Blanco,Nafta,4,Manual,1.6,Sedán,Publicado hace 58 días,45.000 km,19490000
Renault,Logan,2015,1.6 Authentique Plus 85cv,Gris,Nafta,4,Manual,1.6,Sedán,Publicado hace 14 días,147.000 km,16000000
Renault,Logan,2019,Ii 1.6 8v Expression 2019,Blanco,Nafta/GNC,4,Manual,1.6,Sedán,Publicado hace 17 días,94.000 km,13800000
Renault,Logan,2010,1.6 Pack,Blanco,Nafta/GNC,4,Manual,1.6,Sedán,Publicado hace 34 días,196.000 km,10900000
Renault,Logan,2023,1.6 16v Intense,Blanco,Nafta,4,Manual,1.6,Sedán,Publicado hace 2 meses,45.000 km,19500000
Renault,Logan,2021,1.6 16v Life U,Plateado,Nafta,4,Manual,1.6,Sedán,Publicado hace 12 días,1.000 km,18499999
Renault,Logan,2015,Ii 1.6 8v Expression 2015,Blanco,Nafta,4,Manual,1.6,Sedán,Publicado hace 14 días,177.000 km,13000000
Renault,Logan,2015,1.6 Expression 85cv C/gnc,Azul,Nafta,4,Manual,1.6,Sedán,Publicado hace 20 días,87.000 km,14500000
Renault,Logan,2020,1.6 16v Life,Negro,Nafta,4,Manual,1.6,Sedán,Publicado hace 48 días,108.000 km,16500000
Renault,Logan,2018,Ii 1.6 16v Privilege 2018,Gris,Nafta,4,Manual,1.6,Sedán,Publicado hace 14 días,86.000 km,14500000
Renault,Logan,2016,Ii 1.6 16v Privilege 2016 - Rpm Moviles,Plateado,Nafta,4,Manual,1.6,Sedán,Publicado hace 21 días,97.000 km,13100000
Renault,Logan,2016,1.6 Expression 85cv,Blanco,Nafta,4,Manual,1.6,Sedán,Publicado hace 49 días,109.400 km,11500000
Renault,Logan,2024,1.6 16v Life,Gris,Nafta,4,Manual,1.6,Sedán,Publicado hace 2 meses,67.300 km,16500000
Renault,Logan,2018,1.6 Authentique Plus 85cv,Negro,Nafta,4,Manual,1.6,Sedán,Publicado hace 31 días,118.729 km,14000000
Renault,Logan,2020,Ii 1.6 16v Life L19,Gris,Nafta,4,Manual,INYECCION MULTI PUNTO,Sedán,Publicado hace 38 días,73.400 km,19000000
Renault,Logan,2021,1.6 16v Life,Blanco,Nafta/GNC,4,Manual,1.6,Sedán,Publicado hace 1 día,58.000 km,17500000
Renault,Logan,2023,1.6 16v Intense,Plateado,Nafta,4,Manual,1.6,Sedán,Publicado hace 7 días,32.000 km,19999999
Renault,Logan,2015,1.6 Privilege Plus 105cv,Celeste,Nafta,4,Manual,1.6,Sedán,Publicado hace 4 días,88.000 km,14200000
Renault,Logan,2022,1.6 16v Life,Gris,Nafta,4,Manual,1.6,Sedán,Publicado hace 33 días,67.000 km,16900000
Renault,Logan,2014,1.6 Expression 85cv,Blanco,Nafta,4,Manual,1.6,Sedán,Publicado hace 3 meses,106.300 km,10800
Renault,Logan,2019,1.6 Authentique 85cv,Plateado,Nafta/GNC,4,Manual,1.6,Sedán,Publicado hace 4 meses,145.000 km,10400
Renault,1.6,2018,16v Privilege 47000km (impecable Unico Dueño) Gnc,Negro,Nafta,4,Manual,1.6,Sedán,Publicado hace 6 días,47.000 km,15500000
Renault,Logan,2019,1.6 Authentique Plus 85cv Nac,Gris,Nafta,4,Manual,1.6,Sedán,Publicado hace 1 día,52.463 km,16300000
Renault,Logan,2023,1.6 16v Life,Gris,Nafta,4,Manual,1.6,Sedán,Publicado hace 3 meses,11.000 km,17000
Renault,Logan,2022,1.6 16v Life,Gris,Nafta,4,Manual,1.6,Sedán,Publicado hace 14 días,66.000 km,17800000
Renault,Logan,2017,1.6 Authentique 85cv,Gris,Nafta,4,Manual,1.6,Sedán,Publicado hace 44 días,105.000 km,13500000
Renault,Logan,2017,1.6 Privilege Plus 105cv,Plateado,Nafta,4,Manual,1.6,Sedán,Publicado hace 51 días,125.000 km,13800000
Renault,Logan,2017,1.6,Blanco,Nafta,4,Manual,1.6,Sedán,Publicado hace 5 meses,124.000 km,11500000
Renault,Logan,2020,1.6 16v Zen,Plateado,Nafta,4,Manual,1.6,Sedán,Publicado hace 12 días,60.400 km,14500
Renault,Logan,2020,1.6 16v Zen,Plateado,Nafta,4,Manual,1.6,Sedán,Publicado hace 12 días,60.400 km,14500
Renault,Logan,2018,1.6 Expression 85cv,Blanco,Nafta,4,Manual,1.6,Sedán,Publicado hace 7 días,160.000 km,13500000
Renault,Logan,2018,1.6 Privilege 105cv,Plateado,Nafta,4,Manual,1.6,Sedán,Publicado hace 21 días,69.800 km,17000000
Renault,Logan,2018,1.6 8v Authentique L13,Blanco,Nafta,4,Manual,INYECCION MULTI PUNTO,Sedán,Publicado hace 44 días,89.263 km,14200000
Renault,Logan,2023,1.6 16v Intense,Plateado,Nafta,4,Manual,1.6,Sedán,Publicado hace 1 día,42.000 km,16500
Renault,Logan,2020,1.6 16v Intense Cvt,Gris,Nafta,4,Automática,1.6,Sedán,Publicado hace 1 día,55.000 km,20500000
Renault,Logan,2020,1.6 16v Life,Blanco,Nafta,4,Manual,1.6,Sedán,Publicado hace 6 días,30.000 km,17900000
Renault,Logan,2010,1.6 Pack Plus,Azul,Nafta/GNC,4,Manual,1.6,Sedán,Publicado hace 7 días,235.000 km,5700000
Renault,Logan,2022,Ph2 Intens 1.6 2022,Gris claro,Nafta,4,Manual,1.6,Sedán,Publicado hace 9 días,58.000 km,21800000
Renault,Logan,2016,1.6 Privilege 105cv,Negro,Nafta/GNC,4,Manual,1.6,Sedán,Publicado hace 42 días,100.000 km,12300
Renault,Logan,2022,Ph2 Life 1.6- 2022,Gris claro,Nafta,4,Manual,1.6,Sedán,Publicado hace 3 meses,39.000 km,19900000
Renault,Logan,2018,1.6 Privilege Plus 105cv,Blanco,Nafta,4,Manual,1.6,Sedán,Publicado hace 6 días,67.500 km,13000000
Renault,Logan,2014,1.6 Expression 85cv,Marrón,Nafta,4,Manual,1.6,Sedán,Publicado hace 9 días,180.000 km,10900000
Renault,Logan,2020,1.6 16v Intense,Blanco,Nafta,4,Manual,1.6,Sedán,Publicado hace 14 días,31.000 km,18900000
Renault,Renault,2018,Logan 1.6 Authentique Plus 68.000km Unica Mano!,Negro,Nafta/GNC,4,Manual,1.6,Sedán,Publicado hace 20 días,68.000 km,16900
Renault,Logan,2012,1.6 Authentique Pack I 90cv,Negro,Nafta/GNC,4,Manual,1.6,Sedán,Publicado hace 1 mes,288.000 km,6700
Renault,2013,2013,No disponible,Negro,Nafta/GNC,4,Manual,1.6,Sedán,Publicado hace 2 meses,308.000 km,6800000
Renault,Logan,2012,1.6 Pack I 90cv,Plateado,Nafta,4,Manual,1.6,Sedán,Publicado hace 32 días,158.000 km,7800
Renault,Logan,2023,1.6 16v Life,Gris,Nafta,4,Manual,1.6,Sedán,Publicado hace 36 días,30.000 km,19500000
Renault,Logan,2018,1.6 Expression 85cv Nac,Blanco,Nafta,4,Manual,1.6,Sedán,Publicado hace 36 días,85.000 km,15700000
Renault,Logan,2014,Ii Autentique Plus 1.6,Marrón,Nafta,4,Manual,1.6,Sedán,Publicado hace 22 días,138.000 km,11600000
Renault,Logan,2019,1.6 16v Privilege L13,Gris claro,Nafta,4,Manual,INYECCION MULTI PUNTO,Sedán,Publicado hace 27 días,49.704 km,17045280
Renault,Logan,2016,1.6 Authentique Plus 85cv,Blanco,Nafta/GNC,4,Manual,1.6,Sedán,Publicado hace 45 días,224.000 km,8500
Renault,Logan,2021,1.6 16v Zen,Gris,Nafta,4,Manual,1.6,Sedán,Publicado hace 51 días,58.000 km,20900000
Renault,Logan,2015,1.6 Authentique 85cv,Gris,Nafta/GNC,4,Manual,1.6,Sedán,Publicado hace 8 días,231.000 km,9500000
