Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Renault,Sandero,2018,1.6 Authentique 90cv Nac,Plateado,Nafta,5,Manual,1.6,Hatchback,Publicado hace 2 días,82.400 km,8300
Renault,Sandero,2022,1.6 16v Intense 2022 (mja),Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 3 días,80.000 km,18800000
Renault,Sandero,2022,1.6 16v Life 2022 (mja),Azul,Nafta,5,Manual,1.6,Hatchback,Publicado hace 3 días,74.000 km,17900000
Renault,Sandero,2011,1.6 Confort 105cv 2011 (mja),Negro,Nafta,5,Manual,1.6,Hatchback,Publicado hace 3 días,131.000 km,9800000
Renault,Sandero,2016,1.6 Gt Line 105cv,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 10 días,118.000 km,12500000
Renault,Sandero,2016,1.6 Privilege 105cv,Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 16 días,89.000 km,16000000
Renault,Sandero,2022,1.6 16v Zen - Liv Motors,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 19 días,27.000 km,15700
Renault,Sandero,2022,1.6 16v Life (rich),Azul,Nafta,5,Manual,1.6,Hatchback,Publicado hace 26 días,73.000 km,17900000
Renault,Sandero,2017,1.6 Authentique 90cv Nac,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 38 días,84.217 km,13300000
Renault,Sandero,2017,1.6 Expression Pack 90cv,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 3 meses,62.000 km,12500
Renault,Sandero,2016,1.6 Privilege Pack 105cv,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 3 meses,122.377 km,14600000
Renault,Sandero,2019,1.6 Expression Pack 90cv,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 20 días,26.000 km,14500
Renault,Sandero,2021,Rs 2.0,Beige,Nafta,5,Manual,2.0,Hatchback,Publicado hace 6 días,32.000 km,23500000
Renault,Sandero,2015,1.6 Privilege 105cv,Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 6 días,51.000 km,9600
Renault,Sandero,2023,1.6 16v Life,Azul,Nafta,5,Manual,1.6,Hatchback,Publicado hace 1 día,61.700 km,17900000
Renault,Sandero,2023,1.6 16v Life,Plateado,Nafta,5,Manual,1.6,Hatchback,Publicado hace 1 día,59.300 km,17800000
Renault,Sandero,2021,2.0 Rs 145cv,Blanco,Nafta,5,Manual,2.0,Hatchback,Publicado hace 6 días,32.000 km,23500000
Renault,Sandero,2023,1.6 Zen Mt - Motormax,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 10 días,9.600 km,21500000
Renault,Sandero,2022,1.6 16v Life E,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 32 días,40.000 km,17800000
Renault,Sandero,2017,1.6 Authentique 90cv Nac,Plateado,Nafta,5,Manual,1.6,Hatchback,Publicado hace 1 día,98.000 km,13989900
Renault,Sandero,2022,1.6 16v Life N,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 1 día,40.000 km,17800000
Renault,Sandero,2016,1.6 Privilege Pack 105cv,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 5 días,52.000 km,14500
Renault,Sandero,2018,1.6 Expression,Azul,Nafta,5,Manual,1.6,Hatchback,Publicado hace 5 días,80.000 km,11500
Renault,Sandero,2013,1.6 Expression 105cv Abs,Negro,Nafta,5,Manual,1.6,Hatchback,Publicado hace 6 días,99.000 km,8500
Renault,Sandero,2017,1.6 Authentique 90cv Nac,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 11 días,113.000 km,13300000
Renault,Sandero,2017,1.6 Privilege Pack 105cv,Plateado,Nafta,5,Manual,1.6,Hatchback,Publicado hace 26 días,60.000 km,17490000
Renault,Sandero,2017,1.6 Privilege 105cv,Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 3 meses,84.000 km,11900
Renault,Sandero,2022,1.6 16v Intense,Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 1 día,8.700 km,19800000
Renault,Sandero,2022,1.6 16v Life L19,Plata,Nafta,5,Manual,INYECCION MULTI PUNTO,Hatchback,Publicado hace 11 días,57.100 km,21900000
Renault,Sandero,2017,1.6 Privilege Pack 105cv,Plateado,Nafta,5,Manual,1.6,Hatchback,Publicado hace 16 días,86.000 km,14800000
Renault,Sandero,2015,1.6 8v Expression Pack L15,Gris,Nafta,5,Manual,INYECCION MULTI PUNTO,Hatchback,Publicado hace 18 días,82.500 km,16000000
Renault,Sandero,2019,1.6 Expression Pack 90cv,Gris,Nafta/GNC,5,Manual,1.6,Hatchback,Publicado hace 19 días,125.000 km,16800000
Renault,Sandero,2015,1.6 Expression Pack 90cv,Azul,Nafta,5,Manual,1.6,Hatchback,Publicado hace 23 días,109.000 km,12200000
Renault,Sandero,2017,1.6 Expression Pack 90cv,Negro,Nafta,5,Manual,1.6,Hatchback,Publicado hace 42 días,58.000 km,15560000
Renault,Sandero,2016,Gtline 1.6l,Negro,Nafta,5,Manual,1.6,Hatchback,Publicado hace 5 meses,99.200 km,14400000
Renault,Sandero,2018,1.6 Privilege 105cv,Negro,Nafta,5,Manual,1.6,Hatchback,Publicado hace 3 días,120.000 km,14990000
Renault,Sandero,2017,1.6 Dynamique 90cv Abs,Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 12 días,89.000 km,11900
Renault,Sandero,2018,1.6 Dynamique 90cv Abs,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 13 días,118.000 km,11990
Renault,Sandero,2015,1.6 16v Privilege 2015 - Rpm Moviles,Plateado,Nafta,5,Manual,1.6,Hatchback,Publicado hace 46 días,95.000 km,12200
Renault,Sandero,2024,No disponible,Plateado,Nafta,5,Manual,1.6,Hatchback,Publicado hace 51 días,17.000 km,21500000
Renault,Sandero,2022,1.6 16v Intense,Azul,Nafta,5,Manual,1.6,Hatchback,Publicado hace 2 meses,29.000 km,19000000
Renault,Sandero,2009,1.6 Confort 2009,Negro,Nafta,5,Manual,1.6,Hatchback,Publicado hace 3 meses,156.000 km,7700000
Renault,Sandero,2021,1.6 16v Intense Cvt,Dorado,Nafta,5,Automática,1.6,Hatchback,Publicado hace 2 días,34.150 km,18000
Renault,Sandero,2020,1.6 16v Life U,Plateado,Nafta,5,Manual,1.6,Hatchback,Publicado hace 5 días,73.000 km,16999999
Renault,Sandero,2023,1.6 16v Zen,Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 3 meses,16.525 km,18300000
Renault,Sandero,2018,1.6 Expression,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 5 meses,68.000 km,13000
Renault,Sandero,2016,1.6 Privilege M/t 2016 46655831,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 3 días,98.000 km,11900
Renault,Sandero,2016,1.6 Privilege M/t 2016 46655831,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 3 días,98.000 km,11900
Renault,Sandero,2014,1.6 Privilege Nav 105cv La Plata 159,Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 5 días,121.299 km,13055000
Renault,Sandero,2017,1.6 Expression Pack No Koleos No Captur An,Negro,Nafta,5,Manual,1.6,Hatchback,Publicado hace 18 días,56.400 km,15500000
Renault,Sandero,2015,1.6 Expression Pack 90cv,Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 18 días,46.230 km,12900000
Renault,Sandero,2018,1.6 Expression,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 24 días,82.300 km,15000000
Renault,Sandero,2015,1.6 Privilege Nav 105cv,Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 41 días,136.000 km,12500000
Renault,Sandero,2022,1.6 16v Life,Plateado,Nafta,5,Manual,1.6,Hatchback,Publicado hace 3 meses,36.000 km,18500000
Renault,Sandero,2020,1.6 16v Intense,Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 4 meses,42.000 km,15900
Renault,Sandero,2024,1.6 16v Life,Azul,Nafta,5,Manual,1.6,Hatchback,Publicado hace 6 días,5.400 km,17000
Renault,Sandero,2023,1.6 16v Intens,Gris,Nafta,5,Manual,INYECCION MULTI PUNTO,Hatchback,Publicado hace 14 días,32.731 km,22000000
Renault,Sandero,2022,Ii 1.6 16v Intens Cvt L19 2022,Gris,Nafta/GNC,5,Manual,1.6,Hatchback,Publicado hace 14 días,88.000 km,19000000
Renault,Sandero,2017,Ii 1.6 8v Expression Pack 2017,Azul,Nafta,5,Manual,1.6,Hatchback,Publicado hace 14 días,134.000 km,12400000
Renault,Sandero,2017,Stepway Ii 1.6 Dynamique 2017,Gris oscuro,Nafta,5,Manual,1.6,Hatchback,Publicado hace 14 días,60.000 km,14500000
Renault,Sandero,2018,1.6 Privilege 105cv,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 20 días,50.000 km,17500000
Renault,Sandero,2018,Dynamique 2018 Oportunidad Financio Dni (e),Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 20 días,112.000 km,14098000
Renault,Sandero,2016,1.6 Dynamique 90cv Abs,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 21 días,89.300 km,13990000
Renault,Sandero,2023,1.6 16v Life,Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 2 meses,25.974 km,18500000
Renault,Sandero,2019,2.0 Rs 145cv U,Blanco,Nafta,5,Manual,2.0,Hatchback,Publicado hace 5 días,49.000 km,17999999
