Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Toyota,Etios,2021,1.5 Sedan X (lili),Gris,Nafta,4,Manual,1.5,Sedán,Publicado hace 1 día,50.000 km,20200000
Toyota,Etios,2018,1.5 Xs My19 2018 (mja),Gris,Nafta,5,Manual,1.5,Hatchback,Publicado hace 2 días,74.000 km,18300000
Toyota,Etios,2019,1.5 Sedan X,Blanco,Nafta,4,Manual,1.5,Sedán,Publicado hace 9 días,75.000 km,16989900
Toyota,Etios,2019,1.5 Xls At,Blanco,Nafta,5,Automática,1.5,Hatchback,Publicado hace 10 días,68.000 km,19500000
Toyota,Etios,2023,1.5 Sedan Xls,Blanco,Nafta,4,Manual,1.5,Sedán,Publicado hace 10 días,65.000 km,21800000
Toyota,Etios,2018,1.5 Platinum At Jf,Blanco,Nafta,5,Automática,1.5,Hatchback,Publicado hace 10 días,139.000 km,18900000
Toyota,Etios,2022,1.5 Xls At Smart Garage,Blanco,Nafta,5,Automática,1.5,Hatchback,Publicado hace 15 días,16.800 km,20900
Toyota,Etios,2019,1.5 Sedan X,Blanco,Nafta,4,Manual,1.5,Sedán,Publicado hace 20 días,75.000 km,10545000
Toyota,Etios,2014,1.5 Sedan Xls,Gris,Nafta,4,Manual,1.5,Sedán,Publicado hace 23 días,60.000 km,12300
Toyota,Etios,2021,1.5 Xls At,Gris,Nafta,5,Automática,1.5,Hatchback,Publicado hace 24 días,36.000 km,19499
Toyota,Etios,2017,1.5 Xs,Marrón,Nafta,5,Manual,1.5,Hatchback,Publicado hace 26 días,88.000 km,16770600
Toyota,Etios,2023,1.5 X 6mt My19 Unico Impecable (cf),Blanco,Nafta,5,Manual,1.5,Hatchback,Publicado hace 37 días,19.000 km,22300000
Toyota,Etios,2015,1.5 Sedan Xls Vendo Permuto,Plateado,Nafta,4,Manual,1.5,Sedán,Publicado hace 40 días,173.000 km,12500
Toyota,Etios,2019,1.5 Sedan Xls At 2019 / Unico Dueño / Services,Plateado,Nafta,4,Automática,1.5,Sedán,Publicado hace 44 días,90.000 km,17600
Toyota,Etios,2022,1.5 Xls At March Yaris Mobi 208 Kwid Focus Nf,Gris,Nafta,5,Automática,1.5,Hatchback,Publicado hace 52 días,49.500 km,24000000
Toyota,Etios,2023,1.5 Xls At,Gris,Nafta,5,Automática,1.5,Hatchback,Publicado hace 2 meses,36.000 km,25500000
Toyota,Etios,2016,1.5 Xls,Negro,Nafta,4,Manual,1.5,Sedán,Publicado hace 2 meses,109.000 km,15500000
Toyota,Etios,2022,1.5 Sedan Xls At March Fit 208 Yaris Note I10,Gris,Nafta,4,Automática,1.5,Sedán,Publicado hace 2 meses,37.000 km,24500000
Toyota,Etios,2020,1.5 Xls,Rojo,Nafta,5,Manual,1.5,Hatchback,Publicado hace 2 meses,59.000 km,19900000
Toyota,Etios,2022,1.5 Sedan Platinum At,Blanco,Nafta,4,Automática,1.5,Sedán,Publicado hace 2 meses,55.000 km,17500
Toyota,Etios,2024,1.5 Sedan X,Gris,Nafta,4,Manual,1.5,Sedán,Publicado hace 3 meses,28.000 km,22000000
