Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Toyota,Hilux,2021,Pick-up 2.8 Cd Srx 177cv 4x2 At Frontier Ranger,Gris,Diésel,4,Automática,2.8,Pick-Up,Publicado hace 9 días,88.100 km,44000000
Toyota,Hilux,2024,Pick-up 2.8 Cd Srx 204cv 4x4 At,Gris,Diésel,4,Automática,2.8,Pick-Up,Publicado hace 9 días,5.000 km,57400000
Toyota,Hilux,2024,Pick-up 2.8 Cd Srx 204cv 4x4 At,Gris,Diésel,4,Automática,2.8,Pick-Up,Publicado hace 9 días,5.000 km,68989900
Toyota,Hilux,2024,Pick-up 2.8 Cd Srx 204cv 4x4 At,Gris,Diésel,4,Automática,2.8,Pick-Up,Publicado hace 20 días,5.000 km,57400000
Toyota,Hilux,2022,Pick-up 2.8 Cd Srv 204cv 4x4 At Amarok Ranger N,Blanco,Diésel,4,Automática,2.8,Pick-Up,Publicado hace 26 días,44.500 km,49000000
Toyota,Hilux,2022,Pick-up 2.8 Cd Srv 177cv 4x4 At Amarok Ranger N,Blanco,Diésel,4,Automática,2.8,Pick-Up,Publicado hace 33 días,46.077 km,49000000
Toyota,Hilux,2022,Pick-up 2.8 Cd Srv 204cv 4x4 At E.f,Blanco,Diésel,4,Automática,2.8,Pick-Up,Publicado hace 35 días,44.424 km,49000000
Toyota,Hilux,2017,2.8 Cd Srv 177cv 4x2,Negro,Diésel,4,Manual,2.8,Pick-Up,Publicado hace 45 días,76.000 km,29000
Toyota,Hilux,2024,4x4 Srv At 2.8 Amarok Ranger S10 Frontier,Rojo,Diésel,4,Automática,2.8,Pick-Up,Publicado hace 8 meses,1.000 km,55391000
Toyota,Hilux,2009,Pick-up 3.0 I Srv Cab Doble 4x2 (2009),Negro,Diésel,4,Manual,3.0,Pick-Up,Publicado hace 23 días,310.000 km,25000000
Toyota,Hilux,2019,Pick-up 2.8 Cd Srv 177cv 4x2,Plateado,Diésel,4,Manual,2.8,Pick-Up,Publicado hace 24 días,92.500 km,30000
Toyota,Hilux,2022,Pick-up 2.8 Cd Srx 177cv 4x4,Gris,Diésel,4,Manual,2.8,Pick-Up,Publicado hace 6 meses,55.000 km,54500000
