Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Toyota,Sw4,2023,2.8 Srx 204cv 4x4 7as At S.a,Blanco,Diésel,5,Automática,2.8,SUV,Publicado hace 4 días,60.000 km,60000000
Toyota,Sw4,2023,2.8 Srx 204cv 4x4 7as At Everest Crv X-trail,Blanco,Diésel,5,Automática,2.8,SUV,Publicado hace 5 días,60.000 km,60000000
Toyota,Sw4,2023,2.8 Srx 204cv 4x4 7as At Comander X-trail Everest,Blanco,Diésel,5,Automática,2.8,SUV,Publicado hace 19 días,84.000 km,59000000
Toyota,4x4,2023,Srx 2.8 Tdi 6 A/t 7a E.f,Blanco,Diésel,5,Automática,2.8,SUV,Publicado hace 30 días,60.371 km,60000000
Toyota,Sw4,2023,2.8 Srx 204cv 4x4 7as At,Blanco,Diésel,5,Automática,2.8,SUV,Publicado hace 30 días,84.000 km,59000000
Toyota,Sw4,2021,2.8 Srx 204cv 4x4 7as At,Negro,Diésel,5,Automática,2.8,SUV,Publicado hace 43 días,49.000 km,49500
Toyota,Sw4,2021,2021 2.8 Srx 204cv 4x4 7as At,Plateado,Diésel,5,Automática,2.8,SUV,Publicado hace 5 meses,60.000 km,55000
Toyota,Hilux,2023,Sw4 2.8 Tdi Gr-s 4x4 7as 6at,Blanco,Diésel,5,Automática,2.8,SUV,Publicado hace 12 días,26.000 km,58900
Toyota,Sw4,2023,2.8 Srx 204cv 4x4 7as At,Gris,Diésel,5,Automática,2.8,SUV,Publicado hace 6 días,31.000 km,53000
Toyota,Sw4,2021,2.8 Srx 204cv 4x4 7as At,Gris,Diésel,5,Automática,2.8,SUV,Publicado hace 1 día,57.000 km,59500000
Toyota,Sw4,2024,2.8 Srx 204cv 4x4 7as At,Negro,Diésel,5,Automática,2.8,SUV,Publicado hace 6 días,15.000 km,59800
Toyota,Sw4,2021,2.8 Srx 204cv 4x4 7as At,Plateado,Diésel,5,Automática,2.8,SUV,Publicado hace 10 días,48.300 km,47900
Toyota,Sw4,2023,2.8 Srx 204cv 4x4 7as At 2023,Gris,Nafta,5,Automática,2.8,SUV,Publicado hace 30 días,44.000 km,54500
Toyota,Sw4,2023,2.8 Srx 204cv 4x4 7as At,Blanco,Diésel,5,Automática,2.8,SUV,Publicado hace 3 meses,9.000 km,70500000
Toyota,Sw4,2022,2.8 Srx 204cv 4x4 7as At,Gris,Diésel,5,Automática,2.8,SUV,Publicado hace 44 días,42.100 km,59000
Toyota,Sw4,2023,2.8 Srx 204cv 4x4 7as At,Blanco,Diésel,5,Automática,2.8,SUV,Publicado hace 4 días,60.371 km,60000000
Toyota,Sw4,2023,2.8 Srx 204cv 4x4 7as At,Gris,Diésel,5,Automática,2.8,SUV,Publicado hace 26 días,32.000 km,53900
