Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Toyota,Yaris,2020,1.5 107cv Xs Sedan Virtus Cronos Versa 208 Hb20,Gris,Nafta,4,Manual,1.5,Sedán,Publicado hace 2 días,60.600 km,22000000
Toyota,Yaris,2018,1.5 107cv Xls Cronos Virtus Versa Etios Cruze,Gris,Nafta,4,Manual,1.5,Hatchback,Publicado hace 4 días,62.950 km,20000000
Toyota,Yaris,2022,1.5 107cv Xs Titular 19000 Km,Blanco,Nafta,5,Manual,1.5,Hatchback,Publicado hace 5 días,19.000 km,20480
Toyota,Yaris,2019,1.5 107cv S,Blanco,Nafta,5,Manual,1.5,Hatchback,Publicado hace 5 días,47.000 km,22900000
Toyota,Yaris,2023,1.5 107cv Xls Sedan,Azul,Nafta,4,Manual,1.5,Sedán,Publicado hace 9 días,65.716 km,21500000
Toyota,Yaris,2017,1.5 107cv,Negro,Nafta,5,Automática,1.5,Hatchback,Publicado hace 11 días,89.000 km,11200000
Toyota,Yaris,2017,1.5 107cv,Negro,Nafta,5,Automática,1.5,Hatchback,Publicado hace 11 días,87.000 km,20989900
Toyota,Yaris,2019,1.5 107cv Xls Pack Cvt,Blanco,Nafta,5,Automática,1.5,Hatchback,Publicado hace 18 días,59.800 km,23500000
Toyota,Yaris,2024,1.5 107cv S Cvt,Blanco,Nafta,5,Automática,1.5,Hatchback,Publicado hace 4 meses,500 km,29500
Toyota,Yaris,2021,1.5 107cv Xls Pack Cvt Sedan,Gris,Nafta,4,Automática,1.5,Sedán,Publicado hace 5 meses,54.000 km,20000
Toyota,Yaris,2024,1.5 107cv Xs Cvt,Gris,Nafta,5,Automática,1.5,Hatchback,Publicado hace 5 meses,500 km,22900
Toyota,Yaris,2024,2025 1.5 107cv S Cvt,No disponible,Nafta,5,Automática,1.5,Hatchback,Publicado hace 6 meses,500 km,29500
Toyota,Yaris,2023,Xls Pack Automático Cvt 0km No S Xs Etios,Azul,Nafta,5,Automática,1.5,Hatchback,Publicado hace 8 meses,500 km,28700
Toyota,Yaris,2024,Xs Cvt Automatico 2024 0km No S No Xls Pack,Blanco,Nafta,5,Automática,1.5,Hatchback,Publicado hace 1 año,500 km,29700000
Toyota,Yaris,2020,1.5 107cv Xls 5 P 6m/t,Gris,Nafta,5,Manual,1.5,Hatchback,Publicado hace 45 días,29.200 km,19900
Toyota,Yaris,2024,1.5 107cv Xls Sedan,Blanco,Nafta,4,Manual,1.5,Sedán,Publicado hace 3 meses,1.000 km,29500000
Toyota,Yaris,2024,Xls 1.5 Cvt,Blanco,Nafta,4,Automática,1.5,Hatchback,Publicado hace 30 días,12.800 km,9600
Toyota,Gr,2022,Yaris,Blanco,Nafta,3,Manual,1.6,Hatchback,Publicado hace 6 meses,10.800 km,57500
Toyota,Yaris,2019,1.5 107cv Xls Pack Cvt-uslraiti,Blanco,Nafta,5,Automática,1.5,Hatchback,Publicado hace 10 días,59.776 km,22900000
Toyota,Yaris,2021,1.5 107cv Xls Cvt,Gris,Nafta,5,Automática,1.5,Hatchback,Publicado hace 55 días,54.071 km,22500
Toyota,Yaris,2024,1.5 107cv Xls Pack Cvt Sedan,Blanco,Nafta,4,Automática,1.5,Sedán,Publicado hace 15 días,5.500 km,22000
Toyota,Yaris,2017,1.5 5p Cvt 2017,Rojo,Nafta,5,Automática,1.5,Hatchback,Publicado hace 22 días,138.000 km,20400000
Toyota,Yaris,2024,1.5 107cv S Cvt,Blanco,Nafta,5,Automática,1.5,Hatchback,Publicado hace 1 día,7.000 km,27900
Toyota,Yaris,2021,1.5 107cv Xls 5 P,Gris,Nafta,5,Manual,1.5,Hatchback,Publicado hace 2 días,46.000 km,23000000
Toyota,Yaris,2021,1.5 107cv Xls Cvt Bl,Gris,Nafta,5,Automática,1.5,Hatchback,Publicado hace 13 días,24.850 km,24100000
Toyota,Yaris,2021,1.5 Xls Cvt2021 Sedan Unico Dueño (eo),Azul,Nafta,4,Automática,1.5,Sedán,Publicado hace 19 días,120.000 km,20300000
Toyota,Yaris,2022,1.5 107cv Xls Cvt,Blanco,Nafta,5,Automática,1.5,Hatchback,Publicado hace 2 meses,68.000 km,21300
Toyota,Yaris,2022,1.6t Gr 3p,Blanco,Nafta,3,Manual,1.6,Hatchback,Publicado hace 2 meses,1.111 km,67000
Toyota,Yaris,2024,1.5 107cv Xls Pack Cvt Sedan,Blanco,Nafta,4,Automática,1.5,Sedán,Publicado hace 1 día,6.200 km,27899000
Toyota,Yaris,2024,1.5 107cv Xls Pack Cvt Sedan,Blanco,Nafta,4,Automática,1.5,Sedán,Publicado hace 1 día,6.200 km,27899800
Toyota,Yaris,2024,1.5 107cv Xls Pack Cvt Sedan,Blanco,Nafta,4,Automática,1.5,Sedán,Publicado hace 5 días,6.200 km,27900000
Toyota,Yaris,2024,1.5 107cv Xs Cvt,Blanco,Nafta,5,Automática,1.5,Hatchback,Publicado hace 6 días,500 km,22500
Toyota,Yaris,2019,1.5 107cv Xls Pack Cvt Sedan Fc,Blanco,Nafta,4,Automática,1.5,Sedán,Publicado hace 16 días,130.000 km,20000000
Toyota,Yaris,2022,1.5 107cv S Cvt,Blanco,Nafta,5,Automática,1.5,Hatchback,Publicado hace 48 días,19.000 km,24500
Toyota,Yaris,2024,1.5 107cv S Cvt,Blanco,Nafta,5,Automática,1.5,Hatchback,Publicado hace 2 meses,18.200 km,25500
Toyota,Etios,2021,1.5 X Xls At Yaris Xls Cvt 208 Up Gol Trend,Blanco,Nafta,5,Automática,1.5,Hatchback,Publicado hace 5 meses,50.000 km,20990000
Toyota,Yaris,2019,1.5 107cv S 2019,Azul,Nafta,5,Automática,1.5,Hatchback,Publicado hace 9 días,61.000 km,22000
Toyota,Toyota,2020,Yaris 1.5 107cv Xls Pack Cvt Sedan,Blanco,Nafta,4,Automática,1.5,Sedán,Publicado hace 12 días,125.150 km,21900000
Toyota,Yaris,2022,1.5 107cv Xls Pack Cvt,Blanco,Nafta,5,Automática,1.5,Hatchback,Publicado hace 23 días,31.000 km,21500
Toyota,Yaris,2018,S 1.5 6m/t 2018 Usados,Blanco,Nafta,5,Manual,1.5,Hatchback,Publicado hace 31 días,103.000 km,20500000
Toyota,Yaris,2023,1.5 107cv S Cvt,Blanco,Nafta,5,Automática,1.5,Hatchback,Publicado hace 1 día,32.600 km,27200000
Toyota,Yaris,2021,1.5 107cv Xls 5 P,Gris,Nafta,5,Manual,1.5,Hatchback,Publicado hace 12 días,65.000 km,24800000
Toyota,Yaris,2020,1.5 107cv Xls Cvt,Rojo,Nafta,5,Automática,1.5,Hatchback,Publicado hace 40 días,38.000 km,19900
Toyota,Yaris,2023,1.5 107cv Xls,Rojo,Nafta,5,Manual,1.5,Hatchback,Publicado hace 2 meses,19.500 km,26500000
Toyota,Yaris,2020,1.5 107cv Xs,Gris,Nafta,5,Manual,1.5,Hatchback,Publicado hace 2 días,60.650 km,22000000
Toyota,Yaris,2020,1.5 107cv Xs,Gris,Nafta,5,Manual,1.5,Hatchback,Publicado hace 2 días,60.650 km,22000000
Toyota,Yaris,2021,1.5 107cv Xls,Plateado,Nafta/GNC,5,Manual,1.5,Hatchback,Publicado hace 4 días,53.000 km,24300000
Toyota,Yaris,2023,1.5 107cv Xls,Rojo,Nafta,5,Manual,1.5,Hatchback,Publicado hace 11 días,36.000 km,26950000
Toyota,Yaris,2019,1.5 107cv Xls Pack Cvt - Brian Avalos,Blanco,Nafta,5,Automática,1.5,Hatchback,Publicado hace 19 días,60.000 km,22900000
Toyota,Yaris,2021,1.5 107cv Xls 5 P,Blanco,Nafta,5,Manual,1.5,Hatchback,Publicado hace 21 días,107.000 km,24800000
Toyota,Yaris,2021,1.5 107cv Xls Pack Cvt Conc Of Ver Desc (hp),Azul,Nafta,4,Automática,1.5,Sedán,Publicado hace 23 días,119.000 km,20300000
Toyota,Yaris,2023,1.5 107cv S Cvt,Blanco,Nafta,5,Automática,1.5,Hatchback,Publicado hace 3 meses,45.000 km,31197000
Toyota,Yaris,2021,1.5 107cv Xls Sedan,Plateado,Nafta,4,Manual,1.5,Sedán,Publicado hace 3 meses,105.623 km,20850000
Toyota,Yaris,2022,1.5 107cv Xls Cvt,Gris,Nafta,5,Automática,1.5,Hatchback,Publicado hace 6 días,29.000 km,24500000
Toyota,Yaris,2019,1.5 107cv Xls Pack Cvt,Plateado,Nafta,5,Automática,1.5,Hatchback,Publicado hace 4 días,31.000 km,22500000
Toyota,Yaris,2019,1.5 107cv Xls Pack Cvt Sedan,Plateado,Nafta,4,Automática,1.5,Sedán,Publicado hace 4 meses,108.000 km,19500
Toyota,Yaris,2023,2023 1.5 107cv S,No disponible,Nafta,5,Manual,1.5,Hatchback,Publicado hace 1 año,40.000 km,22500
Toyota,Yaris,2022,1.5 107cv Xs,Gris,Nafta,5,Manual,1.5,Hatchback,Publicado hace 2 días,81.733 km,21900
Toyota,Yaris,2022,1.5 107cv Xls Sedan,Azul,Nafta,4,Manual,1.5,Sedán,Publicado hace 4 días,11.542 km,24500
Toyota,Yaris,2024,1.5 107cv Xls Pack Cvt,Gris,Nafta,5,Automática,1.5,Hatchback,Publicado hace 54 días,2.800 km,24500
Toyota,Yaris,2017,1.5 107cv Cvt,Plateado,Nafta,5,Automática,1.5,Hatchback,Publicado hace 3 meses,65.000 km,22100000
Toyota,Yaris,2022,1.5 107cv Xs - Dueña Vende,Azul,Nafta,5,Manual,1.5,Hatchback,Publicado hace 6 días,40.000 km,21900000
Toyota,Yaris,2022,1.5 107cv Xls Cvt,Gris,Nafta,5,Automática,1.5,Hatchback,Publicado hace 17 días,65.500 km,23900000
Toyota,Yaris,2024,Xs Cvt,Gris,Nafta,5,Automática,1.5,Hatchback,Publicado hace 10 meses,700 km,26500000
Toyota,Yaris,2024,1.5 107cv Xls Cvt Sedan,Blanco,Nafta,4,Automática,1.5,Sedán,Publicado hace 18 días,22.000 km,27200000
Toyota,Yaris,2023,1.5 107cv Xls Cvt,Blanco,Nafta,5,Automática,1.5,Hatchback,Publicado hace 20 días,38.667 km,25200000
Toyota,Yaris,2019,S Cvt,Gris,Nafta,5,Automática,1.5,Hatchback,Publicado hace 24 días,57.000 km,23500000
Toyota,Yaris,2023,1.5 Xls Pack Cvt Automatico,Gris,Nafta,5,Automática,1.5,Hatchback,Publicado hace 30 días,21.671 km,30000000
Toyota,Yaris,2024,2024 1.5 107cv Xls Cvt,No disponible,Nafta,5,Automática,1.5,Hatchback,Publicado hace 1 año,1.111 km,25300
Toyota,Yaris,2024,2024 1.5 107cv S,No disponible,Nafta,5,Manual,1.5,Hatchback,Publicado hace 8 meses,8.000 km,27500
Toyota,Yaris,2019,1.5 107cv S,Blanco,Nafta,5,Automática,1.5,Hatchback,Publicado hace 8 días,70.000 km,20500
Toyota,Yaris,2021,1.5 107cv Xls Pack Cvt,Blanco,Nafta,5,Automática,1.5,Hatchback,Publicado hace 45 días,48.000 km,23000
Toyota,Yaris,2019,1.5 107cv Cvt,Blanco,Nafta,5,Automática,1.5,Hatchback,Publicado hace 3 meses,63.000 km,21500
Toyota,Yaris,2019,2019 1.5 107cv Cvt,No disponible,Nafta,5,Automática,1.5,Hatchback,Publicado hace 1 año,96.070 km,18800
Toyota,Yaris,2021,1.5 107cv Xls 5 P,Blanco,Nafta,5,Manual,1.5,Hatchback,Publicado hace 38 días,58.900 km,22400000
Toyota,Yaris,2022,1.5 107cv S Cvt,Blanco,Nafta,5,Automática,1.5,Hatchback,Publicado hace 18 días,46.000 km,23800
Toyota,Yaris,2021,1.5 107cv S Cvt,Plateado,Nafta,5,Automática,1.5,Hatchback,Publicado hace 39 días,79.900 km,20950
Toyota,Yaris,2024,1.5 107cv Xls Pack Cvt,Gris,Nafta,5,Automática,1.5,Hatchback,Publicado hace 40 días,1.000 km,27000
Toyota,Yaris,2024,1.5 107cv Xs Cvt,Blanco,Nafta,5,Automática,1.5,Hatchback,Publicado hace 26 días,3.600 km,22500
Toyota,Yaris,2022,1.5 107cv Xls,Negro,Nafta,5,Manual,1.5,Hatchback,Publicado hace 40 días,78.000 km,19500
Toyota,Yaris,2020,1.5 107cv Xls,Negro,Nafta,5,Manual,1.5,Hatchback,Publicado hace 2 meses,78.000 km,19500
Toyota,Yaris,2019,1.5 107cv Xls Pack Cvt,Plateado,Nafta,5,Automática,1.5,Hatchback,Publicado hace 6 días,68.000 km,21900000
Toyota,Yaris,2017,1.5 107cv,Plateado,Nafta,5,Automática,1.5,Hatchback,Publicado hace 13 días,94.000 km,17000
Toyota,Yaris,2022,1.5 107cv S Cvt,Rojo,Nafta,5,Automática,1.5,Hatchback,Publicado hace 3 meses,21.000 km,24000
Toyota,Yaris,2024,1.5 107cv S,Blanco,Nafta,5,Manual,1.5,Hatchback,Publicado hace 9 meses,500 km,24000
Toyota,Yaris,2018,S,No disponible,Nafta,5,Automática,1.5,Hatchback,Publicado hace 11 meses,56.000 km,21000
Toyota,Yaris,2019,1.5 107cv S,Blanco,Nafta,5,Manual,1.5,Hatchback,Publicado hace 3 días,43.000 km,21000
Toyota,Yaris,2023,1.5 107cv Xls Cvt,Blanco,Nafta,5,Automática,1.5,Hatchback,Publicado hace 42 días,41.000 km,22800
Toyota,Yaris,2024,1.5 107cv S Cvt,Blanco,Nafta,5,Automática,1.5,Hatchback,Publicado hace 4 meses,2.000 km,27000
Toyota,Yaris,2024,1.5 107cv S Cvt,Blanco,Nafta,5,Automática,1.5,Hatchback,Publicado hace 4 meses,2.000 km,27000
Toyota,Yaris,2024,1.5 107cv Xls Cvt,Blanco,Nafta,5,Automática,1.5,Hatchback,Publicado hace 19 días,21.400 km,25000000
Toyota,Yaris,2023,1.5 107cv S Cvt,Rojo,Nafta,5,Automática,1.5,Hatchback,Publicado hace 56 días,32.500 km,22900
Toyota,Yaris,2021,1.5 107cv Xls Cvt,Negro,Nafta,5,Automática,1.5,Hatchback,Publicado hace 6 días,50.850 km,24000000
Toyota,Yaris,2023,1.5 107cv S Cvt,Negro,Nafta,5,Automática,1.5,Hatchback,Publicado hace 12 días,2.300 km,25500
Toyota,Yaris,2024,1.5 107cv S Cvt,Blanco,Nafta,5,Automática,1.5,Hatchback,Publicado hace 15 días,1.140 km,27900
Toyota,Yaris,2023,1.5 107cv S Cvt Unico Dueño!!,Blanco,Nafta,5,Automática,1.5,Hatchback,Publicado hace 17 días,29.000 km,28200000
Toyota,Yaris,2020,1.5 107cv S,Gris,Nafta,5,Manual,1.5,Hatchback,Publicado hace 25 días,46.673 km,25000000
Toyota,Yaris,2020,S 1.5 Cvt 2020,Negro,Nafta/GNC,5,Automática,1.5,Sedán,Publicado hace 40 días,70.000 km,20800
Toyota,Yaris,2020,1.5 107cv Xls 5 P,Gris,Nafta,5,Manual,1.5,Hatchback,Publicado hace 2 meses,67.114 km,20950000
Toyota,Yaris,2021,1.5 107cv Xls Pack Cvt,Azul,Nafta,5,Automática,1.5,Hatchback,Publicado hace 4 días,100.000 km,23700000
Toyota,Yaris,2024,1.5 107cv S Cvt,Blanco,Nafta,5,Automática,1.5,Hatchback,Publicado hace 4 meses,2.000 km,27000
Toyota,Yaris,2024,1.5 107cv Xls Cvt,Blanco,Nafta,5,Automática,1.5,Hatchback,Publicado hace 19 días,21.400 km,25000000
Toyota,Yaris,2023,1.5 107cv S Cvt,Rojo,Nafta,5,Automática,1.5,Hatchback,Publicado hace 56 días,32.500 km,22900
Toyota,Yaris,2021,1.5 107cv Xls Cvt,Negro,Nafta,5,Automática,1.5,Hatchback,Publicado hace 6 días,50.850 km,24000000
Toyota,Yaris,2023,1.5 107cv S Cvt,Negro,Nafta,5,Automática,1.5,Hatchback,Publicado hace 12 días,2.300 km,25500
Toyota,Yaris,2024,1.5 107cv S Cvt,Blanco,Nafta,5,Automática,1.5,Hatchback,Publicado hace 15 días,1.140 km,27900
Toyota,Yaris,2023,1.5 107cv S Cvt Unico Dueño!!,Blanco,Nafta,5,Automática,1.5,Hatchback,Publicado hace 17 días,29.000 km,28200000
Toyota,Yaris,2020,1.5 107cv S,Gris,Nafta,5,Manual,1.5,Hatchback,Publicado hace 25 días,46.673 km,25000000
Toyota,Yaris,2020,S 1.5 Cvt 2020,Negro,Nafta/GNC,5,Automática,1.5,Sedán,Publicado hace 40 días,70.000 km,20800
Toyota,Yaris,2020,1.5 107cv Xls 5 P,Gris,Nafta,5,Manual,1.5,Hatchback,Publicado hace 2 meses,67.114 km,20950000
Toyota,Yaris,2021,1.5 107cv Xls Pack Cvt,Azul,Nafta,5,Automática,1.5,Hatchback,Publicado hace 5 días,100.000 km,23700000
Toyota,Yaris,2022,1.5 107cv S,Gris,Nafta,5,Manual,1.5,Hatchback,Publicado hace 22 días,40.000 km,22900
Toyota,Yaris,2024,1.5 107cv S Cvt,Negro,Nafta,5,Automática,1.5,Hatchback,Publicado hace 26 días,10.500 km,29300000
Toyota,Yaris,2023,1.5 107cv S Cvt,Blanco,Nafta,5,Automática,1.5,Hatchback,Publicado hace 37 días,4.000 km,25500
Toyota,Yaris,2022,1.5 107cv S Tope De Gama Automatico,Gris,Nafta,5,Manual,1.5,Hatchback,Publicado hace 2 meses,35.000 km,27500000
Toyota,Yaris,2019,1.5 107cv Xls Sedan,Azul,Nafta,4,Manual,1.5,Sedán,Publicado hace 4 meses,80.000 km,18300
Toyota,Yaris,2024,1.5 107cv Xs Cvt,Blanco,Nafta,5,Automática,1.5,Hatchback,Publicado hace 1 día,7.600 km,22000
Toyota,Yaris,2024,1.5 107cv Xs,Azul,Nafta,5,Manual,1.5,Hatchback,Publicado hace 14 días,10.000 km,25100000
Toyota,Yaris,2021,1.5 107cv S Cvt,Blanco,Nafta,5,Automática,1.5,Hatchback,Publicado hace 17 días,40.000 km,26800000
Toyota,Yaris,2022,1.5 107cv S Cvt,Blanco,Nafta,5,Automática,1.5,Hatchback,Publicado hace 17 días,42.000 km,22000
Toyota,Yaris,2019,1.5 107cv S,Blanco,Nafta,5,Manual,1.5,Hatchback,Publicado hace 26 días,77.000 km,18200
Toyota,Xls,2023,Cvt 2024,Blanco,Nafta,5,Automática,1.5,Hatchback,Publicado hace 1 año,1.000 km,29900000
Toyota,Yaris,2024,1.5 107cv S,Gris,Nafta,5,Manual,1.5,Hatchback,Publicado hace 2 días,11.000 km,28500000
Toyota,Yaris,2022,1.5 107cv Xls Cvt,Blanco,Nafta,5,Automática,1.5,Hatchback,Publicado hace 4 días,50.000 km,24500000
Toyota,Yaris,2022,1.5 107cv Xls Cvt,Azul,Nafta,5,Automática,1.5,Hatchback,Publicado hace 26 días,125.000 km,23000000
Toyota,Yaris,2020,1.5 107cv Xls Sedan,Blanco,Nafta,4,Manual,1.5,Sedán,Publicado hace 2 meses,64.000 km,21600000
Toyota,Yaris,2018,1.5 107cv Xls,Gris,Nafta,4,Manual,1.5,Hatchback,Publicado hace 3 meses,133.000 km,18300
Toyota,Yaris,2024,No disponible,Gris,Nafta,5,Automática,1.5,Hatchback,Publicado hace 5 meses,1.500 km,26500
Toyota,Yaris,2024,1.5 107cv Xls Sedan,Plateado,Nafta,4,Manual,1.5,Sedán,Publicado hace 8 días,10.000 km,23000
Toyota,Yaris,2019,1.5 107cv S,Blanco,Nafta,5,Manual,1.5,Hatchback,Publicado hace 14 días,23.000 km,22000
Toyota,Yaris,2024,1.5 107cv Xs,Blanco,Nafta,5,Manual,1.5,Hatchback,Publicado hace 53 días,11.111 km,20000
Toyota,Yaris,2023,1.5 107cv Xls Cvt,Azul,Nafta,5,Automática,1.5,Hatchback,Publicado hace 57 días,21.000 km,22600
Toyota,Yaris,2018,1.5 107cv Xls,Azul,Nafta,4,Manual,1.5,Hatchback,Publicado hace 3 meses,100.000 km,21000000
Toyota,Yaris,2024,Sedan Xls Pack 2024 Con Accesorios,Azul,Nafta,4,Automática,1.5,Sedán,Publicado hace 5 meses,9.600 km,29100000
Toyota,Yaris,2018,1.5 107cv Xls,Blanco,Nafta,4,Manual,1.5,Hatchback,Publicado hace 7 días,40.000 km,20000
Toyota,Yaris,2024,1.5 107cv Xls Pack Cvt Sedan,Azul,Nafta,4,Automática,1.5,Sedán,Publicado hace 48 días,12.524 km,26000
