Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Volkswagen,Amarok,2021,2.0 Cd Tdi 180cv 4x2 Highline At Ugarcia,Blanco,Diésel,4,Automática,2.0,Pick-Up,Publicado hace 1 día,155.300 km,35500000
Volkswagen,Amarok,2024,2.0 Cd Tdi 180cv Highline Ugarcia,Gris,Diésel,4,Manual,2.0,Pick-Up,Publicado hace 1 día,28.400 km,42000000
Volkswagen,Amarok,2023,3.0 V6 Cd Comfortline Ugarcia,Gris,Diésel,4,Automática,3.0,Pick-Up,Publicado hace 1 día,14.300 km,46000000
Volkswagen,Amarok,2022,3.0 V6 Cd Comfortline Nd,Azul,Diésel,4,Automática,3.0,Pick-Up,Publicado hace 1 día,100.000 km,40000000
Volkswagen,Amarok,2022,3.0 V6 Extreme,Blanco,Diésel,4,Automática,3.0,Pick-Up,Publicado hace 1 día,50.000 km,54000000
Volkswagen,Camionetas,2023,Usados Volkswagen Amarok Trendline 4x2 2023,Blanco,Diésel,4,Manual,2.0,Pick-Up,Publicado hace 2 días,23.000 km,17480000
Volkswagen,Amarok,2010,2.0 Cd Tdi 163cv 4x4 Highline 1h0,Azul,Diésel,4,Manual,2.0,Pick-Up,Publicado hace 3 días,130.000 km,19000
Volkswagen,Amarok,2024,2.0 Cd Tdi 180cv Highline Ugarcia,Gris,Diésel,4,Manual,2.0,Pick-Up,Publicado hace 5 días,28.400 km,42000000
Volkswagen,Amarok,2023,2.0 Cd Tdi 180cv Highline At Ugarcia,Gris,Diésel,4,Automática,2.0,Pick-Up,Publicado hace 5 días,43.800 km,43000000
Volkswagen,Amarok,2022,3.0 Td V6 258hp 4x4 Dc Extreme At L20,Blanco,Diésel,4,Automática,TURBO DIESEL INYECCION,Pick-Up,Publicado hace 6 días,102.216 km,47500000
Volkswagen,Amarok,2018,2.0 Cd Tdi 180cv Highline,Blanco,Diésel,4,Manual,2.0,Pick-Up,Publicado hace 6 días,114.000 km,16952300
Volkswagen,Amarok,2018,2.0 Cd Tdi 180cv Highline,Blanco,Diésel,4,Manual,2.0,Pick-Up,Publicado hace 6 días,114.000 km,31989900
Volkswagen,Amarok,2017,2.0 Cs Tdi 140cv Trendline,Blanco,Diésel,2,Manual,2.0,Pick-Up,Publicado hace 6 días,145.000 km,21989900
Volkswagen,Amarok,2023,3.0 V6 Cd Highline,Blanco,Diésel,4,Automática,3.0,Pick-Up,Publicado hace 6 días,39.000 km,49900000
Volkswagen,Amarok,2023,2.0 Cd Tdi 180cv Comfortline,Gris,Diésel,4,Manual,2.0,Pick-Up,Publicado hace 8 días,28.000 km,37850000
Volkswagen,Amarok,2019,3.0 V6 Extreme Ugarcia,Azul,Diésel,4,Automática,3.0,Pick-Up,Publicado hace 9 días,133.000 km,43000000
Volkswagen,Amarok,2023,3.0 V6 Cd Highline Ugarcia,Blanco,Diésel,4,Automática,3.0,Pick-Up,Publicado hace 9 días,39.500 km,49900000
Volkswagen,Amarok,2023,2.0 Cd Tdi 180cv Comfortline Nd,Gris,Diésel,4,Manual,2.0,Pick-Up,Publicado hace 9 días,28.000 km,37900000
Volkswagen,Amarok,2020,2.0 Cd Tdi 180cv 4x2 Trendline,Blanco,Diésel,4,Manual,2.0,Pick-Up,Publicado hace 10 días,95.000 km,28989900
Volkswagen,Amarok,2017,2.0 Cd Tdi 140cv 4x2 Startline,Blanco,Diésel,4,Manual,2.0,Pick-Up,Publicado hace 10 días,115.000 km,17400000
Volkswagen,Amarok,2017,2.0 Cd Tdi 140cv 4x2 Startline,Blanco,Diésel,4,Manual,2.0,Pick-Up,Publicado hace 10 días,116.000 km,26989900
Volkswagen,Amarok,2023,3.0 V6 Cd Highline,Blanco,Diésel,4,Automática,3.0,Pick-Up,Publicado hace 11 días,39.000 km,49900000
Volkswagen,Amarok,2022,2.0 Cd Tdi 180cv Comfortline At Av,Gris,Diésel,4,Automática,2.0,Pick-Up,Publicado hace 13 días,60.000 km,36000023
Volkswagen,Amarok,2022,2.0 Cd Tdi 180cv Comfortline At Av,Gris,Diésel,4,Automática,2.0,Pick-Up,Publicado hace 16 días,60.000 km,36000023
Volkswagen,Amarok,2017,2.0 Cd Tdi 180cv Comfortline,Blanco,Diésel,4,Manual,2.0,Pick-Up,Publicado hace 17 días,85.000 km,28989900
Volkswagen,Amarok,2020,3.0 V6 Extreme 258cv Nueva Precio 2020,Azul,Diésel,4,Automática,3.0,Pick-Up,Publicado hace 17 días,87.000 km,39000
