Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Volkswagen,Fox,2010,1.6 Comfortline Pack,Plateado,Nafta,5,Manual,1.6,Hatchback,Publicado hace 10 días,96.000 km,11498900
Volkswagen,Fox,2017,1.6 Highline,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 13 días,49.100 km,17600000
Volkswagen,Fox,2011,1.6 Highline Imotion,Blanco,Nafta,5,Automática,1.6,Hatchback,Publicado hace 21 días,81.000 km,11999
Volkswagen,Fox,2010,1.6 Comfortline Pack,Plateado,Nafta,5,Manual,1.6,Hatchback,Publicado hace 2 meses,150.000 km,9400
Volkswagen,Fox,2013,1.6 Comfortline Pack 3 P,Plateado,Nafta,3,Manual,1.6,Hatchback,Publicado hace 37 días,139.000 km,13000000
Volkswagen,Fox,2014,1.6 Confortline 3 Puertas Unico Dueño!!!!,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 5 días,107.400 km,11900000
Volkswagen,Fox,2010,1.6 Trendline,Azul,Nafta,5,Manual,1.6,Hatchback,Publicado hace 6 días,93.000 km,11500000
Volkswagen,Fox,2013,1.6 Comfortline,Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 9 días,120.000 km,10500
Volkswagen,Fox,2013,2013 1.6 Trendline,Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 34 días,110.100 km,9800
Volkswagen,Fox,2012,1.6 Comfortline 5p,Negro,Nafta,5,Manual,1.6,Hatchback,Publicado hace 31 días,145.000 km,11800000
Volkswagen,Fox,2017,1.6 Trendline,Azul,Nafta,5,Manual,1.6,Hatchback,Publicado hace 6 días,61.537 km,16900000
Volkswagen,Fox,2017,1.6 5p Highline I Mot 2017 Rpm Moviles,Blanco,Nafta,5,Automática,1.6,Hatchback,Publicado hace 17 días,95.000 km,18500000
Volkswagen,Fox,2013,1.6 Trendline,Dorado,Nafta,5,Manual,1.6,Hatchback,Publicado hace 6 días,150.000 km,9000
Volkswagen,Fox,2019,1.6 Connect,Rojo,Nafta,5,Manual,1.6,Hatchback,Publicado hace 12 días,74.000 km,6000000
Volkswagen,Fox,2013,1.6 Confortline,Azul,Nafta,5,Manual,1.6,Hatchback,Publicado hace 4 días,123.838 km,12000000
Volkswagen,Fox,2015,1.6 Comfortline Saf,Azul,Nafta,5,Manual,1.6,Hatchback,Publicado hace 9 días,127.000 km,11900
Volkswagen,Vendo,2017,Volkswagen Fox 1.6 Comfortline Estado Impecable,Negro,Nafta,5,Manual,1.6,Hatchback,Publicado hace 23 días,93.000 km,16500
Volkswagen,Fox,2019,Connect 1.6 Manual,Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 29 días,43.000 km,18900000
Volkswagen,Fox,2017,Track 2017,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 30 días,40.000 km,14500
Volkswagen,Fox,2019,1.6 Connect 2019,Rojo,Nafta,5,Manual,1.6,Hatchback,Publicado hace 3 meses,67.310 km,18500000
Volkswagen,Fox,2009,1.6 Comfortline 70a 3 P,Blanco,Nafta,3,Manual,1.6,Hatchback,Publicado hace 23 días,135.000 km,7900
Volkswagen,Fox,2008,1.6 Comfortline,Negro,Nafta,3,Manual,1.6,Hatchback,Publicado hace 33 días,140.000 km,8500
Volkswagen,Fox,2014,1.6 Highline 3ptas. C/ Techo 2014 82.000km,Blanco,Nafta,3,Manual,1.6,Hatchback,Publicado hace 2 meses,82.000 km,13988000
Volkswagen,Fox,2016,1.6 Track,Azul,Nafta,5,Manual,1.6,Hatchback,Publicado hace 24 días,105.000 km,7000000
Volkswagen,Fox,2017,1.6 Comfortline,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 26 días,103.700 km,12500
Volkswagen,Fox,2018,1.6 Highline,Blanco,Nafta,5,Manual,1.6,SUV,Publicado hace 3 días,90.500 km,17900000
Volkswagen,Fox,2012,1.6 Confortline,Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 10 días,140.000 km,12000000
Volkswagen,Fox,2014,1.6 Comfortline Pack Saf,Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 38 días,84.357 km,11900
Volkswagen,Fox,2013,1.6 Comfortline 3p,Blanco,Nafta/GNC,3,Manual,1.6,Hatchback,Publicado hace 45 días,62.000 km,10500
Volkswagen,Fox,2014,2014 1.6 Trendline Saf,No disponible,Nafta,5,Manual,1.6,Hatchback,Publicado hace 6 meses,106.000 km,24000
Volkswagen,Fox,2013,1.6 Trendline Saf,Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 1 día,135.200 km,10800
Volkswagen,Fox,2012,1.6 Imotion 2012,Blanco,Nafta,5,Automática,1.6,Hatchback,Publicado hace 27 días,100.000 km,12000
Volkswagen,Fox,2017,1.6 Trendline,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 3 meses,158.000 km,12000
Volkswagen,Fox,2014,1.6 Highline,Gris,Nafta,3,Manual,1.6,Hatchback,Publicado hace 40 días,108.000 km,11600
Volkswagen,Fox,2008,1.6 Comfortline 5p,Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 1 día,155.000 km,7999
Volkswagen,Fox,2014,1.6 Trendline Saf,Verde,Nafta,5,Manual,1.6,Hatchback,Publicado hace 3 días,52.000 km,12900
Volkswagen,Fox,2016,1.6 Pepper,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 3 meses,120.000 km,13500
Volkswagen,Fox,2012,1.6 Highline,Dorado,Nafta/GNC,5,Manual,1.6,Hatchback,Publicado hace 2 meses,190.000 km,10200
Volkswagen,Fox,2010,1.6 Comfortline,Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 4 meses,240.000 km,9000000
Volkswagen,Fox,2015,1.6 Comfortline Pack Saf,Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 6 meses,93.500 km,11999
Volkswagen,Fox,2011,1.6 Trendline,Rojo,Nafta,5,Manual,1.6,Hatchback,Publicado hace 45 días,108.000 km,10600
