Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Volkswagen,Gol,2021,Trend Trendline At Dsg E,Plateado,Nafta,5,Automática,1.6,Hatchback,Publicado hace 11 días,23.000 km,20800000
Volkswagen,Gol,2021,Trend 1.6 Trendline 101cv,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 15 días,95.000 km,16989900
Volkswagen,Gol,2014,Trend 1.6 Pack I 3p Año 2014 - Liv Motors,Gris,Nafta,3,Manual,1.6,Hatchback,Publicado hace 27 días,99.000 km,9300
Volkswagen,Gol,2021,Trend 1.6 Trendline 101cv At,Plateado,Nafta,5,Automática,1.6,Hatchback,Publicado hace 31 días,30.000 km,21148900
Volkswagen,Gol,2013,Trend 1.6 Full,Negro,Nafta,5,Manual,1.6,Hatchback,Publicado hace 43 días,164.000 km,9800
Volkswagen,Gol,2021,Trend 1.6 Trendline 101cv At Smart Garage,Plateado,Nafta,5,Automática,1.6,Hatchback,Publicado hace 2 meses,48.000 km,17800
Volkswagen,Gol,2015,Trend 1.6 Pack I 101cv - Liv Motors,Rojo,Nafta,5,Manual,1.6,Hatchback,Publicado hace 24 días,91.000 km,9700
Volkswagen,Gol,2021,Trend 1.6 Trendline 101cv At N,Gris,Nafta,5,Automática,1.6,Hatchback,Publicado hace 10 días,23.000 km,20800000
Volkswagen,Gol,2017,Trend 1.6 Sportline 101cv,Rojo,Nafta,5,Manual,1.6,Hatchback,Publicado hace 38 días,78.405 km,14000
Volkswagen,Gol,2013,1.6 5p Trend Pk 1 2013 Rpm Moviles,Rojo,Nafta,5,Manual,1.6,Hatchback,Publicado hace 2 meses,151.000 km,10400
Volkswagen,Gol,2012,Trend 1.6 Pack I 101cv,Negro,Nafta,5,Manual,1.6,Hatchback,Publicado hace 2 días,140.000 km,9990000
Volkswagen,Gol,2021,Trend 1.6 Trendline 101cv,Rojo,Nafta,5,Manual,1.6,Hatchback,Publicado hace 18 días,63.000 km,18900000
Volkswagen,Gol,2014,Trend 1.6 Cup 101cv,Azul,Nafta,5,Manual,1.6,Hatchback,Publicado hace 44 días,131.550 km,14200000
Volkswagen,Trend,2015,3 P 2015 Ff,Blanco,Nafta,3,Manual,1.6,Hatchback,Publicado hace 6 meses,92.000 km,11500000
Volkswagen,Gol,2017,Trend 1.6 Trendline 101cv U,Plateado,Nafta,5,Manual,1.6,Hatchback,Publicado hace 11 días,128.000 km,14299999
Volkswagen,Gol,2021,Trend 1.6 Trendline 101cv At,Gris,Nafta,5,Automática,1.6,Hatchback,Publicado hace 17 días,49.400 km,18000000
Volkswagen,Gol,2017,Trend 1.6 Comfortline 101cv,Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 36 días,125.000 km,15000000
Volkswagen,Gol,2018,Trend 1.6 Comfortline Trendline Highline 208,Rojo,Nafta,5,Manual,1.6,Hatchback,Publicado hace 43 días,89.000 km,15990000
Volkswagen,Gol,2018,Trend 1.6 Serie 101cv 5p,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 44 días,88.767 km,15900000
Volkswagen,Gol,2017,Trend 1.6 Trendline Comfortline Highline Spor,Negro,Nafta,3,Manual,1.6,Hatchback,Publicado hace 3 meses,68.000 km,13990000
Volkswagen,Gol,2009,Trend 1.6 Pack Ii,Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 3 días,117.580 km,10200000
Volkswagen,Gol,2010,Trend 1.6 Pack I 101cv,Verde,Nafta,5,Manual,1.6,Hatchback,Publicado hace 6 días,200.000 km,11000000
Volkswagen,Gol,2018,Trend 1.6 Trendline 101cv,Plateado,Nafta,5,Manual,1.6,Sedán,Publicado hace 28 días,127.000 km,11000
Volkswagen,Gol,2013,Trend 1.6 101cv 2013 C/112500km (jcf),Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 43 días,112.500 km,12200000
Volkswagen,Gol,2021,Trend 1.6 Trendline 101cv At,Blanco,Nafta,5,Automática,1.6,Hatchback,Publicado hace 58 días,96.000 km,19500
Volkswagen,Gol,2015,Trend 1.6 Trendline 101cv 3p,Gris,Nafta,3,Manual,1.6,Hatchback,Publicado hace 3 meses,130.000 km,9900
Volkswagen,Gol,2016,Trend 1.6 Pack Ii 101cv 3p,Rojo,Nafta,3,Manual,1.6,Hatchback,Publicado hace 37 días,62.000 km,13700
