Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Volkswagen,Golf,2016,1.4 Highline Tsi Dsg,Gris,Nafta,5,Automática,1.4,Hatchback,Publicado hace 9 días,115.000 km,23499999
Volkswagen,Golf,2020,Vii 1.4 Tsi 250 2020,Gris oscuro,Nafta,5,Automática,1.4,Hatchback,Publicado hace 23 días,45.000 km,35900000
Volkswagen,Golf,2017,1.6 Trendline,Negro,Nafta,5,Manual,1.6,Hatchback,Publicado hace 25 días,57.000 km,20900000
Volkswagen,Golf,2016,1.4 Highline Tsi Dsg,Azul,Nafta,5,Automática,1.4,Hatchback,Publicado hace 36 días,63.565 km,22700
Volkswagen,Golf,2020,1.4 Highline Dsg Comfortline Gti Trendline,Gris,Nafta,5,Automática,1.4,Hatchback,Publicado hace 2 meses,119.000 km,32990000
Volkswagen,Golf,2012,2.0 Vi Gti Tsi 211cv,Blanco,Nafta,5,Manual,2.0,Hatchback,Publicado hace 6 días,117.000 km,21900
Volkswagen,Golf,2005,1.8 Turbo Gti,Negro,Nafta,5,Manual,1.8,Hatchback,Publicado hace 12 días,122.000 km,8900
Volkswagen,Golf,2019,1.4 Comfortline Tsi Dsg,Blanco,Nafta,5,Automática,1.4,Hatchback,Publicado hace 6 días,130.000 km,19500
Volkswagen,Golf,2019,1.4 Tsi Comfortline,Blanco,Nafta,5,Automática,1.4,Hatchback,Publicado hace 47 días,80.000 km,22900
Volkswagen,Golf,2018,1.4 Comfortline Dsg Highline Trendline Gti,Azul,Nafta,5,Automática,1.4,Hatchback,Publicado hace 4 meses,88.000 km,26990000
Volkswagen,Golf,2017,1.4 Comfortline Tsi Dsg,Gris,Nafta,5,Automática,1.4,Hatchback,Publicado hace 19 días,94.000 km,22800000
Volkswagen,Golf,2021,1.4 Highline Tsi Dsg,Blanco,Nafta,5,Automática,1.4,Hatchback,Publicado hace 43 días,54.000 km,36000000
Volkswagen,Golf,2018,1.4 Comfortline Dsg Highline Trendline Gti,Celeste,Nafta,5,Manual,1.4,Hatchback,Publicado hace 2 meses,88.000 km,24990000
Volkswagen,Golf,2004,Gti 2004,Azul,Nafta,5,Manual,1.8,Hatchback,Publicado hace 7 meses,193.113 km,8800
Volkswagen,Golf,2018,1.6 Trendline,Azul,Nafta,5,Manual,1.6,Hatchback,Publicado hace 11 días,86.000 km,9500000
Volkswagen,Golf,2018,2.0 Gti Tsi App Connect,Blanco,Nafta,5,Automática,2.0,Hatchback,Publicado hace 19 días,47.000 km,37000
Volkswagen,Golf,2015,1.4 Highline Tsi Dsg,Plateado,Nafta,5,Automática,1.4,Hatchback,Publicado hace 2 meses,175.000 km,16700
Volkswagen,Golf,2018,1.4 Comfortline Tsi Dsg - Us,Blanco,Nafta,5,Automática,1.4,Hatchback,Publicado hace 9 días,109.000 km,25990000
Volkswagen,Golf,2016,1.6 Trendline,Negro,Nafta,5,Manual,1.6,Hatchback,Publicado hace 19 días,138.000 km,17900000
Volkswagen,Golf,2015,1.4 Comfortline Tsi,Blanco,Nafta,5,Manual,1.4,Hatchback,Publicado hace 4 días,112.300 km,20100000
Volkswagen,Golf,2017,1.6 Trendline,Negro,Nafta,5,Manual,1.6,Hatchback,Publicado hace 4 días,102.000 km,17500000
Volkswagen,Golf,2018,1.4 Comfortline Tsi,Azul,Nafta,5,Manual,1.4,Hatchback,Publicado hace 9 días,69.000 km,21500
Volkswagen,Golf,2018,1.4 Comfortline Tsi Dsg,Dorado,Nafta,5,Automática,1.4,Hatchback,Publicado hace 12 días,108.000 km,21000
Volkswagen,Golf,2018,2018 1.4 Highline Tsi Dsg,Rojo,Nafta,5,Automática,1.4,Hatchback,Publicado hace 8 meses,90.000 km,29500000
Volkswagen,Golf,2018,2.0 Gti Tsi,Blanco,Nafta,5,Automática,2.0,Hatchback,Publicado hace 23 días,83.300 km,36000
Volkswagen,Golf,2019,2.0 Gti Tsi,Gris,Nafta,5,Automática,2.0,Hatchback,Publicado hace 24 días,55.000 km,40000
Volkswagen,Golf,2015,1.6 Trendline,Rojo,Nafta,5,Manual,1.6,Hatchback,Publicado hace 56 días,138.000 km,14900
Volkswagen,Golf,2011,1.6 Advance,Negro,Nafta,5,Manual,1.6,Hatchback,Publicado hace 46 días,130.000 km,13500000
Volkswagen,Golf,2017,1.4 Comfortline Tsi Dsg,Blanco,Nafta,5,Automática,1.4,Hatchback,Publicado hace 26 días,120.000 km,17000
Volkswagen,Golf,2018,1.4 Comfortline Tsi Dsg,Plateado,Nafta,5,Automática,1.4,Hatchback,Publicado hace 1 día,55.768 km,25500
Volkswagen,Golf,2015,1.4 Comfortline Tsi Dsg Smart Garage,Azul,Nafta,5,Automática,1.4,Hatchback,Publicado hace 13 días,165.000 km,14800
Volkswagen,Golf,2015,1.4 Highline Tsi Dsg,Negro,Nafta,5,Automática,1.4,Hatchback,Publicado hace 3 meses,95.000 km,20500
Volkswagen,Golf,2015,1.4 Comfortline Tsi,Azul,Nafta,5,Manual,1.4,Hatchback,Publicado hace 6 días,92.000 km,21000000
Volkswagen,Golf,2015,1.6 Trendline,Dorado,Nafta,5,Manual,1.6,Hatchback,Publicado hace 2 meses,99.000 km,16000
Volkswagen,Golf,2019,2.0 Gti Tsi App Connect,Blanco,Nafta,5,Automática,2.0,Hatchback,Publicado hace 52 días,52.974 km,42000
Volkswagen,Golf,2017,1.4 Highline Tsi Dsg,Azul,Nafta,5,Automática,1.4,Hatchback,Publicado hace 54 días,147.000 km,24500000
Volkswagen,Golf,2018,2.0 Gti Tsi App Connect + Cuero,Blanco,Nafta,5,Automática,2.0,Hatchback,Publicado hace 11 días,33.000 km,36900
Volkswagen,Golf,2016,2.0 Gti Tsi App Connect + Cuero,Gris,Nafta,5,Automática,2.0,Hatchback,Publicado hace 13 días,91.000 km,29500
Volkswagen,Golf,2016,2.0 Gti Tsi,Blanco,Nafta,5,Automática,2.0,Hatchback,Publicado hace 49 días,39.500 km,34000
Volkswagen,Golf,2015,1.4 Highline Tsi Dsg,Azul,Nafta,5,Automática,1.4,Hatchback,Publicado hace 4 meses,156.000 km,17000
Volkswagen,Golf,2015,1.4 Comfortline Tsi Dsg,Blanco,Nafta,5,Automática,1.4,Hatchback,Publicado hace 8 días,75.000 km,19200
Volkswagen,Golf,2015,1.4 Comfortline Tsi Dsg,Blanco,Nafta,5,Automática,1.4,Hatchback,Publicado hace 11 días,78.300 km,17800000
Volkswagen,Golf,2016,1.4 Highline Tsi Dsg,Azul,Nafta,5,Automática,1.4,Hatchback,Publicado hace 13 días,97.000 km,20500
Volkswagen,Golf,2013,2.0 Vi Gti Nav Tsi 211cv Dsg,Rojo,Nafta,5,Automática,2.0,Hatchback,Publicado hace 55 días,102.000 km,26900
Volkswagen,Golf,2016,1.4 Highline Tsi Dsg,Blanco,Nafta,5,Automática,1.4,Hatchback,Publicado hace 13 días,138.000 km,23000
Volkswagen,Golf,2017,2.0 Gti Tsi,Gris,Nafta,5,Automática,2.0,Hatchback,Publicado hace 38 días,100.000 km,30500
Volkswagen,Golf,2012,2.0 Vi Gti Nav Tsi 211cv Dsg,Plateado,Nafta,5,Automática,2.0,Hatchback,Publicado hace 41 días,122.000 km,21800
Volkswagen,Golf,2016,1.4 Comfortline Tsi Dsg,Gris,Nafta,5,Automática,1.4,Hatchback,Publicado hace 45 días,98.000 km,18000
Volkswagen,Golf,2016,1.4 Comfortline Tsi Dsg,Gris,Nafta,5,Automática,1.4,Hatchback,Publicado hace 45 días,98.000 km,18000
Volkswagen,Golf,2017,2.0 Gti Tsi App Connect + Cuero,Blanco,Nafta,5,Automática,2.0,Hatchback,Publicado hace 2 meses,165.000 km,27800
Volkswagen,Golf,2018,1.4 Comfortline Tsi Dsg,Plateado,Nafta,5,Automática,1.4,Hatchback,Publicado hace 2 días,64.000 km,23300
Volkswagen,Golf,2017,2.0 Gti Tsi App Connect + Cuero,Blanco,Nafta,5,Automática,2.0,Hatchback,Publicado hace 3 días,93.174 km,35000
Volkswagen,Golf,2017,1.4 Highline Tsi Dsg,Blanco,Nafta,5,Automática,1.4,Hatchback,Publicado hace 17 días,95.000 km,23500
Volkswagen,Golf,2018,1.4 Highline Tsi Dsg,Gris,Nafta,5,Automática,1.4,Hatchback,Publicado hace 25 días,62.050 km,27300
Volkswagen,Golf,2020,2.0 Gti Tsi App Connect + Cuero,Azul,Nafta,5,Automática,2.0,Hatchback,Publicado hace 43 días,53.000 km,46800
Volkswagen,Golf,2015,1.4 Comfortline Tsi Dsg,Blanco,Nafta,5,Automática,1.4,Hatchback,Publicado hace 45 días,140.000 km,16500
Volkswagen,Golf,2018,1.4 Comfortline Tsi,Gris,Nafta,5,Manual,1.4,Hatchback,Publicado hace 53 días,120.000 km,24000000
Volkswagen,Golf,2017,1.4 Highline Tsi Dsg,Negro,Nafta,5,Automática,1.4,Hatchback,Publicado hace 4 días,107.000 km,23500
Volkswagen,Golf,2017,1.6 Trendline,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 39 días,108.000 km,20500000
Volkswagen,Golf,2016,1.6 Trendline,Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 40 días,60.000 km,16000
Volkswagen,Golf,2018,2.0 Gti Tsi App Connect + Cuero,Gris,Nafta,5,Automática,2.0,Hatchback,Publicado hace 4 meses,66.000 km,36500
Volkswagen,Golf,2008,Gti 2008,Gris,Nafta,5,Automática,1.8,Hatchback,Publicado hace 6 meses,111.800 km,12500
Volkswagen,Golf,2016,1.4 Comfortline Tsi Dsg,Plateado,Nafta,5,Automática,1.4,Hatchback,Publicado hace 1 día,138.000 km,18000
Volkswagen,Golf,2016,1.4 Highline Tsi Dsg,Plateado,Nafta,5,Automática,1.4,Hatchback,Publicado hace 6 días,126.000 km,23800000
Volkswagen,Golf,2021,2.0 Gti + Cuero,Blanco,Nafta,5,Automática,2.0,Hatchback,Publicado hace 6 días,36.850 km,48900
Volkswagen,Golf,2019,1.4 Comfortline Tsi Dsg,Rojo,Nafta,5,Automática,1.4,Hatchback,Publicado hace 10 días,116.000 km,20000
Volkswagen,Golf,2008,1.8 Turbo Gti,Gris,Nafta,5,Manual,1.8,Hatchback,Publicado hace 12 días,232.000 km,10500000
Volkswagen,Golf,2004,1.6 Comfortline,Azul,Nafta/GNC,5,Manual,1.6,Hatchback,Publicado hace 24 días,265.000 km,8200
