Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Volkswagen,Polo,2018,1.6 Msi Comfortline,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 1 día,125.100 km,14500000
Volkswagen,Polo,2021,1.4 Tsi Gts,Rojo,Nafta,5,Automática,1.4,Hatchback,Publicado hace 12 días,65.000 km,27500
Volkswagen,Polo,2024,1.6 Msi Track,Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 20 días,2.000 km,20500
Volkswagen,Polo,2020,1.6 Msi Trendline,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 4 meses,72.000 km,15800
Volkswagen,Volkswagen,2023,Polo Highline 2024,Gris,Nafta,5,Automática,1.4,Hatchback,Publicado hace 1 año,1.000 km,30288200
Volkswagen,Polo,2018,1.6 Comfortline-uslraiti,Blanco,Nafta,4,Manual,1.6,Sedán,Publicado hace 5 días,125.101 km,14500000
Volkswagen,Volkswagen,2024,Polo Highline 1.0 170 Tsi Polo Gts 1.4 At,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 7 meses,1.111 km,27000000
Volkswagen,Polo,2018,1.6 Msi Highline At,Gris,Nafta,5,Automática,1.6,Hatchback,Publicado hace 9 días,51.600 km,21500000
Volkswagen,Polo,2016,1.6 Comfortline 4 Puertas Caja At Tiptronic,Gris,Nafta,4,Automática,1.6,Hatchback,Publicado hace 52 días,99.900 km,12399
Volkswagen,Polo,2018,Trendline At Automatico Comfortline Highline,Azul,Nafta,5,Automática,1.6,Hatchback,Publicado hace 21 días,98.000 km,17990000
Volkswagen,Polo,2024,1.6 Msi Track,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 51 días,768 km,24000000
Volkswagen,Polo,2018,Trendline At Automatico Comfortline Highline,Azul,Nafta,5,Automática,1.6,Hatchback,Publicado hace 11 meses,108.000 km,17990000
Volkswagen,Polo,2023,1.6 Track 1st Edition Con 370km Modelo 2023!,Rojo,Nafta,5,Manual,1.6,Hatchback,Publicado hace 40 días,1.000 km,26000000
Volkswagen,Polo,2018,1.6 Trendline 5p 2018 - Rpm Moviles,Azul,Nafta,5,Manual,No disponible,Hatchback,Publicado hace 40 días,80.000 km,15400
Volkswagen,Polo,2019,1.6 Highline 5p Tip 2019 - Rpm Moviles,Azul,Nafta,5,Automática,No disponible,Hatchback,Publicado hace 40 días,79.000 km,19700
Volkswagen,Polo,2018,1.6 Com 4p L16 2018,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 51 días,121.600 km,19500000
