Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Volkswagen,Suran,2015,1.6 Comfortline 101cv Ab 2015 (mja),Rojo,Nafta,5,Manual,1.6,Monovolumen,Publicado hace 2 días,115.000 km,13600000
Volkswagen,Suran,2018,1.6 Highline,Azul,Nafta/GNC,5,Manual,1.6,Hatchback,Publicado hace 4 días,98.456 km,7800
Volkswagen,Suran,2018,1.6 Track Speed Motors,Plateado,Nafta,5,Manual,1.6,Monovolumen,Publicado hace 10 días,85.000 km,14000
Volkswagen,Suran,2016,1.6 Highline Msi 110cv,Gris,Nafta,5,Manual,1.6,Monovolumen,Publicado hace 12 días,102.000 km,13800
Volkswagen,Suran,2014,1.6 Comfortline C/gnc Año 2014 - Liv Motors,Blanco,Nafta/GNC,5,Manual,1.6,Monovolumen,Publicado hace 19 días,132.000 km,9700
Volkswagen,Suran,2017,1.6 Trendline Nd,Negro,Nafta,5,Manual,1.6,Monovolumen,Publicado hace 2 meses,72.822 km,17000000
Volkswagen,Suran,2019,1.6 Comfortline Smart Garage,Plateado,Nafta,5,Manual,1.6,Hatchback,Publicado hace 2 meses,82.000 km,13600
Volkswagen,Suran,2012,1.6 Imotion Highline 11c,Plateado,Nafta,5,Automática,1.6,Monovolumen,Publicado hace 2 meses,135.000 km,9300
Volkswagen,Suran,2012,1.6 Trendline 11b,Negro,Nafta,5,Manual,1.6,Monovolumen,Publicado hace 6 días,90.000 km,12989900
Volkswagen,Suran,2017,1.6 Trendline,Negro,Nafta,5,Manual,1.6,Monovolumen,Publicado hace 24 días,78.000 km,16000000
Volkswagen,Suran,2014,1.6 Trendline 11b,Plateado,Nafta,5,Manual,1.6,Monovolumen,Publicado hace 25 días,113.200 km,14300000
Volkswagen,Suran,2017,1.6 Trendline,Rojo,Nafta/GNC,5,Manual,1.6,Monovolumen,Publicado hace 3 meses,109.000 km,16900000
Volkswagen,Suran,2017,1.6 Track,Blanco,Nafta/GNC,5,Manual,1.6,Monovolumen,Publicado hace 4 meses,92.500 km,14000
Volkswagen,Suran,2017,1.6 Highline,Negro,Nafta,5,Manual,1.6,Hatchback,Publicado hace 3 días,86.700 km,16800000
Volkswagen,Suran,2012,1.6 Trendline 11b,Blanco,Nafta,5,Manual,1.6,Monovolumen,Publicado hace 13 días,96.000 km,12989900
Volkswagen,Suran,2014,1.6 Highline 101cv,Rojo,Nafta/GNC,5,Manual,1.6,Monovolumen,Publicado hace 34 días,100.500 km,14500000
Volkswagen,Suran,2016,1.6 Comfortline 101cv,Rojo,Nafta,5,Manual,1.6,Monovolumen,Publicado hace 3 meses,90.000 km,14900000
Volkswagen,Suran,2017,1.6 Highline Msi 110cv,Blanco,Nafta,5,Manual,1.6,Monovolumen,Publicado hace 37 días,96.000 km,17000000
Volkswagen,Suran,2011,1.6 Trendline 11b,Negro,Nafta,5,Manual,1.6,Monovolumen,Publicado hace 39 días,149.000 km,9800000
Volkswagen,Suran,2015,1.6 Trendline Pro.cre.auto,Gris,Nafta,5,Manual,1.6,Monovolumen,Publicado hace 5 días,60.000 km,15500000
Volkswagen,Suran,2015,1.6 Comfortline 101cv E,Plateado,Nafta,5,Manual,1.6,Monovolumen,Publicado hace 8 días,133.000 km,13800000
Volkswagen,Suran,2018,1.6 Comfortline,Blanco,Nafta,5,Manual,1.6,Hatchback,Publicado hace 9 días,108.000 km,13800
Volkswagen,Suran,2008,90b Comfortline 1.6 5p,Verde,Nafta,5,Manual,1.6,Sedán,Publicado hace 13 días,132.000 km,9200000
Volkswagen,Suran,2014,1.6 Highline 101cv 11c,Azul,Nafta,5,Manual,1.6,Monovolumen,Publicado hace 45 días,160.000 km,15250000
Volkswagen,Suran,2017,1.6 Comfortline Lk,Negro,Nafta,5,Manual,1.6,Hatchback,Publicado hace 2 meses,100.000 km,16500000
Volkswagen,Suran,2017,1.6 Comfortline 101cv,Plateado,Nafta,5,Manual,1.6,Monovolumen,Publicado hace 2 días,97.000 km,13000
Volkswagen,Suran,2011,1.6 Highline 101cv 11c,Plateado,Nafta,5,Manual,1.6,Monovolumen,Publicado hace 4 días,138.000 km,11300000
Volkswagen,Suran,2017,1.6 Trendline,Gris,Nafta,5,Manual,1.6,Monovolumen,Publicado hace 24 días,103.000 km,13500
Volkswagen,Suran,2017,Highline 2017,Gris,Nafta,5,Manual,1.6,Hatchback,Publicado hace 24 días,83.000 km,14500
Volkswagen,Trendline,2015,No disponible,Blanco,Nafta/GNC,5,Manual,1.6,Monovolumen,Publicado hace 25 días,97.000 km,12900
Volkswagen,Suran,2017,1.6 Trendline,Gris,Nafta,5,Manual,1.6,Monovolumen,Publicado hace 2 meses,80.400 km,16900000
Volkswagen,Suran,2017,1.6 Trendline,Rojo,Nafta,5,Manual,1.6,Monovolumen,Publicado hace 3 meses,80.355 km,15900000
Volkswagen,Suran,2018,1.6 Track,Rojo,Nafta,5,Manual,1.6,Monovolumen,Publicado hace 1 día,93.000 km,17500000
Volkswagen,Suran,2015,1.6 Imotion Highline,Rojo,Nafta,5,Automática,1.6,Monovolumen,Publicado hace 4 días,92.000 km,15000000
Volkswagen,Suran,2015,1.6 Comfortline 101cv E,Plateado,Nafta,5,Manual,1.6,Monovolumen,Publicado hace 8 días,133.000 km,9000000
Volkswagen,Suran,2014,1.6 Highline 101cv,Negro,Nafta,5,Manual,1.6,Monovolumen,Publicado hace 26 días,116.000 km,12990
Volkswagen,Suran,2015,1.6 Highline Msi 110cv,Negro,Nafta,5,Manual,1.6,Monovolumen,Publicado hace 43 días,91.000 km,14000
Volkswagen,Suran,2014,1.6 Highline 101cv,Gris,Nafta,5,Manual,1.6,Monovolumen,Publicado hace 2 meses,188.000 km,12900000
Volkswagen,Suran,2015,2015 1.6 Highline 101cv,No disponible,Nafta,5,Manual,1.6,Monovolumen,Publicado hace 6 meses,127.000 km,15750000
Volkswagen,Suran,2015,1.6 Comfortline 101cv,Beige,Nafta,5,Manual,1.6,Monovolumen,Publicado hace 10 días,148.000 km,13500000
