Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Volkswagen,Usados,2014,Volkswagen Move Up 1.0 2014 Chevrolet Ford Fiat,Gris,Nafta,5,Manual,1.0,Hatchback,Publicado hace 2 días,89.000 km,8180000
Volkswagen,up,2016,1.0 Take Up! Aa 75cv 5 P 2016 (mja),Blanco,Nafta,5,Manual,1.0,Hatchback,Publicado hace 2 días,102.000 km,13900000
Volkswagen,up,2017,1.0 Move Up! 75cv,Blanco,Nafta,3,Manual,1.0,Hatchback,Publicado hace 6 días,85.000 km,14989900
Volkswagen,up,2019,1.0 High Up! 75cv 5 P,Negro,Nafta,5,Manual,1.0,Hatchback,Publicado hace 10 días,66.000 km,16500000
Volkswagen,up,2016,1.0 Black Up! 75cv,Negro,Nafta,5,Manual,1.0,Hatchback,Publicado hace 10 días,95.000 km,13989900
Volkswagen,up,2017,1.0 Take Up! Aa 75cv 3p,Rojo,Nafta,3,Manual,1.0,Hatchback,Publicado hace 12 días,65.000 km,13989900
Volkswagen,up,2017,1.0 High Up! 75cv,Gris,Nafta,3,Manual,1.0,Hatchback,Publicado hace 19 días,116.000 km,16200000
Volkswagen,up,2019,1.0 Take Up! Aa 5ptas Año 2019 - Liv Motors,Blanco,Nafta,5,Manual,1.0,Hatchback,Publicado hace 25 días,58.000 km,12300
Volkswagen,up,2020,1.0 Take,Gris,Nafta,5,Manual,1.0,Hatchback,Publicado hace 25 días,68.000 km,13500
Volkswagen,up,2017,1.0 High Up! Año 2017 - Liv Motors,Blanco,Nafta,3,Manual,1.0,Hatchback,Publicado hace 27 días,89.000 km,12500
Volkswagen,up,2017,1.0 Take,Rojo,Nafta,5,Manual,1.0,Hatchback,Publicado hace 39 días,74.122 km,15000000
Volkswagen,up,2015,1.0 Move Up! 75cv,Blanco,Nafta,3,Manual,1.0,Hatchback,Publicado hace 44 días,81.691 km,11600000
Volkswagen,up,2017,"5p 1,0 Tsi Pepper Up! 2017 Bl",Gris,Nafta,5,Manual,1.0,Hatchback,Publicado hace 2 meses,110.479 km,18500000
Volkswagen,up,2017,1.0 Take Up! Aa 75cv 3p,Blanco,Nafta,3,Manual,1.0,Hatchback,Publicado hace 2 meses,70.000 km,12500
Volkswagen,up,2016,1.0 High Up! 75cv Smart Garage,Rojo,Nafta,3,Manual,1.0,Hatchback,Publicado hace 3 meses,82.000 km,11800
Volkswagen,up,2017,"5p 1,0 Take Up! A/c 2017 Pt",Blanco,Nafta,3,Manual,1.0,Hatchback,Publicado hace 4 meses,124.952 km,13600000
Volkswagen,Pepper,2017,1.0 Turbo 2017 / 72000km / Impecable,Gris,Nafta,5,Manual,1.0,Hatchback,Publicado hace 5 meses,73.000 km,15300
Volkswagen,up,2018,1.0 Pepper 101cv,Blanco,Nafta,5,Manual,1.0,Hatchback,Publicado hace 4 días,54.000 km,18000000
Volkswagen,up,2017,1.0 Pepper 101cv,Azul,Nafta,5,Manual,1.0,Hatchback,Publicado hace 44 días,90.000 km,16000
Volkswagen,up,2018,1.0 Move,Blanco,Nafta,60252,Manual,1.0,Hatchback,Publicado hace 59 días,160.000 km,11900
Volkswagen,up,2018,1.0 Pepper 101cv,Gris,Nafta,5,Manual,1.0,Hatchback,Publicado hace 3 meses,70.000 km,15900
Volkswagen,up,2015,1.0 High Up! 75cv 3 P,Blanco,Nafta,3,Manual,1.0,Hatchback,Publicado hace 3 días,98.000 km,13000000
Volkswagen,up,2014,1.0 Move Up! 75cv,Celeste,Nafta,3,Manual,1.0,Hatchback,Publicado hace 44 días,188.000 km,9700
Volkswagen,up,2017,1.0 Cross Up!,Negro,Nafta,5,Manual,1.0,Hatchback,Publicado hace 4 días,72.500 km,15500000
Volkswagen,up,2016,1.0 Take Up! Aa 75cv 3p,Rojo,Nafta,3,Manual,1.0,Hatchback,Publicado hace 12 días,59.000 km,12000000
Volkswagen,Up,2014,Up! 1.0 Move 75cv 5 P High Take Kwid Gol Trend,Gris,Nafta,5,Manual,1.0,Hatchback,Publicado hace 43 días,78.000 km,13990000
Volkswagen,up,2016,1.0 White Up 75cv,Blanco,Nafta,5,Manual,1.0,Hatchback,Publicado hace 3 meses,131.121 km,14500000
Volkswagen,up,2017,1.0 Cross Up!,Blanco,Nafta,5,Manual,1.0,Hatchback,Publicado hace 3 días,115.000 km,15500
Volkswagen,up,2016,1.0 High Up! 75cv 5 P,Blanco,Nafta,5,Manual,1.0,Hatchback,Publicado hace 39 días,109.000 km,13800000
Volkswagen,up,2018,1.0 Move,Azul,Nafta,5,Manual,1.0,Hatchback,Publicado hace 50 días,14.500 km,19000000
Volkswagen,up,2018,3p High 2018,Blanco,Nafta,3,Manual,1,Hatchback,Publicado hace 4 días,52.000 km,17700000
Volkswagen,up,2016,1.0 Take Up! Aa 75cv 5 P Oportunidad (lr),Blanco,Nafta,5,Manual,1.0,Hatchback,Publicado hace 5 días,102.800 km,13900000
Volkswagen,up,2019,High 2019 Blanco 5 Ptas,Blanco,Nafta,5,Manual,1.0,Hatchback,Publicado hace 19 días,67.000 km,13900
