Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Volkswagen,Vento,2019,1.4 Highline 150cv At Ugarcia,Negro,Nafta,4,Automática,1.4,Sedán,Publicado hace 11 días,103.400 km,29500000
Volkswagen,Vento,2014,2.5 Luxury 170cv,Plateado,Nafta,4,Manual,2.5,Sedán,Publicado hace 13 días,60.000 km,17000
Volkswagen,Vento,2024,2.0 Tsi Gli 211cv App Connect + Nav,Gris,Nafta,4,Manual,2.0,Sedán,Publicado hace 19 días,12.000 km,50999999
Volkswagen,Vento,2023,2.0 Tsi Gli 211cv App Connect + Nav,Rojo,Nafta,4,Manual,2.0,Sedán,Publicado hace 40 días,57.000 km,49000000
Volkswagen,Vento,2013,2.0 Sportline Tsi 200cv Dsg,Azul,Nafta,4,Automática,2.0,Sedán,Publicado hace 44 días,102.000 km,17500
Volkswagen,Vento,2013,2.5 Luxury 170cv Tiptronic,Gris,Nafta,4,Automática,2.5,Sedán,Publicado hace 2 meses,116.000 km,14900
Volkswagen,Vento,2014,2.0 Sportline Tsi 200cv Dsg,Negro,Nafta,4,Automática,2.0,Sedán,Publicado hace 8 meses,130.000 km,18500
Volkswagen,Vento,2014,2.5 Luxury 170cv,Blanco,Nafta/GNC,4,Manual,2.5,Sedán,Publicado hace 10 días,150.000 km,10900000
Volkswagen,Vento,2013,2.0 Sportline Tsi 200cv Bi-xenon,Blanco,Nafta,4,Manual,2.0,Sedán,Publicado hace 18 días,114.000 km,18500
Volkswagen,Vento,2008,2.5 Advance Tiptronic 170cv,Gris,Nafta,4,Automática,2.5,Sedán,Publicado hace 58 días,161.000 km,10700
Volkswagen,Vento,2018,1.4 Highline 150cv At,Blanco,Nafta,4,Automática,1.4 Tsi,Sedán,Publicado hace 4 días,193.000 km,24900000
Volkswagen,Vento,2016,1.4 Highline 150cv,Gris,Nafta,4,Manual,1.4,Sedán,Publicado hace 10 días,123.100 km,22500000
Volkswagen,Vento,2017,1.4 Highline 150cv At. G,Blanco,Nafta,4,Automática,1.4,Sedán,Publicado hace 11 días,115.000 km,23500000
Volkswagen,Vento,2018,1.4 Turbo Highline 150cv At // Linea Nueva,Gris,Nafta,4,Automática,1.4,Sedán,Publicado hace 11 días,68.000 km,24900
Volkswagen,Vento,2017,1.4 Highline 150cv At,Blanco,Nafta,4,Automática,1.4,Sedán,Publicado hace 57 días,159.500 km,19800
Volkswagen,Vento,2015,2.5 Advance Plus 170cv Tiptronic,Gris,Nafta,4,Automática,2.5,Sedán,Publicado hace 5 días,120.000 km,15000
Volkswagen,Vento,2018,1.4 Comfortline 150cv,Blanco,Nafta,4,Manual,1.4,Sedán,Publicado hace 27 días,45.140 km,25800000
Volkswagen,Vento,2018,1.4 Comfortline 150cv,Blanco,Nafta,4,Manual,1.4,Sedán,Publicado hace 45 días,45.140 km,23500000
Volkswagen,Vento,2019,1.4 Comfortline At Gli Golf Gti Highline,Gris,Nafta,4,Automática,1.4,Sedán,Publicado hace 3 meses,109.000 km,26990000
Volkswagen,Vento,2023,2.0 350 Gli Dsg 2023 - Rpm Moviles,Blanco,Nafta,4,Automática,2,Sedán,Publicado hace 10 días,3.000 km,43700
Volkswagen,Vento,2014,2.5 Advance Plus Tiptron 170cv,Gris,Nafta,4,Automática,2.5,Sedán,Publicado hace 20 días,160.000 km,18500000
Volkswagen,Vento,2019,1.4 Comfortline 150cv At // Forcammo,Blanco,Nafta,4,Automática,1.4,Sedán,Publicado hace 3 meses,104.000 km,26500000
Volkswagen,Vento,2014,2.5 Advance Plus 170cv,Blanco,Nafta,4,Manual,2.5,Sedán,Publicado hace 12 días,124.000 km,17500000
Volkswagen,Vento,2017,1.4 Highline 150cv At,Blanco,Nafta,4,Automática,1.4,Sedán,Publicado hace 5 días,115.000 km,23900000
Volkswagen,Vento,2012,2.5 Luxury 170cv Tiptronic,Gris,Diésel,4,Automática,2.5,Sedán,Publicado hace 6 días,150.000 km,11000
Volkswagen,Vento,2020,1.4 Highline 150cv At,Negro,Nafta,4,Automática,1.4,Sedán,Publicado hace 13 días,32.100 km,29000
Volkswagen,Vento,2012,2.5 Luxury 170cv Tiptronic,Gris,Nafta,4,Automática,2.5,Sedán,Publicado hace 31 días,191.000 km,13900
Volkswagen,Vento,2017,1.4tsi Comfortline At 2017 Rpm Moviles,Gris oscuro,Nafta,4,Automática,1.4,Sedán,Publicado hace 44 días,118.000 km,18400
Volkswagen,Vento,2019,1.4 Tsi Highline 150cv Automatico,Negro,Nafta,4,Automática,1.4,Sedán,Publicado hace 3 meses,147.000 km,20900
Volkswagen,Gol,2009,Power 1.4 Nafta Y Gnc,Gris,Nafta,4,Automática,2.5,Sedán,Publicado hace 6 días,140.000 km,7500
Volkswagen,Vento,2014,2.5 Luxury 170cv Tiptronic-carhaus,Gris,Nafta,4,Automática,2.5,Sedán,Publicado hace 6 días,170.000 km,14300
Volkswagen,Vento,2019,1.4 Comfortline 150cv At Jf,Blanco,Nafta,4,Automática,1.4,Sedán,Publicado hace 1 mes,83.000 km,26500000
Volkswagen,Vento,2018,1.4 Comfortline 150cv At,Gris,Nafta,4,Automática,1.4,Sedán,Publicado hace 23 días,129.000 km,21500000
Volkswagen,Vento,2024,2024 2.0 Tsi Gli 211cv App Connect + Nav,Gris,Nafta,4,Manual,2.0,Sedán,Publicado hace 7 meses,1.150 km,47500000
Volkswagen,Vento,2015,2.0 Advance 115cv Summer Package,Negro,Nafta,4,Manual,2.0,Sedán,Publicado hace 10 días,114.000 km,17900000
Volkswagen,Vento,2017,2.0 Tsi Gli 211cv App Connect + Nav Us - Fm,Blanco,Nafta,4,Manual,2.0,Sedán,Publicado hace 13 días,118.000 km,27990000
Volkswagen,Vento,2017,2.0 Tsi Gli 211cv App Connect + Nav - Us,Blanco,Nafta,4,Manual,2.0,Sedán,Publicado hace 13 días,117.000 km,27990000
Volkswagen,Vento,2016,2.0 Advance 115cv Summer Pack 2016,Dorado,Nafta,4,Manual,2.0,Sedán,Publicado hace 19 días,120.000 km,15500
Volkswagen,Vento,2013,2.5 Luxury 170cv Tiptronic,Plateado,Nafta,4,Automática,2.5,Sedán,Publicado hace 23 días,170.000 km,13500
Volkswagen,Vento,2014,2.5 Luxury 170cv,Gris,Nafta,4,Manual,2.5,Sedán,Publicado hace 44 días,195.000 km,15650
Volkswagen,Vento,2021,Highline 250 Tsi,Gris,Nafta,4,Automática,1.4,Sedán,Publicado hace 47 días,113.000 km,22500
Volkswagen,Vento,2015,2.0 Advance 115cv Summer Package,Negro,Nafta,4,Manual,2.0,Sedán,Publicado hace 2 meses,95.000 km,19900000
Volkswagen,Vento,2019,1.4tsi Comfort Tip,Negro,Nafta,5,Automática,1.4 Tsi,Sedán,Publicado hace 6 meses,110.000 km,26500000
Volkswagen,Vento,2017,1.4 Tsi Unico Dueño,Negro,Nafta,4,Manual,1.4,Sedán,Publicado hace 6 meses,115.000 km,16500
Volkswagen,Vento,2016,2.5 Luxury 170cv,Azul,Nafta,4,Manual,2.5,Sedán,Publicado hace 7 meses,122.000 km,19000
Volkswagen,Vento,2019,2.0 Tsi Gli 230cv App Connect Dsg,Gris,Nafta,4,Automática,2.0,Sedán,Publicado hace 13 días,49.229 km,34000
Volkswagen,Vento,2017,1.4 Highline 150cv,Negro,Nafta,4,Manual,1.4,Sedán,Publicado hace 24 días,182.000 km,19490000
Volkswagen,2.5,2013,Luxury Triptonic 2013 Impecable,Azul,Nafta,4,Automática,2.5,Sedán,Publicado hace 27 días,180.000 km,13200
Volkswagen,2.5,2013,Luxury Triptonic 2013 Impecable,Azul,Nafta,4,Automática,2.5,Sedán,Publicado hace 27 días,180.000 km,13200
Volkswagen,Vento,2012,Luxury 2.5,Gris,Nafta,5,Manual,2.5,Sedán,Publicado hace 30 días,220.000 km,15900000
Volkswagen,Vento,2023,2.0 Tsi 350 Gli Dsg,Blanco,Nafta,4,Automática,2.0,Sedán,Publicado hace 2 meses,39.000 km,40000
Volkswagen,Vento,2016,2.0 Advance 115cv Summer Package,Negro,Nafta,4,Manual,2.0,Sedán,Publicado hace 3 meses,155.200 km,14500
Volkswagen,Vento,2010,2.5 Luxury 170cv,Azul,Nafta,4,Manual,2.5,Sedán,Publicado hace 3 meses,308.000 km,11000000
Volkswagen,Vento,2019,1.4 Comfortline 150cv,Azul,Nafta,4,Automática,1.4,Sedán,Publicado hace 24 días,91.000 km,21500
Volkswagen,Vento,2011,2.0 Sportline Tsi 200cv Dsg,Negro,Nafta,4,Automática,2.0,Sedán,Publicado hace 24 días,145.000 km,14200
Volkswagen,Vento,2015,2.5 Advance Plus 170cv Triptronic,Plateado,Nafta,4,Automática secuencial,2.5,Sedán,Publicado hace 28 días,129.000 km,14900
Volkswagen,Vento,2019,1.4 Comfortline 150cv At,Blanco,Nafta,4,Automática,1.4,Sedán,Publicado hace 52 días,124.000 km,24500000
Volkswagen,Civic,2015,Exs,Dorado,Nafta,4,Automática,2.5,Sedán,Publicado hace 5 meses,156.000 km,13500
Volkswagen,Vento,2019,1.4 Highline 150cv At,Negro,Nafta,4,Automática,1.4,Sedán,Publicado hace 22 días,84.000 km,23000
Volkswagen,Vento,2021,1.4 Highline 150cv At,Blanco,Nafta,4,Automática,1.4,Sedán,Publicado hace 16 días,72.000 km,31000000
Volkswagen,Vento,2009,2.5 Luxury Tiptronic 170cv,Negro,Nafta,4,Automática,2.5,Sedán,Publicado hace 4 días,212.000 km,9200
Volkswagen,Vento,2009,2009 2.5 Advance 170cv,No disponible,Nafta,4,Manual,2.5,Sedán,Publicado hace 11 meses,163.000 km,10500
Volkswagen,Vento,2015,2015 2.5 Advance Plus 170cv Tiptronic,No disponible,Nafta,4,Automática,2.5,Sedán,Publicado hace 2 años,99.000 km,20999999
Volkswagen,Vento,2015,2.5 Luxury 170cv,Gris,Nafta,4,Manual,2.5,Sedán,Publicado hace 56 días,41.000 km,20500
Volkswagen,Vento,2017,1.4 Highline 150cv At Ac036,Blanco,Nafta,4,Automática,1.4,Sedán,Publicado hace 10 días,115.000 km,23900000
Volkswagen,Vento,2016,2.5 Advance Plus 170cv,Azul,Nafta,4,Manual,2.5,Sedán,Publicado hace 54 días,54.000 km,18000
Volkswagen,Vento,2015,2.0 Advance 115 Summer Pack Eg Automoviles,Plateado,Nafta,4,Manual,2.0,Sedán,Publicado hace 9 días,87.000 km,16500
Volkswagen,Vw,2014,Vento 2.5 Luxury 170cv Año 2014 Con 126.000 Km,Negro,Nafta,4,Manual,2.5,Sedán,Publicado hace 13 días,126.000 km,15500
Volkswagen,Vento,2018,2.0 Tsi Gli 211cv App Connect + Nav Dsg,Blanco,Nafta,4,Automática,2.0,Sedán,Publicado hace 15 días,80.500 km,32000000
Volkswagen,Vento,2010,1.9 I Luxury Dsg,Gris,Diésel,4,Automática,1.9,Sedán,Publicado hace 3 meses,170.000 km,11000
Volkswagen,Vento,2017,1.4 Comfortline 150cv,Blanco,Nafta,4,Manual,1.4,Sedán,Publicado hace 4 días,108.000 km,17500
Volkswagen,Vento,2010,1.9 I Advance,Azul,Diésel,4,Manual,1.9,Sedán,Publicado hace 6 días,170.000 km,12000
Volkswagen,Vento,2014,2.5 Luxury 170cv Tiptronic,Beige,Nafta,4,Automática,2.5,Sedán,Publicado hace 24 días,133.143 km,15000
Volkswagen,Vento,2017,1.4 Highline 150cv At,Gris,Nafta,4,Automática,1.4,Sedán,Publicado hace 33 días,90.000 km,21000
Volkswagen,Vento,2013,2.0 Sportline Tsi 200cv Bi-xenon,Gris,Nafta,4,Manual,2.0,Sedán,Publicado hace 2 meses,60.000 km,20000
Volkswagen,Vento,2011,2.5 Luxury Tiptronic 170cv,Negro,Nafta,4,Automática,2.5,Sedán,Publicado hace 4 meses,181.300 km,10900
Volkswagen,Vento,2012,2.5 Luxury 170cv Tiptronic,Negro,Nafta,4,Automática,2.5,Sedán,Publicado hace 7 días,134.000 km,15500000
Volkswagen,Vento,2021,2021 1.4 Highline 150cv At,Azul,Nafta,4,Automática,1.4,Sedán,Publicado hace 6 meses,116.000 km,27200
Volkswagen,Vento,2017,1.4 Highline 150cv At,Negro,Nafta,4,Automática,1.4,Sedán,Publicado hace 8 días,86.000 km,20000
Volkswagen,Vento,2017,2.0 Tsi Gli 211cv App Connect + Nav Dsg,Gris,Nafta,4,Automática,2.0,Sedán,Publicado hace 40 días,123.500 km,24500
Volkswagen,Vento,2023,2.0 Tsi 350 Gli Dsg,Gris,Nafta,4,Automática,2.0,Sedán,Publicado hace 2 meses,16.200 km,52000000
Volkswagen,Vento,2019,1.4 Comfortline 150cv At,Blanco,Nafta,4,Automática,1.4,Sedán,Publicado hace 2 meses,125.000 km,19750
Volkswagen,Vento,2014,2.0 Advance I 110cv,Negro,Diésel,4,Manual,2.0,Sedán,Publicado hace 4 meses,160.000 km,12500
Volkswagen,Vento,2017,2017 1.4 Highline 150cv At,No disponible,Nafta,4,Automática,1.4,Sedán,Publicado hace 9 meses,69.000 km,26000000
Volkswagen,Vento,2019,1.4 Comfortline 150cv At 2019 - 93.000 Kms,Blanco,Nafta,4,Automática,1.4,Sedán,Publicado hace 5 días,93.000 km,25990000
Volkswagen,Vento,2018,1.4 Highline 150cv At,Blanco,Nafta,4,Automática,1.4,Sedán,Publicado hace 20 días,91.800 km,21500
Volkswagen,Vento,2008,2.5 Luxury Wood 170cv,Azul,Nafta,4,Manual,2.5,Sedán,Publicado hace 37 días,109.000 km,12000
Volkswagen,Vento,2023,2.0 Tsi 350 Gli Dsg,Gris,Nafta,4,Automática,2.0,Sedán,Publicado hace 38 días,21.000 km,40800
Volkswagen,Vento,2015,2.5 Luxury 170cv Tiptronic,Blanco,Nafta,4,Automática,2.5,Sedán,Publicado hace 2 meses,166.000 km,14000
Volkswagen,Vento,2011,Tdi Advance,Gris,Diésel,4,Manual,2.0,Sedán,Publicado hace 3 meses,166.000 km,12500
Volkswagen,Vento,2016,2016 2.5 Advance Plus 170cv,No disponible,Nafta,4,Manual,2.5,Sedán,Publicado hace 10 meses,93.000 km,17500
Volkswagen,Vento,2009,2.5 Luxury 170cv,Negro,Nafta,4,Manual,2.5,Sedán,Publicado hace 9 días,118.000 km,13600000
Volkswagen,Vento,2009,1.9 I Luxury Wood Dsg,Negro,Diésel,4,Automática,1.9,Sedán,Publicado hace 18 días,171.000 km,9600
Volkswagen,Vento,2017,2.5 Advance Plus 170cv Tiptronic,Negro,Nafta,4,Automática,2.5,Sedán,Publicado hace 28 días,16.200 km,24500
