iter	RMSE
0	0.2685080197
1	0.2662569694
2	0.263903843
3	0.2611625346
4	0.2582946214
5	0.2550538789
6	0.2527150722
7	0.2497056373
8	0.2466265159
9	0.2438772146
10	0.2417163468
11	0.2391660086
12	0.236684906
13	0.2339812214
14	0.2316468738
15	0.2294348758
16	0.2279579898
17	0.2258242055
18	0.2238521176
19	0.2214940849
20	0.2197549396
21	0.2177733576
22	0.2154924834
23	0.213885789
24	0.2123357401
25	0.2104758726
26	0.2088976694
27	0.2075827509
28	0.2058512535
29	0.2042507223
30	0.2023046944
31	0.2008573849
32	0.1996697955
33	0.1983775532
34	0.1969933588
35	0.1957220301
36	0.1945680814
37	0.1935272772
38	0.1928287147
39	0.1911708684
40	0.1900518716
41	0.1885038902
42	0.1875871002
43	0.186966489
44	0.1859408069
45	0.1846181104
46	0.1832323724
47	0.1824332337
48	0.1817490238
49	0.1808462793
50	0.1799759037
51	0.1788937463
52	0.1783878605
53	0.1777324388
54	0.1768500336
55	0.176374561
56	0.1752611367
57	0.1742872237
58	0.1736889337
59	0.172952684
60	0.17174366
61	0.1713268708
62	0.1702356569
63	0.1693226998
64	0.1682014984
65	0.1677050326
66	0.1669001705
67	0.166123507
68	0.1655864513
69	0.1651086095
70	0.1642563653
71	0.1632114472
72	0.1622753926
73	0.161828768
74	0.1609419904
75	0.1601697615
76	0.1595271206
77	0.1592269854
78	0.1588391964
79	0.1585557522
80	0.1582804161
81	0.157908008
82	0.1576479331
83	0.157115343
84	0.1564249788
85	0.1559970016
86	0.155300727
87	0.1549647032
88	0.1544034655
89	0.1538164573
90	0.1535185266
91	0.1531520873
92	0.1529458117
93	0.152227433
94	0.1514476223
95	0.1506916994
96	0.1505034025
97	0.1499329191
98	0.1493789593
99	0.1486385737
100	0.1484655742
101	0.1482976346
102	0.1480705345
103	0.1477755802
104	0.1475477045
105	0.1469056653
106	0.1463441593
107	0.1461962
108	0.1460229328
109	0.1454059001
110	0.1452025594
111	0.1448824955
112	0.1442887961
113	0.1441606214
114	0.1439751141
115	0.1437892673
116	0.1436565896
117	0.1435426859
118	0.1434321438
119	0.1427826994
120	0.1421550201
121	0.1416179639
122	0.1414555655
123	0.1413549074
124	0.14125724
125	0.1406781075
126	0.140565965
127	0.1400278275
128	0.1399391496
129	0.1398531184
130	0.1396269133
131	0.1395457235
132	0.1390766162
133	0.1386002446
134	0.1384864482
135	0.1384115201
136	0.1379571386
137	0.1378851529
138	0.1374305368
139	0.1373316112
140	0.1372118783
141	0.137144597
142	0.137032901
143	0.1369014611
144	0.1368048494
145	0.1363100788
146	0.1362168543
147	0.1359606994
148	0.1354488969
149	0.135339038
150	0.1352865739
151	0.1348140915
152	0.1347171526
153	0.1344628704
154	0.1343794056
155	0.1339654715
156	0.1339190741
157	0.1334321323
158	0.1330327615
159	0.1329180462
160	0.1328759973
161	0.1324782132
162	0.1320894962
163	0.1317374985
164	0.1312576762
165	0.1308389381
166	0.130620686
167	0.1304449495
168	0.1302341185
169	0.1301989327
170	0.1301648365
171	0.1300291346
172	0.1299966096
173	0.1298036152
174	0.1297133814
175	0.1292264718
176	0.1291973531
177	0.1291535694
178	0.1287973077
179	0.1282766508
180	0.1282501061
181	0.1277275636
182	0.1277015947
183	0.1271985908
184	0.1267915432
185	0.1266304397
186	0.1265938991
187	0.1265441974
188	0.1263830936
189	0.1262198007
190	0.1260477302
191	0.1258651974
192	0.1255222103
193	0.1253887992
194	0.1252568303
195	0.1247812089
196	0.1243214155
197	0.1242724026
198	0.1242525749
199	0.1240895871
200	0.123701496
201	0.1235580054
202	0.1234778443
203	0.12314411
204	0.1229804478
205	0.1228133984
206	0.1226502206
207	0.1225367021
208	0.1225196528
209	0.1223693785
210	0.1222531043
211	0.1222068213
212	0.1220595694
213	0.1219257161
214	0.1217837452
215	0.1213136172
216	0.1211878255
217	0.1211513791
218	0.1210400901
219	0.1207112426
220	0.1205995357
221	0.1204738495
222	0.1203597465
223	0.1202350857
224	0.1201336925
225	0.1200176979
226	0.1199248026
227	0.1198056376
228	0.119674398
229	0.1196349395
230	0.119516727
231	0.1194494078
232	0.1191244906
233	0.1190318266
234	0.1190035759
235	0.1189760489
236	0.1188618015
237	0.1188206077
238	0.1184814887
239	0.1181561779
240	0.1180397107
241	0.1179402777
242	0.1175787311
243	0.1172169763
244	0.1171144112
245	0.1169978993
246	0.1168982489
247	0.1168022756
248	0.1166989489
249	0.1166282937
250	0.1163214601
251	0.1162237131
252	0.1161269085
253	0.1157561558
254	0.115669416
255	0.1155145232
256	0.1154179116
257	0.11532455
258	0.1150198991
259	0.1146624535
260	0.1145733124
261	0.1142562169
262	0.1139231859
263	0.1136369854
264	0.1135531139
265	0.1134731699
266	0.1133940406
267	0.1131099476
268	0.1130246444
269	0.1127258592
270	0.1124437372
271	0.1121707998
272	0.1117513382
273	0.1116674569
274	0.1115810069
275	0.1114948269
276	0.1114149799
277	0.1111425643
278	0.110871628
279	0.1105993778
280	0.1102901367
281	0.1102075016
282	0.1099436297
283	0.1098625762
284	0.1097757071
285	0.1096928378
286	0.1093832515
287	0.1091224392
288	0.1090469658
289	0.1089673021
290	0.1087022748
291	0.1084481498
292	0.1083712287
293	0.1082956385
294	0.1081650462
295	0.1080937672
296	0.1080129201
297	0.1076284486
298	0.1073838627
299	0.1071338223
300	0.1070435884
301	0.1068019606
302	0.106481607
303	0.1064027393
304	0.1061099661
305	0.105881642
306	0.1058029346
307	0.1057338666
308	0.105464388
309	0.1052350384
310	0.1051678919
311	0.1051115732
312	0.1049767742
313	0.1049132959
314	0.1048324687
315	0.104599611
316	0.1045391347
317	0.1042522096
318	0.1041931241
319	0.1038830036
320	0.1038250071
321	0.1035930256
322	0.1032895438
323	0.1032459124
324	0.1029741006
325	0.1029070614
326	0.1028438965
327	0.1025461426
328	0.1022073002
329	0.1018889694
330	0.1015491029
331	0.1013466475
332	0.1011573383
333	0.1008874045
334	0.1005748207
335	0.1005029916
336	0.1004503985
337	0.1001569888
338	0.1000495641
339	0.09998801636
340	0.09987233526
341	0.09961504779
342	0.09941402737
343	0.099215959
344	0.0991574189
345	0.09909731966
346	0.09883186383
347	0.09877766978
348	0.09864052934
349	0.09836791915
350	0.09823666928
351	0.09813822699
352	0.09787280549
353	0.09778870953
354	0.09754894667
355	0.09747269337
356	0.09741931752
357	0.09735843328
358	0.09715534172
359	0.09708635694
360	0.09701442484
361	0.09679223151
362	0.09655679563
363	0.096345692
364	0.096279395
365	0.09620081142
366	0.09611260308
367	0.09598424917
368	0.09575158856
369	0.0954771829
370	0.09526625818
371	0.09520150564
372	0.09514834435
373	0.09511268809
374	0.0949253463
375	0.09482388851
376	0.09462570112
377	0.09446868691
378	0.09431266605
379	0.09410085669
380	0.09389251524
381	0.09373907259
382	0.09368498138
383	0.09349658899
384	0.09344914425
385	0.09339025406
386	0.09333261743
387	0.09323716746
388	0.093181
389	0.09311597627
390	0.09298400573
391	0.09290171058
392	0.09271105899
393	0.09253556177
394	0.09234094988
395	0.09215637285
396	0.09210962162
397	0.09187738963
398	0.09182385266
399	0.09160434876
400	0.09140642453
401	0.09126514415
402	0.09102439864
403	0.09097761628
404	0.09078870205
405	0.09074383169
406	0.09056284506
407	0.09036865398
408	0.09023035219
409	0.09018336665
410	0.09014048397
411	0.08996286264
412	0.08990590229
413	0.08985621254
414	0.08968299731
415	0.08962199978
416	0.08957674288
417	0.08954434681
418	0.08935943528
419	0.08921615626
420	0.08908316559
421	0.08894338341
422	0.08892184213
423	0.08871035432
424	0.08860505018
425	0.08853338601
426	0.0885123445
427	0.08835886578
428	0.08830395951
429	0.08826682811
430	0.08822123017
431	0.08806311019
432	0.08796909682
433	0.08786085542
434	0.08780933475
435	0.0876495175
436	0.08756729417
437	0.0874134374
438	0.08739125928
439	0.08725975832
440	0.08709378021
441	0.0870485894
442	0.0869994685
443	0.08695967585
444	0.08676684602
445	0.08665136255
446	0.08661193602
447	0.08643217632
448	0.08630846328
449	0.08616288452
450	0.08609601548
451	0.08596792296
452	0.08582661668
453	0.08580535904
454	0.08568389247
455	0.08560467565
456	0.08538071946
457	0.08517049542
458	0.08497772566
459	0.08488037674
460	0.08478380929
461	0.08468228012
462	0.08461596463
463	0.08455776986
464	0.08448781071
465	0.08446887157
466	0.08440113554
467	0.08427468234
468	0.08423404358
469	0.08412135304
470	0.0840685698
471	0.08403296263
472	0.08392337007
473	0.08388307414
474	0.08375943232
475	0.08374147
476	0.08365579158
477	0.08359329458
478	0.08358044918
479	0.08354281597
480	0.08349253064
481	0.08344688738
482	0.08342793825
483	0.08333109461
484	0.08319687307
485	0.08316268891
486	0.08298415212
487	0.08285123623
488	0.08271682722
489	0.0826212573
490	0.08256805741
491	0.08254979742
492	0.08248274117
493	0.08247157741
494	0.08243202358
495	0.08232827772
496	0.08230524215
497	0.08219816818
498	0.082074791
499	0.08194738244
500	0.08174848831
501	0.08164887268
502	0.08159222974
503	0.08147483567
504	0.08140590655
505	0.08128658737
506	0.08119983362
507	0.08115245753
508	0.08106794348
509	0.08095470186
510	0.08089096511
511	0.08086162296
512	0.08078080319
513	0.0806723428
514	0.08056044362
515	0.08048202362
516	0.08038703431
517	0.08034163251
518	0.08022783606
519	0.08015679845
520	0.08012209695
521	0.07993941946
522	0.07984425441
523	0.07977904653
524	0.07969728744
525	0.079655254
526	0.07962510219
527	0.07959486085
528	0.07956592824
529	0.07950044713
530	0.07942830612
531	0.0794007129
