iter	Passed	Remaining
0	0	249
1	0	230
2	0	235
3	0	238
4	1	274
5	1	282
6	2	286
7	2	301
8	2	319
9	3	326
10	3	336
11	3	327
12	4	338
13	4	348
14	5	341
15	5	347
16	5	340
17	6	344
18	6	341
19	6	337
20	7	342
21	7	343
22	8	346
23	8	344
24	8	342
25	9	340
26	9	334
27	9	328
28	9	327
29	10	323
30	10	326
31	10	323
32	11	322
33	11	319
34	11	321
35	11	318
36	12	320
37	12	317
38	12	312
39	13	314
40	13	311
41	13	310
42	13	308
43	14	304
44	14	302
45	14	304
46	15	305
47	15	302
48	15	300
49	15	297
50	15	294
51	16	296
52	16	292
53	16	294
54	17	296
55	17	294
56	18	299
57	18	302
58	18	300
59	19	299
60	19	300
61	19	297
62	20	299
63	20	300
64	20	301
65	21	299
66	21	299
67	21	298
68	21	296
69	22	294
70	22	295
71	23	296
72	23	297
73	23	296
74	23	294
75	24	293
76	24	294
77	24	292
78	24	290
79	25	287
80	25	285
81	25	283
82	25	281
83	25	281
84	26	280
85	26	281
86	26	282
87	27	283
88	27	282
89	27	282
90	28	281
91	28	282
92	28	280
93	29	281
94	29	281
95	29	281
96	30	279
97	30	278
98	30	277
99	30	278
100	31	276
101	31	275
102	31	274
103	32	279
104	32	279
105	33	281
106	33	280
107	33	279
108	34	277
109	34	279
110	34	278
111	35	279
112	35	280
113	35	279
114	36	277
115	36	276
116	36	275
117	36	274
118	36	273
119	37	273
120	37	275
121	38	275
122	38	275
123	38	274
124	38	272
125	39	273
126	39	272
127	40	273
128	40	272
129	40	270
130	40	271
131	41	270
132	41	271
133	42	271
134	42	272
135	42	271
136	43	272
137	43	271
138	43	270
139	43	270
140	44	269
141	44	268
142	44	267
143	44	266
144	45	266
145	45	266
146	45	266
147	46	267
148	46	268
149	47	267
150	47	266
151	47	267
152	48	267
153	48	267
154	49	267
155	49	268
156	49	267
157	50	270
158	51	270
159	51	270
160	51	269
161	52	269
162	52	268
163	52	269
164	53	269
165	53	270
166	54	270
167	54	270
168	55	270
169	55	269
170	55	268
171	55	268
172	55	267
173	56	267
174	56	266
175	57	267
176	57	266
177	57	265
178	57	264
179	58	265
180	58	263
181	58	263
182	58	262
183	59	262
184	59	263
185	60	265
186	60	264
187	61	263
188	61	264
189	62	264
190	62	264
191	62	264
192	63	264
193	63	264
194	64	264
195	64	264
196	64	264
197	65	263
198	65	262
199	65	262
200	66	262
201	66	262
202	66	262
203	67	262
204	67	262
205	68	262
206	68	262
207	68	261
208	68	260
209	69	260
210	69	260
211	69	259
212	70	259
213	70	259
214	71	259
215	71	259
216	71	259
217	72	258
218	72	258
219	72	258
220	73	258
221	73	258
222	74	258
223	74	259
224	75	259
225	75	259
226	76	259
227	76	259
228	77	259
229	77	258
230	77	258
231	78	258
232	78	258
233	78	258
234	79	257
235	79	256
236	79	256
237	79	256
238	80	256
239	80	255
240	81	255
241	81	255
242	82	255
243	82	255
244	82	255
245	83	255
246	83	255
247	84	255
248	84	255
249	85	255
250	85	254
251	85	254
252	86	254
253	86	254
254	87	254
255	87	254
256	87	254
257	88	254
258	88	254
259	89	254
260	90	254
261	90	255
262	91	255
263	91	255
264	92	255
265	92	255
266	92	255
267	93	254
268	93	254
269	94	254
270	94	254
271	95	254
272	95	254
273	95	254
274	96	253
275	96	253
276	97	253
277	97	253
278	97	253
279	98	252
280	98	252
281	99	252
282	99	252
283	100	252
284	100	252
285	100	251
286	101	251
287	101	251
288	102	251
289	102	251
290	103	251
291	103	250
292	104	251
293	104	251
294	105	252
295	105	252
296	106	251
297	106	251
298	107	251
299	107	251
300	108	251
301	108	250
302	108	250
303	109	250
304	109	250
305	110	250
306	110	249
307	111	249
308	111	249
309	111	249
310	112	248
311	112	248
312	113	248
313	113	248
314	113	247
315	114	247
316	114	247
317	115	247
318	115	246
319	116	246
320	116	246
321	116	246
322	117	245
323	117	245
324	118	245
325	118	245
326	119	245
327	119	245
328	120	245
329	120	245
330	121	244
331	121	244
332	121	244
333	122	244
334	122	243
335	123	243
336	123	243
337	124	242
338	124	242
339	124	242
340	125	242
341	125	241
342	126	241
343	126	241
344	127	241
345	127	240
346	127	240
347	128	240
348	128	240
349	129	239
350	129	239
351	129	239
352	130	239
353	130	238
354	131	238
355	131	238
356	132	237
357	132	237
358	133	237
359	133	237
360	134	237
361	134	237
362	135	237
363	135	237
364	136	237
365	136	236
366	137	236
367	137	236
368	138	236
369	138	236
370	139	236
371	139	235
372	140	235
373	140	235
374	141	235
375	141	234
376	141	234
377	142	234
378	142	233
379	143	233
380	143	233
381	143	232
382	144	232
383	144	232
384	145	232
385	145	231
386	146	231
387	146	231
388	146	230
389	147	230
390	147	230
391	148	230
392	149	230
393	149	230
394	150	229
395	150	229
396	150	229
397	151	228
398	151	228
399	152	228
400	152	227
401	153	227
402	153	227
403	153	226
404	154	226
405	154	226
406	155	226
407	155	225
408	155	225
409	156	225
410	156	224
411	157	224
412	157	224
413	158	223
414	158	223
415	158	223
416	159	222
417	159	222
418	160	222
419	160	221
420	161	221
421	161	221
422	161	220
423	162	220
424	163	221
425	164	221
426	164	220
427	165	220
428	165	220
429	165	219
430	166	219
431	166	219
432	167	218
433	167	218
434	167	218
435	168	217
436	168	217
437	169	217
438	169	216
439	170	216
440	170	216
441	170	215
442	171	215
443	171	215
444	172	214
445	172	214
446	172	213
447	173	213
448	173	213
449	174	212
450	174	212
451	174	212
452	175	211
453	175	211
454	176	211
455	176	210
456	177	210
457	178	210
458	178	210
459	179	210
460	180	210
461	191	222
462	191	222
463	192	221
464	192	221
465	193	221
466	194	221
467	194	221
468	195	221
469	198	223
470	198	223
471	199	222
472	199	222
473	200	222
474	200	221
475	200	221
476	201	220
477	201	220
478	202	219
479	202	219
480	203	219
481	203	218
482	203	218
483	204	217
484	204	217
485	205	216
486	205	216
487	206	216
488	206	215
489	206	215
490	207	214
491	207	214
492	208	214
493	208	213
494	209	213
495	209	213
496	210	212
497	210	212
498	211	211
499	211	211
500	211	211
501	212	210
502	212	210
503	213	209
504	213	209
505	214	209
506	214	208
507	214	208
508	215	207
509	215	207
510	216	206
511	216	206
512	217	206
513	217	205
514	217	205
515	218	204
516	218	204
517	219	203
518	219	203
519	220	203
520	220	202
521	220	202
522	221	201
523	221	201
524	222	200
525	222	200
526	223	200
527	223	199
528	224	199
529	224	199
530	225	199
531	225	198
532	226	198
533	226	197
534	227	197
535	227	196
536	227	196
537	228	196
538	228	195
539	229	195
540	229	194
541	230	194
542	230	194
543	230	193
544	231	193
545	231	192
546	232	192
547	232	191
548	233	191
549	233	191
550	233	190
551	234	190
552	234	189
553	235	189
554	235	188
555	235	188
556	236	188
557	236	187
558	237	187
559	237	186
560	238	186
561	239	186
562	239	186
563	240	185
564	240	185
565	241	185
566	241	184
567	242	184
568	243	184
569	243	183
570	244	183
571	244	183
572	245	182
573	245	182
574	246	182
575	246	181
576	247	181
577	247	180
578	248	180
579	248	179
580	248	179
581	249	179
582	249	178
583	250	178
584	250	177
585	251	177
586	251	176
587	251	176
588	252	176
589	252	175
590	253	175
591	254	175
592	254	174
593	255	174
594	255	173
595	255	173
596	256	173
597	256	172
598	257	172
599	257	171
600	257	171
601	258	170
602	258	170
603	259	169
604	259	169
605	260	169
606	260	168
607	260	168
608	261	167
609	261	167
610	262	166
611	262	166
612	263	166
613	263	165
614	263	165
615	264	164
616	264	164
617	265	163
618	265	163
619	265	163
620	266	162
621	266	162
622	267	161
623	267	161
624	268	160
625	268	160
626	269	160
627	269	159
628	270	159
629	270	158
630	271	158
631	271	158
632	271	157
633	272	157
634	272	156
635	273	156
636	273	155
637	274	155
638	274	155
639	274	154
640	275	154
641	275	153
642	276	153
643	276	152
644	276	152
645	277	152
646	277	151
647	278	151
648	278	150
649	279	150
650	279	149
651	279	149
652	280	148
653	280	148
654	281	148
655	281	147
656	282	147
657	282	147
658	283	146
659	284	146
660	284	145
661	284	145
662	285	145
663	285	144
664	286	144
665	286	143
666	287	143
667	287	143
668	288	142
669	288	142
670	289	141
671	289	141
672	290	141
673	290	140
674	291	140
675	291	139
676	292	139
677	292	139
678	293	138
679	293	138
680	294	137
681	294	137
682	295	136
683	295	136
684	296	136
685	296	135
686	297	135
687	297	134
688	298	134
689	298	134
690	299	133
691	299	133
692	300	133
693	300	132
694	301	132
695	301	131
696	302	131
697	302	131
698	303	130
699	303	130
700	304	129
701	304	129
702	305	128
703	305	128
704	306	128
705	306	127
706	306	127
707	307	126
708	307	126
709	308	125
710	308	125
711	309	125
712	309	124
713	310	124
714	310	123
715	311	123
716	311	123
717	312	122
718	313	122
719	313	122
720	314	121
721	315	121
722	315	120
723	315	120
724	316	120
725	316	119
726	317	119
727	317	118
728	318	118
729	318	117
730	319	117
731	319	117
732	320	116
733	320	116
734	321	115
735	321	115
736	322	114
737	322	114
738	322	114
739	323	113
740	323	113
741	324	112
742	324	112
743	325	111
744	325	111
745	326	111
746	327	110
747	327	110
748	328	110
749	328	109
750	329	109
751	329	108
