variable,coeficiente
ano,4510972.68518147
motor,3136824.4078408014
fecha publicacion,0.0
kilometros,-1940259.8198044605
marca_citroen,-92936.73467137641
marca_fiat,-0.0
marca_ford,0.0
marca_jeep,281781.69393374346
marca_nissan,0.0
marca_peugeot,-0.0
marca_renault,-0.0
marca_toyota,1123798.7122660228
marca_volkswagen,261194.58448171668
modelo_207,-0.0
modelo_208,-88382.89125803566
modelo_3008,350458.7512052683
modelo_308,79819.31924713666
modelo_408,-25619.99398919209
modelo_amarok,873347.5806062502
modelo_argo,-0.0
modelo_berlingo,-0.0
modelo_bronco-sport,627326.8045507636
modelo_c3,-0.0
modelo_c3-aircross,-0.0
modelo_c3-picasso,0.0
modelo_c4-cactus,-0.0
modelo_c4-lounge,-23331.98401692931
modelo_captur,-0.0
modelo_classic,-0.0
modelo_clio,108035.09301336514
modelo_compass,325379.7147198699
modelo_corolla,0.0
modelo_corolla-cross,409608.27930540143
modelo_corsa,95281.33065655656
modelo_cronos,-181475.04610621254
modelo_cruze,315441.3351071482
modelo_duster,-0.0
modelo_ecosport,0.0
modelo_etios,-412701.2760444913
modelo_f-100,683985.2795278291
modelo_fiesta,-0.0
modelo_fluence,-29542.56305804454
modelo_focus-iii,-0.0
modelo_fox,0.0
modelo_frontier,139211.0267630667
modelo_gol,-255596.99239335617
modelo_golf,713090.6162025527
modelo_grand-cherokee,713765.607239731
modelo_hilux,400139.6218935462
modelo_ka,-7343.07720298117
modelo_kangoo,0.0
modelo_kicks,151018.59747223774
modelo_kwid,-30338.59218966499
modelo_logan,-134253.11909301326
modelo_march,-19910.033333321677
modelo_note,-0.0
modelo_onix,-0.0
modelo_palio,0.0
modelo_partner,0.0
modelo_polo,-0.0
modelo_prisma,-0.0
modelo_punto,0.0
modelo_ranger,0.0
modelo_rav4,99099.98489105338
modelo_renegade,-0.0
modelo_s10,-0.0
modelo_sandero,-205083.15516766356
modelo_sentra,0.0
modelo_siena,0.0
modelo_spin,-0.0
modelo_strada,-81406.03477180941
modelo_suran,0.0
modelo_sw4,1314570.4560870582
modelo_tiida,0.0
modelo_toro,-149896.71230127238
modelo_tracker,-0.0
modelo_up,12247.101915171736
modelo_vento,296570.86914056307
modelo_versa,-16280.684699985397
modelo_wrangler,1531581.3488079906
modelo_xsara,0.0
modelo_yaris,-0.0
color_beige,-0.0
color_blanco,-60112.65810338131
color_dorado,-0.0
color_gris,0.0
color_marron,-0.0
color_morado,0.0
color_negro,-0.0
color_otro,29983.139844937003
color_plateado,-0.0
color_rojo,0.0
color_verde,0.0
tipo de combustible_electrico,0.0
tipo de combustible_gnc,0.0
tipo de combustible_hibrido/diesel,-0.0
tipo de combustible_hibrido/nafta,53064.06917199531
tipo de combustible_nafta,-348455.4774738101
tipo de combustible_nafta/gnc,-0.0
puertas_4,-223566.88290412832
puertas_5,0.0
transmision_manual,-1491856.4959535673
tipo de carroceria_furgon,-0.0
tipo de carroceria_hatchback,-0.0
tipo de carroceria_monovolumen,0.0
tipo de carroceria_off-road,0.0
tipo de carroceria_pick-up,1120326.4888265894
tipo de carroceria_sedan,-27201.81469669977
tipo de carroceria_suv,511167.91115924995
tipo de carroceria_van,0.0
traccion_fwd,-1150856.883299871
traccion_integral,-188516.10332059802
traccion_rwd,-273954.38205854123
